Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-05-25,19.2,19.2,15.4,17.1,17.2,129324.0,22.54
2016-05-26,17.85,17.9,16.75,17.0,17.15,58728.0,10.29
2016-05-27,17.0,17.1,15.8,16.0,16.05,32536.0,5.32
2016-05-30,16.8,17.0,15.6,16.0,15.95,38250.0,6.14
2016-05-31,16.45,16.85,15.0,16.7,16.6,26788.0,4.37
2016-06-01,17.45,17.45,16.0,16.45,16.75,22344.0,3.75
2016-06-02,16.05,17.25,16.05,17.25,16.95,14601.0,2.44
2016-06-03,16.75,16.95,16.1,16.7,16.75,18258.0,3.03
2016-06-06,16.15,17.5,16.15,17.0,17.15,7221.0,1.21
2016-06-07,17.5,17.5,16.15,16.75,16.75,5217.0,0.88
2016-06-08,16.75,17.0,16.5,17.0,16.9,7467.0,1.25
2016-06-09,16.9,17.25,16.5,16.6,16.7,4467.0,0.76
2016-06-10,17.3,17.35,16.65,16.75,16.75,3774.0,0.64
2016-06-13,17.0,17.0,16.0,16.65,16.65,7606.0,1.25
2016-06-14,16.5,17.2,16.45,16.95,16.95,21905.0,3.66
2016-06-15,17.9,18.0,16.6,17.8,17.75,18829.0,3.28
2016-06-16,18.0,19.2,17.0,18.0,18.0,36924.0,6.61
2016-06-17,18.15,18.15,17.55,17.95,17.9,36461.0,6.55
2016-06-20,18.5,18.5,17.5,18.0,17.95,14515.0,2.59
2016-06-21,17.8,18.85,17.5,17.7,17.65,7091.0,1.27
2016-06-22,18.0,18.0,17.5,18.0,17.95,5104.0,0.91
2016-06-23,18.25,18.45,17.8,17.8,18.0,15549.0,2.81
2016-06-24,17.5,17.8,17.0,17.0,17.15,7405.0,1.28
2016-06-27,18.0,19.2,16.2,18.75,18.4,31175.0,5.5
2016-06-28,18.5,18.5,17.2,17.55,17.6,7584.0,1.33
2016-06-29,18.25,19.0,17.7,17.8,17.95,110291.0,20.12
2016-06-30,18.6,18.7,17.6,17.8,17.9,39752.0,7.17
2016-07-01,18.35,18.35,17.6,17.65,17.8,18455.0,3.29
2016-07-04,17.75,17.95,17.45,17.5,17.5,10720.0,1.9
2016-07-05,17.5,21.0,17.35,19.25,18.95,748735.0,149.71
2016-07-07,20.1,20.65,19.0,19.45,19.7,81824.0,16.1
2016-07-08,19.5,20.25,19.0,19.4,19.5,34161.0,6.74
2016-07-11,19.0,20.5,18.9,18.9,19.0,22474.0,4.36
2016-07-12,19.95,20.0,18.6,19.1,18.9,9330.0,1.79
2016-07-13,19.0,19.9,18.9,19.6,19.5,30388.0,5.95
2016-07-14,19.5,19.8,18.6,19.65,19.6,12348.0,2.41
2016-07-15,19.3,19.7,18.6,19.05,19.0,6353.0,1.22
2016-07-18,19.05,19.45,18.6,18.6,18.8,12920.0,2.43
2016-07-19,19.0,19.35,18.5,18.8,18.8,3214.0,0.6
2016-07-20,19.4,19.4,18.5,18.55,18.55,5579.0,1.04
2016-07-21,19.2,19.4,18.4,19.0,19.15,11889.0,2.28
2016-07-22,19.0,19.5,18.5,19.0,18.7,11768.0,2.23
2016-07-25,19.4,19.4,18.75,18.85,19.2,6613.0,1.26
2016-07-26,20.0,21.0,18.3,20.0,19.7,35994.0,7.13
2016-07-27,20.25,20.25,19.0,19.65,19.65,6864.0,1.35
2016-07-28,19.5,19.85,19.0,19.45,19.45,10174.0,1.96
2016-07-29,20.0,20.7,18.8,18.9,19.0,52075.0,10.17
2016-08-01,19.0,20.0,18.8,19.0,19.5,7238.0,1.39
2016-08-02,19.3,19.6,18.8,19.0,18.9,7688.0,1.46
2016-08-03,19.0,19.25,18.5,18.55,18.65,3500.0,0.66
2016-08-04,19.5,19.5,18.5,18.5,18.5,4164.0,0.78
2016-08-05,19.9,19.9,18.5,19.5,19.55,8371.0,1.59
2016-08-08,19.55,19.7,19.0,19.5,19.5,4815.0,0.93
2016-08-09,19.5,19.8,19.0,19.7,19.55,8820.0,1.73
2016-08-10,19.4,19.5,18.55,18.8,18.8,7647.0,1.45
2016-08-11,19.0,19.5,18.2,19.0,19.0,12710.0,2.44
2016-08-12,19.6,19.6,18.3,18.6,18.8,11663.0,2.18
2016-08-16,19.3,19.3,18.05,18.5,18.55,6419.0,1.18
2016-08-17,19.0,19.0,18.1,18.9,18.35,1180.0,0.22
2016-08-18,18.9,19.0,18.25,18.45,18.5,6106.0,1.13
2016-08-19,18.5,19.1,18.2,18.6,18.45,7569.0,1.41
2016-08-22,19.0,19.0,18.3,18.85,18.8,3941.0,0.73
2016-08-23,18.85,18.85,18.25,18.7,18.7,1939.0,0.36
2016-08-24,18.7,18.8,18.15,18.7,18.65,783.0,0.15
2016-08-25,18.8,18.85,18.1,18.25,18.35,5418.0,1.0
2016-08-26,18.55,18.55,18.05,18.4,18.45,5178.0,0.95
2016-08-29,18.3,18.75,16.75,17.5,17.35,31330.0,5.49
2016-08-30,17.1,17.6,15.8,17.1,16.85,102460.0,16.88
2016-08-31,17.5,17.5,16.5,16.7,16.8,24311.0,4.12
2016-09-01,17.0,17.0,16.15,16.5,16.35,48751.0,8.02
2016-09-02,16.45,16.45,15.8,16.2,16.2,43366.0,6.98
2016-09-06,17.4,17.4,15.75,15.85,16.0,50653.0,8.12
2016-09-07,16.55,16.85,15.75,16.6,16.1,16571.0,2.71
2016-09-08,16.65,16.65,15.75,16.4,16.15,38029.0,6.16
2016-09-09,16.7,16.7,15.8,15.9,15.95,24417.0,3.93
2016-09-12,16.4,16.4,15.05,15.2,15.2,23512.0,3.69
2016-09-14,15.8,16.6,15.2,15.8,15.95,85481.0,13.71
2016-09-15,16.55,16.55,15.25,15.4,15.35,25352.0,4.03
2016-09-16,15.9,16.25,15.5,15.75,16.0,14900.0,2.38
2016-09-19,16.55,16.55,15.8,16.0,16.0,20298.0,3.26
2016-09-20,15.5,16.7,15.5,15.85,15.95,10557.0,1.7
2016-09-21,16.4,16.4,15.15,15.7,15.4,17692.0,2.78
2016-09-22,16.0,16.25,15.3,15.85,15.8,11436.0,1.81
2016-09-23,15.8,15.85,15.35,15.75,15.7,14859.0,2.35
2016-09-26,16.0,16.0,15.25,15.65,15.35,21249.0,3.39
2016-09-27,16.0,16.0,14.9,15.0,15.15,14694.0,2.27
2016-09-28,15.8,15.8,14.65,15.25,15.0,36728.0,5.57
2016-09-29,15.5,15.8,15.05,15.35,15.45,21439.0,3.3
2016-09-30,16.0,16.3,14.85,15.55,15.95,26107.0,4.16
2016-10-03,16.5,16.5,15.4,15.5,15.75,28233.0,4.49
2016-10-04,16.0,16.0,15.45,16.0,16.0,5613.0,0.89
2016-10-05,16.2,16.3,15.25,15.55,15.55,19956.0,3.17
2016-10-06,16.2,16.2,14.7,15.3,15.25,38569.0,6.01
2016-10-07,15.7,15.75,15.25,15.75,15.75,7334.0,1.15
2016-10-10,16.2,16.2,15.4,15.85,15.85,12670.0,1.99
2016-10-13,16.15,16.15,15.5,15.9,15.8,5324.0,0.85
2016-10-14,15.9,15.9,15.7,15.9,15.9,42044.0,6.65
2016-10-17,16.1,16.15,15.8,15.8,15.8,14824.0,2.36
2016-10-18,16.1,16.1,15.5,15.6,15.7,25944.0,4.11
2016-10-19,16.1,16.15,15.7,16.0,16.0,26287.0,4.16
2016-10-20,15.75,16.15,15.75,15.75,15.9,24126.0,3.84
2016-10-21,16.1,16.15,15.6,16.0,15.85,8175.0,1.3
2016-10-24,16.15,16.15,15.5,16.0,16.05,18369.0,2.94
2016-10-25,16.4,16.4,15.5,15.85,15.9,42893.0,6.87
2016-10-26,16.3,16.5,14.5,15.9,15.8,33283.0,5.12
