Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,23.9,25.1,23.7,24.9,24.95,85534.0,20.97
2010-01-05,26.45,26.45,23.75,24.95,24.7,58225.0,14.47
2010-01-06,24.2,26.4,24.05,25.3,25.25,126943.0,32.27
2010-01-07,25.5,25.9,25.05,25.9,25.6,73637.0,18.76
2010-01-08,26.05,26.6,25.55,25.9,25.8,105897.0,27.65
2010-01-11,26.4,27.75,26.25,27.15,27.15,145425.0,39.53
2010-01-12,27.5,28.9,27.0,27.05,27.15,161331.0,44.96
2010-01-13,26.5,28.0,26.5,27.15,27.1,50824.0,13.84
2010-01-14,27.9,32.4,27.0,29.95,29.85,1000022.0,303.85
2010-01-15,28.95,30.95,28.1,28.15,28.45,250127.0,73.69
2010-01-18,28.7,29.45,26.65,28.1,28.05,113456.0,32.31
2010-01-19,28.25,29.0,27.1,27.7,27.6,97077.0,27.36
2010-01-20,27.7,27.75,26.25,26.85,26.65,133301.0,35.81
2010-01-21,26.45,26.7,24.25,24.3,24.45,137964.0,35.03
2010-01-22,23.1,24.75,23.1,23.65,23.75,79475.0,19.02
2010-01-25,24.0,24.3,22.9,23.0,23.15,91243.0,21.43
2010-01-27,22.9,23.45,21.2,21.95,21.55,64058.0,14.28
2010-01-28,21.7,22.35,21.0,21.2,21.45,73847.0,16.12
2010-01-29,21.45,21.45,20.25,20.8,20.6,116684.0,24.04
2010-02-01,20.85,21.4,20.8,21.05,20.95,207842.0,43.7
2010-02-02,21.7,21.7,20.5,20.5,20.65,172552.0,36.28
2010-02-03,20.6,21.0,19.9,20.2,20.0,148110.0,30.23
2010-02-04,20.5,21.25,20.1,20.4,20.4,100909.0,20.9
2010-02-05,20.0,20.0,18.9,19.0,19.1,168152.0,32.27
2010-02-06,19.9,20.1,19.45,19.9,19.85,28396.0,5.63
2010-02-08,19.75,20.15,19.25,19.7,19.65,112372.0,22.08
2010-02-09,19.6,19.6,18.8,19.0,19.0,77783.0,14.94
2010-02-10,19.4,19.5,19.1,19.25,19.25,34162.0,6.6
2010-02-11,19.55,20.3,19.3,19.9,20.1,115532.0,22.99
2010-02-15,20.0,20.1,18.9,19.0,19.15,81522.0,15.86
2010-02-16,19.45,19.7,19.0,19.6,19.5,28614.0,5.57
2010-02-17,19.9,19.9,19.2,19.25,19.3,29279.0,5.73
2010-02-18,19.6,19.7,18.9,18.95,19.0,66303.0,12.74
2010-02-19,18.8,19.15,18.2,18.35,18.3,88129.0,16.34
2010-02-22,18.75,18.75,18.1,18.35,18.25,37548.0,6.94
2010-02-23,18.1,18.8,18.1,18.35,18.45,41721.0,7.7
2010-02-24,18.35,18.35,17.5,17.55,17.65,85579.0,15.2
2010-02-25,17.65,17.65,16.95,16.95,16.95,116294.0,19.94
2010-02-26,17.4,17.4,16.8,16.85,17.0,254183.0,43.25
2010-03-02,17.45,17.75,16.85,16.9,17.0,161190.0,27.51
2010-03-03,17.0,17.55,16.95,17.0,17.0,309294.0,52.89
2010-03-04,16.9,17.25,16.9,17.05,17.0,123023.0,20.93
2010-03-05,18.0,19.55,17.85,18.7,18.6,720223.0,132.91
2010-03-08,19.0,19.1,18.15,18.2,18.25,352443.0,65.76
2010-03-09,18.2,18.25,17.45,17.45,17.55,148295.0,26.34
2010-03-10,17.6,17.8,17.5,17.55,17.55,71668.0,12.64
2010-03-11,17.3,17.75,17.25,17.25,17.35,43609.0,7.64
2010-03-12,17.35,17.45,16.9,17.0,17.0,95403.0,16.29
2010-03-15,17.25,17.25,16.85,16.95,16.95,87401.0,14.87
2010-03-16,16.95,17.25,16.9,17.0,17.0,86093.0,14.66
2010-03-17,17.2,17.5,16.9,16.9,17.0,80686.0,13.8
2010-03-18,17.0,17.4,16.95,17.0,17.05,74640.0,12.8
2010-03-19,17.0,17.3,17.0,17.1,17.1,48319.0,8.3
2010-03-22,17.0,17.5,16.9,17.0,17.0,72830.0,12.46
2010-03-23,17.0,17.2,16.5,16.5,16.6,129372.0,21.68
2010-03-25,16.55,16.95,16.45,16.55,16.55,95243.0,15.78
2010-03-26,16.5,16.75,16.45,16.55,16.55,111398.0,18.47
2010-03-29,16.75,17.0,16.45,16.55,16.6,54442.0,9.08
2010-03-30,16.5,17.2,16.5,17.2,17.15,61598.0,10.5
2010-03-31,17.8,17.8,17.1,17.15,17.25,42964.0,7.44
2010-04-01,17.5,17.7,17.35,17.6,17.65,69771.0,12.28
2010-04-05,17.5,18.3,17.5,17.9,17.9,410605.0,73.33
2010-04-06,18.0,18.2,17.8,17.9,17.9,160411.0,28.86
2010-04-07,18.0,18.2,17.6,17.75,17.75,116312.0,20.86
2010-04-08,18.0,18.1,17.5,17.65,17.7,133043.0,23.71
2010-04-09,17.75,17.95,17.4,17.7,17.55,143271.0,25.23
2010-04-12,17.85,18.1,17.4,17.7,17.5,132987.0,23.55
2010-04-13,17.4,18.0,17.0,17.65,17.5,92155.0,16.18
2010-04-15,17.8,17.95,17.25,17.35,17.35,137450.0,24.07
2010-04-16,17.35,17.5,16.9,16.95,17.0,127402.0,21.81
2010-04-19,16.85,16.9,16.15,16.55,16.4,227916.0,37.66
2010-04-20,16.65,18.0,16.55,17.95,17.8,220780.0,38.51
2010-04-21,16.6,18.95,16.6,18.7,18.8,452680.0,83.47
2010-04-22,19.0,22.6,18.7,22.3,22.45,1779996.0,379.44
2010-04-23,22.4,26.95,22.15,26.95,26.9,4447461.0,1138.49
2010-04-26,27.9,27.9,24.25,24.25,24.25,620037.0,155.52
2010-04-27,23.7,24.3,21.85,22.1,22.15,2613238.0,595.47
2010-04-28,21.0,23.85,20.5,23.6,23.6,1349071.0,312.62
2010-04-29,24.05,24.6,23.5,24.45,24.25,544558.0,131.56
2010-04-30,24.55,25.3,23.35,24.05,23.75,378346.0,92.55
2010-05-03,24.0,24.4,23.4,23.7,23.75,129226.0,30.81
2010-05-04,24.45,24.45,22.5,22.8,22.7,123302.0,28.68
2010-05-05,22.0,22.5,21.15,22.4,22.3,171261.0,37.54
2010-05-06,22.0,22.8,22.0,22.0,22.25,94467.0,21.09
2010-05-07,21.5,24.3,21.0,23.25,23.2,311119.0,70.25
2010-05-10,23.8,24.35,22.75,23.2,23.05,150410.0,35.27
2010-05-11,23.5,23.6,22.7,23.0,22.85,81074.0,18.7
2010-05-12,23.0,23.25,22.5,22.85,22.75,51461.0,11.71
2010-05-13,23.0,23.7,22.7,22.9,23.1,93263.0,21.61
2010-05-14,22.7,23.4,22.1,22.6,22.45,76912.0,17.52
2010-05-17,22.55,22.55,21.6,22.3,22.15,63440.0,13.98
2010-05-18,22.05,24.35,22.0,24.0,24.0,170312.0,39.91
2010-05-19,23.2,24.0,21.6,22.9,22.7,242522.0,55.05
2010-05-20,22.5,23.55,22.05,22.5,22.4,92672.0,21.15
2010-05-21,22.05,23.1,21.5,22.3,22.5,165490.0,36.56
2010-05-24,23.15,23.15,22.0,22.0,22.1,70381.0,15.87
2010-05-25,22.0,22.3,20.8,21.0,21.05,63550.0,13.66
2010-05-26,21.5,22.1,21.0,21.4,21.35,64052.0,13.79
2010-05-27,21.95,22.35,20.9,21.7,21.75,84447.0,18.51
2010-05-28,22.0,22.3,21.7,22.0,22.0,59494.0,13.08
2010-05-31,21.8,22.5,21.65,22.0,22.1,28325.0,6.26
2010-06-01,21.35,22.45,21.35,21.95,22.0,61444.0,13.56
2010-06-02,22.25,22.7,21.65,22.2,22.5,149210.0,33.17
2010-06-03,23.9,24.0,23.1,23.3,23.35,160909.0,37.7
2010-06-04,23.45,23.65,22.85,23.5,23.25,45875.0,10.64
2010-06-07,23.2,23.2,22.0,22.65,22.55,31933.0,7.19
2010-06-08,22.8,22.8,22.1,22.2,22.3,33763.0,7.59
2010-06-09,22.75,22.75,22.05,22.2,22.2,27088.0,6.05
2010-06-10,22.6,22.6,22.2,22.3,22.45,23030.0,5.15
2010-06-11,22.75,22.75,22.05,22.1,22.15,29428.0,6.55
2010-06-14,22.55,22.55,22.0,22.1,22.25,40079.0,8.89
2010-06-15,22.0,22.8,21.95,22.65,22.65,28018.0,6.3
2010-06-16,22.65,23.45,22.3,23.1,22.95,66363.0,15.37
2010-06-17,23.25,23.25,22.8,22.8,22.9,21685.0,4.99
2010-06-18,22.8,23.4,22.8,23.25,23.1,37278.0,8.61
2010-06-21,23.65,24.15,23.15,24.1,24.0,126118.0,30.08
2010-06-22,24.25,24.35,23.5,23.5,23.55,47159.0,11.23
2010-06-23,23.4,24.5,23.25,24.3,24.25,61906.0,14.85
2010-06-24,24.0,24.65,24.0,24.2,24.25,80225.0,19.53
2010-06-25,24.5,24.8,23.75,23.75,23.85,67383.0,16.31
2010-06-28,23.85,24.35,23.5,23.9,23.95,57311.0,13.7
2010-06-29,24.2,24.8,23.95,24.1,24.0,97911.0,23.92
2010-06-30,23.8,24.8,23.5,24.65,24.6,102466.0,24.88
2010-07-01,24.5,24.7,24.25,24.7,24.5,42865.0,10.5
2010-07-02,24.55,26.0,24.55,24.9,25.15,201566.0,51.18
2010-07-05,25.9,25.9,24.75,25.0,24.95,28474.0,7.16
2010-07-06,25.45,25.45,24.65,24.8,24.9,21010.0,5.24
2010-07-07,24.2,25.3,24.2,24.5,24.45,28875.0,7.11
2010-07-08,25.25,25.25,24.05,25.2,25.05,84910.0,20.93
2010-07-09,25.5,27.4,25.3,26.5,26.65,405548.0,108.18
2010-07-12,26.9,29.2,26.9,28.25,28.15,691872.0,195.08
2010-07-13,28.3,29.25,28.1,28.95,28.5,260364.0,75.04
2010-07-14,28.75,29.05,27.45,28.2,28.05,143392.0,40.53
2010-07-15,28.0,28.2,25.8,28.0,27.9,133533.0,37.18
2010-07-16,27.95,29.4,27.6,29.4,28.8,123227.0,35.05
2010-07-19,29.15,29.15,28.5,28.55,28.7,98539.0,28.41
