Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-02-08,1525.0,1735.0,1525.0,1730.0,1700.45,8538388.0,139206.76
2018-02-09,1696.0,1742.0,1650.0,1653.0,1665.95,839072.0,14262.23
2018-02-12,1664.0,1698.4,1635.0,1677.0,1680.0,408617.0,6856.92
2018-02-14,1689.0,1694.05,1636.05,1640.0,1643.95,147006.0,2436.15
2018-02-15,1654.0,1673.0,1605.0,1648.1,1656.95,160761.0,2644.55
2018-02-16,1648.3,1656.0,1611.0,1612.0,1623.45,82293.0,1342.13
2018-02-19,1620.0,1627.8,1585.0,1596.05,1596.4,95057.0,1526.59
2018-02-20,1586.25,1609.4,1560.0,1563.0,1570.2,91458.0,1448.42
2018-02-21,1578.85,1617.95,1561.3,1600.0,1601.0,83674.0,1334.83
2018-02-22,1597.5,1609.0,1578.6,1596.0,1596.65,36259.0,578.05
2018-02-23,1595.0,1671.1,1595.0,1613.9,1614.5,88600.0,1445.73
2018-02-26,1627.7,1637.0,1601.75,1601.75,1604.7,21252.0,343.99
2018-02-27,1609.0,1684.0,1595.15,1632.5,1631.95,147404.0,2431.51
2018-02-28,1621.6,1646.45,1610.9,1639.0,1639.5,20300.0,331.28
2018-03-01,1639.0,1647.85,1605.2,1606.0,1613.25,11194.0,182.04
2018-03-05,1615.0,1628.85,1582.0,1592.0,1589.5,14388.0,230.16
2018-03-06,1590.0,1619.0,1556.0,1583.0,1571.1,17195.0,272.88
2018-03-07,1577.7,1589.95,1541.05,1550.0,1556.05,22707.0,353.91
2018-03-08,1575.0,1575.0,1472.1,1490.0,1494.35,160733.0,2404.52
2018-03-09,1506.0,1508.95,1480.05,1501.0,1496.85,35438.0,529.79
2018-03-12,1508.0,1524.0,1475.25,1500.0,1499.8,45658.0,688.48
2018-03-13,1524.0,1532.25,1487.05,1490.0,1498.15,31151.0,467.64
2018-03-14,1495.0,1514.95,1481.1,1508.0,1503.5,25678.0,385.08
2018-03-15,1503.5,1519.45,1488.0,1511.0,1512.4,120342.0,1807.71
2018-03-16,1510.0,1524.0,1508.0,1513.0,1510.5,14389.0,217.5
