Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,8.85,9.25,8.85,8.95,8.95,15276.0,1.38
2010-01-05,9.0,9.05,8.85,8.95,8.95,18539.0,1.67
2010-01-06,8.75,9.0,8.75,8.95,8.95,10813.0,0.96
2010-01-07,8.75,9.3,8.55,9.0,9.0,27027.0,2.43
2010-01-08,8.75,9.5,8.75,9.45,9.4,81302.0,7.52
2010-01-11,9.0,10.0,9.0,9.6,9.7,29582.0,2.89
2010-01-12,10.15,10.2,9.5,9.7,9.55,40643.0,4.04
2010-01-13,9.5,10.15,9.0,9.7,9.7,31886.0,3.07
2010-01-14,10.0,10.0,9.65,9.8,9.8,5828.0,0.57
2010-01-15,9.35,9.9,9.35,9.6,9.65,17251.0,1.68
2010-01-18,9.85,10.0,9.65,9.9,9.9,15715.0,1.55
2010-01-19,9.7,10.3,9.65,10.0,10.0,23399.0,2.34
2010-01-20,10.0,10.0,9.55,9.7,9.7,19828.0,1.92
2010-01-21,9.85,10.2,9.1,9.85,9.5,34760.0,3.45
2010-01-22,9.05,9.45,8.6,9.3,9.1,14535.0,1.32
2010-01-25,8.55,9.4,8.55,9.05,9.1,14147.0,1.3
2010-01-27,8.65,9.05,8.6,8.6,8.7,15226.0,1.35
2010-01-28,8.7,9.3,8.5,8.75,8.75,8015.0,0.7
2010-01-29,8.8,8.95,8.4,8.95,8.65,11852.0,1.0
2010-02-01,8.2,9.3,8.15,8.9,8.95,10312.0,0.93
2010-02-02,9.4,9.4,8.55,8.55,8.55,19206.0,1.72
2010-02-03,8.6,8.7,8.4,8.6,8.6,8970.0,0.77
2010-02-04,8.85,9.0,8.4,8.4,8.4,11086.0,0.94
2010-02-05,7.6,9.2,7.6,8.05,8.1,10770.0,0.87
2010-02-06,8.05,8.4,8.05,8.4,8.2,3121.0,0.26
2010-02-08,8.0,8.8,8.0,8.55,8.55,4138.0,0.35
2010-02-09,8.55,8.6,8.0,8.6,8.55,5331.0,0.44
2010-02-10,8.15,8.6,8.15,8.3,8.3,13683.0,1.13
2010-02-11,8.4,8.5,8.3,8.3,8.3,4401.0,0.37
2010-02-15,8.75,8.75,8.0,8.0,8.0,5484.0,0.45
2010-02-16,8.25,8.45,8.0,8.05,8.0,2136.0,0.17
2010-02-17,7.8,8.75,7.6,8.15,8.15,4931.0,0.4
2010-02-18,8.2,8.45,7.9,7.9,7.95,2165.0,0.17
2010-02-19,8.1,8.1,8.0,8.0,8.0,2873.0,0.23
2010-02-22,8.0,8.15,7.7,8.0,8.0,12868.0,1.03
2010-02-23,7.55,8.35,7.5,7.6,7.85,886.0,0.07
2010-02-24,7.5,8.4,7.5,8.4,8.05,1503.0,0.12
2010-02-25,8.35,8.55,7.8,8.35,8.15,6545.0,0.54
2010-02-26,7.9,8.9,7.9,8.7,8.65,5970.0,0.52
2010-03-02,8.85,9.25,8.3,8.4,8.5,8531.0,0.74
2010-03-03,8.4,8.75,8.4,8.4,8.4,3014.0,0.26
2010-03-04,8.25,8.5,7.6,8.05,8.05,16115.0,1.29
2010-03-05,8.4,8.5,8.1,8.5,8.25,12501.0,1.05
2010-03-08,8.0,8.95,8.0,8.25,8.25,6190.0,0.53
2010-03-09,8.25,8.25,8.15,8.15,8.15,1861.0,0.15
2010-03-10,7.7,8.2,7.7,8.05,8.05,8122.0,0.64
2010-03-11,7.95,8.15,7.95,7.95,7.95,849.0,0.07
2010-03-12,8.0,8.35,7.8,8.35,8.35,2230.0,0.18
2010-03-15,8.5,8.55,7.9,7.9,8.0,4846.0,0.4
2010-03-16,7.7,8.75,7.7,7.85,7.95,5452.0,0.44
2010-03-17,8.25,8.25,7.9,7.9,7.9,4166.0,0.34
2010-03-18,8.1,8.1,7.75,7.8,7.85,3914.0,0.31
2010-03-19,7.7,8.0,7.45,7.75,7.75,6717.0,0.52
2010-03-22,7.55,8.35,7.55,8.0,8.1,3597.0,0.28
2010-03-23,8.25,8.25,7.75,8.0,7.9,1772.0,0.14
2010-03-25,7.75,8.05,7.5,7.95,7.5,3091.0,0.24
2010-03-26,7.25,8.05,7.25,7.6,7.4,4973.0,0.37
2010-03-29,7.5,7.85,7.2,7.3,7.3,7549.0,0.56
2010-03-30,7.25,8.35,7.25,7.5,7.5,28456.0,2.16
2010-03-31,7.5,7.95,7.5,7.75,7.75,12755.0,0.98
2010-04-01,7.75,8.2,7.55,8.05,8.05,6952.0,0.55
2010-04-05,8.0,8.9,8.0,8.85,8.85,26581.0,2.32
2010-04-06,8.2,9.4,8.2,8.85,8.9,34348.0,3.09
2010-04-07,8.7,9.35,8.7,8.7,8.7,8083.0,0.73
2010-04-08,8.5,9.0,8.5,9.0,8.75,4735.0,0.41
2010-04-09,9.05,9.05,8.05,8.6,8.6,7425.0,0.63
2010-04-12,8.25,8.6,8.25,8.3,8.3,4038.0,0.34
2010-04-13,8.0,8.8,8.0,8.5,8.5,4395.0,0.37
2010-04-15,8.4,8.9,8.3,8.45,8.55,19931.0,1.72
2010-04-16,8.35,10.3,8.15,10.3,10.3,178548.0,18.11
2010-04-19,11.65,12.25,10.0,10.3,10.5,539688.0,60.15
2010-04-20,10.5,10.55,9.7,10.15,10.0,78455.0,7.87
2010-04-21,10.15,10.3,9.65,9.9,9.75,18074.0,1.81
2010-04-22,10.5,10.5,9.8,9.9,9.9,49950.0,4.99
2010-04-23,9.6,10.25,9.55,9.6,9.75,14923.0,1.46
2010-04-26,9.5,9.75,9.2,9.65,9.4,13542.0,1.28
2010-04-27,9.0,9.75,9.0,9.3,9.25,8928.0,0.82
2010-04-28,9.0,9.85,8.75,9.25,9.25,18141.0,1.73
2010-04-29,9.9,9.9,9.0,9.05,9.15,11149.0,1.03
2010-04-30,9.0,9.35,9.0,9.05,9.1,8259.0,0.76
2010-05-03,9.0,9.05,8.7,9.05,9.0,4837.0,0.43
2010-05-04,9.1,9.6,8.95,9.1,9.1,5272.0,0.49
2010-05-05,8.2,9.15,8.0,9.15,9.1,15177.0,1.32
2010-05-06,9.15,9.2,8.7,8.8,9.0,3389.0,0.3
2010-05-07,9.35,9.4,8.5,8.65,8.8,13297.0,1.18
2010-05-10,9.2,9.2,8.35,9.0,8.95,13370.0,1.17
2010-05-11,8.9,9.25,8.75,8.8,8.8,425.0,0.04
2010-05-12,8.8,8.95,8.55,8.95,8.95,5412.0,0.48
2010-05-13,8.8,9.0,8.6,8.65,8.85,9578.0,0.84
2010-05-14,8.55,9.0,8.5,8.5,8.5,3316.0,0.29
2010-05-17,8.0,8.9,6.8,8.6,8.4,19581.0,1.61
2010-05-18,8.85,9.2,8.35,8.75,8.65,13418.0,1.18
