Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,76.55,79.0,76.55,77.6,77.7,47687.0,37.22
2010-01-05,78.15,79.85,76.5,77.0,76.9,66606.0,51.79
2010-01-06,78.45,81.25,76.85,78.5,78.45,104484.0,82.83
2010-01-07,79.5,84.7,78.25,81.0,81.3,398245.0,328.72
2010-01-08,83.55,86.7,83.0,83.5,83.35,521193.0,442.99
2010-01-11,83.5,85.0,82.35,82.8,82.9,66442.0,55.73
2010-01-12,83.0,84.1,80.7,80.7,80.85,44138.0,36.55
2010-01-13,80.7,81.0,78.8,80.0,80.05,30524.0,24.35
2010-01-14,80.1,82.3,79.85,80.5,80.35,36084.0,29.19
2010-01-15,81.0,83.0,80.1,80.5,80.7,51142.0,41.74
2010-01-18,82.45,84.75,80.5,82.3,81.95,155164.0,129.12
2010-01-19,82.5,85.75,82.15,82.4,82.5,165670.0,138.59
2010-01-20,83.0,84.75,81.7,81.8,81.95,54987.0,45.53
2010-01-21,82.0,83.0,78.0,78.2,78.6,89313.0,71.98
2010-01-22,77.0,78.7,75.0,76.7,76.9,49568.0,38.29
2010-01-25,77.05,78.6,76.05,77.4,76.7,24362.0,18.92
2010-01-27,77.5,77.5,71.6,72.15,72.4,33881.0,25.21
2010-01-28,72.3,73.85,71.0,72.3,71.9,33517.0,24.33
2010-01-29,74.0,76.0,72.0,73.65,73.9,53293.0,39.22
2010-02-01,75.0,76.4,74.0,74.2,75.45,36724.0,27.63
2010-02-02,76.0,78.3,75.05,76.0,75.45,57719.0,44.2
2010-02-03,76.0,76.85,75.45,75.55,75.65,45696.0,34.73
2010-02-04,75.75,76.15,72.8,73.0,73.25,29646.0,21.97
2010-02-05,71.5,71.5,62.6,70.7,70.4,25438.0,17.89
2010-02-06,70.7,72.8,70.7,71.75,71.8,2493.0,1.79
2010-02-08,72.5,73.95,71.25,72.85,72.05,15852.0,11.45
2010-02-09,72.0,72.6,71.0,71.7,71.7,24499.0,17.57
2010-02-10,71.9,73.0,70.65,70.7,71.0,19898.0,14.21
2010-02-11,71.0,71.85,70.1,70.85,70.7,23582.0,16.8
2010-02-15,71.25,71.4,70.15,70.15,70.55,25233.0,17.89
2010-02-16,70.25,70.5,69.65,70.0,70.3,4706.0,3.3
2010-02-17,70.8,73.0,70.0,70.6,70.15,24208.0,17.09
2010-02-18,71.0,72.0,69.65,70.45,70.05,17154.0,12.11
2010-02-19,69.15,70.85,68.85,69.4,69.15,18688.0,12.98
2010-02-22,70.5,70.5,68.5,68.5,69.05,6726.0,4.69
2010-02-23,69.0,69.0,67.65,68.1,68.1,29032.0,19.76
2010-02-24,69.85,69.85,67.55,67.7,67.75,5269.0,3.59
2010-02-25,72.65,72.65,66.5,68.0,67.9,8626.0,5.85
2010-02-26,67.15,69.95,67.1,67.7,68.05,8812.0,6.0
2010-03-02,69.5,69.5,68.0,68.5,68.45,5698.0,3.91
2010-03-03,68.1,70.5,68.1,69.9,69.65,11931.0,8.31
2010-03-04,68.2,72.0,68.2,70.0,70.7,24615.0,17.42
2010-03-05,71.9,73.85,70.5,70.5,70.8,24143.0,17.32
2010-03-08,71.3,72.0,69.9,70.15,70.1,31160.0,21.99
2010-03-09,71.9,71.9,69.65,69.8,69.85,13572.0,9.49
2010-03-10,71.5,71.5,69.0,69.35,69.6,12226.0,8.53
2010-03-11,71.45,71.45,69.15,69.25,69.3,13520.0,9.43
2010-03-12,70.2,70.75,68.1,68.65,69.1,15164.0,10.54
2010-03-15,69.0,70.0,68.55,69.1,69.15,17595.0,12.2
2010-03-16,70.0,70.0,68.55,69.55,69.35,16791.0,11.6
2010-03-17,70.0,70.2,68.1,69.4,68.9,17115.0,11.91
2010-03-18,70.35,73.25,68.85,69.6,70.0,54348.0,38.74
2010-03-19,71.65,71.65,69.25,69.3,69.8,26501.0,18.71
2010-03-22,69.8,70.05,68.3,68.75,68.85,34418.0,23.81
2010-03-23,69.25,69.7,68.25,68.4,68.75,9180.0,6.32
2010-03-25,69.8,69.8,67.55,68.05,68.4,4714.0,3.23
2010-03-26,69.1,69.1,67.65,67.8,67.95,11497.0,7.84
2010-03-29,68.9,68.9,67.05,67.6,67.3,18261.0,12.4
2010-03-30,68.45,69.0,67.5,68.75,68.45,6171.0,4.22
2010-03-31,68.15,69.2,67.7,68.0,68.1,9350.0,6.42
2010-04-01,67.05,70.0,67.05,69.6,69.1,16991.0,11.71
2010-04-05,70.0,74.0,70.0,72.7,73.05,99678.0,72.61
2010-04-06,73.7,75.25,72.4,73.25,73.75,66112.0,49.04
2010-04-07,75.55,75.55,73.05,73.55,73.35,22048.0,16.37
2010-04-08,67.2,75.65,67.2,73.8,74.15,38880.0,29.02
2010-04-09,74.0,74.7,73.6,74.15,73.9,8996.0,6.68
2010-04-12,73.3,74.2,73.25,74.2,74.1,11285.0,8.32
2010-04-13,74.4,74.4,72.0,72.05,72.55,6486.0,4.74
2010-04-15,76.9,77.0,71.8,72.0,72.45,10180.0,7.46
2010-04-16,72.0,72.0,71.0,71.1,71.2,13730.0,9.81
2010-04-19,70.0,71.15,69.3,69.6,69.75,7979.0,5.58
2010-04-20,70.0,71.5,70.0,71.45,71.25,7170.0,5.08
2010-04-21,71.45,72.8,70.0,71.5,71.55,23500.0,16.94
2010-04-22,70.35,82.35,70.35,76.75,76.6,596608.0,473.84
2010-04-23,78.2,80.95,78.05,78.3,78.7,269415.0,213.66
2010-04-26,79.2,80.8,76.1,78.55,78.3,85030.0,67.28
2010-04-27,78.7,79.8,77.6,78.05,78.2,40540.0,31.94
2010-04-28,73.5,84.6,73.5,78.5,78.95,1001234.0,821.18
2010-04-29,79.1,81.15,77.8,79.1,78.65,109214.0,86.98
2010-04-30,79.0,82.4,79.0,80.9,81.45,134029.0,108.69
2010-05-03,79.75,82.45,77.5,77.5,78.0,74759.0,59.41
2010-05-04,78.9,78.9,73.5,75.3,74.6,101558.0,77.04
2010-05-05,74.5,77.95,73.55,76.6,76.6,111203.0,85.18
2010-05-06,77.6,78.9,75.5,77.5,77.85,68341.0,52.97
