Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-08-22,152.9,152.9,131.25,151.0,148.55,8305.0,12.02
2011-08-23,152.0,155.0,145.1,154.9,153.9,3239.0,4.91
2011-08-24,156.0,169.95,156.0,160.25,163.4,31811.0,52.52
2011-08-25,168.0,170.95,163.05,168.0,165.45,22526.0,37.7
2011-08-26,165.2,166.0,150.6,152.9,152.8,13711.0,22.0
2011-08-29,153.0,161.1,153.0,159.0,158.3,30312.0,47.75
2011-08-30,158.0,163.9,151.05,153.95,153.55,24662.0,38.85
2011-09-02,153.0,155.0,149.55,152.75,151.5,24262.0,36.89
2011-09-05,153.25,156.85,150.5,154.0,153.5,21883.0,33.4
2011-09-06,155.0,164.9,155.0,156.5,156.85,23198.0,36.25
2011-09-07,158.25,159.0,154.0,155.0,154.95,28730.0,44.98
2011-09-08,153.0,158.95,153.0,153.7,154.35,25534.0,39.89
2011-09-09,157.0,158.65,153.3,154.35,154.6,16270.0,25.45
2011-09-12,154.6,156.8,146.05,148.0,150.15,17355.0,26.34
2011-09-13,150.0,158.55,149.1,155.0,154.3,20275.0,31.35
2011-09-14,155.5,157.65,152.5,156.7,154.95,18097.0,28.09
2011-09-15,154.45,155.9,152.0,153.0,152.55,15396.0,23.69
2011-09-16,150.0,152.0,148.95,150.0,150.05,17095.0,25.82
2011-09-19,150.05,154.75,148.0,149.0,148.85,14721.0,22.12
2011-09-20,151.0,153.95,148.1,150.0,149.9,14625.0,21.94
2011-09-21,150.0,150.0,146.4,147.0,147.9,6491.0,9.69
2011-09-22,155.0,155.0,142.0,145.5,144.8,14477.0,21.63
2011-09-23,142.0,144.0,137.5,141.0,140.2,11073.0,15.62
2011-09-26,144.8,145.95,139.4,139.4,139.9,20369.0,28.75
2011-09-27,139.5,144.95,139.5,142.9,141.9,12481.0,17.76
2011-09-28,143.5,145.45,140.0,140.0,141.15,12626.0,17.96
2011-09-29,140.05,142.8,139.1,139.3,139.5,13944.0,19.61
2011-09-30,141.8,144.9,138.35,140.9,139.4,12677.0,17.89
2011-10-03,167.3,167.3,138.5,138.55,139.25,10686.0,15.13
2011-10-04,154.0,154.0,138.0,139.0,139.1,12822.0,18.14
2011-10-05,142.0,142.8,137.35,138.0,138.3,8599.0,12.05
2011-10-07,135.0,144.8,130.0,140.0,139.3,13406.0,19.0
2011-10-10,141.5,141.95,138.0,140.0,139.3,7827.0,11.01
2011-10-11,141.4,143.5,139.5,139.7,139.8,7134.0,10.06
2011-10-12,142.0,143.75,138.0,138.5,138.35,8109.0,11.35
2011-10-13,140.0,141.4,138.05,138.05,138.95,5869.0,8.24
2011-10-14,140.0,141.0,138.9,140.0,140.25,10587.0,14.84
2011-10-17,142.5,142.5,137.15,140.5,140.35,14519.0,20.36
2011-10-18,141.5,153.9,140.0,144.5,143.25,16309.0,23.27
2011-10-19,145.1,148.8,142.0,147.45,146.0,10662.0,15.46
2011-10-20,147.0,148.8,143.0,148.0,147.75,15374.0,22.43
2011-10-21,147.0,148.9,145.0,145.0,145.0,15487.0,22.68
2011-10-24,146.8,149.9,145.0,146.75,147.05,15084.0,22.1
2011-10-25,148.9,149.7,146.1,149.0,148.9,16492.0,24.38
2011-10-26,151.25,152.8,147.6,150.1,150.25,13508.0,20.3
