Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,54.4,54.4,52.8,52.8,52.95,302177.0,160.82
2010-01-05,52.0,53.75,52.0,53.0,52.9,321579.0,170.79
2010-01-06,53.0,53.45,52.2,52.5,52.35,226202.0,119.21
2010-01-07,52.85,53.25,52.25,52.55,52.6,226855.0,119.61
2010-01-08,52.7,53.15,51.7,51.85,52.05,194503.0,102.07
2010-01-11,53.0,53.5,52.55,52.9,53.0,337557.0,179.19
2010-01-12,53.4,55.15,52.55,52.95,53.0,630090.0,340.14
2010-01-13,52.75,53.25,52.45,52.7,52.75,213240.0,112.63
2010-01-14,53.2,54.85,52.9,53.6,53.85,693536.0,375.03
2010-01-15,54.1,54.6,52.3,52.85,52.65,350569.0,187.74
2010-01-18,52.85,53.45,52.4,52.85,52.7,206975.0,109.58
2010-01-19,53.0,54.6,52.7,53.75,53.7,1613290.0,871.48
2010-01-20,54.2,54.5,52.4,52.6,52.75,430150.0,231.22
2010-01-21,52.5,52.9,50.5,50.8,50.7,286392.0,147.6
2010-01-22,49.55,50.0,48.5,49.35,49.3,344547.0,169.67
2010-01-25,48.5,49.2,47.4,48.45,48.45,165169.0,80.34
2010-01-27,48.45,49.2,45.9,45.9,46.3,149908.0,71.24
2010-01-28,47.1,47.8,44.75,45.0,45.05,201258.0,92.47
2010-01-29,44.0,45.2,43.25,45.0,44.8,180039.0,79.77
2010-02-01,45.5,47.45,44.2,46.7,46.75,159038.0,74.09
2010-02-02,48.0,48.7,46.25,46.85,46.6,1209402.0,570.78
2010-02-03,47.2,47.95,46.9,47.3,47.35,116579.0,55.35
2010-02-04,47.0,47.4,45.1,45.5,45.7,110649.0,51.14
2010-02-05,44.2,44.5,43.25,44.0,44.15,144094.0,63.31
2010-02-06,44.3,45.35,44.3,44.9,44.75,31658.0,14.16
2010-02-08,45.4,45.4,43.75,44.35,44.5,90705.0,40.3
2010-02-09,45.0,46.75,44.4,46.0,45.9,105928.0,48.35
2010-02-10,46.1,46.85,44.0,44.55,44.8,216475.0,98.24
2010-02-11,45.2,46.35,44.9,45.4,45.35,112758.0,51.25
2010-02-15,45.75,45.85,44.3,44.7,44.5,100544.0,45.24
2010-02-16,45.0,45.3,44.05,44.9,44.7,65741.0,29.34
2010-02-17,45.3,45.45,44.75,45.25,45.0,178201.0,80.45
2010-02-18,45.15,45.15,43.95,44.15,44.15,116871.0,51.75
2010-02-19,44.0,44.8,43.25,44.0,44.35,129272.0,56.88
2010-02-22,44.75,45.9,44.2,44.2,44.3,151723.0,68.43
2010-02-23,44.1,44.75,43.4,44.45,44.35,75161.0,33.17
2010-02-24,44.0,44.75,43.65,44.1,44.25,85613.0,38.01
2010-02-25,44.05,44.45,43.45,43.85,43.7,42386.0,18.57
2010-02-26,43.65,44.7,43.65,44.1,44.05,65176.0,28.79
2010-03-02,44.1,44.85,44.05,44.8,44.65,129020.0,57.34
2010-03-03,44.9,45.45,44.55,45.45,45.35,143287.0,64.61
