Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1290.0,1320.0,1278.0,1285.1,1285.9,2351.0,30.57
2010-01-05,1295.1,1339.0,1287.0,1309.0,1308.85,5327.0,69.56
2010-01-06,1308.0,1310.0,1285.15,1285.2,1290.2,2523.0,32.72
2010-01-07,1302.0,1357.0,1292.0,1325.1,1326.4,8085.0,107.62
2010-01-08,1300.05,1335.95,1300.0,1319.0,1300.2,53099.0,690.86
2010-01-11,1326.0,1334.0,1300.0,1319.95,1313.15,2429.0,31.78
2010-01-12,1300.0,1349.9,1300.0,1340.0,1332.45,2472.0,32.88
2010-01-13,1301.0,1394.7,1301.0,1339.75,1341.75,15663.0,214.11
2010-01-14,1364.0,1364.0,1346.0,1355.0,1356.7,1693.0,22.96
2010-01-15,1357.0,1397.5,1356.7,1372.05,1376.2,7341.0,101.41
2010-01-18,1370.05,1388.5,1360.05,1380.0,1382.25,2061.0,28.38
2010-01-19,1389.9,1450.0,1385.0,1405.0,1408.6,21090.0,302.01
2010-01-20,1141.2,1450.0,1141.2,1404.8,1399.45,9434.0,133.36
2010-01-21,1292.0,1413.0,1256.3,1365.0,1359.0,4169.0,57.08
2010-01-22,1364.9,1365.0,1330.0,1345.0,1339.55,2876.0,38.6
2010-01-25,1349.95,1350.0,1320.2,1330.0,1329.7,2506.0,33.28
2010-01-27,1330.0,1330.0,1281.25,1301.0,1300.25,4356.0,56.49
2010-01-28,1299.0,1319.5,1295.05,1306.0,1309.7,623.0,8.15
2010-01-29,1251.0,1326.95,1251.0,1320.0,1310.85,1334.0,17.32
2010-02-01,1321.0,1348.0,1305.5,1335.0,1342.95,1820.0,24.36
2010-02-02,1351.0,1357.95,1313.3,1339.5,1331.05,1254.0,16.88
2010-02-03,1328.0,1351.0,1326.1,1348.9,1340.75,1883.0,25.35
2010-02-04,1350.0,1350.0,1326.05,1345.0,1341.8,864.0,11.6
2010-02-05,1282.35,1335.5,1280.0,1323.95,1301.5,9943.0,130.51
2010-02-06,1311.05,1329.0,1290.0,1303.0,1303.45,279.0,3.66
2010-02-08,1320.0,1356.0,1315.0,1345.0,1342.2,1863.0,24.82
2010-02-09,1344.9,1385.0,1328.3,1365.0,1365.35,2870.0,39.25
2010-02-10,1399.0,1424.0,1361.55,1409.95,1396.85,4677.0,65.67
2010-02-11,1404.0,1444.0,1392.0,1437.95,1430.4,6262.0,89.38
2010-02-15,1425.05,1441.0,1414.1,1414.1,1423.0,1666.0,23.87
2010-02-16,1415.5,1422.9,1402.0,1404.0,1406.75,864.0,12.17
2010-02-17,1436.5,1449.0,1412.0,1412.3,1415.75,1668.0,23.83
2010-02-18,1413.0,1428.0,1411.0,1411.0,1417.75,1125.0,15.98
