Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,20.85,20.85,20.85,20.85,20.85,16918.0,3.53
2010-01-05,21.9,21.9,19.85,21.9,21.9,115335.0,24.7
2010-01-06,23.0,23.0,21.5,22.2,22.35,48495.0,10.99
2010-01-07,22.5,23.5,22.5,23.5,23.5,23919.0,5.61
2010-01-08,24.7,24.7,24.7,24.7,24.7,19142.0,4.73
2010-01-11,25.95,25.95,24.55,25.95,25.8,86687.0,22.33
2010-01-12,25.35,25.35,24.6,24.6,24.6,54858.0,13.56
2010-01-13,23.4,23.85,23.4,23.5,23.5,15447.0,3.62
2010-01-14,22.5,24.7,22.5,24.6,24.3,8690.0,2.12
2010-01-15,24.0,24.45,23.15,23.9,23.5,8008.0,1.9
2010-01-18,23.55,23.75,22.75,23.55,23.35,4834.0,1.12
2010-01-19,24.0,24.0,22.5,22.5,22.8,11097.0,2.58
2010-01-20,22.2,22.9,21.7,22.55,21.95,5907.0,1.31
2010-01-21,22.0,22.0,20.85,20.85,20.85,7210.0,1.54
2010-01-22,19.85,21.5,19.85,21.5,21.5,6962.0,1.41
2010-01-25,20.45,21.75,20.45,21.75,21.75,2977.0,0.63
2010-01-27,20.8,21.95,20.7,20.7,20.7,3150.0,0.66
2010-01-28,19.75,20.5,19.7,19.7,19.7,4485.0,0.89
2010-01-29,18.75,19.6,18.75,19.35,19.35,6021.0,1.15
2010-02-01,18.55,20.35,18.4,20.35,20.35,8070.0,1.59
2010-02-02,20.5,20.75,19.8,19.8,19.8,6643.0,1.33
2010-02-03,19.1,20.0,19.1,19.25,19.3,2224.0,0.44
2010-02-04,19.0,19.95,18.35,19.7,19.7,3505.0,0.69
2010-02-05,18.75,19.4,18.75,18.75,18.75,4375.0,0.82
2010-02-06,18.0,19.35,18.0,19.35,19.15,1259.0,0.24
2010-02-08,18.3,18.95,18.2,18.2,18.2,1095.0,0.2
2010-02-09,18.1,18.95,18.05,18.95,18.95,1185.0,0.22
2010-02-10,18.05,18.85,18.0,18.85,18.85,460.0,0.08
2010-02-11,18.6,18.95,18.0,18.15,18.15,745.0,0.14
2010-02-15,18.95,19.1,18.95,19.1,19.1,3250.0,0.62
2010-02-16,20.1,20.1,20.1,20.1,20.1,400.0,0.08
2010-02-17,21.15,21.15,21.15,21.15,21.15,572.0,0.12
2010-02-18,20.7,21.0,20.6,21.0,21.0,1830.0,0.38
2010-02-19,20.05,20.9,19.95,19.95,19.95,4003.0,0.8
2010-02-22,20.45,20.45,19.0,19.0,19.05,2870.0,0.55
2010-02-23,18.2,20.0,18.1,20.0,19.8,11193.0,2.09
2010-02-24,20.7,20.75,20.15,20.15,20.25,6150.0,1.26
2010-02-25,19.6,20.05,19.35,19.35,19.35,1629.0,0.32
2010-02-26,18.5,20.35,18.5,19.45,19.45,6967.0,1.38
2010-03-02,19.3,20.45,19.3,20.4,20.4,5709.0,1.16
2010-03-03,19.4,21.0,19.4,20.6,20.6,2716.0,0.56
2010-03-04,21.4,21.4,20.15,20.5,20.5,3592.0,0.74
2010-03-05,21.1,21.1,19.8,19.95,19.95,2775.0,0.56
2010-03-08,18.5,20.8,18.5,19.6,19.6,4212.0,0.84
2010-03-09,19.6,20.25,19.0,19.2,19.2,652.0,0.13
2010-03-10,19.9,19.9,18.65,18.65,18.65,2600.0,0.5
2010-03-11,19.1,19.1,18.25,18.25,18.3,1506.0,0.28
2010-03-12,17.55,19.6,17.55,19.15,18.85,10177.0,1.93
2010-03-15,18.25,19.35,18.25,18.55,18.55,1182.0,0.22
2010-03-16,19.0,19.0,18.5,18.5,18.5,1490.0,0.28
2010-03-17,18.05,19.4,18.05,19.35,19.15,1225.0,0.23
2010-03-18,19.65,19.65,18.15,18.35,18.35,1875.0,0.35
2010-03-19,18.3,18.55,18.05,18.05,18.35,675.0,0.12
2010-03-22,18.0,18.0,17.65,17.65,17.8,2600.0,0.46
2010-03-23,18.0,18.0,17.2,17.2,17.6,1458.0,0.26
2010-03-25,17.65,18.05,17.65,17.7,17.7,527.0,0.09
2010-03-26,18.0,18.0,17.6,17.85,17.85,1307.0,0.23
2010-03-29,18.55,18.55,16.75,17.0,17.1,4375.0,0.75
2010-03-30,17.75,17.8,16.85,16.85,17.05,5461.0,0.95
2010-03-31,16.8,17.2,16.8,17.15,17.2,1017.0,0.17
2010-04-01,18.45,18.5,17.65,17.65,17.65,550.0,0.1
2010-04-05,17.65,19.05,17.65,18.65,18.65,819.0,0.15
2010-04-06,19.2,19.85,18.55,19.75,19.4,5327.0,1.02
2010-04-07,19.25,21.0,19.25,20.8,20.8,4587.0,0.94
2010-04-08,20.75,21.25,19.7,20.3,20.55,21336.0,4.44
2010-04-09,18.85,20.95,18.7,19.55,19.65,2100.0,0.42
2010-04-12,19.0,19.5,18.5,19.25,19.4,340.0,0.06
2010-04-13,19.0,20.45,19.0,19.5,19.5,291.0,0.06
2010-04-15,19.3,19.45,19.3,19.45,19.45,620.0,0.12
2010-04-16,18.2,18.3,17.5,17.5,17.5,7371.0,1.31
2010-04-19,16.3,18.4,16.05,17.1,17.45,8418.0,1.42
2010-04-20,17.25,18.25,17.25,17.6,17.6,3099.0,0.54
2010-04-21,18.0,18.25,17.75,18.2,18.2,2874.0,0.52
2010-04-22,18.75,19.0,18.5,19.0,19.0,2690.0,0.5
2010-04-23,19.0,19.95,18.8,19.0,18.95,6154.0,1.19
2010-04-26,18.8,19.25,18.25,18.35,18.35,990.0,0.19
2010-04-27,18.5,18.9,18.5,18.9,18.9,1150.0,0.21
2010-04-28,18.05,18.05,18.0,18.0,18.0,901.0,0.16
2010-04-29,18.45,18.5,17.8,17.8,18.0,5848.0,1.06
2010-04-30,18.0,19.0,16.5,18.05,18.05,8000.0,1.43
2010-05-03,18.25,19.2,18.25,18.8,18.8,14397.0,2.71
2010-05-04,18.8,18.8,18.55,18.55,18.55,2030.0,0.38
2010-05-05,18.5,18.8,18.5,18.8,18.8,750.0,0.14
2010-05-06,18.0,18.65,18.0,18.2,18.2,1310.0,0.24
2010-05-07,17.7,18.0,14.65,16.05,16.1,15852.0,2.46
2010-05-10,16.65,19.3,16.65,18.7,18.85,18065.0,3.32
2010-05-11,19.55,19.75,17.0,17.0,17.1,10004.0,1.79
2010-05-12,18.3,18.3,17.0,17.15,17.15,1575.0,0.28
2010-05-13,16.8,17.3,16.8,17.1,17.3,310.0,0.05
2010-05-14,16.5,17.75,16.5,16.65,16.8,1298.0,0.22
2010-05-17,16.55,18.0,16.55,17.0,17.6,3005.0,0.52
2010-05-18,16.7,17.4,16.7,17.2,17.2,226.0,0.04
2010-05-19,15.6,17.3,15.6,16.4,16.4,13.0,0.0
2010-05-20,16.95,16.95,16.0,16.0,16.0,675.0,0.11
2010-05-21,15.0,16.5,14.9,16.45,16.1,7518.0,1.15
2010-05-24,16.9,16.95,16.85,16.9,16.9,1325.0,0.22
2010-05-25,16.25,16.9,15.0,15.0,15.15,3470.0,0.53
2010-05-26,13.15,15.8,13.15,15.0,15.1,3975.0,0.59
2010-05-28,15.1,15.95,15.1,15.95,15.7,669.0,0.1
2010-05-31,15.55,16.0,15.5,16.0,16.0,156.0,0.02
2010-06-01,15.0,16.7,15.0,16.45,16.45,4420.0,0.71
2010-06-02,16.95,16.95,16.95,16.95,16.95,50.0,0.01
2010-06-03,16.95,16.95,16.05,16.05,16.05,60.0,0.01
2010-06-04,16.5,17.5,16.5,17.5,17.5,400.0,0.07
2010-06-07,17.4,17.4,16.4,16.55,17.35,784.0,0.13
2010-06-08,17.4,20.4,17.4,19.8,19.75,126847.0,25.2
2010-06-09,19.8,22.5,19.8,21.3,21.25,167089.0,35.72
2010-06-10,21.3,21.7,20.0,21.0,20.8,32313.0,6.66
2010-06-11,21.0,23.8,20.7,23.0,22.8,160219.0,36.68
2010-06-14,23.0,23.45,22.35,22.5,22.6,45344.0,10.41
2010-06-15,21.55,23.0,20.3,20.45,20.55,57521.0,12.06
2010-06-16,20.55,21.3,19.3,19.5,19.5,27656.0,5.51
2010-06-17,19.9,20.4,19.55,19.7,19.95,21661.0,4.31
2010-06-18,20.4,22.0,19.05,19.25,19.35,16622.0,3.33
2010-06-21,19.45,20.45,19.45,19.6,19.9,10324.0,2.06
2010-06-22,19.85,19.95,19.25,19.6,19.45,7124.0,1.39
2010-06-23,19.55,19.65,19.0,19.65,19.65,3846.0,0.74
2010-06-24,16.25,20.0,16.25,20.0,19.95,13632.0,2.7
2010-06-25,20.3,20.35,19.4,19.5,19.65,4693.0,0.92
2010-06-28,19.8,20.1,18.65,19.25,19.4,13377.0,2.62
2010-06-29,19.75,19.75,19.0,19.15,19.15,9527.0,1.83
2010-06-30,19.05,19.5,19.05,19.15,19.15,1702.0,0.33
2010-07-01,19.45,20.0,19.4,19.55,19.55,3901.0,0.78
2010-07-02,20.5,22.0,19.7,20.6,20.8,32257.0,6.72
2010-07-05,22.0,22.0,20.1,20.7,21.35,7659.0,1.61
2010-07-06,21.0,22.0,20.55,21.9,21.65,24904.0,5.37
2010-07-07,21.85,24.1,21.5,23.25,23.1,102163.0,23.45
2010-07-08,22.35,27.75,22.35,27.15,27.3,427787.0,115.66
2010-07-09,27.8,28.0,25.0,25.85,26.0,57726.0,15.05
2010-07-12,26.75,27.35,24.85,25.0,25.15,20383.0,5.24
2010-07-13,25.5,25.95,24.0,24.55,24.55,13694.0,3.38
2010-07-14,25.75,26.5,24.35,24.35,24.4,6800.0,1.69
2010-07-15,24.8,25.45,24.4,24.8,25.0,9160.0,2.29
2010-07-16,24.55,26.5,24.55,25.1,25.15,23184.0,5.96
2010-07-19,26.4,26.4,24.6,25.95,25.6,20823.0,5.38
2010-07-20,23.2,30.5,23.2,29.5,29.55,273040.0,80.56
2010-07-21,29.95,32.4,29.95,32.0,31.75,262409.0,82.03
2010-07-22,31.9,31.9,30.2,30.85,30.8,68998.0,21.34
2010-07-23,31.85,31.85,29.05,29.05,29.25,13000.0,3.85
2010-07-26,27.35,29.3,27.35,27.65,28.15,12151.0,3.47
2010-07-27,27.5,27.85,26.9,27.45,27.35,14224.0,3.9
2010-07-28,28.0,28.25,26.9,26.9,26.95,8631.0,2.38
2010-07-29,27.0,27.65,26.6,27.0,27.1,4098.0,1.11
2010-07-30,26.55,27.4,26.55,26.8,26.85,4772.0,1.28
2010-08-02,25.5,27.45,25.5,26.7,26.9,9965.0,2.67
2010-08-03,27.05,27.95,27.05,27.05,27.15,5953.0,1.64
2010-08-04,27.0,28.15,26.8,27.4,27.1,21688.0,5.94
2010-08-05,27.1,27.5,27.1,27.25,27.3,15615.0,4.29
2010-08-06,28.0,29.75,26.6,26.95,26.8,46033.0,12.85
2010-08-09,27.25,27.5,26.95,27.25,27.35,2416.0,0.66
2010-08-10,27.25,27.6,27.0,27.3,27.15,7257.0,1.97
2010-08-11,27.75,27.75,26.5,26.5,26.75,10290.0,2.81
2010-08-12,26.35,27.3,26.35,26.6,26.6,2927.0,0.78
2010-08-13,26.5,26.9,26.1,26.1,26.35,1190.0,0.31
2010-08-16,26.0,26.95,25.45,26.25,26.25,6216.0,1.65
2010-08-17,25.55,27.0,25.55,25.9,26.2,2500.0,0.66
2010-08-18,26.45,26.45,25.8,26.45,26.4,3028.0,0.79
2010-08-19,26.5,29.05,26.0,27.9,27.85,47796.0,13.72
2010-08-20,28.7,29.0,27.0,27.4,27.4,10962.0,3.09
2010-08-23,28.25,28.25,27.05,27.05,27.45,3305.0,0.91
2010-08-24,28.95,29.0,26.85,26.9,26.9,3522.0,0.97
2010-08-25,28.0,28.0,26.1,26.6,26.5,7717.0,2.05
2010-08-26,26.0,26.65,25.35,25.95,25.95,2645.0,0.69
2010-08-27,25.05,25.35,24.0,24.0,24.05,18563.0,4.56
2010-08-30,24.45,24.85,23.8,24.0,23.9,3896.0,0.95
2010-08-31,23.5,24.75,23.1,23.1,23.3,3954.0,0.93
2010-09-01,23.0,25.45,23.0,23.45,23.6,9133.0,2.16
2010-09-02,24.45,25.5,23.25,24.5,25.0,7858.0,1.94
2010-09-03,25.4,25.8,24.2,24.55,24.55,2922.0,0.73
2010-09-06,25.35,25.75,25.05,25.05,25.05,10552.0,2.68
2010-09-07,24.5,25.85,24.5,25.85,25.55,5537.0,1.41
2010-09-08,25.25,25.95,25.25,25.85,25.85,1944.0,0.5
2010-09-09,25.15,25.25,24.0,24.9,24.95,7720.0,1.9
2010-09-13,24.55,25.5,24.0,24.9,25.15,4957.0,1.23
2010-09-14,24.05,24.85,24.05,24.2,24.35,3452.0,0.84
2010-09-15,24.3,24.3,23.85,24.3,24.25,2857.0,0.69
2010-09-16,23.5,24.3,23.5,23.95,23.75,2138.0,0.51
2010-09-17,23.75,24.5,23.4,23.5,23.5,3018.0,0.72
2010-09-20,23.1,24.0,23.0,24.0,24.0,1097.0,0.25
2010-09-21,24.0,24.4,23.5,24.0,24.3,5446.0,1.3
2010-09-22,24.0,24.3,23.6,23.65,23.65,1152.0,0.28
2010-09-23,23.7,24.0,23.5,24.0,24.0,3399.0,0.8
2010-09-24,23.25,25.7,23.25,24.7,24.65,12587.0,3.12
2010-09-27,25.7,26.75,25.0,25.75,25.75,11294.0,2.92
2010-09-28,26.9,28.0,26.05,26.1,26.2,26099.0,7.0
2010-09-29,26.7,26.75,25.25,25.5,25.5,11373.0,3.0
2010-09-30,26.5,26.5,25.05,26.3,26.25,3441.0,0.9
2010-10-01,27.5,27.5,24.2,24.25,24.45,11216.0,2.84
2010-10-04,24.5,25.0,24.0,24.4,24.2,4873.0,1.19
2010-10-05,25.75,25.75,24.1,24.3,24.15,3177.0,0.77
2010-10-06,24.0,24.4,23.4,24.15,23.7,14536.0,3.45
2010-10-07,23.15,24.0,23.1,23.3,23.6,7729.0,1.82
