Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,98.0,101.25,97.8,98.8,98.95,217728.0,216.63
2010-01-05,99.8,100.3,97.0,97.0,97.2,277241.0,273.35
2010-01-06,98.0,99.5,96.7,97.55,97.6,156574.0,153.59
2010-01-07,98.0,103.0,97.0,101.4,101.6,715296.0,721.79
2010-01-08,102.5,104.2,100.25,100.7,100.85,627997.0,644.43
2010-01-11,101.95,101.95,99.05,99.05,99.9,192593.0,194.03
2010-01-12,100.1,102.0,98.0,98.3,98.35,286479.0,286.68
2010-01-13,98.0,100.95,96.5,97.75,98.05,307694.0,304.13
2010-01-14,99.45,100.9,98.55,99.0,99.3,217188.0,216.69
2010-01-15,99.5,100.2,98.3,99.0,98.7,119367.0,118.35
2010-01-18,98.0,101.45,97.75,99.65,99.75,213182.0,213.16
2010-01-19,100.7,100.85,97.0,97.25,97.65,95898.0,95.12
2010-01-20,98.5,100.95,97.0,97.1,97.25,169855.0,168.45
2010-01-21,97.05,98.5,94.25,95.5,96.1,192369.0,186.15
2010-01-22,93.2,96.75,80.25,94.0,94.0,221909.0,208.99
2010-01-25,94.9,94.9,92.75,94.2,93.8,78862.0,73.98
2010-01-27,92.75,94.0,86.1,86.1,87.45,197436.0,181.28
2010-01-28,88.2,91.0,87.5,88.0,88.45,99039.0,88.35
2010-01-29,87.0,88.0,84.1,86.9,86.7,97746.0,84.42
2010-02-01,87.9,93.9,86.1,93.5,92.65,245322.0,222.66
2010-02-02,93.8,96.0,92.3,93.5,93.45,235484.0,220.62
2010-02-03,94.0,103.1,94.0,101.0,100.5,790760.0,784.76
2010-02-04,99.5,102.9,98.05,99.25,98.75,389352.0,391.8
2010-02-05,93.1,96.0,92.5,94.85,94.85,170948.0,161.55
2010-02-06,98.0,98.0,95.1,96.0,96.1,19550.0,18.9
2010-02-08,97.0,101.25,94.0,100.05,99.75,277142.0,272.32
2010-02-09,99.25,104.2,98.35,100.95,100.95,425926.0,434.9
2010-02-10,102.5,110.0,101.25,103.8,104.0,1771833.0,1880.45
2010-02-11,105.0,107.25,103.2,104.0,103.9,345274.0,364.76
2010-02-15,104.0,105.0,100.35,101.1,101.05,188461.0,193.06
2010-02-16,101.95,104.65,100.85,102.95,103.25,232579.0,239.86
2010-02-17,103.5,104.3,99.6,100.2,100.5,249831.0,252.64
2010-02-18,103.75,103.75,99.5,101.0,100.65,131064.0,131.93
2010-02-19,100.7,100.8,99.0,100.35,100.25,117131.0,117.18
2010-02-22,100.5,101.6,98.0,98.5,98.95,74350.0,74.38
2010-02-23,96.1,100.0,95.15,95.15,96.5,110241.0,107.7
2010-02-24,96.3,96.9,95.25,96.05,95.85,48741.0,46.75
2010-02-25,96.75,96.85,94.0,94.0,94.4,46411.0,44.1
2010-02-26,95.6,95.6,92.5,93.45,94.3,80453.0,75.39
2010-03-02,95.0,97.5,95.0,96.55,96.35,52431.0,50.51
2010-03-03,97.8,99.95,96.7,98.0,97.85,62835.0,61.83
2010-03-04,97.55,101.0,97.0,101.0,99.5,126572.0,125.58
2010-03-05,101.25,103.2,99.5,101.75,101.7,212442.0,215.44
2010-03-08,103.45,112.5,102.5,108.5,108.05,1922596.0,2094.71
2010-03-09,108.95,116.4,106.1,109.6,109.9,1458028.0,1633.88
2010-03-10,111.0,127.2,110.0,122.9,123.35,3129456.0,3722.35
2010-03-11,124.5,124.95,115.6,118.0,117.5,893504.0,1068.5
2010-03-12,118.0,121.2,115.75,116.5,116.45,431142.0,510.94
2010-03-15,116.0,119.9,115.85,119.2,118.4,299596.0,355.04
2010-03-16,118.0,121.1,118.0,118.4,118.65,175317.0,209.13
2010-03-17,119.2,119.2,115.5,115.75,116.2,166249.0,194.45
2010-03-18,116.0,118.0,113.2,114.0,114.2,144501.0,166.23
2010-03-19,116.0,132.5,114.0,128.5,128.6,2000743.0,2521.37
2010-03-22,126.4,138.5,124.5,130.0,129.85,1631250.0,2174.07
2010-03-23,131.4,134.85,128.15,129.7,129.65,420046.0,553.93
2010-03-25,129.05,134.5,128.25,132.95,131.85,310147.0,410.53
2010-03-26,133.3,137.8,130.15,131.3,131.3,479474.0,645.57
2010-03-29,131.0,133.0,125.6,126.8,126.55,195675.0,252.6
2010-03-30,127.95,137.4,126.0,133.8,133.5,640625.0,859.09
2010-03-31,134.5,139.45,133.0,135.9,135.35,686150.0,938.04
2010-04-01,135.0,143.6,135.0,143.4,139.85,451205.0,624.52
2010-04-05,141.9,145.9,141.0,144.35,143.75,358255.0,514.53
2010-04-06,145.0,145.75,137.1,138.0,138.1,295527.0,419.13
2010-04-07,139.15,142.0,136.3,140.25,139.65,247677.0,345.69
2010-04-08,139.9,142.8,136.8,138.05,137.85,190314.0,266.14
2010-04-09,142.8,145.95,137.0,144.0,142.0,291239.0,411.13
2010-04-12,145.0,151.5,141.45,148.4,148.4,865625.0,1278.48
2010-04-13,148.5,154.9,147.25,152.05,151.85,552495.0,841.71
2010-04-15,153.15,156.0,143.1,146.8,145.85,413513.0,626.4
2010-04-16,146.9,151.0,145.0,149.95,149.8,307161.0,456.66
2010-04-19,145.5,149.5,141.3,142.05,142.35,273335.0,395.99
2010-04-20,143.9,147.0,142.6,144.2,143.95,126690.0,183.69
2010-04-21,145.8,147.8,143.3,143.8,144.15,107704.0,156.96
2010-04-22,143.4,145.8,139.6,140.6,140.9,80469.0,115.15
2010-04-23,141.95,142.9,137.05,139.25,138.25,125971.0,175.44
2010-04-26,139.7,147.5,139.0,144.8,143.9,232466.0,335.65
2010-04-27,144.5,144.5,140.5,141.75,141.4,79549.0,113.03
2010-04-28,139.3,141.0,132.0,135.2,134.75,139652.0,191.19
2010-04-29,136.0,140.5,136.0,140.0,139.45,114900.0,159.41
2010-04-30,140.5,142.0,135.55,137.6,136.85,154603.0,215.26
2010-05-03,135.4,139.9,135.05,139.8,138.4,93680.0,129.42
2010-05-04,138.8,143.0,137.5,138.4,138.4,155489.0,218.79
2010-05-05,136.2,141.2,133.4,140.9,140.0,117800.0,161.34
2010-05-06,139.0,141.7,133.8,138.0,136.7,86693.0,118.59
2010-05-07,134.8,134.8,127.55,128.9,129.7,92584.0,121.34
2010-05-10,131.25,134.0,131.0,133.0,133.25,57780.0,76.73
2010-05-11,133.8,134.3,130.05,130.05,131.1,46113.0,61.07
2010-05-12,130.9,133.0,127.6,130.3,129.9,58273.0,75.99
2010-05-13,131.4,140.0,130.15,137.0,136.95,167788.0,228.2
2010-05-14,136.1,137.3,131.4,132.8,133.3,49839.0,67.2
2010-05-17,129.85,139.75,129.05,137.85,137.75,223726.0,302.56
2010-05-18,137.85,143.2,137.25,142.1,142.15,213381.0,300.32
2010-05-19,142.15,145.0,136.2,139.65,139.1,201735.0,284.73
2010-05-20,138.1,142.55,135.1,137.35,137.55,79481.0,109.81
2010-05-21,134.0,139.0,133.0,137.0,137.45,71146.0,95.93
2010-05-24,138.35,142.45,137.65,138.75,138.9,61673.0,85.82
2010-05-25,135.4,139.9,131.2,132.1,132.55,70531.0,94.38
2010-05-26,133.05,136.0,131.2,132.9,132.65,72520.0,96.68
2010-05-27,133.85,134.0,131.2,132.0,131.8,45802.0,60.63
2010-05-28,134.0,135.75,131.8,134.85,133.6,56496.0,75.33
2010-05-31,135.8,147.0,135.05,137.5,136.6,83759.0,115.33
2010-06-01,136.0,144.95,135.05,140.25,139.5,225319.0,317.45
2010-06-02,141.0,142.25,138.55,138.8,139.25,61594.0,86.35
2010-06-03,140.0,144.25,140.0,141.05,140.95,67947.0,96.39
2010-06-04,140.5,141.5,139.0,139.4,139.75,36751.0,51.66
2010-06-07,135.8,139.9,135.8,139.9,138.65,25075.0,34.61
2010-06-08,139.8,143.5,137.1,137.95,137.9,52253.0,73.62
2010-06-09,137.3,141.0,137.0,139.2,139.7,24216.0,33.88
2010-06-10,140.8,141.95,135.65,137.1,138.05,25941.0,36.02
2010-06-11,139.0,140.7,136.65,137.2,137.55,37053.0,51.15
2010-06-14,138.05,140.5,136.5,138.5,139.0,31150.0,43.14
2010-06-15,139.2,140.7,136.7,137.7,137.8,29054.0,40.38
2010-06-16,138.0,141.0,136.65,136.65,137.25,65314.0,90.69
2010-06-17,138.0,139.8,137.5,139.6,138.1,43230.0,59.87
2010-06-18,138.0,141.7,137.3,139.05,139.25,59182.0,82.6
2010-06-21,140.6,144.5,139.5,143.75,142.75,99959.0,142.53
2010-06-22,141.0,171.3,141.0,171.3,171.3,3737307.0,6119.73
2010-06-23,173.0,174.7,161.5,164.25,164.6,1828360.0,3044.35
2010-06-24,164.0,166.7,161.1,164.5,164.85,352126.0,577.08
2010-06-25,163.7,177.9,162.45,169.1,168.3,1781640.0,3071.36
2010-06-28,169.0,171.65,166.3,169.65,168.8,266114.0,449.96
2010-06-29,169.7,174.0,163.2,164.45,164.9,312819.0,529.83
2010-06-30,163.9,170.95,163.4,167.65,167.6,189962.0,319.35
2010-07-01,167.5,169.0,164.3,165.45,164.95,173863.0,289.91
2010-07-02,166.3,168.45,164.6,164.6,165.55,119078.0,198.19
2010-07-05,166.0,171.9,164.8,167.75,167.85,177756.0,300.51
2010-07-06,167.0,170.75,165.5,166.2,166.7,95588.0,160.92
2010-07-07,168.0,168.35,161.1,162.25,162.55,77507.0,127.81
2010-07-08,168.9,168.9,160.2,161.55,161.6,58573.0,95.77
2010-07-09,162.0,174.4,162.0,169.6,169.05,668321.0,1142.23
2010-07-12,169.8,170.5,164.6,165.5,165.6,86592.0,144.51
2010-07-13,166.85,169.7,164.0,166.0,166.2,105191.0,175.94
2010-07-14,168.4,174.0,166.0,170.6,171.35,282345.0,483.51
2010-07-15,171.05,180.8,169.15,174.9,174.2,672851.0,1193.02
2010-07-16,174.0,184.9,174.0,184.5,183.05,577762.0,1042.54
2010-07-19,180.3,186.8,180.3,181.75,181.55,207186.0,380.14
2010-07-20,180.2,184.85,177.05,178.0,178.15,189016.0,343.57
2010-07-21,179.0,181.6,177.05,178.3,177.9,86509.0,154.96
2010-07-22,178.4,183.2,177.1,181.5,181.7,198463.0,359.39
