Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,84.05,84.9,83.45,83.75,83.85,2490.0,2.09
2010-01-05,84.1,85.35,83.2,83.9,83.4,3284.0,2.77
2010-01-06,83.6,84.45,83.5,84.05,84.05,4496.0,3.77
2010-01-07,84.1,100.9,84.1,100.9,100.4,395085.0,390.15
2010-01-08,103.9,103.9,90.25,91.6,91.9,154117.0,148.86
2010-01-11,92.1,94.95,90.7,92.0,92.25,52813.0,49.44
2010-01-12,91.75,93.3,88.2,88.2,88.55,20224.0,18.43
2010-01-13,89.25,96.8,87.9,90.5,90.35,15095.0,13.77
2010-01-14,91.0,91.4,87.6,88.0,88.3,8866.0,7.95
2010-01-15,85.0,92.8,84.1,89.6,90.15,24484.0,22.29
2010-01-18,90.95,90.95,88.55,89.5,89.8,3584.0,3.22
2010-01-19,88.3,90.5,86.15,87.0,87.8,4748.0,4.21
2010-01-20,87.0,88.9,85.1,86.7,86.05,4827.0,4.19
2010-01-21,85.65,87.0,80.6,82.0,82.15,14035.0,11.71
2010-01-22,80.0,84.7,75.8,81.0,80.7,23606.0,19.1
2010-01-25,80.75,82.3,79.65,80.5,80.5,7467.0,6.02
2010-01-27,80.0,80.95,77.15,77.5,77.8,2753.0,2.16
2010-01-28,74.15,79.0,74.15,77.15,77.15,1917.0,1.49
2010-01-29,77.15,77.15,73.0,75.3,75.9,3312.0,2.5
2010-02-01,75.35,84.0,75.35,80.25,79.25,4153.0,3.29
2010-02-02,83.85,83.85,79.5,79.75,79.75,3330.0,2.71
2010-02-03,81.0,81.0,78.2,78.3,78.5,2280.0,1.8
2010-02-04,78.0,79.4,78.0,78.0,78.0,1345.0,1.06
2010-02-05,76.5,76.5,74.1,75.5,75.05,2539.0,1.9
2010-02-06,83.0,83.0,77.0,78.9,78.9,76.0,0.06
2010-02-08,78.0,80.0,76.9,79.7,78.8,1016.0,0.79
2010-02-09,78.2,79.4,76.6,78.25,78.25,553.0,0.43
2010-02-10,78.5,81.9,78.2,78.2,79.0,5606.0,4.46
2010-02-11,78.75,79.05,77.15,77.45,77.95,3087.0,2.43
2010-02-15,81.7,81.7,77.0,77.0,79.35,8581.0,6.81
2010-02-16,78.85,79.8,77.05,78.2,77.45,2282.0,1.79
2010-02-17,78.2,80.95,77.15,79.0,77.95,2284.0,1.8
2010-02-18,79.0,79.65,77.0,77.2,77.2,615.0,0.48
2010-02-19,77.0,77.0,76.0,76.0,76.0,376.0,0.29
2010-02-22,75.0,78.25,75.0,78.0,77.15,1137.0,0.87
2010-02-23,76.5,77.4,75.5,77.4,76.85,964.0,0.74
2010-02-24,75.6,77.0,75.0,77.0,75.85,2036.0,1.54
2010-02-25,77.1,77.1,75.1,75.1,75.1,315.0,0.24
2010-02-26,74.25,77.4,74.25,77.4,77.2,644.0,0.49
2010-03-02,77.0,78.9,77.0,78.65,78.5,3433.0,2.68
2010-03-03,78.6,79.45,78.0,78.15,79.1,1619.0,1.28
2010-03-04,77.5,79.6,77.45,79.4,79.4,722.0,0.57
2010-03-05,79.25,81.0,77.25,79.7,79.8,2753.0,2.19
2010-03-08,81.0,81.5,79.6,79.6,79.6,1967.0,1.57
2010-03-09,78.65,80.0,78.4,79.6,79.6,1442.0,1.15
2010-03-10,79.65,80.0,79.0,79.6,79.55,3114.0,2.48
2010-03-11,79.05,81.4,79.05,79.95,79.25,2958.0,2.37
2010-03-12,79.9,79.9,78.25,78.25,78.25,265.0,0.21
2010-03-15,78.0,78.0,77.55,77.6,77.6,840.0,0.65
2010-03-16,79.0,79.0,77.5,77.5,77.5,285.0,0.22
2010-03-17,77.6,79.0,77.6,77.8,77.85,1696.0,1.33
2010-03-18,77.55,78.0,77.2,78.0,77.3,1912.0,1.48
2010-03-19,77.0,80.0,75.7,80.0,79.25,3934.0,3.09
2010-03-22,79.0,80.9,78.05,78.05,78.3,1678.0,1.33
2010-03-23,78.0,78.4,76.6,78.25,77.1,2910.0,2.26
2010-03-25,77.45,77.55,76.2,77.25,77.2,1031.0,0.8
2010-03-26,77.95,77.95,75.3,76.95,76.55,1937.0,1.47
2010-03-29,76.6,76.6,75.4,76.1,75.85,1541.0,1.17
2010-03-30,75.95,76.6,74.85,76.0,75.7,985.0,0.75
2010-03-31,76.65,84.85,76.05,81.95,79.85,6873.0,5.57
2010-04-01,83.6,83.6,80.0,82.0,82.2,11676.0,9.55
2010-04-05,83.0,88.0,82.2,87.0,86.6,13305.0,11.34
2010-04-06,90.4,90.9,87.0,87.5,87.2,23268.0,20.83
2010-04-07,89.5,89.5,83.5,86.0,86.65,13566.0,11.76
2010-04-08,84.7,87.0,84.7,85.05,85.55,5732.0,4.94
2010-04-09,88.5,88.5,85.8,86.1,86.2,9881.0,8.56
2010-04-12,88.8,88.8,83.3,86.65,86.15,4905.0,4.21
2010-04-13,88.8,88.8,84.65,84.65,84.8,5235.0,4.49
2010-04-15,88.8,88.8,85.0,85.0,85.65,9002.0,7.76
2010-04-16,85.85,92.1,85.0,87.4,87.15,28220.0,25.02
2010-04-19,87.15,89.0,86.3,87.0,87.05,9469.0,8.3
2010-04-20,86.0,89.9,86.0,87.5,87.7,6535.0,5.76
2010-04-21,90.0,90.0,87.0,87.4,87.55,8364.0,7.4
2010-04-22,89.0,91.7,86.1,87.7,89.9,36932.0,33.12
2010-04-23,92.0,92.0,87.5,88.7,88.1,11699.0,10.33
2010-04-26,89.0,89.0,87.0,87.05,88.0,6847.0,5.99
2010-04-27,89.9,89.9,85.45,86.0,85.9,8517.0,7.38
2010-04-28,84.0,85.5,82.35,83.5,83.35,15642.0,13.08
2010-04-29,85.9,85.9,81.0,81.0,81.05,6768.0,5.56
2010-04-30,84.9,84.9,80.25,82.0,82.1,5349.0,4.38
2010-05-03,84.0,84.0,78.25,80.1,80.05,3455.0,2.78
2010-05-04,80.75,80.95,76.0,78.25,77.25,2608.0,2.06
2010-05-05,76.0,78.3,76.0,76.6,76.9,6157.0,4.73
2010-05-06,76.3,77.75,76.3,77.75,77.3,634.0,0.49
2010-05-07,76.0,76.8,74.4,74.5,74.95,3573.0,2.7
2010-05-10,77.0,84.0,76.5,76.5,76.5,728.0,0.56
2010-05-11,77.0,78.1,75.75,75.75,75.75,2565.0,1.98
2010-05-12,77.95,77.95,76.1,76.2,76.55,2838.0,2.18
2010-05-13,85.0,85.0,76.5,76.5,77.2,2956.0,2.3
2010-05-14,80.0,80.0,74.55,77.75,77.15,4944.0,3.78
2010-05-17,79.3,79.3,74.0,74.6,74.9,1791.0,1.36
2010-05-18,76.5,77.95,75.35,76.1,76.55,523.0,0.4
2010-05-19,76.9,76.9,72.45,72.45,72.75,3070.0,2.26
2010-05-20,74.5,75.9,73.0,73.5,73.55,1342.0,0.99
2010-05-21,72.1,75.5,72.05,72.05,72.35,2364.0,1.74
2010-05-24,72.6,74.0,71.25,71.25,72.25,1509.0,1.1
2010-05-25,71.4,72.0,67.25,67.25,68.15,4806.0,3.33
2010-05-26,70.5,71.45,67.75,71.0,71.15,2704.0,1.91
2010-05-27,71.0,71.55,71.0,71.55,71.1,448.0,0.32
2010-05-28,72.1,72.1,71.0,71.05,71.05,510.0,0.36
2010-05-31,71.0,72.8,71.0,72.8,72.8,1643.0,1.17
2010-06-01,71.5,76.5,68.7,71.9,71.9,6856.0,5.09
2010-06-02,72.8,73.45,71.0,71.55,71.4,1951.0,1.41
2010-06-03,72.4,73.55,72.3,73.0,73.4,1931.0,1.41
2010-06-04,77.9,77.9,71.55,72.1,72.9,1612.0,1.16
2010-06-07,72.0,72.75,70.15,72.75,72.75,477.0,0.34
2010-06-08,69.05,73.7,69.05,71.35,71.35,1224.0,0.88
2010-06-09,71.5,72.75,70.4,71.75,71.75,228.0,0.16
2010-06-10,72.0,72.85,70.0,71.9,71.9,1295.0,0.92
2010-06-11,77.9,77.9,71.05,72.5,72.4,2056.0,1.5
2010-06-14,72.05,72.55,70.75,72.55,72.0,2421.0,1.73
2010-06-15,70.65,73.0,70.65,71.55,71.7,949.0,0.69
2010-06-16,73.0,73.75,72.1,72.1,72.45,1991.0,1.46
2010-06-17,71.5,72.85,71.35,72.0,72.05,720.0,0.52
2010-06-18,71.5,78.7,71.05,76.35,77.0,9449.0,7.11
2010-06-21,76.5,77.4,73.55,73.9,74.1,4460.0,3.34
2010-06-22,74.3,77.5,74.25,77.0,76.7,7521.0,5.75
2010-06-23,79.4,81.5,77.7,80.0,79.65,9249.0,7.37
2010-06-24,80.9,81.65,79.0,79.0,79.0,3276.0,2.59
2010-06-25,78.2,83.0,71.45,77.15,77.45,6386.0,5.05
2010-06-28,77.5,79.75,76.25,76.25,76.9,1736.0,1.35
2010-06-29,78.5,78.5,75.0,76.85,75.75,1613.0,1.23
2010-06-30,74.85,78.95,74.6,78.95,77.55,1697.0,1.3
2010-07-01,77.2,78.9,76.0,77.3,77.25,516.0,0.4
2010-07-02,78.5,79.8,77.8,78.25,78.6,3240.0,2.55
2010-07-05,80.0,80.0,77.65,77.65,77.65,430.0,0.34
2010-07-06,77.1,78.5,77.05,78.1,78.2,2488.0,1.94
2010-07-07,78.85,79.35,75.55,76.0,76.1,5125.0,3.99
2010-07-08,77.5,79.4,77.1,78.0,78.0,1010.0,0.79
2010-07-09,78.0,79.0,77.5,77.5,77.5,549.0,0.43
2010-07-12,77.5,79.5,76.75,77.45,77.3,1678.0,1.3
2010-07-13,77.0,81.85,77.0,81.0,80.85,7589.0,6.04
2010-07-14,81.0,81.95,79.55,81.0,80.95,5027.0,4.07
2010-07-15,81.0,81.75,80.4,81.0,80.85,4845.0,3.92
