Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,67.0,67.25,66.3,67.1,66.95,2962236.0,1979.52
2010-01-05,67.55,69.45,67.25,69.2,69.15,5636341.0,3865.5
2010-01-06,69.9,70.5,68.75,69.2,69.2,4970330.0,3458.73
2010-01-07,69.8,70.25,68.55,68.85,69.0,7391995.0,5141.71
2010-01-08,69.0,70.0,68.7,68.85,69.1,5862223.0,4067.83
2010-01-11,69.45,70.6,68.9,69.3,69.3,5399878.0,3773.4
2010-01-12,69.3,69.85,66.8,67.1,67.05,4754837.0,3243.09
2010-01-13,66.8,67.15,65.1,66.4,66.35,5130672.0,3396.0
2010-01-14,67.25,68.9,66.6,67.85,67.65,3909917.0,2642.06
2010-01-15,67.6,68.45,67.05,67.35,67.55,2814471.0,1905.21
2010-01-18,67.2,68.4,67.0,67.45,67.55,2648419.0,1794.53
2010-01-19,67.55,68.05,65.8,66.0,66.25,3072655.0,2059.51
2010-01-20,66.5,66.8,64.8,65.15,65.05,4396262.0,2886.16
2010-01-21,64.0,65.5,62.0,64.0,63.9,2937702.0,1893.23
2010-01-22,62.6,63.9,61.35,62.7,62.8,3260303.0,2046.23
2010-01-25,62.3,62.8,61.75,61.85,62.05,2169496.0,1350.44
2010-01-27,61.8,62.2,59.0,59.05,59.4,3578900.0,2168.73
2010-01-28,61.5,62.5,58.9,62.0,61.5,7820962.0,4740.73
2010-01-29,59.5,60.4,58.15,60.25,59.95,6418898.0,3811.2
2010-02-01,59.0,61.75,58.8,60.95,60.9,2779659.0,1682.59
2010-02-02,61.3,61.95,59.0,59.1,59.25,3374747.0,2044.83
2010-02-03,60.0,60.5,58.3,58.75,58.7,4104411.0,2428.12
2010-02-04,58.1,58.7,54.9,55.1,55.2,6539934.0,3700.78
2010-02-05,52.25,53.9,50.5,52.4,52.6,11663542.0,6055.04
2010-02-06,53.0,56.0,51.8,56.0,55.45,3612464.0,1975.0
2010-02-08,55.05,56.7,53.95,56.35,56.15,6614389.0,3669.71
2010-02-09,56.5,56.75,54.65,55.6,55.5,5820802.0,3237.84
2010-02-10,55.8,57.0,54.6,54.8,55.35,5540306.0,3106.84
2010-02-11,55.85,56.4,55.1,55.9,56.0,4181749.0,2333.03
2010-02-15,56.05,56.95,55.15,55.3,55.6,3186876.0,1776.7
2010-02-16,55.95,56.85,54.7,56.75,56.3,3273731.0,1824.1
2010-02-17,56.6,57.45,56.2,56.5,56.6,3654298.0,2075.02
2010-02-18,56.75,56.75,55.2,55.35,55.6,3282139.0,1832.76
2010-02-19,55.2,55.95,54.4,54.9,54.85,3455220.0,1902.11
2010-02-22,55.1,55.95,54.4,54.8,55.0,2641458.0,1458.57
2010-02-23,54.8,55.85,54.3,55.7,55.65,3095509.0,1713.94
2010-02-24,55.2,55.75,54.75,55.25,55.3,2204647.0,1220.55
2010-02-25,55.6,55.75,52.7,53.95,53.45,5167023.0,2781.55
2010-02-26,53.75,55.65,53.3,54.4,54.8,7758268.0,4262.69
2010-03-02,55.5,55.5,54.5,55.35,55.2,3231738.0,1779.67
2010-03-03,55.25,58.6,55.2,58.35,58.35,8049605.0,4625.97
2010-03-04,59.0,59.0,57.6,58.05,58.1,4031775.0,2350.42
2010-03-05,58.5,59.5,58.1,58.65,58.7,4787587.0,2812.77
2010-03-08,59.25,59.7,58.0,58.5,58.25,2663563.0,1566.36
2010-03-09,58.7,58.7,56.95,57.1,57.2,2686166.0,1543.65
2010-03-10,57.3,57.9,56.7,57.9,57.55,2342621.0,1341.57
2010-03-11,57.6,58.05,56.9,57.25,57.35,2433180.0,1396.57
2010-03-12,57.5,57.55,56.7,56.75,56.85,1767692.0,1007.61
2010-03-15,56.0,57.3,55.6,57.1,57.15,2762979.0,1564.11
2010-03-16,57.2,58.0,56.5,57.85,57.7,1959402.0,1123.42
2010-03-17,58.55,59.2,57.85,58.3,58.2,4135299.0,2423.11
2010-03-18,58.8,59.4,57.95,58.95,58.95,2892294.0,1699.02
2010-03-19,58.2,59.4,58.2,58.65,58.75,2737626.0,1605.87
2010-03-22,58.5,58.5,57.0,57.05,57.15,2136178.0,1232.5
2010-03-23,57.5,57.9,57.15,57.45,57.55,2961158.0,1699.06
