Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,121.0,123.75,117.05,119.2,119.55,54023.0,65.25
2010-01-05,120.7,124.7,118.65,119.0,119.3,96376.0,117.06
2010-01-06,118.1,120.9,110.0,118.0,117.85,31555.0,37.49
2010-01-07,118.0,119.5,116.55,117.0,117.1,22945.0,27.1
2010-01-08,118.0,119.2,114.2,116.25,115.5,30479.0,35.72
2010-01-11,113.2,118.75,104.8,115.25,116.35,32157.0,37.55
2010-01-12,114.1,117.75,112.5,112.8,113.35,31658.0,36.4
2010-01-13,113.0,114.65,113.0,114.35,114.1,12991.0,14.79
2010-01-14,116.0,119.5,114.25,115.3,115.5,46114.0,53.94
2010-01-15,116.95,118.05,115.15,115.15,115.85,21127.0,24.66
2010-01-18,113.15,119.8,113.1,116.5,116.35,41180.0,48.45
2010-01-19,117.9,118.85,111.95,113.1,113.6,21592.0,24.91
2010-01-20,116.5,122.0,114.05,115.25,116.1,99923.0,118.96
2010-01-21,117.8,117.8,112.0,113.0,112.45,27045.0,30.86
2010-01-22,111.0,111.75,105.6,108.0,106.75,25910.0,27.77
2010-01-25,110.95,121.25,102.25,117.05,118.05,195002.0,228.94
2010-01-27,117.8,124.75,112.0,112.35,113.9,241677.0,290.34
2010-01-28,116.9,121.95,107.0,107.5,107.95,109571.0,125.85
2010-01-29,108.0,108.9,103.55,107.0,106.6,44752.0,47.31
2010-02-01,108.0,110.8,108.0,109.4,108.9,24674.0,26.98
2010-02-02,109.1,112.95,103.55,105.5,105.75,24904.0,27.24
2010-02-03,110.0,114.0,108.05,111.65,110.85,95825.0,107.07
2010-02-04,114.0,130.5,113.0,120.4,121.5,2597600.0,3258.88
2010-02-05,115.0,117.75,111.55,113.1,112.7,500810.0,572.24
2010-02-06,117.0,119.65,114.1,117.4,117.6,82774.0,96.99
2010-02-08,118.9,118.9,112.35,112.35,113.15,85420.0,98.0
2010-02-09,113.1,114.45,109.15,113.2,112.6,71609.0,79.97
2010-02-10,112.5,120.75,111.5,113.5,114.25,321933.0,379.37
2010-02-11,114.85,117.9,112.0,113.0,113.6,52847.0,60.91
2010-02-15,116.65,117.9,111.6,111.95,112.3,53687.0,61.46
2010-02-16,112.55,114.9,112.15,112.25,112.8,35975.0,40.71
2010-02-17,114.95,115.25,112.2,112.5,113.2,37963.0,43.25
