Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,2019.4,2019.4,1915.05,1931.5,1949.3,828.0,16.38
2010-01-05,1987.95,1987.95,1930.0,1945.0,1945.0,456.0,8.86
2010-01-06,1940.75,2000.0,1915.1,1955.0,1953.55,8020.0,156.9
2010-01-07,1955.0,1991.0,1920.0,1991.0,1963.1,315.0,6.17
2010-01-08,1931.05,1973.25,1931.05,1950.0,1940.15,126.0,2.45
2010-01-11,1947.0,1965.0,1907.35,1929.0,1941.0,573.0,11.14
2010-01-12,1940.0,1987.0,1922.1,1938.0,1951.7,456.0,8.91
2010-01-13,1932.1,1963.45,1925.05,1939.9,1934.65,211.0,4.08
2010-01-14,1925.25,1962.0,1925.05,1962.0,1945.75,265.0,5.13
2010-01-15,1973.9,1981.0,1925.0,1980.0,1980.0,877.0,17.11
2010-01-18,1942.1,1979.8,1933.05,1965.0,1965.2,1406.0,27.49
2010-01-19,1960.1,2000.0,1960.1,2000.0,1991.7,419.0,8.34
2010-01-20,1980.0,2001.0,1980.0,2001.0,1993.7,866.0,17.3
2010-01-21,2000.0,2015.0,1981.0,1990.0,1998.45,2170.0,43.38
2010-01-22,1916.0,1989.0,1916.0,1989.0,1984.85,1445.0,28.64
2010-01-25,1975.0,1999.0,1961.05,1990.0,1989.95,3389.0,67.16
2010-01-27,1960.15,1979.0,1925.0,1950.0,1961.25,2228.0,43.86
2010-01-28,1933.15,1945.0,1880.0,1880.0,1893.5,490.0,9.35
2010-01-29,1831.0,2000.0,1780.0,1900.0,1938.2,3136.0,58.67
2010-02-01,1900.05,1930.0,1900.05,1901.2,1902.55,103.0,1.97
2010-02-02,1910.0,1988.0,1900.0,1988.0,1941.95,1624.0,31.01
2010-02-03,1918.45,1948.4,1900.0,1929.0,1926.8,326.0,6.28
2010-02-04,1905.0,1925.0,1900.05,1925.0,1924.45,338.0,6.49
2010-02-05,1808.9,1911.5,1808.9,1911.5,1876.95,675.0,12.46
2010-02-06,1900.0,1900.0,1900.0,1900.0,1900.0,1.0,0.02
2010-02-08,1700.0,1950.0,1700.0,1843.0,1846.25,619.0,11.37
2010-02-09,1845.0,1901.0,1845.0,1875.0,1879.6,1162.0,22.04
2010-02-10,1880.0,1900.0,1865.0,1889.95,1868.0,155.0,2.93
2010-02-11,1900.0,1900.0,1855.0,1879.95,1876.8,131.0,2.46
2010-02-15,1855.05,1885.0,1840.05,1850.0,1851.5,1300.0,24.07
2010-02-16,1862.0,1949.0,1850.1,1890.0,1881.85,229.0,4.33
2010-02-17,1890.0,1894.95,1810.0,1819.95,1834.1,782.0,14.39
2010-02-18,1820.0,1820.0,1781.15,1791.0,1800.0,3701.0,66.79
2010-02-19,1800.0,1815.0,1780.0,1815.0,1805.35,261.0,4.71
2010-02-22,1775.0,1775.0,1724.2,1724.2,1742.45,531.0,9.31
2010-02-23,1700.0,1799.0,1700.0,1799.0,1793.8,733.0,12.77
