Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,146.25,152.0,146.25,149.0,150.1,3106.0,4.66
2010-01-05,157.0,160.0,150.15,152.15,151.6,5671.0,8.6
2010-01-06,153.0,154.0,151.05,153.0,153.5,3827.0,5.85
2010-01-07,153.0,164.8,152.6,159.7,158.75,18189.0,29.02
2010-01-08,158.95,163.9,158.15,159.7,159.25,8008.0,12.89
2010-01-11,161.9,164.45,160.0,163.65,163.05,8120.0,13.22
2010-01-12,165.0,167.7,158.8,164.0,160.95,10409.0,17.11
2010-01-13,150.25,173.0,150.25,170.0,168.4,14350.0,23.49
2010-01-14,170.0,190.15,167.5,189.0,186.2,48894.0,88.47
2010-01-15,188.0,192.85,179.2,179.2,182.05,30039.0,56.66
2010-01-18,181.8,191.7,173.0,184.5,185.35,36227.0,67.54
2010-01-19,185.0,190.0,178.5,181.5,181.9,22070.0,40.94
2010-01-20,183.0,192.95,179.0,179.4,180.25,42927.0,80.48
2010-01-21,182.8,183.0,170.25,176.0,175.2,9724.0,17.19
2010-01-22,163.25,178.95,163.1,170.0,170.65,8903.0,15.31
2010-01-25,178.95,178.95,168.5,171.7,170.65,3641.0,6.21
2010-01-27,173.15,173.15,161.05,161.05,162.3,5010.0,8.3
2010-01-28,157.75,171.0,154.0,155.7,155.65,2459.0,3.95
2010-01-29,154.0,161.8,147.2,158.8,156.85,2741.0,4.23
2010-02-01,156.0,169.0,156.0,164.05,164.65,1858.0,3.05
2010-02-02,172.8,172.8,160.0,161.1,160.45,1911.0,3.16
2010-02-03,165.0,166.0,160.05,160.05,161.5,2235.0,3.64
2010-02-04,158.2,165.0,156.2,158.8,157.2,1612.0,2.58
2010-02-05,148.15,155.5,148.15,154.4,153.95,1424.0,2.17
2010-02-06,143.0,157.75,143.0,156.0,157.05,314.0,0.49
2010-02-08,161.0,161.0,154.2,154.2,154.4,753.0,1.18
2010-02-09,156.05,159.0,151.0,154.3,155.1,1381.0,2.15
2010-02-10,154.0,167.0,154.0,158.0,157.05,11897.0,19.24
2010-02-11,160.65,162.5,157.05,158.0,158.8,1950.0,3.11
2010-02-15,160.0,160.0,156.4,156.95,157.15,1320.0,2.08
2010-02-16,156.0,160.8,156.0,159.6,157.55,520.0,0.82
2010-02-17,159.95,161.8,157.5,159.0,158.2,1770.0,2.84
2010-02-18,154.0,161.95,154.0,159.0,159.25,6185.0,9.84
2010-02-19,158.0,158.7,156.1,158.7,156.65,688.0,1.08
2010-02-22,156.0,156.95,154.05,154.1,154.5,956.0,1.48
2010-02-23,154.1,154.1,151.2,151.2,152.2,420.0,0.64
2010-02-24,150.5,151.65,146.0,150.9,149.85,1407.0,2.1
2010-02-25,150.9,163.45,149.0,151.25,152.1,47427.0,75.1
2010-02-26,157.9,160.0,155.0,156.0,156.05,6672.0,10.51
2010-03-02,155.0,156.85,152.05,153.0,153.05,4742.0,7.27
2010-03-03,162.0,162.0,152.05,154.6,153.85,3120.0,4.85
2010-03-04,155.0,155.0,152.3,154.75,154.4,1635.0,2.52
2010-03-05,152.05,159.7,145.0,157.9,157.1,3608.0,5.67
2010-03-08,157.0,157.5,153.0,155.0,155.2,5150.0,7.98
2010-03-09,154.0,159.5,154.0,154.8,155.75,3139.0,4.9
2010-03-10,155.0,158.1,153.05,153.05,153.95,7409.0,11.5
