Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,127.45,131.95,120.0,131.95,131.35,143495.0,186.42
2010-01-05,132.0,137.95,128.75,130.0,131.35,78837.0,106.23
2010-01-06,130.0,131.7,124.8,129.0,129.4,42686.0,54.62
2010-01-07,129.5,135.9,126.6,134.25,134.85,107112.0,144.01
2010-01-08,134.9,137.95,133.55,137.5,137.5,32539.0,44.35
2010-01-11,135.0,144.4,135.0,142.15,142.25,97886.0,140.28
2010-01-12,143.0,143.0,135.15,135.15,135.15,20092.0,27.7
2010-01-13,130.05,141.95,129.0,141.95,141.15,60616.0,83.18
2010-01-14,142.4,148.0,140.0,142.0,143.65,53772.0,77.4
2010-01-15,144.0,144.0,136.5,137.0,137.1,34742.0,48.22
2010-01-18,140.0,144.0,134.05,144.0,144.0,59715.0,84.52
2010-01-19,151.2,151.2,136.8,140.5,139.95,52451.0,76.18
2010-01-20,141.3,146.0,133.0,136.2,137.25,50683.0,70.66
2010-01-21,139.0,141.9,132.55,135.0,134.2,30630.0,41.42
2010-01-22,130.05,133.9,128.15,128.25,128.7,31948.0,41.39
2010-01-25,134.5,134.5,126.1,132.0,131.5,15156.0,19.93
2010-01-27,131.95,132.4,127.05,127.6,128.5,34316.0,44.3
2010-01-28,127.0,130.5,126.0,127.0,126.75,24966.0,31.84
2010-01-29,126.75,128.75,122.0,125.2,125.45,19057.0,23.57
2010-02-01,122.05,131.75,122.05,131.75,131.75,21675.0,28.47
2010-02-02,135.0,135.9,129.55,131.0,130.55,18798.0,25.0
2010-02-03,136.95,137.1,127.25,137.1,137.1,30815.0,42.0
2010-02-04,141.4,141.4,132.2,133.0,133.55,10208.0,13.96
2010-02-05,136.95,136.95,126.9,126.9,126.9,9484.0,12.1
2010-02-06,131.0,132.5,120.75,129.95,130.0,3909.0,5.06
2010-02-08,130.0,130.0,123.5,124.45,125.45,8274.0,10.4
2010-02-09,124.0,131.0,123.05,128.0,129.2,23698.0,30.33
