Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,43.0,43.7,43.0,43.0,43.0,8307.0,3.58
2010-01-05,43.25,45.15,43.25,45.15,45.15,13057.0,5.88
2010-01-06,46.05,47.45,46.0,47.45,47.45,15350.0,7.23
2010-01-07,49.0,49.0,45.5,47.0,47.1,29731.0,13.91
2010-01-08,47.75,49.5,47.0,49.5,49.5,24853.0,12.17
2010-01-11,51.75,52.0,48.5,48.55,48.95,30139.0,15.31
2010-01-12,49.0,50.25,48.0,48.05,48.35,9270.0,4.58
2010-01-13,47.5,49.15,45.95,48.0,47.8,9689.0,4.63
2010-01-14,49.3,49.75,47.6,47.75,48.0,7440.0,3.62
2010-01-15,48.5,50.0,48.0,48.0,48.1,15162.0,7.34
2010-01-18,50.0,50.0,47.35,48.45,48.7,13333.0,6.53
2010-01-19,49.95,49.95,47.55,48.0,48.15,14135.0,6.85
2010-01-20,48.1,49.4,48.0,48.0,48.1,3500.0,1.69
2010-01-21,48.0,48.0,46.1,46.75,46.65,7661.0,3.61
2010-01-22,44.65,49.0,44.35,49.0,48.65,23646.0,11.15
2010-01-25,48.95,50.5,46.25,46.25,46.65,16261.0,7.83
2010-01-27,47.8,48.0,44.5,45.85,45.1,12977.0,6.03
2010-01-28,44.35,46.5,44.3,44.65,44.6,8232.0,3.72
2010-01-29,43.2,44.0,42.45,44.0,43.65,4429.0,1.93
2010-02-01,43.55,45.8,43.2,44.6,44.55,4020.0,1.81
2010-02-02,46.45,46.45,44.05,44.05,44.4,6129.0,2.76
2010-02-03,44.05,45.5,44.05,44.6,44.5,3360.0,1.51
2010-02-04,44.95,45.0,43.1,43.1,43.3,1138.0,0.5
2010-02-05,43.4,43.4,41.25,41.25,41.55,805.0,0.33
2010-02-06,41.25,42.8,40.0,42.2,42.2,390.0,0.16
2010-02-08,41.55,43.95,41.0,42.85,42.75,2743.0,1.16
2010-02-09,42.4,42.75,42.0,42.0,42.0,4202.0,1.78
2010-02-10,42.85,43.05,41.95,41.95,42.1,1870.0,0.79
2010-02-11,42.0,44.25,41.4,44.25,43.95,6115.0,2.64
2010-02-15,43.3,44.3,41.75,41.75,41.75,8164.0,3.47
2010-02-16,42.45,42.45,40.4,40.4,40.4,1990.0,0.82
2010-02-17,42.4,42.4,41.0,41.95,41.5,6011.0,2.51
2010-02-18,41.25,43.6,40.5,43.6,43.2,10031.0,4.3
2010-02-19,45.0,45.4,43.0,45.4,45.4,31192.0,14.02
2010-02-22,47.55,47.7,47.55,47.7,47.7,8468.0,4.04
2010-02-23,48.0,48.0,46.4,46.4,46.6,20294.0,9.59
2010-02-24,46.35,46.35,44.3,44.35,44.35,7784.0,3.47
2010-02-25,44.35,46.6,42.35,46.55,46.25,20968.0,9.56
2010-02-26,46.55,47.4,45.8,46.8,46.8,5981.0,2.79
2010-03-02,46.3,47.05,46.1,46.5,46.75,6943.0,3.23
2010-03-03,48.8,48.8,46.0,46.0,46.3,5475.0,2.57
2010-03-04,48.55,48.6,45.35,45.85,46.3,11200.0,5.19
2010-03-05,46.15,46.3,45.5,46.1,45.8,5951.0,2.73
2010-03-08,46.0,47.0,45.5,45.5,45.6,4177.0,1.94
2010-03-09,45.5,46.9,44.5,45.4,44.95,9284.0,4.22
2010-03-10,45.3,45.75,44.2,44.25,44.55,2414.0,1.08
2010-03-11,44.5,45.7,44.1,44.1,44.1,1621.0,0.72
2010-03-12,44.9,45.6,43.5,44.9,44.85,11752.0,5.24
2010-03-15,44.0,44.85,43.5,43.5,43.7,2885.0,1.26
2010-03-16,46.0,46.5,43.35,44.35,43.95,3887.0,1.71
2010-03-17,43.55,44.75,43.5,44.0,43.9,4320.0,1.91
2010-03-18,44.3,44.7,43.35,44.7,44.45,2201.0,0.97
2010-03-19,44.95,47.95,43.5,46.55,46.9,31627.0,14.63
2010-03-22,47.0,50.25,46.15,48.8,49.55,70158.0,34.36
2010-03-23,50.3,50.45,46.4,46.5,47.45,26147.0,12.66
2010-03-25,46.9,48.4,46.9,47.2,47.1,3554.0,1.69
2010-03-26,47.0,47.0,44.7,45.7,45.4,26345.0,12.1
2010-03-29,43.15,47.5,43.15,46.0,46.5,16562.0,7.73
2010-03-30,46.9,47.8,46.0,47.45,46.6,10109.0,4.71
2010-03-31,49.6,49.6,45.75,45.75,46.5,7553.0,3.54
2010-04-01,47.9,48.0,45.55,46.5,46.55,7388.0,3.44
2010-04-05,46.1,47.75,46.1,46.8,46.85,6309.0,2.96
2010-04-06,46.9,48.55,46.35,46.35,46.55,6157.0,2.88
2010-04-07,46.65,49.65,46.65,48.0,48.4,20576.0,9.92
2010-04-08,48.8,48.8,46.05,46.5,46.5,18480.0,8.74
2010-04-09,48.4,48.45,46.5,47.9,47.25,10967.0,5.2
2010-04-12,49.85,49.85,46.2,47.4,47.5,10834.0,5.18
2010-04-13,47.4,49.5,47.4,49.25,49.05,8146.0,3.97
