Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-11,250.0,250.0,239.0,240.2,240.85,4188.0,10.28
2016-07-12,242.0,245.35,233.0,245.35,244.7,13612.0,32.99
2016-07-13,245.0,249.95,238.5,243.0,243.0,15161.0,36.77
2016-07-14,244.0,249.95,240.25,242.05,241.95,13467.0,32.49
2016-07-15,242.0,247.0,225.0,240.0,239.95,13343.0,32.07
2016-07-18,240.0,248.0,239.9,246.0,242.6,13073.0,31.53
2016-07-19,243.0,243.9,236.0,243.8,242.95,13530.0,32.74
2016-07-20,241.5,243.8,225.9,241.5,241.2,12890.0,31.12
2016-07-21,241.5,241.65,237.0,237.0,237.0,12184.0,29.34
2016-07-22,240.0,249.0,238.0,242.0,239.2,14694.0,35.25
2016-07-25,250.4,250.4,240.4,244.0,241.6,14779.0,35.88
2016-07-26,242.0,248.95,238.0,238.0,238.0,12332.0,30.12
2016-07-27,240.0,249.0,231.0,231.5,236.55,15542.0,37.55
2016-07-28,240.0,243.95,232.2,235.0,235.0,15841.0,37.77
2016-07-29,236.0,242.05,236.0,239.5,239.5,12732.0,30.62
2016-08-01,240.0,246.0,201.5,229.5,228.3,16831.0,38.87
2016-08-02,240.0,245.95,220.0,226.5,230.55,26497.0,61.07
2016-08-03,233.0,237.6,229.0,231.0,236.75,39224.0,91.22
2016-08-04,236.0,244.0,225.0,237.5,241.05,37068.0,88.53
2016-08-05,242.0,249.0,235.0,238.0,237.5,30459.0,72.97
2016-08-08,239.0,247.0,234.0,236.5,238.3,20146.0,47.84
2016-08-09,240.0,244.0,234.5,241.0,240.8,22109.0,52.55
2016-08-10,240.2,248.5,237.0,245.45,245.35,18511.0,44.84
2016-08-11,245.0,254.0,240.0,245.0,245.85,19532.0,47.92
2016-08-12,246.0,250.0,231.0,236.0,235.3,14728.0,36.3
2016-08-16,242.0,248.9,235.0,244.1,244.0,73924.0,177.64
2016-08-17,245.0,247.5,241.0,241.0,242.35,13969.0,34.19
2016-08-18,235.0,247.5,235.0,244.2,244.9,26291.0,63.72
2016-08-19,242.5,257.95,242.5,252.55,252.1,27948.0,69.27
2016-08-22,255.0,255.25,239.0,251.15,252.05,19202.0,48.32
2016-08-23,255.0,257.5,241.5,250.9,250.7,14661.0,37.36
2016-08-24,250.0,254.9,248.0,253.0,253.0,14965.0,37.86
2016-08-25,253.0,259.0,250.5,253.0,253.0,15315.0,39.01
2016-08-26,255.0,260.95,230.6,255.0,256.15,31719.0,80.07
2016-08-29,250.55,260.0,245.0,245.0,249.45,13966.0,35.41
2016-08-30,250.0,262.9,250.0,256.9,255.8,18485.0,47.18
2016-08-31,264.8,264.8,240.6,255.0,256.4,14903.0,38.32
2016-09-01,255.0,255.0,250.0,252.5,252.4,12940.0,32.7
2016-09-02,253.0,262.0,243.0,257.0,253.85,8430.0,21.3
2016-09-06,254.05,264.75,251.0,259.0,262.75,13869.0,36.01
2016-09-07,263.0,278.0,255.1,262.4,268.75,43577.0,117.43
2016-09-08,265.0,273.95,264.0,265.55,269.8,9434.0,25.26
2016-09-09,265.0,270.0,261.0,268.0,266.9,12278.0,32.77
2016-09-12,260.0,273.0,259.85,268.0,266.25,5304.0,13.83
2016-09-14,264.0,274.0,264.0,273.75,272.2,12102.0,32.58
2016-09-15,282.0,285.95,230.6,273.0,271.75,36243.0,98.76
2016-09-16,274.0,283.0,273.2,278.0,280.05,19785.0,54.99
2016-09-19,275.2,283.0,275.0,279.1,281.95,51318.0,143.47
2016-09-20,280.0,284.95,279.0,279.75,282.7,15101.0,42.49
2016-09-21,282.55,289.5,277.0,285.0,285.9,25679.0,72.97
2016-09-22,288.5,291.0,285.0,285.5,285.65,10465.0,29.96
2016-09-23,285.0,288.7,278.0,278.0,284.0,9158.0,26.03
2016-09-26,290.9,290.9,280.9,283.0,285.0,13445.0,38.21
2016-09-27,285.0,288.0,284.0,286.5,286.4,9028.0,25.84
2016-09-28,288.0,288.25,284.0,285.05,286.7,8099.0,23.24
2016-09-29,307.0,307.0,274.7,284.8,284.45,12210.0,34.79
2016-09-30,288.0,288.7,279.7,284.0,284.8,9937.0,28.22
2016-10-03,284.1,303.9,280.7,283.0,285.95,10123.0,29.1
2016-10-04,290.1,290.2,284.5,288.0,288.0,5047.0,14.53
2016-10-05,286.0,294.0,285.0,289.85,289.55,7693.0,22.21
2016-10-06,288.0,289.0,283.4,286.0,285.45,6977.0,20.06
2016-10-07,285.0,288.0,283.0,285.0,284.4,8968.0,25.56
2016-10-10,287.0,288.0,284.0,288.0,288.0,5823.0,16.68
2016-10-13,286.0,287.75,273.0,273.0,277.35,77630.0,214.19
2016-10-14,279.9,283.8,275.85,280.0,279.8,11800.0,33.08
2016-10-17,281.0,289.5,265.1,283.0,284.2,25057.0,70.54
2016-10-18,285.0,287.0,278.0,280.0,281.15,7438.0,21.07
2016-10-19,282.0,282.45,276.5,278.5,279.8,13113.0,36.72
2016-10-20,281.0,281.0,266.0,279.0,277.65,8322.0,23.19
2016-10-21,280.0,280.55,273.0,274.0,273.85,7028.0,19.48
2016-10-24,285.1,285.2,277.0,279.95,281.3,6250.0,17.61
2016-10-25,285.0,285.5,277.0,280.0,279.0,5314.0,15.01
2016-10-26,281.0,281.05,269.95,276.9,274.8,7494.0,20.78
2016-10-27,279.0,279.0,268.0,274.0,271.8,9299.0,25.54
2016-10-28,275.0,275.0,270.0,270.0,271.55,5513.0,15.05
2016-10-30,280.0,284.95,275.0,275.0,278.65,3762.0,10.5
2016-11-01,278.0,282.0,275.0,277.0,278.9,7010.0,19.48
2016-11-02,278.15,278.15,269.0,270.9,270.15,7408.0,20.39
2016-11-03,270.55,282.95,269.0,272.1,274.45,9404.0,25.48
2016-11-04,271.0,274.95,249.0,260.3,266.05,6369.0,17.31
2016-11-07,270.0,273.0,267.6,268.0,268.0,5573.0,14.97
2016-11-08,272.0,272.15,263.05,265.9,267.2,7458.0,20.08
2016-11-09,235.0,250.0,214.0,250.0,249.85,3786.0,8.9
2016-11-10,249.25,255.0,249.25,255.0,252.5,4750.0,11.89
2016-11-11,260.0,260.0,240.15,243.0,242.8,2511.0,6.35
2016-11-15,242.0,265.0,221.2,225.0,229.5,22249.0,53.15
2016-11-16,232.0,243.0,215.0,231.0,231.0,25585.0,59.56
2016-11-17,232.0,245.0,221.0,233.8,225.85,11304.0,26.71
2016-11-18,226.4,235.0,225.0,225.0,225.0,5551.0,12.58
2016-11-21,226.0,228.5,194.0,214.0,202.85,5976.0,13.32
2016-11-22,202.0,218.7,197.0,218.7,209.65,5627.0,11.64
2016-11-23,210.0,218.95,210.0,216.0,216.0,5076.0,10.79
2016-11-24,217.0,244.4,207.0,225.05,225.05,4438.0,9.77
