Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,84.0,84.0,80.5,80.8,81.0,185400.0,152.51
2010-01-05,82.0,82.2,80.1,80.65,80.85,152874.0,124.04
2010-01-06,81.0,85.9,80.0,84.0,84.25,689623.0,582.39
2010-01-07,84.8,85.8,83.05,83.5,83.75,256721.0,217.33
2010-01-08,84.45,85.4,82.25,82.35,82.6,179172.0,149.95
2010-01-11,86.0,86.0,82.3,82.95,82.65,125845.0,104.89
2010-01-12,82.55,86.85,82.55,85.35,85.1,625484.0,531.66
2010-01-13,82.6,90.45,82.6,88.2,88.05,1028367.0,905.51
2010-01-14,90.0,95.05,87.05,92.05,91.95,866877.0,796.77
2010-01-15,92.8,94.5,92.0,92.4,92.2,338936.0,316.16
2010-01-18,92.4,92.65,89.05,90.05,90.15,126208.0,114.35
2010-01-19,90.5,92.1,89.5,91.65,91.45,164068.0,149.4
2010-01-20,91.0,93.0,90.1,91.5,92.15,214302.0,197.14
2010-01-21,90.6,91.5,88.2,89.25,89.55,185494.0,167.16
2010-01-22,87.0,92.0,82.2,89.15,89.35,244575.0,215.09
2010-01-25,88.9,90.25,86.35,86.5,86.7,157451.0,138.29
2010-01-27,82.0,86.3,80.0,81.9,81.15,285269.0,233.66
2010-01-28,82.5,85.0,80.35,83.5,83.5,219884.0,182.76
2010-01-29,82.1,87.0,80.8,85.55,86.05,233254.0,195.46
2010-02-01,85.5,92.65,84.85,89.4,90.35,225207.0,202.79
2010-02-02,91.0,92.0,87.0,87.15,87.6,146663.0,132.72
2010-02-03,88.85,89.75,87.5,88.3,88.2,70738.0,62.86
2010-02-04,88.5,89.85,86.6,87.3,86.85,66677.0,58.67
2010-02-05,84.2,86.3,82.05,84.95,84.9,118968.0,101.07
2010-02-06,85.0,87.4,84.0,87.0,86.35,18940.0,16.32
2010-02-08,85.0,87.8,79.5,84.95,84.95,64099.0,54.93
2010-02-09,85.2,86.4,84.15,84.3,84.5,25454.0,21.69
2010-02-10,86.95,86.95,84.0,84.0,84.55,37740.0,32.26
2010-02-11,85.95,86.0,81.15,83.3,83.3,114292.0,95.37
2010-02-15,81.0,86.45,81.0,82.6,82.9,77050.0,64.9
2010-02-16,83.5,84.45,81.75,81.95,81.95,71393.0,58.91
2010-02-17,83.45,83.95,81.5,82.0,82.05,91789.0,75.79
2010-02-18,83.0,83.45,81.2,81.65,81.45,71480.0,58.61
2010-02-19,81.05,82.7,78.75,79.25,79.6,125695.0,101.01
2010-02-22,79.8,81.0,77.65,78.5,78.2,103337.0,81.19
2010-02-23,79.6,79.6,77.2,77.6,77.85,38693.0,30.31
2010-02-24,77.1,78.1,76.0,78.0,77.9,32104.0,24.78
2010-02-25,78.0,78.65,77.0,78.0,77.6,31992.0,24.86
2010-02-26,78.4,82.2,76.0,80.6,80.3,73592.0,59.07
2010-03-02,80.25,83.4,80.2,82.8,83.0,56825.0,47.04
2010-03-03,83.7,84.5,82.8,84.0,84.05,64321.0,53.99
2010-03-04,84.5,85.0,83.7,84.65,84.25,42768.0,36.06
2010-03-05,84.1,85.5,84.1,84.8,85.05,50476.0,42.91
2010-03-08,85.3,85.9,83.25,83.25,83.7,38067.0,32.16
2010-03-09,83.3,83.3,81.0,81.05,81.25,56538.0,46.2
2010-03-10,81.95,82.45,80.8,81.2,80.95,33102.0,26.89
2010-03-11,82.05,82.7,79.9,80.4,80.2,43560.0,35.09
2010-03-12,81.75,81.75,79.25,79.7,79.55,31161.0,24.92
2010-03-15,80.0,81.0,78.5,79.3,79.25,52155.0,41.46
2010-03-16,82.7,95.05,82.7,84.25,84.75,1531670.0,1334.77
2010-03-17,85.5,86.65,84.2,85.9,85.7,325414.0,278.11
2010-03-18,86.0,90.5,84.8,88.3,88.6,922241.0,821.07
2010-03-19,89.0,89.45,88.0,88.7,88.55,162384.0,143.96
2010-03-22,87.9,90.3,85.0,85.5,86.75,235481.0,207.68
2010-03-23,87.0,88.95,87.0,87.8,88.05,131387.0,115.77
2010-03-25,88.0,88.3,85.15,87.5,86.6,55300.0,48.1
2010-03-26,88.0,89.0,86.0,86.3,86.4,76346.0,66.51
2010-03-29,86.0,87.0,82.4,83.0,84.05,90326.0,77.04
2010-03-30,84.0,84.7,82.55,83.75,83.65,139578.0,116.42
2010-03-31,84.0,89.3,83.85,88.3,88.7,407753.0,358.32
2010-04-01,89.0,92.5,89.0,91.0,90.8,381861.0,348.46
2010-04-05,92.4,93.5,90.05,92.65,92.3,178079.0,163.86
2010-04-06,92.3,93.55,90.5,90.65,90.75,95699.0,87.5
2010-04-07,89.5,90.65,88.1,89.7,89.7,133784.0,119.97
2010-04-08,89.5,93.5,89.15,89.55,89.7,231883.0,211.81
2010-04-09,90.0,93.0,89.5,89.65,89.7,115987.0,105.28
2010-04-12,90.85,92.7,89.7,89.8,89.9,262823.0,239.14
2010-04-13,89.5,93.5,89.5,92.9,92.8,266190.0,245.08
2010-04-15,94.2,94.4,90.2,90.8,90.8,291085.0,270.36
2010-04-16,90.0,91.25,89.5,90.1,90.1,94455.0,85.28
2010-04-19,89.6,90.5,88.9,89.8,89.65,87674.0,78.53
2010-04-20,90.0,91.0,88.1,88.75,88.85,90165.0,80.99
2010-04-21,90.6,91.0,89.0,89.5,89.8,56287.0,50.82
2010-04-22,89.8,90.6,89.25,90.5,90.35,58096.0,52.32
2010-04-23,90.4,97.45,90.05,95.8,95.5,1312689.0,1253.43
2010-04-26,98.4,103.0,96.75,102.1,101.75,1898824.0,1912.98
2010-04-27,101.4,101.75,97.1,98.0,97.65,346440.0,342.53
2010-04-28,97.65,99.5,95.0,96.6,96.25,375700.0,365.35
2010-04-29,96.5,104.4,96.5,102.25,102.6,828349.0,842.57
2010-04-30,104.9,106.65,102.7,104.0,103.55,700224.0,730.85
2010-05-03,103.0,107.45,101.0,102.6,102.2,480541.0,503.9
2010-05-04,102.2,106.9,99.5,100.2,101.35,837893.0,876.74
2010-05-05,100.8,100.8,97.0,99.9,99.6,344852.0,340.35
2010-05-06,100.6,102.3,98.2,99.45,99.2,280874.0,281.58
2010-05-07,96.3,98.5,93.0,94.0,94.1,193903.0,185.87
2010-05-10,96.1,110.85,96.0,110.0,108.75,1032381.0,1082.49
2010-05-11,110.0,112.0,105.85,106.35,106.3,708845.0,770.38
2010-05-12,107.5,109.5,102.35,104.6,104.3,309116.0,328.22
2010-05-13,118.8,124.85,105.3,106.0,105.95,414583.0,445.07
2010-05-14,106.0,106.0,98.0,98.3,98.7,828158.0,827.97
2010-05-17,96.0,100.0,93.25,98.9,98.55,330726.0,323.68
2010-05-18,97.0,102.0,97.0,99.5,99.65,217583.0,218.09
2010-05-19,90.5,100.0,90.5,97.8,98.0,238134.0,233.38
2010-05-20,99.65,99.75,95.0,95.55,95.55,278255.0,268.49
2010-05-21,92.5,95.7,90.5,94.2,94.45,268804.0,252.84
2010-05-24,98.8,98.95,94.65,94.65,95.15,120411.0,116.22
2010-05-25,93.65,95.5,87.6,90.45,90.05,194992.0,178.67
2010-05-26,93.4,94.8,91.25,93.8,94.0,153536.0,142.9
2010-05-27,95.0,95.35,93.15,94.85,94.85,146014.0,137.75
2010-05-28,96.0,97.5,95.1,95.5,95.9,116249.0,111.81
2010-05-31,95.9,96.0,92.8,94.2,93.7,60952.0,57.4
2010-06-01,94.5,96.65,89.1,91.0,90.85,781995.0,736.64
2010-06-02,94.0,94.0,91.0,92.65,92.25,95901.0,88.25
2010-06-03,93.25,94.65,92.45,92.65,93.05,84856.0,79.4
2010-06-04,93.8,94.5,92.15,92.6,92.6,65817.0,61.34
2010-06-07,90.0,92.4,87.15,91.6,91.4,55071.0,50.29
2010-06-08,90.3,93.25,90.3,91.8,92.05,67552.0,62.19
2010-06-09,92.25,93.0,91.5,92.0,91.95,41370.0,38.11
2010-06-10,92.7,92.7,91.35,91.8,91.8,49432.0,45.39
2010-06-11,92.15,93.15,91.0,91.4,91.3,88028.0,80.85
2010-06-14,92.7,93.0,90.25,91.25,91.45,66065.0,60.42
2010-06-15,92.35,95.4,91.9,94.7,95.05,254345.0,239.35
2010-06-16,96.0,100.45,95.3,98.6,99.25,513187.0,503.7
2010-06-17,99.65,103.3,99.0,102.2,102.0,520119.0,529.39
2010-06-18,102.6,104.05,101.5,102.75,103.0,344779.0,355.35
2010-06-21,103.6,105.0,100.5,100.5,101.5,197555.0,203.78
2010-06-22,102.65,102.65,98.7,99.2,99.1,66053.0,65.75
