Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-10-10,102.5,109.0,95.0,102.65,103.3,3073888.0,3215.32
2018-10-11,97.0,106.3,95.5,102.0,103.0,234583.0,241.77
2018-10-12,105.0,105.8,100.0,100.8,101.4,88860.0,91.9
2018-10-15,100.8,102.65,98.0,98.0,99.15,86326.0,86.47
2018-10-16,100.6,100.6,96.5,97.0,97.05,83510.0,81.92
2018-10-17,97.05,97.85,90.25,90.4,91.15,88661.0,83.67
2018-10-19,90.0,94.0,89.0,89.85,89.25,47045.0,42.88
2018-10-22,89.15,91.3,86.0,86.75,86.75,49963.0,44.02
2018-10-23,87.0,87.0,83.1,83.15,83.45,44265.0,37.28
2018-10-24,84.0,84.6,82.6,83.0,83.0,27149.0,22.6
2018-10-25,80.05,81.6,80.05,80.2,80.45,21834.0,17.67
2018-10-26,79.0,84.2,77.7,82.1,81.9,84241.0,67.99
2018-10-29,82.0,84.0,81.0,82.8,82.3,26963.0,22.27
2018-10-30,82.0,84.6,82.0,84.15,84.15,22830.0,19.12
2018-10-31,86.3,93.85,86.1,90.5,90.9,87409.0,79.19
2018-11-01,91.9,93.0,88.05,89.1,89.4,30624.0,27.69
2018-11-02,89.3,91.6,89.3,89.7,89.95,18226.0,16.44
2018-11-05,88.2,90.5,88.2,89.25,89.8,14114.0,12.63
2018-11-06,90.35,90.9,89.3,90.0,89.9,15975.0,14.37
2018-11-07,89.0,90.9,89.0,90.6,90.4,2400.0,2.17
2018-11-09,90.35,91.5,89.65,91.35,90.8,11883.0,10.77
2018-11-12,90.75,92.7,90.0,90.0,90.65,18334.0,16.82
2018-11-13,90.25,91.5,90.15,91.25,90.6,15387.0,13.96
2018-11-14,90.7,92.5,90.0,90.55,90.8,13391.0,12.19
2018-11-15,90.8,92.8,89.55,89.55,89.8,17775.0,16.12
2018-11-16,90.05,90.05,89.0,90.0,89.55,12095.0,10.84
2018-11-19,90.0,93.6,89.6,92.0,92.2,37250.0,34.17
2018-11-20,92.5,97.0,90.15,90.85,90.9,16145.0,14.85
2018-11-21,93.0,95.25,90.05,94.45,93.75,22903.0,21.27
2018-11-22,93.75,97.0,93.0,95.4,95.05,28955.0,27.62
2018-11-26,93.2,99.8,93.2,98.0,97.65,33006.0,32.29
2018-11-27,96.5,99.9,96.5,98.4,97.7,18491.0,18.08
2018-11-28,98.85,101.45,97.9,100.05,100.65,33934.0,33.72
2018-11-29,100.0,102.4,99.95,100.1,100.35,28964.0,29.28
2018-11-30,100.8,101.9,99.85,100.6,100.6,62560.0,62.88
2018-12-03,100.75,101.2,95.95,96.1,96.45,59345.0,59.42
2018-12-04,96.95,98.1,96.0,96.35,96.65,6336.0,6.16
2018-12-05,97.05,97.7,93.15,94.0,93.9,11471.0,10.86
2018-12-06,93.6,93.6,88.75,91.65,92.0,11367.0,10.38
2018-12-07,93.95,97.0,92.6,97.0,95.5,8342.0,7.88
2018-12-10,93.5,97.5,90.4,94.9,93.25,8614.0,8.03
2018-12-11,92.0,95.7,91.3,95.45,95.0,10421.0,9.77
2018-12-12,95.55,96.5,93.65,95.85,95.1,10225.0,9.71
2018-12-13,93.7,96.1,93.7,95.25,94.4,11705.0,11.1
2018-12-14,94.5,96.55,93.0,95.0,95.05,11036.0,10.43
2018-12-17,95.95,99.0,93.5,94.8,95.6,21724.0,21.02
2018-12-18,92.15,95.9,92.15,94.05,94.6,14255.0,13.5
2018-12-19,93.45,97.4,93.45,95.4,95.3,16353.0,15.62
2018-12-20,94.7,96.15,94.4,95.1,95.35,16419.0,15.67
2018-12-21,96.5,96.5,94.15,94.2,94.7,28175.0,26.77
2018-12-24,94.0,96.5,93.15,94.5,95.05,11570.0,11.04
2018-12-26,93.2,95.75,93.0,94.1,94.45,22358.0,21.04
2018-12-27,95.05,96.45,92.1,92.35,93.2,13275.0,12.56
2018-12-28,92.85,94.8,92.85,93.7,93.45,8191.0,7.66
2018-12-31,93.95,95.0,90.2,92.7,92.75,13579.0,12.62
2019-01-01,93.8,93.8,92.0,92.3,92.45,6696.0,6.21
2019-01-02,91.0,94.5,90.8,93.6,93.35,6727.0,6.24
2019-01-03,93.7,94.05,90.05,92.7,93.65,27865.0,25.94
2019-01-04,92.45,94.7,91.8,92.45,92.45,3931.0,3.65
