Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,35.7,38.2,35.5,37.9,37.9,8227362.0,3093.86
2010-01-05,38.5,38.6,37.25,37.45,37.6,3558932.0,1349.6
2010-01-06,37.85,38.6,37.0,38.5,38.15,2864090.0,1079.85
2010-01-07,38.6,39.25,38.1,38.6,38.65,8406811.0,3248.81
2010-01-08,38.15,39.65,38.15,38.8,38.75,5553060.0,2173.51
2010-01-11,39.2,39.25,38.3,38.4,38.5,2266529.0,880.85
2010-01-12,38.9,38.95,37.55,37.75,37.7,2129528.0,814.1
2010-01-13,37.2,43.2,37.05,43.05,42.85,27950172.0,11651.62
2010-01-14,43.3,44.95,42.8,44.6,44.65,26302584.0,11562.16
2010-01-15,44.95,45.2,43.35,43.5,43.5,9889648.0,4342.3
2010-01-18,43.5,45.35,43.15,44.6,44.75,8572870.0,3822.08
2010-01-19,44.7,45.25,43.6,43.9,43.9,6940136.0,3075.16
2010-01-20,44.4,44.95,43.0,44.5,44.5,5120510.0,2257.42
2010-01-21,44.3,44.6,43.2,43.7,43.6,4141653.0,1816.83
2010-01-22,43.0,45.0,42.4,44.15,44.5,5739956.0,2502.59
2010-01-25,44.85,44.85,43.1,43.4,43.4,3529566.0,1539.29
2010-01-27,42.9,44.15,41.2,41.4,41.85,3820933.0,1648.93
2010-01-28,41.5,43.0,41.1,42.3,41.95,14136243.0,5935.84
2010-01-29,41.9,42.75,41.05,42.7,42.4,2581020.0,1078.63
2010-02-01,42.4,44.25,42.1,44.0,44.0,2734489.0,1192.72
2010-02-02,44.6,44.7,42.7,42.8,43.1,3140426.0,1372.93
2010-02-03,43.5,44.05,43.1,43.45,43.45,1951689.0,851.42
2010-02-04,43.5,43.75,41.6,42.1,42.05,1911990.0,819.28
2010-02-05,41.1,41.5,39.1,40.6,40.65,2050758.0,837.65
2010-02-06,40.95,41.7,40.5,41.65,41.35,320904.0,132.25
2010-02-08,41.5,42.2,40.6,41.75,41.7,1574771.0,654.3
2010-02-09,42.0,42.2,41.2,41.5,41.6,1035118.0,430.68
2010-02-10,41.95,42.25,41.05,41.25,41.45,1297883.0,541.22
2010-02-11,41.8,42.05,41.5,41.55,41.55,1151675.0,480.82
2010-02-15,41.75,42.7,41.35,42.4,42.2,1009633.0,423.53
2010-02-16,42.55,43.75,42.1,43.6,43.4,2164295.0,931.88
2010-02-17,44.1,44.1,42.8,43.5,43.45,1300113.0,564.24
