Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,10.4,10.4,9.35,9.45,9.45,184698.0,17.63
2010-01-05,9.55,9.9,9.1,9.1,9.15,80315.0,7.55
2010-01-06,9.25,9.4,8.55,8.75,8.8,107942.0,9.59
2010-01-07,8.7,8.9,8.35,8.6,8.65,74816.0,6.45
2010-01-08,8.8,8.9,8.5,8.5,8.6,28287.0,2.44
2010-01-11,8.3,9.05,8.3,9.0,8.95,31696.0,2.82
2010-01-12,8.6,9.2,8.6,8.7,8.7,21999.0,1.94
2010-01-13,8.6,9.15,8.6,8.9,9.05,37547.0,3.35
2010-01-14,9.15,9.4,8.65,8.8,8.8,20234.0,1.79
2010-01-15,8.7,9.0,8.7,8.75,8.75,17731.0,1.56
2010-01-18,8.95,8.95,8.5,8.75,8.6,25647.0,2.23
2010-01-19,8.6,8.7,8.4,8.65,8.6,10729.0,0.92
2010-01-20,8.45,8.75,8.2,8.55,8.4,33112.0,2.75
2010-01-21,8.2,8.75,8.2,8.35,8.35,19097.0,1.6
2010-01-22,8.2,8.2,7.95,7.95,7.95,21433.0,1.72
2010-01-25,7.85,8.15,7.55,8.15,7.95,27661.0,2.15
2010-01-27,7.9,8.0,7.55,7.55,7.6,22497.0,1.72
2010-01-28,7.75,7.8,7.25,7.35,7.3,16729.0,1.25
2010-01-29,7.3,7.65,6.95,7.45,7.25,36496.0,2.56
2010-02-01,7.65,7.65,7.05,7.55,7.3,8397.0,0.63
2010-02-02,7.5,7.7,7.5,7.5,7.6,13467.0,1.03
2010-02-03,7.75,7.75,7.25,7.75,7.6,9037.0,0.68
2010-02-04,7.35,7.8,7.25,7.3,7.35,7732.0,0.57
2010-02-05,7.0,7.45,7.0,7.15,7.3,16234.0,1.16
2010-02-06,7.0,7.4,7.0,7.05,7.25,564.0,0.04
2010-02-08,6.95,7.6,6.95,7.35,7.35,5519.0,0.39
2010-02-09,7.5,7.5,7.05,7.25,7.15,4738.0,0.34
2010-02-10,7.0,7.55,6.9,7.2,6.95,7519.0,0.53
2010-02-11,6.8,7.3,6.8,7.25,7.05,11957.0,0.84
2010-02-15,7.4,7.4,6.8,6.9,6.9,16505.0,1.15
2010-02-16,7.0,7.15,6.8,6.85,6.85,4728.0,0.33
2010-02-17,7.2,7.2,6.7,6.85,6.8,13999.0,0.96
2010-02-18,7.0,7.0,6.6,6.8,6.8,10235.0,0.7
