Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-12-13,51.3,51.3,51.3,51.3,51.3,151.0,0.08
2017-12-14,53.8,53.85,53.8,53.85,53.85,454.0,0.24
2017-12-15,56.45,56.5,53.15,56.0,54.65,1874.0,1.03
2017-12-18,57.35,57.35,55.8,57.35,57.35,2122.0,1.22
2017-12-19,57.35,59.9,57.35,59.0,59.0,285.0,0.17
2017-12-20,61.0,61.95,58.5,61.0,61.0,1258.0,0.77
2017-12-21,61.0,64.05,61.0,64.05,64.0,1650.0,1.05
2017-12-22,64.05,67.2,64.05,67.2,66.6,350.0,0.23
2017-12-26,66.5,69.9,63.3,67.0,67.0,791.0,0.52
2017-12-27,67.0,67.0,63.65,63.65,63.65,675.0,0.45
2017-12-28,61.0,66.7,60.55,66.7,66.7,870.0,0.53
2017-12-29,65.0,70.0,65.0,70.0,66.6,1068.0,0.7
2018-01-01,66.65,66.65,66.65,66.65,66.65,50.0,0.03
2018-01-02,66.0,66.0,66.0,66.0,66.0,25.0,0.02
2018-01-03,69.3,69.3,69.3,69.3,69.3,110.0,0.08
2018-01-04,69.3,69.3,69.3,69.3,69.3,20.0,0.01
2018-01-05,70.4,70.4,70.4,70.4,70.4,10.0,0.01
2018-01-08,70.35,71.0,67.05,67.05,67.05,154.0,0.11
2018-01-09,63.7,65.0,63.7,65.0,65.0,327.0,0.21
2018-01-10,62.0,62.0,61.75,61.75,61.75,200.0,0.12
2018-01-11,61.75,62.0,59.0,60.05,60.05,2318.0,1.4
2018-01-15,57.05,62.9,57.05,59.95,60.55,1273.0,0.73
2018-01-16,63.5,63.55,62.9,63.55,63.55,720.0,0.46
2018-01-17,66.7,66.7,66.7,66.7,66.7,400.0,0.27
2018-01-18,64.0,70.0,64.0,70.0,70.0,1062.0,0.74
2018-01-19,73.4,73.5,71.5,71.9,71.9,1135.0,0.82
2018-01-22,73.0,74.35,73.0,73.05,73.05,1036.0,0.76
2018-01-23,75.0,76.4,74.0,76.4,75.7,2131.0,1.59
2018-01-24,75.0,78.95,74.25,78.5,78.5,1320.0,1.0
2018-01-25,75.05,80.0,74.6,75.35,75.35,936.0,0.71
2018-01-29,75.35,79.1,75.35,79.1,79.1,1035.0,0.81
2018-01-30,79.0,83.0,76.0,83.0,80.05,3292.0,2.63
2018-01-31,83.0,83.0,78.15,81.45,79.9,3895.0,3.11
2018-02-01,78.0,82.95,75.95,80.0,80.0,2395.0,1.93
2018-02-02,77.95,79.0,76.0,76.0,76.0,6160.0,4.81
2018-02-05,76.0,76.0,72.2,75.8,75.8,226.0,0.16
2018-02-07,72.05,72.05,72.05,72.05,72.05,5.0,0.0
2018-02-09,72.05,72.05,69.85,71.0,70.35,450.0,0.32
2018-02-12,67.1,67.15,67.1,67.15,67.15,250.0,0.17
2018-02-15,66.95,66.95,66.95,66.95,66.95,100.0,0.07
2018-02-16,64.0,64.0,64.0,64.0,64.0,5882.0,3.76
2018-02-19,67.2,67.2,67.2,67.2,67.2,104.0,0.07
2018-02-20,63.85,63.85,63.85,63.85,63.85,19.0,0.01
2018-02-21,60.7,60.7,60.7,60.7,60.7,20.0,0.01
2018-02-22,57.7,63.6,57.7,62.8,62.8,453.0,0.26
2018-02-23,59.7,59.7,59.7,59.7,59.7,9.0,0.01
2018-02-26,62.65,62.65,57.7,57.7,57.7,102.0,0.06
2018-02-27,55.0,60.55,55.0,58.7,58.2,6661.0,3.86
2018-02-28,58.8,58.8,58.8,58.8,58.8,108.0,0.06
2018-03-01,61.7,61.7,56.1,56.1,56.1,98.0,0.06
2018-03-05,56.25,56.25,56.25,56.25,56.25,384.0,0.22
2018-03-06,53.5,59.05,53.5,58.9,58.9,346.0,0.19
2018-03-09,56.0,56.0,56.0,56.0,56.0,35.0,0.02
2018-03-12,53.2,53.2,53.2,53.2,53.2,2.0,0.0
2018-03-13,50.55,50.55,50.55,50.55,50.55,208.0,0.11
2018-03-14,48.6,48.75,48.05,48.05,48.05,6264.0,3.04
2018-03-15,45.65,46.0,45.65,46.0,46.0,214.0,0.1
2018-03-16,46.0,46.0,44.0,46.0,46.0,219.0,0.1
2018-03-20,43.7,48.3,43.7,48.3,48.05,260.0,0.12
2018-03-21,45.65,45.65,45.65,45.65,45.65,102.0,0.05
2018-03-22,45.65,45.65,45.65,45.65,45.65,291.0,0.13
2018-03-23,45.65,45.65,45.65,45.65,45.65,25.0,0.01
2018-03-26,43.4,43.4,43.4,43.4,43.4,902.0,0.39
2018-03-27,43.25,43.25,43.25,43.25,43.25,258.0,0.11
2018-03-28,43.25,43.25,41.1,41.1,41.1,331.0,0.14
2018-04-03,39.1,39.5,39.1,39.5,39.5,241.0,0.09
2018-04-04,39.1,39.6,37.55,37.55,38.95,982.0,0.38
2018-04-05,37.55,37.55,37.55,37.55,37.55,1.0,0.0
2018-04-06,35.7,36.5,35.7,36.5,36.5,815.0,0.29
2018-04-09,35.55,38.3,35.55,38.3,38.3,110.0,0.04
2018-04-10,40.2,40.2,40.2,40.2,40.2,350.0,0.14
2018-04-11,42.2,42.2,42.2,42.2,42.2,20.0,0.01
2018-04-12,40.3,44.0,40.3,44.0,44.0,130.0,0.05
2018-04-13,44.0,44.0,41.8,44.0,44.0,711.0,0.3
2018-04-16,44.95,44.95,42.0,44.0,44.0,117.0,0.05
2018-04-17,44.0,46.2,42.0,46.2,46.2,254.0,0.11
2018-04-20,43.9,43.9,43.9,43.9,43.9,6581.0,2.89
2018-04-24,43.9,43.9,43.9,43.9,43.9,104.0,0.05
2018-04-25,43.9,43.9,41.75,41.75,41.75,172.0,0.07
2018-04-26,43.8,43.8,43.8,43.8,43.8,219.0,0.1
2018-04-27,43.8,43.8,43.8,43.8,43.8,101.0,0.04
2018-05-04,41.65,41.65,41.65,41.65,41.65,20.0,0.01
2018-05-07,39.6,39.6,39.6,39.6,39.6,10.0,0.0
2018-05-08,37.65,37.65,37.65,37.65,37.65,1.0,0.0
2018-05-09,35.8,35.8,35.8,35.8,35.8,35.0,0.01
2018-05-10,35.8,35.8,35.8,35.8,35.8,141.0,0.05
2018-05-16,34.5,34.5,34.5,34.5,34.5,2800.0,0.97
2018-05-17,34.5,34.5,32.8,32.8,32.8,96.0,0.03
2018-05-18,32.85,32.85,31.2,31.25,31.25,13161.0,4.15
2018-05-21,29.7,29.7,29.7,29.7,29.7,16.0,0.0
2018-05-22,29.7,29.8,29.7,29.8,29.8,104.0,0.03
2018-05-23,28.35,28.35,28.35,28.35,28.35,100.0,0.03
2018-05-24,26.95,26.95,26.95,26.95,26.95,101.0,0.03
2018-05-25,28.25,28.25,28.25,28.25,28.25,1019.0,0.29
2018-05-29,28.25,28.25,28.25,28.25,28.25,1.0,0.0
2018-05-30,28.25,28.25,28.25,28.25,28.25,34.0,0.01
2018-06-01,26.85,26.85,26.85,26.85,26.85,215.0,0.06
2018-06-04,26.85,26.85,26.85,26.85,26.85,500.0,0.13
2018-06-05,25.55,25.55,25.55,25.55,25.55,100.0,0.03
2018-06-07,25.0,25.0,25.0,25.0,25.0,25.0,0.01
2018-06-11,26.25,26.25,23.75,23.75,23.75,310.0,0.07
2018-06-12,22.6,24.9,22.6,22.75,22.75,120.0,0.03
2018-06-13,23.85,23.85,23.85,23.85,23.85,50.0,0.01
2018-06-14,25.0,25.0,25.0,25.0,25.0,51.0,0.01
2018-06-15,26.25,26.25,26.25,26.25,26.25,50.0,0.01
2018-06-18,27.0,27.0,27.0,27.0,27.0,50.0,0.01
2018-06-20,27.0,27.0,27.0,27.0,27.0,350.0,0.09
2018-06-22,28.35,28.35,28.35,28.35,28.35,100.0,0.03
2018-06-25,28.35,28.35,28.35,28.35,28.35,100.0,0.03
2018-06-26,28.35,28.35,28.35,28.35,28.35,18.0,0.01
2018-06-27,28.35,28.35,28.35,28.35,28.35,10.0,0.0
2018-06-29,27.0,27.0,27.0,27.0,27.0,4.0,0.0
2018-07-06,28.0,28.0,28.0,28.0,28.0,1.0,0.0
2018-07-09,27.0,27.0,27.0,27.0,27.0,100.0,0.03
2018-07-11,27.0,27.0,27.0,27.0,27.0,10.0,0.0
2018-07-12,25.65,27.7,25.65,27.7,27.7,178.0,0.05
2018-07-13,28.9,28.9,28.9,28.9,28.9,182.0,0.05
2018-07-17,27.5,27.5,27.5,27.5,27.5,111.0,0.03
2018-07-20,26.15,26.15,26.15,26.15,26.15,5.0,0.0
2018-07-23,27.45,27.45,27.45,27.45,27.45,100.0,0.03
2018-07-27,26.1,27.35,26.1,27.35,27.35,221.0,0.06
2018-07-30,28.7,28.7,28.7,28.7,28.7,1.0,0.0
2018-07-31,28.7,28.7,28.7,28.7,28.7,100.0,0.03
2018-08-01,28.0,28.0,28.0,28.0,28.0,1.0,0.0
2018-08-02,29.3,29.3,29.3,29.3,29.3,50.0,0.01
2018-08-03,29.3,29.3,29.3,29.3,29.3,100.0,0.03
2018-08-06,29.3,29.3,29.3,29.3,29.3,200.0,0.06
2018-08-08,30.75,30.75,30.75,30.75,30.75,80.0,0.02
2018-08-09,29.25,29.25,29.25,29.25,29.25,25.0,0.01
2018-08-13,27.8,27.8,27.8,27.8,27.8,103.0,0.03
2018-08-16,26.6,26.6,26.6,26.6,26.6,5.0,0.0
2018-08-17,27.9,27.9,27.9,27.9,27.9,50.0,0.01
2018-08-23,27.0,27.0,27.0,27.0,27.0,301.0,0.08
2018-08-24,27.0,27.0,27.0,27.0,27.0,4.0,0.0
2018-08-27,27.0,27.9,27.0,27.9,27.9,557.0,0.15
2018-08-28,28.5,28.5,28.5,28.5,28.5,2.0,0.0
2018-08-29,27.1,27.1,27.1,27.1,27.1,1297.0,0.35
2018-08-31,25.75,25.75,25.75,25.75,25.75,50.0,0.01
2018-09-03,25.75,26.0,24.5,25.5,25.5,707.0,0.18
