Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,134.4,136.75,132.6,134.6,135.15,237825.0,321.0
2010-01-05,135.75,139.9,134.5,136.9,137.1,475254.0,654.65
2010-01-06,138.0,144.75,137.5,144.4,143.4,1013361.0,1437.54
2010-01-07,146.45,147.8,142.5,143.0,143.3,735278.0,1071.55
2010-01-08,144.0,144.6,137.55,141.0,139.35,218330.0,308.56
2010-01-11,141.5,142.9,137.9,138.0,138.65,131211.0,183.21
2010-01-12,137.8,138.85,133.1,134.0,134.6,207902.0,282.93
2010-01-13,134.0,141.0,131.75,140.0,139.8,613734.0,840.64
2010-01-14,141.5,143.5,137.65,138.5,138.65,549419.0,776.09
2010-01-15,139.45,139.65,135.5,135.9,136.0,124170.0,170.27
2010-01-18,135.3,138.45,133.5,135.0,134.95,277239.0,376.22
2010-01-19,134.0,137.1,131.8,133.6,133.0,149327.0,200.77
2010-01-20,133.9,135.85,131.05,133.4,132.35,137665.0,183.78
2010-01-21,131.0,134.7,128.0,129.8,129.35,151084.0,198.86
2010-01-22,126.6,128.9,122.95,124.25,124.25,195384.0,244.69
2010-01-25,122.2,122.2,118.55,120.45,120.2,130749.0,156.96
2010-01-27,115.7,125.4,106.95,111.4,113.55,267595.0,321.25
2010-01-28,115.65,116.9,109.8,111.0,111.1,90192.0,102.39
2010-01-29,112.6,116.8,107.3,114.05,115.35,146130.0,164.36
2010-02-01,112.1,121.0,112.1,119.2,119.4,121063.0,144.46
2010-02-02,120.0,123.3,116.35,118.5,117.6,110298.0,132.37
2010-02-03,117.2,121.6,117.2,118.05,118.05,69615.0,83.07
2010-02-04,117.1,121.9,116.75,117.3,117.85,317361.0,379.21
2010-02-05,112.0,115.1,110.0,111.8,111.15,106873.0,119.72
2010-02-06,111.7,114.2,111.45,113.1,112.7,26156.0,29.43
2010-02-08,112.95,116.25,112.0,114.0,113.85,151806.0,173.53
2010-02-09,113.1,115.3,112.5,113.0,113.05,63162.0,71.87
2010-02-10,113.3,115.7,112.0,112.1,112.6,98142.0,111.61
2010-02-11,114.9,115.2,111.8,112.75,112.3,56525.0,64.14
2010-02-15,117.4,118.75,115.2,117.0,116.25,132898.0,155.3
2010-02-16,117.5,117.75,114.15,117.2,116.85,64318.0,74.59
2010-02-17,116.25,118.75,116.25,117.5,117.8,110657.0,130.26
2010-02-18,117.1,118.4,115.0,116.2,115.85,48561.0,56.64
2010-02-19,118.0,118.0,112.1,113.65,113.55,52308.0,59.64
2010-02-22,113.15,115.25,109.15,109.3,110.1,45590.0,51.11
2010-02-23,109.2,110.9,107.6,109.1,108.85,33564.0,36.71
2010-02-24,106.6,111.9,105.05,110.2,110.55,118701.0,128.81
2010-02-25,109.25,114.9,108.25,112.1,112.2,130628.0,147.48
2010-02-26,109.7,112.45,109.0,109.5,109.75,47513.0,52.65
2010-03-02,110.3,112.5,110.3,111.5,111.65,27337.0,30.6
2010-03-03,112.6,115.9,112.6,115.55,114.9,85356.0,97.94
2010-03-04,108.55,120.0,108.55,119.7,119.4,148729.0,175.87
2010-03-05,120.4,123.45,120.0,121.2,120.7,94306.0,115.23
2010-03-08,122.0,124.35,120.9,121.0,121.4,61565.0,75.62
2010-03-09,122.0,122.3,117.1,117.9,117.7,57051.0,68.16
2010-03-10,116.7,122.0,116.7,118.35,118.65,138731.0,166.19
2010-03-11,119.35,122.45,118.85,119.4,119.75,185055.0,223.72
2010-03-12,121.7,123.4,119.35,119.65,120.5,151890.0,184.94
2010-03-15,119.15,121.85,119.15,121.8,120.95,108279.0,130.94
2010-03-16,121.0,127.0,121.0,125.4,125.9,520622.0,651.94
2010-03-17,127.0,129.65,126.4,128.75,128.0,249196.0,319.24
2010-03-18,130.0,132.5,129.25,132.4,132.05,273733.0,360.44
2010-03-19,131.5,136.85,130.55,136.0,135.45,220182.0,296.6
2010-03-22,136.45,138.25,132.1,133.15,132.95,222715.0,301.78
2010-03-23,134.0,135.5,128.2,128.45,129.1,108307.0,142.39
2010-03-25,130.0,142.4,125.5,136.15,137.4,858785.0,1178.53
2010-03-26,138.5,139.7,135.05,135.15,135.9,326768.0,448.62
2010-03-29,136.9,138.3,132.15,134.0,133.2,246357.0,336.0
