Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-03-30,210.2,211.9,169.1,170.25,171.0,11075297.0,20194.57
2016-03-31,169.7,182.6,167.45,178.3,178.55,3889314.0,6903.39
2016-04-01,178.1,178.35,174.55,174.9,175.1,654755.0,1154.03
2016-04-04,175.35,181.75,175.35,180.55,181.1,684713.0,1226.51
2016-04-05,180.0,182.45,178.4,181.4,181.3,551824.0,997.15
2016-04-06,181.4,184.8,178.2,181.35,181.9,363208.0,663.05
2016-04-07,183.0,184.05,178.3,180.55,179.4,197891.0,358.91
2016-04-08,179.0,183.75,178.4,182.2,182.15,210583.0,381.32
2016-04-11,182.55,183.8,179.55,182.9,183.0,236005.0,430.78
2016-04-12,183.2,193.1,181.55,191.9,192.0,532476.0,1002.36
2016-04-13,193.0,196.4,190.0,190.6,190.35,210892.0,408.37
2016-04-18,191.25,195.45,189.35,193.0,193.5,131270.0,252.42
2016-04-20,189.0,193.9,186.05,186.95,187.15,71199.0,135.29
2016-04-21,187.7,194.9,187.5,191.0,192.3,212188.0,407.1
2016-04-22,191.75,192.3,189.4,192.0,191.4,228351.0,436.24
2016-04-25,192.95,194.9,185.65,186.6,187.3,51234.0,97.34
2016-04-26,187.0,188.8,181.05,181.5,181.8,100722.0,186.29
2016-04-27,182.0,186.35,181.0,183.65,184.0,93991.0,173.38
2016-04-28,182.1,186.8,182.1,185.7,184.6,154547.0,286.06
2016-04-29,183.5,185.9,182.0,183.5,183.3,40000.0,73.46
2016-05-02,180.0,184.55,180.0,180.5,181.2,134855.0,245.51
2016-05-03,181.45,186.7,181.0,184.1,184.9,65876.0,121.4
2016-05-04,184.0,185.9,181.0,182.0,181.9,44016.0,80.24
2016-05-05,182.0,184.1,180.1,180.8,180.55,22564.0,40.98
2016-05-06,180.0,182.8,180.0,182.0,181.65,44170.0,80.19
2016-05-09,181.0,183.95,180.1,180.4,180.7,27833.0,50.63
2016-05-10,180.3,182.0,178.95,180.5,179.8,41021.0,73.87
2016-05-11,178.0,180.8,175.25,177.0,176.25,41255.0,73.23
2016-05-12,177.7,179.25,176.05,178.5,178.6,33100.0,58.99
2016-05-13,177.5,207.0,176.0,204.95,195.0,464376.0,860.97
2016-05-16,199.9,201.7,186.8,191.0,190.5,145253.0,279.09
2016-05-17,190.8,194.0,188.0,188.0,189.45,44264.0,84.76
2016-05-18,187.8,190.9,186.6,187.3,187.45,20961.0,39.64
2016-05-19,187.0,189.0,183.0,183.45,184.05,20343.0,37.78
2016-05-20,185.05,185.5,180.1,180.1,180.8,17715.0,32.22
2016-05-23,181.9,182.9,178.1,180.0,180.05,15249.0,27.52
2016-05-24,180.75,181.45,173.55,180.05,180.15,18674.0,33.55
2016-05-25,181.2,185.0,180.1,184.3,183.5,21102.0,38.65
2016-05-26,183.9,188.5,182.0,183.0,183.55,28788.0,53.28
2016-05-27,186.0,188.55,181.6,182.9,182.25,39284.0,72.58
2016-05-30,180.2,185.6,180.2,185.5,184.7,20455.0,37.63
2016-05-31,183.25,184.7,180.5,180.7,181.25,12844.0,23.41
2016-06-01,181.4,182.5,180.0,180.6,180.35,21405.0,38.71
2016-06-02,179.85,181.1,179.0,179.5,179.6,10150.0,18.29
2016-06-03,180.0,184.85,177.05,181.0,180.05,33768.0,61.01
2016-06-06,179.85,182.0,177.2,178.0,178.0,14764.0,26.52
2016-06-07,179.15,185.0,177.3,181.0,180.75,43800.0,79.37
2016-06-08,180.7,184.8,180.5,181.15,181.5,51182.0,93.34
2016-06-09,181.5,182.65,179.0,181.2,180.85,20146.0,36.4
2016-06-10,179.35,185.5,179.2,182.6,182.85,82083.0,151.24
2016-06-13,180.8,184.0,179.2,181.65,182.0,59766.0,108.52
2016-06-14,181.45,183.6,180.3,182.05,182.1,52192.0,95.39
2016-06-15,182.6,183.0,180.55,182.9,182.5,21930.0,39.89
2016-06-16,182.0,183.4,180.3,181.55,180.75,16269.0,29.63
2016-06-17,180.0,181.95,179.1,179.5,179.7,19322.0,34.83
2016-06-20,178.4,183.0,177.95,180.0,180.05,15418.0,27.81
2016-06-21,180.45,181.9,178.95,179.4,179.35,12918.0,23.25
2016-06-22,179.75,183.0,178.55,179.0,179.0,9375.0,16.82
2016-06-23,179.15,180.45,178.0,178.05,178.3,10297.0,18.39
2016-06-24,176.0,176.95,167.0,172.0,171.35,86961.0,148.35
2016-06-27,170.1,175.0,170.0,175.0,174.45,12370.0,21.45
2016-06-28,174.35,181.0,173.55,180.0,180.0,29902.0,53.47
2016-06-29,180.5,183.0,179.0,182.0,181.15,20704.0,37.55
2016-06-30,181.45,185.0,180.0,184.5,183.65,221320.0,404.96
2016-07-01,183.8,184.9,182.0,183.55,183.15,23013.0,42.15
2016-07-04,180.1,190.85,180.1,187.25,188.4,61041.0,114.21
2016-07-05,189.5,194.8,186.1,188.05,190.05,49203.0,93.72
2016-07-07,188.5,192.0,186.0,190.5,190.35,29565.0,56.18
2016-07-08,190.0,192.25,187.5,189.25,189.85,23203.0,44.13
2016-07-11,185.0,192.0,185.0,188.65,190.3,47996.0,91.23
2016-07-12,188.0,190.35,187.0,189.0,188.25,96425.0,181.33
2016-07-13,188.1,190.5,187.0,188.5,188.5,12467.0,23.61
2016-07-14,181.7,191.5,181.7,189.1,189.2,11571.0,21.88
2016-07-15,188.5,191.0,186.1,189.5,189.1,25877.0,49.11
2016-07-18,186.0,191.5,185.3,190.0,190.3,156095.0,296.71
2016-07-19,188.1,196.8,188.1,193.9,194.5,314955.0,601.43
2016-07-20,195.5,195.5,190.0,191.3,193.05,34001.0,65.41
2016-07-21,193.2,196.0,191.0,196.0,195.5,58267.0,113.52
2016-07-22,195.5,202.0,193.2,200.0,199.0,65884.0,130.53
2016-07-25,199.0,201.6,194.4,195.3,199.4,74411.0,147.93
2016-07-26,198.1,199.0,192.0,192.0,193.4,44445.0,86.5
2016-07-27,192.1,197.7,192.0,196.0,196.55,26417.0,51.68
2016-07-28,198.9,211.7,196.1,203.75,203.55,136788.0,281.37
2016-07-29,202.0,205.0,198.25,201.4,203.25,32156.0,64.99
2016-08-01,202.05,209.0,200.2,203.25,204.0,28211.0,57.88
2016-08-02,203.15,208.85,200.0,204.0,202.55,32244.0,65.58
2016-08-03,201.0,205.0,200.0,202.0,203.3,21506.0,43.26
2016-08-04,202.0,207.5,200.35,207.0,205.7,11787.0,24.12
2016-08-05,205.0,209.5,203.1,206.0,207.4,19921.0,41.25
2016-08-08,205.2,208.0,203.0,204.8,207.15,28676.0,59.16
2016-08-09,205.9,209.0,203.5,206.0,205.05,7019.0,14.44
2016-08-10,205.0,205.0,202.0,202.0,202.6,8414.0,17.15
2016-08-11,202.55,204.7,199.0,200.0,200.15,6442.0,12.92
2016-08-12,199.3,203.0,198.6,201.9,200.6,46255.0,92.59
2016-08-16,207.5,207.5,199.2,201.0,201.5,119141.0,239.96
2016-08-17,199.2,205.0,198.0,199.0,199.65,8737.0,17.62
2016-08-18,203.95,207.0,198.55,204.15,205.95,28577.0,58.53
2016-08-19,204.95,214.0,201.5,208.0,208.25,155005.0,320.78
2016-08-22,210.9,227.95,210.0,214.25,214.4,1998244.0,4263.57
2016-08-23,219.8,221.0,210.05,211.0,211.65,361127.0,779.22
2016-08-24,212.65,219.0,210.0,213.6,214.25,147824.0,318.13
2016-08-25,219.8,220.1,215.05,216.5,217.1,104579.0,227.79
2016-08-26,217.0,217.05,211.0,211.7,212.4,45331.0,96.85
2016-08-29,212.4,214.7,207.55,210.15,211.15,44251.0,93.21
2016-08-30,211.9,215.75,210.0,215.0,214.6,67903.0,144.93
2016-08-31,217.0,224.0,213.75,218.95,219.8,252301.0,555.98
2016-09-01,219.05,219.85,212.65,215.85,215.95,41824.0,90.61
2016-09-02,215.5,220.0,211.65,213.8,214.45,131493.0,281.46
2016-09-06,216.3,218.6,212.6,213.65,213.6,98015.0,209.81
2016-09-07,216.55,216.55,211.65,213.0,212.75,99552.0,212.14
2016-09-08,214.45,217.0,213.6,215.0,215.25,31729.0,68.32
2016-09-09,215.15,220.0,215.0,215.0,215.55,61835.0,134.34
2016-09-12,212.1,216.05,212.0,215.0,215.25,45131.0,97.03
2016-09-14,215.7,220.0,215.0,217.1,218.35,82781.0,179.99
2016-09-15,216.55,219.0,214.95,215.3,215.1,75465.0,162.53
2016-09-16,215.4,216.95,215.0,215.0,215.0,64427.0,138.66
2016-09-19,215.9,218.65,212.75,215.0,215.2,104371.0,224.38
2016-09-20,218.5,218.5,214.5,215.0,215.0,96403.0,207.27
2016-09-21,215.0,217.45,214.5,215.0,214.95,47854.0,102.91
2016-09-22,215.05,222.0,213.25,216.0,216.4,39764.0,87.03
2016-09-23,215.4,217.45,213.5,215.9,215.15,25389.0,54.7
2016-09-26,215.05,217.75,214.0,215.0,215.2,57200.0,123.12
2016-09-27,215.0,220.5,214.25,216.0,216.3,139285.0,300.82
2016-09-28,216.7,219.5,215.05,219.0,218.35,69613.0,151.28
2016-09-29,220.0,224.55,215.0,222.1,220.75,250887.0,549.73
2016-09-30,221.0,222.0,217.55,221.5,221.05,36277.0,79.97
2016-10-03,221.0,222.0,216.05,221.0,220.3,62410.0,137.18
2016-10-04,220.05,221.85,217.15,219.0,220.25,27129.0,59.5
2016-10-05,221.0,230.0,218.05,223.85,223.75,91698.0,206.46
2016-10-06,226.05,239.9,226.0,233.0,229.85,93808.0,217.67
2016-10-07,231.65,232.0,223.2,226.7,227.1,31335.0,71.16
2016-10-10,223.05,229.85,219.1,223.45,222.1,60660.0,134.54
2016-10-13,225.0,228.0,219.3,221.5,221.2,74313.0,164.76
2016-10-14,220.15,231.8,220.15,230.0,230.05,45285.0,102.83
2016-10-17,230.5,234.25,226.0,228.25,228.45,41269.0,94.94
2016-10-18,229.85,239.5,229.5,233.0,232.9,61986.0,145.57
2016-10-19,230.85,239.4,230.1,233.0,231.5,379887.0,892.03
2016-10-20,233.0,234.0,228.2,231.0,231.5,60026.0,139.13
2016-10-21,232.8,238.2,228.75,238.0,236.95,34485.0,81.22
2016-10-24,230.0,243.0,230.0,242.0,241.3,49567.0,118.77
