Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,390.7,401.5,388.0,391.5,391.05,439734.0,1736.45
2010-01-05,394.7,398.0,389.5,394.0,393.65,217871.0,857.84
2010-01-06,394.5,412.35,393.15,397.0,398.45,782820.0,3162.43
2010-01-07,400.1,403.0,392.0,396.0,395.6,154470.0,614.94
2010-01-08,398.0,398.8,386.0,391.0,389.3,79752.0,313.73
2010-01-11,390.5,410.0,390.5,395.95,396.0,428880.0,1729.77
2010-01-12,398.5,404.75,383.05,386.0,386.5,86851.0,341.16
2010-01-13,386.5,393.0,381.4,387.3,386.95,81746.0,316.98
2010-01-14,390.4,398.0,389.0,390.5,390.7,73629.0,288.87
2010-01-15,392.9,394.5,381.5,383.5,383.15,70461.0,272.95
2010-01-18,383.5,391.95,379.3,383.5,382.3,96042.0,368.85
2010-01-19,382.9,384.9,372.0,373.4,373.6,57872.0,219.45
2010-01-20,376.8,383.7,360.0,361.3,364.2,139946.0,522.38
2010-01-21,366.95,376.5,360.1,365.5,364.7,187326.0,688.52
2010-01-22,358.0,363.35,346.25,354.5,353.5,77152.0,272.51
2010-01-25,354.0,357.95,346.2,347.0,348.5,42792.0,150.64
2010-01-27,350.0,354.5,332.0,338.5,340.45,72508.0,247.71
2010-01-28,345.0,346.95,337.1,338.0,339.6,85720.0,291.59
2010-01-29,338.45,344.2,330.05,340.0,341.1,80134.0,270.51
2010-02-01,341.0,349.9,340.0,341.35,341.3,66498.0,228.05
2010-02-02,344.8,354.8,332.2,334.0,334.2,71661.0,248.15
2010-02-03,338.6,360.4,337.1,354.0,354.5,254435.0,898.5
2010-02-04,359.5,365.9,342.6,346.75,345.05,224580.0,803.39
2010-02-05,343.0,349.0,330.0,344.0,343.75,95317.0,323.96
2010-02-06,348.5,353.4,343.1,344.85,345.15,13704.0,47.43
2010-02-08,346.0,346.9,336.05,337.0,338.0,31111.0,106.12
2010-02-09,341.0,345.0,337.25,341.95,342.35,116672.0,399.4
2010-02-10,346.9,346.9,335.15,336.7,336.95,24245.0,82.84
2010-02-11,339.1,343.8,334.7,336.55,337.85,22351.0,75.68
2010-02-15,341.8,341.8,335.1,336.85,336.0,17046.0,57.61
2010-02-16,339.8,339.8,330.0,330.3,330.8,21727.0,72.24
2010-02-17,336.15,345.8,332.2,336.1,336.6,71027.0,241.36
2010-02-18,336.0,343.75,335.5,340.15,340.2,77066.0,262.14
2010-02-19,337.5,356.8,328.0,331.0,331.95,668796.0,2314.96
2010-02-22,335.0,339.5,325.0,327.5,326.75,70710.0,235.88
2010-02-23,324.0,335.8,320.3,331.75,331.35,92573.0,306.97
2010-02-24,331.35,334.45,325.0,330.9,327.8,34181.0,112.76
2010-02-25,329.75,333.4,318.3,320.0,319.5,51007.0,164.67
2010-02-26,321.0,327.1,315.1,324.0,324.0,73932.0,237.91
2010-03-02,329.5,349.0,325.65,343.0,343.65,130738.0,442.79
2010-03-03,344.9,345.75,335.55,336.4,336.95,52535.0,177.96
2010-03-04,337.5,342.1,335.5,338.5,337.55,30025.0,101.51
2010-03-05,339.95,344.0,336.0,339.0,337.95,34211.0,116.33
2010-03-08,341.4,353.0,338.4,340.55,340.7,267298.0,928.33
2010-03-09,341.0,344.25,334.25,335.0,335.4,44891.0,152.46
2010-03-10,336.0,341.0,330.5,331.9,332.65,38131.0,128.1
2010-03-11,334.65,335.25,328.0,328.05,329.15,33824.0,111.92
2010-03-12,331.65,333.85,323.2,324.6,323.85,29957.0,98.32
2010-03-15,324.2,327.45,318.2,319.55,320.05,31127.0,100.3
2010-03-16,319.1,335.0,319.1,332.45,330.6,98227.0,324.38
2010-03-17,334.8,337.7,327.1,327.1,329.15,40117.0,133.42
2010-03-18,331.9,337.95,328.05,336.0,336.2,78573.0,263.2
2010-03-19,339.0,343.65,335.05,336.0,336.65,65972.0,223.84
2010-03-22,335.0,346.0,321.05,338.25,338.9,167052.0,569.05
2010-03-23,343.9,349.0,336.55,337.15,338.0,158051.0,543.34
2010-03-25,338.0,341.7,334.0,335.05,336.05,49672.0,167.95
2010-03-26,338.0,341.0,333.65,334.0,334.6,47815.0,161.34
2010-03-29,390.0,390.0,335.1,338.0,337.7,213386.0,731.54
2010-03-30,339.5,345.0,338.15,340.8,339.9,50442.0,172.39
2010-03-31,341.8,341.8,336.1,336.75,336.65,25508.0,86.34
2010-04-01,341.0,348.0,341.0,345.0,343.1,138580.0,475.92
2010-04-05,347.1,354.6,345.1,353.15,352.5,166253.0,584.18
2010-04-06,355.0,366.0,353.0,364.9,363.95,295699.0,1068.77
2010-04-07,366.9,385.4,361.6,381.0,381.55,357260.0,1341.12
2010-04-08,384.0,388.0,363.25,364.5,365.9,218152.0,824.63
2010-04-09,370.0,377.5,366.0,369.8,367.9,125726.0,468.29
2010-04-12,369.95,378.0,362.25,367.15,367.9,85265.0,315.95
2010-04-13,368.95,368.95,360.0,360.85,360.8,53873.0,195.59
2010-04-15,361.0,366.7,351.3,354.5,355.45,41081.0,147.68
