Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-09,270.0,276.0,252.1,265.8,267.75,15776490.0,42288.77
2018-03-12,267.9,271.0,261.7,269.15,268.2,1278682.0,3411.17
2018-03-13,267.1,277.2,264.0,272.0,272.0,1262968.0,3439.47
2018-03-14,271.5,277.1,270.5,272.1,272.1,477332.0,1303.29
2018-03-15,274.95,293.7,272.15,290.5,288.25,2210265.0,6288.61
2018-03-16,292.1,304.0,291.0,297.0,296.35,1339569.0,3989.68
2018-03-19,302.0,311.0,298.15,299.5,300.75,565161.0,1713.68
2018-03-20,300.9,305.0,296.95,297.0,297.05,247595.0,743.76
2018-03-21,300.8,304.0,297.0,297.5,297.35,282172.0,842.32
2018-03-22,301.9,301.9,291.1,291.1,295.4,234442.0,696.2
2018-03-23,291.65,294.8,276.65,293.0,292.2,195670.0,557.73
2018-03-26,293.25,299.65,292.55,296.7,296.5,136812.0,403.94
2018-03-27,298.75,301.0,296.0,296.7,296.65,84581.0,251.49
2018-03-28,296.45,303.0,295.0,300.5,300.5,283595.0,849.61
2018-04-02,304.35,307.05,301.5,302.7,303.6,78989.0,239.8
2018-04-03,304.0,304.6,300.6,303.0,301.95,59151.0,178.46
2018-04-04,302.75,304.0,300.0,300.0,300.15,122914.0,370.21
2018-04-05,301.0,332.0,298.0,320.8,320.45,622573.0,2001.92
2018-04-06,320.0,334.0,316.65,322.0,321.8,202562.0,659.19
2018-04-09,323.0,346.45,323.0,330.55,332.0,330216.0,1112.51
2018-04-10,333.0,346.9,333.0,341.3,341.6,322857.0,1102.12
2018-04-11,350.0,350.0,339.55,342.0,341.3,151072.0,518.72
2018-04-12,342.6,346.25,337.5,338.5,338.2,130852.0,445.42
2018-04-13,339.9,344.65,337.0,338.65,339.2,189580.0,646.19
2018-04-16,335.2,340.0,333.15,335.55,335.0,52196.0,175.45
2018-04-17,336.3,338.45,333.95,337.0,335.8,37755.0,126.7
2018-04-18,339.5,339.5,333.9,336.0,335.15,52240.0,175.38
