Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,41.5,41.9,40.9,41.6,41.4,119183.0,49.32
2010-01-05,41.8,42.9,41.5,42.05,42.0,225015.0,94.92
2010-01-06,42.4,44.9,41.9,43.4,43.35,1224256.0,533.27
2010-01-07,44.15,45.05,43.1,43.35,43.35,791347.0,347.52
2010-01-08,43.35,45.5,43.05,44.0,43.95,784580.0,349.06
2010-01-11,44.7,45.5,44.5,44.9,44.8,493078.0,221.47
2010-01-12,46.45,46.45,43.35,43.95,43.6,628876.0,283.06
2010-01-13,43.95,45.4,43.15,44.85,44.85,322311.0,143.95
2010-01-14,45.5,45.7,44.05,45.25,45.2,259319.0,117.17
2010-01-15,45.5,52.45,45.5,49.95,50.3,4731865.0,2392.42
2010-01-18,50.3,50.75,48.05,48.9,49.0,925588.0,461.16
2010-01-19,49.6,50.0,47.05,47.35,47.3,386621.0,188.2
2010-01-20,48.65,49.5,47.25,47.25,47.65,339591.0,164.19
2010-01-21,47.5,50.4,46.35,46.9,46.95,605857.0,294.56
2010-01-22,46.0,46.0,44.6,45.5,45.05,107153.0,48.27
2010-01-25,44.0,46.95,44.0,45.25,46.0,111098.0,50.67
2010-01-27,44.2,46.45,43.7,43.7,43.7,69914.0,30.97
2010-01-28,43.0,43.5,41.55,41.55,41.55,87720.0,36.68
2010-01-29,42.35,43.0,39.5,40.0,40.8,161081.0,65.6
2010-02-01,40.5,42.75,40.0,42.75,42.0,78901.0,32.92
2010-02-02,43.2,44.1,39.9,40.4,40.2,118034.0,49.28
2010-02-03,40.4,41.7,39.5,40.0,39.95,123829.0,50.22
2010-02-04,40.0,40.75,39.0,39.5,39.5,87308.0,34.94
2010-02-05,38.6,39.45,38.1,38.95,38.75,67732.0,26.25
2010-02-06,39.1,40.55,37.55,40.25,39.85,12894.0,5.08
2010-02-08,40.0,40.35,38.15,39.2,39.3,38226.0,14.93
2010-02-09,39.75,40.0,39.0,39.95,39.3,27661.0,10.89
2010-02-10,39.5,40.25,39.15,39.9,39.45,26829.0,10.69
2010-02-11,39.15,39.9,39.15,39.35,39.35,22448.0,8.84
2010-02-15,39.6,40.5,38.3,39.0,38.9,45186.0,17.8
2010-02-16,39.05,39.05,38.5,39.0,38.75,47027.0,18.25
2010-02-17,38.8,40.25,38.8,39.2,39.25,70071.0,27.82
2010-02-18,39.95,39.95,38.5,38.8,38.85,40987.0,16.0
2010-02-19,38.85,39.4,38.3,38.65,38.85,72358.0,28.15
2010-02-22,39.0,39.5,38.05,38.2,38.3,37085.0,14.4
2010-02-23,38.1,38.4,37.7,37.85,37.95,36540.0,13.89
2010-02-24,37.3,37.85,36.65,36.9,36.7,61011.0,22.58
2010-02-25,36.9,37.95,36.9,37.5,37.5,39778.0,14.86
2010-02-26,37.2,38.5,37.2,38.0,37.95,59631.0,22.67
2010-03-02,37.6,38.75,37.6,38.05,38.05,21047.0,8.02
2010-03-03,38.55,39.95,38.55,39.95,39.95,107373.0,42.71
2010-03-04,41.5,41.95,41.0,41.95,41.95,103201.0,43.26
2010-03-05,44.0,44.05,43.4,44.05,44.05,514347.0,226.43
2010-03-08,46.25,48.0,44.5,45.3,45.1,751512.0,341.32
2010-03-09,45.35,46.2,43.55,46.05,45.6,685864.0,310.7
2010-03-10,45.75,46.0,44.5,44.65,44.85,492583.0,222.0
2010-03-11,45.0,46.0,45.0,45.4,45.65,320266.0,144.73
2010-03-12,45.7,45.95,44.5,44.5,44.6,82564.0,37.26
2010-03-15,44.2,44.5,43.5,43.5,43.5,36168.0,15.84
2010-03-16,43.5,43.9,43.0,43.45,43.25,42102.0,18.23
2010-03-17,43.25,44.4,43.0,43.25,43.2,45695.0,19.82
2010-03-18,43.85,45.6,43.25,44.0,44.25,200313.0,89.09
2010-03-19,44.5,44.85,43.35,43.5,43.8,38222.0,16.89
2010-03-22,42.45,43.7,42.2,42.5,42.4,33753.0,14.45
2010-03-23,42.85,44.5,42.85,43.1,43.1,70946.0,30.81
2010-03-25,43.5,44.0,42.7,43.75,43.3,62755.0,27.22
2010-03-26,43.2,43.55,42.9,43.05,43.15,45388.0,19.58
2010-03-29,43.5,43.5,39.8,40.05,40.1,98194.0,40.54
2010-03-30,40.85,40.85,39.35,39.45,39.5,125311.0,50.07
2010-03-31,39.35,40.9,39.35,40.65,40.25,58375.0,23.5
2010-04-01,40.35,42.0,39.6,41.65,41.45,131731.0,54.08
2010-04-05,41.5,42.9,41.5,42.5,42.6,113198.0,48.11
2010-04-06,42.35,45.65,42.3,44.25,43.95,176740.0,78.0
2010-04-07,43.35,44.7,43.05,43.25,43.3,64639.0,28.22
2010-04-08,42.35,44.85,42.15,42.5,42.55,119551.0,52.08
2010-04-09,43.1,44.15,41.5,42.8,42.55,162231.0,69.07
2010-04-12,43.35,43.8,42.5,42.8,42.6,48049.0,20.66
2010-04-13,44.5,44.5,42.5,43.2,43.2,179584.0,78.29
2010-04-15,43.35,44.25,42.3,42.3,42.45,90711.0,39.3
2010-04-16,42.8,44.5,42.0,43.9,43.8,178908.0,77.77
2010-04-19,43.0,43.85,41.7,41.9,41.95,124340.0,52.79
2010-04-20,42.0,43.0,41.9,42.55,42.35,76839.0,32.57
2010-04-21,42.05,43.85,42.05,43.3,43.45,113649.0,49.29
2010-04-22,43.4,45.3,43.25,44.2,44.25,270921.0,120.37
2010-04-23,44.45,44.9,43.75,44.2,44.1,99355.0,43.91
2010-04-26,44.85,44.85,43.2,43.25,43.3,47954.0,21.01
2010-04-27,43.0,43.4,42.35,43.0,42.65,56561.0,24.23
2010-04-28,42.0,43.0,41.8,41.9,42.0,90970.0,38.46
2010-04-29,42.4,42.5,41.8,42.25,42.05,32632.0,13.76
2010-04-30,41.35,42.9,41.35,42.35,42.3,69051.0,29.34
2010-05-03,42.35,42.6,41.75,42.0,42.0,24810.0,10.45
2010-05-04,42.25,42.55,41.2,41.6,41.45,68693.0,28.81
2010-05-05,41.0,41.2,40.0,40.9,40.8,57801.0,23.4
2010-05-06,40.35,41.5,40.35,40.65,40.75,83333.0,33.95
2010-05-07,39.35,40.4,38.9,39.0,39.1,75770.0,29.88
2010-05-10,39.25,40.55,38.75,39.95,40.0,57438.0,22.93
2010-05-11,39.9,40.35,39.45,39.8,39.65,27414.0,10.95
2010-05-12,40.05,40.25,38.5,39.5,39.45,69698.0,27.67
2010-05-13,39.75,40.0,39.0,39.0,39.05,57165.0,22.58
2010-05-14,39.05,39.3,38.0,38.1,38.15,34483.0,13.35
2010-05-17,38.0,38.3,37.6,38.0,38.0,55965.0,21.27
2010-05-18,38.85,38.85,37.25,37.3,37.4,124015.0,46.99
