Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,4.25,4.45,4.15,4.4,4.4,6103.0,0.26
2010-01-05,4.45,4.45,4.2,4.4,4.4,854.0,0.04
2010-01-06,4.25,4.6,4.25,4.6,4.6,1876.0,0.08
2010-01-07,4.75,4.75,4.4,4.65,4.65,5550.0,0.25
2010-01-08,4.5,4.7,4.5,4.7,4.7,4567.0,0.21
2010-01-11,4.5,4.75,4.5,4.5,4.5,5535.0,0.26
2010-01-12,4.5,4.5,4.3,4.45,4.45,3003.0,0.13
2010-01-13,4.5,4.5,4.5,4.5,4.5,118.0,0.01
2010-01-14,4.35,4.65,4.35,4.65,4.6,2100.0,0.09
2010-01-15,4.45,4.65,4.45,4.5,4.5,3408.0,0.15
2010-01-18,4.3,4.75,4.3,4.65,4.65,6650.0,0.29
2010-01-19,4.45,4.5,4.45,4.5,4.5,1300.0,0.06
2010-01-20,4.4,4.4,4.4,4.4,4.4,107.0,0.0
2010-01-21,4.55,4.55,4.2,4.45,4.45,1120.0,0.05
2010-01-25,4.7,4.7,4.7,4.7,4.7,3.0,0.0
2010-01-27,4.5,4.9,4.5,4.5,4.5,1430.0,0.06
2010-01-28,4.3,4.65,4.3,4.65,4.65,1001.0,0.04
2010-02-01,4.7,4.7,4.45,4.65,4.65,1107.0,0.05
2010-02-02,4.75,4.75,4.45,4.65,4.65,1105.0,0.05
2010-02-04,4.45,4.45,4.45,4.45,4.45,3.0,0.0
2010-02-15,3.3,3.65,3.3,3.65,3.65,8121.0,0.29
2010-02-16,3.5,3.8,3.5,3.5,3.5,1430.0,0.05
2010-02-17,3.4,3.7,3.4,3.7,3.7,7280.0,0.26
2010-02-18,3.75,3.8,3.7,3.7,3.7,301.0,0.01
2010-02-19,3.7,3.7,3.7,3.7,3.7,525.0,0.02
2010-02-22,3.6,3.6,3.55,3.55,3.55,300.0,0.01
2010-02-23,3.55,3.6,3.4,3.4,3.4,410.0,0.01
2010-02-24,3.4,3.4,3.35,3.4,3.4,1500.0,0.05
2010-02-25,3.25,3.5,3.25,3.5,3.5,1036.0,0.03
2010-02-26,3.6,3.6,3.35,3.35,3.35,1000.0,0.03
2010-03-02,3.5,3.5,3.2,3.4,3.4,625.0,0.02
2010-03-03,3.25,3.6,3.25,3.4,3.4,6441.0,0.21
2010-03-04,3.4,3.5,3.25,3.45,3.25,3403.0,0.11
2010-03-05,3.45,3.45,3.2,3.4,3.4,2450.0,0.08
2010-03-08,3.5,3.6,3.25,3.3,3.3,5686.0,0.2
2010-03-09,3.3,3.45,3.3,3.3,3.3,2601.0,0.09
2010-03-10,3.2,3.2,3.2,3.2,3.2,151.0,0.0
2010-03-11,3.25,3.4,3.1,3.4,3.4,2421.0,0.08
2010-03-12,3.25,3.5,3.25,3.4,3.4,4225.0,0.14
2010-03-15,3.4,3.6,3.25,3.3,3.3,9769.0,0.35
2010-03-17,3.5,3.5,3.3,3.3,3.3,300.0,0.01
2010-03-18,3.3,3.4,3.15,3.4,3.4,1222.0,0.04
2010-03-19,3.25,3.45,3.25,3.4,3.4,2105.0,0.07
2010-03-22,3.25,3.25,3.25,3.25,3.25,1112.0,0.04
2010-03-23,3.1,3.1,3.1,3.1,3.1,398.0,0.01
2010-03-29,3.1,3.1,3.1,3.1,3.1,1100.0,0.03
2010-03-30,3.1,3.1,3.1,3.1,3.1,2300.0,0.07
2010-04-01,2.95,3.3,2.95,3.3,3.3,2200.0,0.07
2010-04-05,3.3,3.5,3.3,3.45,3.45,2175.0,0.07
2010-04-06,3.65,3.65,3.3,3.65,3.4,707.0,0.02
2010-04-07,3.35,3.55,3.3,3.55,3.55,3538.0,0.12
2010-04-08,3.55,3.65,3.4,3.65,3.4,2303.0,0.08
2010-04-09,3.6,3.6,3.6,3.6,3.6,102.0,0.0
2010-04-12,3.8,3.8,3.5,3.5,3.5,104.0,0.0
2010-04-13,3.5,3.7,3.5,3.7,3.7,1141.0,0.04
2010-04-15,3.9,3.9,3.55,3.55,3.55,1702.0,0.06
2010-04-16,3.7,3.7,3.45,3.6,3.6,303.0,0.01
2010-04-20,3.7,3.75,3.55,3.55,3.55,11000.0,0.4
2010-04-21,3.7,3.7,3.7,3.7,3.7,400.0,0.01
2010-04-22,3.9,3.9,3.9,3.9,3.9,1.0,0.0
2010-04-23,4.05,4.05,3.7,3.75,3.75,253.0,0.01
2010-04-26,3.9,3.9,3.9,3.9,3.9,1.0,0.0
