Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,2160.0,2218.0,2150.0,2168.0,2174.7,982.0,21.42
2010-01-05,2200.0,2209.95,2172.25,2198.0,2197.5,783.0,17.2
2010-01-06,2175.05,2200.0,2175.0,2178.0,2184.7,852.0,18.67
2010-01-07,2173.0,2189.95,2135.0,2145.1,2153.7,596.0,12.91
2010-01-08,2145.0,2180.0,2141.1,2175.0,2167.8,584.0,12.59
2010-01-11,2175.05,2309.0,2160.0,2309.0,2292.5,3131.0,70.83
2010-01-12,2289.95,2394.0,2289.95,2360.0,2353.45,5773.0,135.47
2010-01-13,2364.0,2364.0,2280.0,2350.0,2347.85,3365.0,78.56
2010-01-14,2360.0,2435.95,2360.0,2425.0,2427.15,9769.0,236.56
2010-01-15,2439.0,2460.0,2391.15,2435.0,2432.35,1899.0,46.04
2010-01-18,2421.0,2427.95,2372.0,2400.0,2400.9,1297.0,31.22
2010-01-19,2400.0,2409.95,2325.0,2325.0,2346.4,507.0,11.99
2010-01-20,2425.0,2425.0,2300.0,2324.8,2313.5,381.0,8.86
2010-01-21,2286.05,2339.85,2275.0,2295.0,2295.35,753.0,17.4
2010-01-22,2275.0,2350.0,2194.0,2290.0,2283.6,1083.0,24.55
2010-01-25,2330.0,2330.0,2232.05,2240.0,2256.9,120.0,2.72
2010-01-27,2226.7,2275.0,2175.4,2194.0,2197.0,1620.0,36.01
2010-01-28,2225.0,2225.0,2195.2,2224.0,2206.65,570.0,12.57
2010-01-29,2200.05,2272.0,2176.1,2252.05,2241.2,546.0,12.02
2010-02-01,2399.0,2399.0,2246.0,2270.0,2263.85,2911.0,66.19
2010-02-02,2305.0,2375.0,2266.0,2266.0,2277.7,4819.0,112.2
2010-02-03,2370.0,2370.0,2285.0,2296.95,2296.2,1437.0,33.34
2010-02-04,2286.6,2315.0,2281.0,2305.5,2305.65,778.0,17.9
2010-02-05,2282.0,2289.9,2200.0,2205.0,2202.1,12932.0,290.69
2010-02-06,2349.0,2349.0,2227.1,2227.1,2232.15,482.0,10.87
2010-02-08,2284.0,2339.9,2229.0,2305.5,2299.2,794.0,18.03
2010-02-09,2276.05,2324.65,2201.05,2273.0,2275.55,2423.0,55.2
2010-02-10,2300.0,2300.0,2212.05,2250.2,2262.15,550.0,12.49
2010-02-11,2279.5,2300.0,2249.9,2265.05,2266.9,958.0,21.72
2010-02-15,2305.0,2305.0,2260.0,2279.85,2264.3,935.0,21.41
2010-02-16,2265.0,2285.95,2251.15,2265.0,2275.7,379.0,8.61
2010-02-17,2370.0,2370.0,2271.4,2331.0,2351.9,2468.0,57.41
2010-02-18,2265.0,2390.0,2265.0,2350.0,2352.6,742.0,17.55
2010-02-19,2350.0,2350.0,2300.0,2313.1,2317.4,444.0,10.28
2010-02-22,2367.0,2450.0,2325.05,2375.0,2380.55,7994.0,190.97
2010-02-23,2398.0,2400.1,2361.3,2365.0,2367.05,726.0,17.35
2010-02-24,2330.0,2381.5,2330.0,2378.9,2367.15,1997.0,47.01
2010-02-25,2399.0,2407.0,2325.1,2399.95,2397.1,1920.0,45.62
2010-02-26,2400.1,2428.0,2375.0,2399.0,2399.2,824.0,19.8
2010-03-02,2430.0,2477.0,2410.0,2458.0,2449.2,1312.0,31.98
2010-03-03,2449.95,2600.0,2449.95,2600.0,2561.25,8600.0,219.63
2010-03-04,2590.0,2712.9,2590.0,2662.4,2666.95,5078.0,135.21
2010-03-05,2740.0,2747.0,2650.0,2660.0,2654.1,2219.0,59.59
2010-03-08,2675.0,2698.0,2620.0,2654.8,2645.65,584.0,15.56
2010-03-09,2636.15,2650.0,2605.0,2605.1,2606.2,610.0,15.96
2010-03-10,2637.0,2670.0,2611.0,2646.0,2643.05,426.0,11.26
2010-03-11,2648.65,2648.65,2605.0,2628.0,2609.05,287.0,7.51
2010-03-12,2601.8,2630.0,2600.0,2615.0,2608.65,174.0,4.54
2010-03-15,2575.0,2575.0,2550.05,2550.05,2552.85,733.0,18.78
2010-03-16,2527.0,2578.0,2525.0,2530.0,2541.3,1506.0,38.55
2010-03-17,2575.0,2608.0,2551.0,2608.0,2565.55,747.0,19.22
2010-03-18,2598.95,2600.0,2552.05,2574.9,2561.2,482.0,12.41
2010-03-19,2565.0,2598.95,2555.5,2556.15,2565.25,568.0,14.58
2010-03-22,2550.0,2587.55,2540.1,2540.1,2551.95,443.0,11.36
2010-03-23,2556.1,2590.0,2537.0,2589.0,2572.85,1018.0,26.11
2010-03-25,2639.95,2650.0,2560.0,2650.0,2626.4,924.0,24.08
2010-03-26,2623.35,2636.0,2601.0,2610.0,2603.9,695.0,18.15
2010-03-29,2600.05,2600.05,2493.2,2550.0,2550.15,825.0,21.07
2010-03-30,2575.0,2585.0,2555.15,2578.25,2579.95,443.0,11.39
2010-03-31,2552.0,2700.0,2552.0,2689.0,2651.1,1038.0,27.1
2010-04-01,2685.05,2785.0,2650.0,2777.0,2746.3,2587.0,70.3
2010-04-05,2721.0,2799.85,2700.15,2760.0,2776.3,1715.0,47.31
2010-04-06,2789.95,2789.95,2720.0,2755.0,2721.65,657.0,17.95
2010-04-07,2759.9,2790.0,2670.0,2670.0,2683.65,899.0,24.54
2010-04-08,2699.95,2699.95,2650.0,2680.0,2679.95,2136.0,56.9
2010-04-09,2676.3,2769.9,2660.0,2665.0,2691.3,1073.0,29.03
2010-04-12,2664.0,2694.8,2651.05,2660.1,2664.45,351.0,9.36
2010-04-13,2656.0,2725.0,2645.0,2655.0,2669.9,410.0,10.95
2010-04-15,2719.9,2801.0,2680.0,2700.15,2711.35,3368.0,92.14
2010-04-16,2828.0,2828.0,2703.05,2751.0,2750.45,466.0,12.8
2010-04-19,2642.6,2750.0,2642.6,2716.0,2718.6,510.0,13.88
2010-04-20,2718.7,3029.95,2710.0,2975.0,2927.6,6009.0,174.11
2010-04-21,3050.0,3264.8,2950.0,3200.0,3204.45,11316.0,351.96
2010-04-22,3204.0,3274.0,2660.0,3000.0,2897.85,37531.0,1121.28
2010-04-23,3100.0,3100.0,2773.0,2779.0,2815.6,26805.0,770.99
2010-04-26,2825.0,2860.0,2770.0,2788.0,2790.5,6943.0,195.88
2010-04-27,2822.0,2833.0,2705.0,2725.9,2720.05,4001.0,110.79
2010-04-28,2660.0,2700.0,2634.0,2690.0,2685.95,5645.0,150.56
2010-04-29,2700.0,2710.0,2651.0,2671.0,2684.5,2008.0,53.97
2010-04-30,2695.0,2715.0,2651.0,2665.0,2667.3,1240.0,33.26
2010-05-03,2641.0,2678.0,2571.0,2588.05,2591.7,2273.0,59.6
2010-05-04,2566.0,2637.3,2375.0,2400.0,2408.6,8986.0,222.21
2010-05-05,2388.0,2515.0,2321.0,2509.85,2498.2,7800.0,189.08
2010-05-06,2473.0,2625.0,2473.0,2621.9,2609.5,3587.0,92.54
2010-05-07,2550.0,2615.0,2527.15,2532.1,2538.95,2518.0,64.5
2010-05-10,2540.5,2599.75,2540.0,2582.0,2582.55,1271.0,32.6
2010-05-11,2582.8,2599.0,2500.05,2526.05,2545.6,2407.0,61.22
2010-05-12,2522.15,2568.0,2500.0,2537.0,2542.9,1568.0,39.66
2010-05-13,2517.0,2580.0,2517.0,2565.15,2566.2,1292.0,33.07
2010-05-14,2594.0,2594.0,2475.5,2475.5,2495.45,854.0,21.59
2010-05-17,2500.0,2548.0,2426.0,2495.05,2503.65,704.0,17.66
2010-05-18,2500.0,2655.0,2500.0,2635.0,2625.4,1666.0,43.51
2010-05-19,2583.05,2714.0,2582.0,2680.0,2683.7,6060.0,162.41
2010-05-20,2657.0,2725.0,2657.0,2699.9,2688.05,1494.0,40.21
2010-05-21,2688.0,2799.0,2566.0,2702.0,2735.7,2962.0,80.11
2010-05-24,2662.0,2725.0,2660.55,2700.0,2692.45,1008.0,27.17
2010-05-25,2666.0,2694.0,2609.9,2645.0,2637.55,757.0,20.02
2010-05-26,2632.0,2727.95,2632.0,2700.0,2711.1,2146.0,57.6
2010-05-27,2657.3,2698.0,2600.0,2625.0,2627.75,1211.0,31.99
2010-05-28,2640.0,2685.0,2611.0,2611.0,2633.5,326.0,8.65
2010-05-31,2625.0,2658.0,2590.0,2609.0,2599.95,1180.0,30.73
2010-06-01,2574.0,2659.0,2570.0,2615.0,2615.3,763.0,19.96
2010-06-02,2615.3,2639.9,2551.0,2625.0,2627.8,349.0,9.13
2010-06-03,2613.9,2698.0,2613.9,2650.0,2651.2,509.0,13.52
2010-06-04,2675.0,2675.0,2600.0,2645.0,2640.75,838.0,22.01
2010-06-07,2605.0,2824.4,2601.0,2765.0,2752.65,2113.0,57.51
2010-06-08,2770.0,2805.0,2655.2,2692.4,2689.95,1728.0,47.55
2010-06-09,2727.0,2748.0,2695.0,2716.05,2723.0,2743.0,74.31
2010-06-10,2734.0,2778.95,2704.0,2718.0,2722.05,1239.0,33.88
2010-06-11,2666.05,2777.0,2666.05,2706.3,2715.5,429.0,11.71
2010-06-14,2705.65,2722.0,2702.0,2714.8,2713.75,157.0,4.26
2010-06-15,2655.0,2960.0,2655.0,2730.0,2742.9,26885.0,770.15
2010-06-16,2799.0,2965.0,2751.05,2887.0,2899.45,18090.0,525.59
2010-06-17,2924.0,2980.0,2865.0,2978.0,2966.15,5823.0,171.74
2010-06-18,2942.0,3048.95,2850.5,2882.05,2872.7,6838.0,203.52
2010-06-21,2915.0,2949.0,2860.1,2865.0,2874.3,1219.0,35.43
2010-06-22,2811.1,2905.0,2811.1,2846.0,2856.15,966.0,27.74
2010-06-23,2870.0,2894.85,2725.0,2815.4,2806.2,6750.0,187.86
2010-06-24,2810.0,2869.95,2710.0,2726.9,2726.85,4724.0,130.23
2010-06-25,2716.65,2764.95,2716.65,2735.0,2736.25,1176.0,32.18
2010-06-28,2800.0,2999.0,2720.0,2950.0,2902.9,5472.0,157.09
2010-06-29,2940.0,3118.8,2816.0,2840.0,2874.2,55240.0,1667.44
2010-06-30,2825.0,2940.0,2825.0,2900.0,2897.2,8174.0,237.81
2010-07-01,2939.0,2960.0,2850.0,2940.0,2928.4,4319.0,125.86
2010-07-02,2899.0,3005.0,2899.0,2965.0,2974.5,10742.0,320.03
2010-07-05,3001.0,3012.0,2909.65,2920.0,2937.45,1631.0,48.39
2010-07-06,2925.0,2988.0,2925.0,2940.0,2968.65,2121.0,62.96
2010-07-07,3010.0,3010.0,2942.5,2975.0,2969.0,1894.0,56.12
2010-07-08,2993.0,3064.95,2950.15,3015.0,2992.2,7180.0,215.36
2010-07-09,3001.0,3040.0,2992.05,3010.0,3006.65,3774.0,113.81
2010-07-12,3040.0,3040.0,2970.0,3009.0,2983.75,1496.0,44.99
2010-07-13,2979.9,3039.25,2976.0,3039.25,3023.6,3951.0,118.98
2010-07-14,3070.0,3070.0,2999.0,3010.0,3011.35,1175.0,35.49
2010-07-15,2981.0,3038.0,2981.0,3033.0,3027.8,1957.0,59.03
2010-07-16,3055.55,3094.0,2800.0,2812.0,2841.65,41152.0,1184.34
2010-07-19,2807.0,2929.0,2750.0,2772.05,2771.4,9459.0,266.31
2010-07-20,2770.0,2825.0,2770.0,2818.0,2813.85,2293.0,64.24
2010-07-21,2786.0,2859.9,2786.0,2817.0,2803.0,5066.0,142.01
2010-07-22,2826.9,2850.0,2802.0,2845.0,2835.7,2980.0,84.38
2010-07-23,2862.5,2862.5,2805.0,2835.0,2836.55,3069.0,87.0
2010-07-26,2817.1,2817.95,2800.0,2810.0,2811.35,1867.0,52.41
2010-07-27,2785.25,2862.0,2785.0,2815.0,2806.1,1226.0,34.45
2010-07-28,2778.0,2817.95,2760.05,2773.0,2764.25,4853.0,134.74
2010-07-29,2811.0,2850.0,2752.0,2817.5,2836.55,3506.0,98.57
2010-07-30,2850.0,2850.0,2788.0,2800.0,2799.4,709.0,19.92
2010-08-02,2848.0,2900.0,2805.0,2835.0,2830.95,1516.0,42.8
2010-08-03,2885.0,2885.0,2802.3,2825.0,2825.1,2203.0,62.4
2010-08-04,2825.0,2864.7,2810.05,2854.7,2845.3,2275.0,64.41
2010-08-05,2864.7,2864.7,2740.0,2740.0,2748.15,8777.0,243.59
2010-08-06,2785.0,2788.0,2690.0,2714.0,2708.4,2177.0,59.74
2010-08-09,2700.05,2750.0,2695.0,2724.0,2710.75,2452.0,66.87
2010-08-10,2739.9,2750.0,2625.0,2657.1,2663.1,1573.0,42.14
2010-08-11,2719.0,2719.0,2650.0,2660.0,2671.15,795.0,21.3
2010-08-12,2649.8,2671.15,2625.0,2640.0,2646.65,961.0,25.39
2010-08-13,2642.05,2670.0,2580.0,2581.1,2597.05,1639.0,42.75
2010-08-16,2669.0,2669.0,2575.0,2580.0,2589.6,1884.0,48.96
2010-08-17,2644.9,2644.9,2540.0,2545.0,2552.9,850.0,21.84
2010-08-18,2560.0,2654.0,2525.0,2620.0,2599.65,1536.0,39.78
2010-08-19,2650.0,2680.0,2561.0,2625.0,2613.4,1102.0,28.87
2010-08-20,2611.0,2621.9,2575.0,2575.0,2588.3,523.0,13.54
2010-08-23,2562.0,2649.0,2561.2,2575.0,2570.55,871.0,22.48
