Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,49.2,50.9,48.9,50.35,50.25,3087181.0,1548.66
2010-01-05,51.2,52.0,50.05,51.5,51.65,4532584.0,2324.64
2010-01-06,52.0,52.25,49.8,50.3,50.2,2547033.0,1297.87
2010-01-07,50.5,51.15,49.2,50.4,50.45,2590121.0,1304.82
2010-01-08,50.8,50.95,49.85,50.25,50.1,1148491.0,578.85
2010-01-11,50.5,50.95,50.05,50.3,50.3,1455934.0,734.36
2010-01-12,50.1,51.3,49.7,50.05,50.0,1837069.0,929.62
2010-01-13,49.5,50.8,49.05,50.4,50.5,1610464.0,804.12
2010-01-14,51.5,51.5,50.3,50.95,50.8,1481234.0,752.9
2010-01-15,51.35,52.15,50.7,51.0,51.05,2394148.0,1232.72
2010-01-18,51.5,52.5,51.05,52.05,52.1,2192341.0,1140.91
2010-01-19,52.45,52.45,49.85,50.4,50.2,1407581.0,716.47
2010-01-20,51.2,52.5,50.5,50.9,50.85,1776580.0,910.63
2010-01-21,50.5,51.0,49.1,49.75,49.8,1282979.0,642.19
2010-01-22,48.25,50.5,46.5,49.45,49.5,2011610.0,985.89
2010-01-25,49.45,49.55,47.7,48.5,49.0,1833490.0,895.09
2010-01-27,48.65,49.2,46.05,46.15,46.65,2199631.0,1045.77
2010-01-28,47.1,48.2,46.05,46.4,46.4,1781331.0,837.58
2010-01-29,46.0,48.5,45.55,48.25,48.0,1592920.0,746.21
2010-02-01,48.5,48.7,47.1,47.65,47.55,1480067.0,704.54
2010-02-02,48.2,48.4,46.15,46.5,46.45,1158802.0,547.29
2010-02-03,47.3,47.45,46.5,47.0,46.85,1063666.0,498.99
2010-02-04,47.0,47.15,45.5,46.0,45.8,905485.0,419.23
2010-02-05,45.1,46.5,44.5,46.15,45.8,2186783.0,993.4
2010-02-06,46.6,47.9,46.6,47.7,47.55,893586.0,421.89
2010-02-08,49.0,49.4,47.6,48.25,48.05,3110366.0,1504.5
2010-02-09,48.05,48.55,47.55,47.8,47.85,1463585.0,702.45
