Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-08-16,37.15,37.5,34.2,35.2,35.05,1242661.0,437.56
2016-08-17,35.35,36.5,35.15,36.2,36.1,1062719.0,382.14
2016-08-18,36.4,36.65,36.0,36.3,36.15,575478.0,208.91
2016-08-19,36.4,37.95,35.25,37.0,37.15,1162926.0,430.44
2016-08-22,37.4,37.55,36.1,36.35,36.35,397597.0,146.41
2016-08-23,36.55,37.0,35.75,36.4,36.35,790150.0,286.73
2016-08-24,36.5,36.5,33.4,34.05,33.9,2104478.0,728.35
2016-08-25,33.9,34.6,31.8,34.0,33.95,1527980.0,513.36
2016-08-26,34.0,34.35,33.15,33.95,33.85,1119632.0,376.93
2016-08-29,33.6,34.75,33.4,33.75,33.75,821966.0,278.82
2016-08-30,33.95,36.05,33.95,35.7,35.65,1531115.0,539.0
2016-08-31,34.95,36.1,34.7,35.55,35.65,790699.0,282.17
2016-09-01,35.75,36.65,35.1,35.7,35.6,608012.0,217.81
2016-09-02,35.9,36.25,34.9,35.4,35.6,742830.0,263.87
2016-09-06,35.8,35.9,34.7,35.0,35.0,496407.0,175.33
2016-09-07,35.15,35.5,34.15,34.65,34.5,968875.0,340.02
2016-09-08,34.5,35.6,34.5,35.15,35.15,1229105.0,431.43
2016-09-09,35.2,35.3,34.4,34.65,34.6,341777.0,118.52
2016-09-12,33.7,35.5,33.2,34.2,34.35,1095938.0,381.13
2016-09-14,34.5,36.45,34.3,36.2,35.9,879283.0,312.1
2016-09-15,36.85,37.4,35.0,35.1,35.4,1526419.0,552.83
2016-09-16,35.5,36.4,35.2,36.0,35.6,727935.0,259.84
2016-09-19,35.65,37.0,35.65,36.7,36.7,1311812.0,481.12
2016-09-20,36.7,37.95,36.6,36.95,37.1,1727036.0,646.43
2016-09-21,37.4,38.4,36.65,37.45,37.35,1166752.0,438.19
2016-09-22,37.8,38.55,37.45,37.85,38.0,2158750.0,819.55
2016-09-23,38.3,40.1,37.75,39.5,39.5,3608158.0,1412.24
2016-09-26,39.5,40.85,39.5,40.05,39.85,1710724.0,687.63
2016-09-27,40.4,40.6,38.15,38.8,38.8,1665209.0,660.33
2016-09-28,39.15,41.4,38.45,41.3,41.0,3164893.0,1275.87
2016-09-29,41.35,41.8,32.8,37.45,36.9,3458453.0,1311.67
2016-09-30,36.8,39.8,36.8,39.6,39.55,1121655.0,436.78
2016-10-03,39.8,43.7,39.8,43.2,42.8,3697261.0,1549.82
2016-10-04,42.85,44.0,41.85,43.7,43.8,2511233.0,1084.85
2016-10-05,43.6,45.95,43.0,44.8,45.0,2488420.0,1110.43
2016-10-06,45.2,46.0,43.2,44.15,44.4,1875714.0,843.65
2016-10-07,44.7,44.9,42.7,42.75,43.05,978409.0,425.22
2016-10-10,43.25,43.65,41.9,42.2,42.15,743022.0,315.87
2016-10-13,42.0,43.85,40.7,43.15,42.85,886508.0,371.84
2016-10-14,43.05,43.55,41.1,41.75,42.0,1012060.0,430.02
2016-10-17,42.0,42.75,41.6,42.25,41.95,545756.0,230.28
2016-10-18,42.4,42.9,41.9,42.05,42.35,475727.0,201.7
2016-10-19,42.05,42.9,41.8,42.65,42.6,824377.0,349.92
2016-10-20,42.8,42.9,42.1,42.65,42.55,581714.0,247.45
2016-10-21,42.15,43.75,42.15,43.4,43.5,1037958.0,448.83
2016-10-24,43.7,46.75,43.7,45.65,45.65,2112657.0,969.15
2016-10-25,45.7,47.4,44.75,47.3,46.85,1058615.0,488.42
2016-10-26,47.2,47.75,45.4,46.4,45.9,1299803.0,606.98
2016-10-27,46.0,47.25,44.6,45.3,45.2,768023.0,350.1
2016-10-28,45.35,46.95,45.0,46.65,46.7,791053.0,366.36
2016-10-30,47.15,47.8,46.8,46.95,47.15,348841.0,164.75
2016-11-01,47.7,47.7,45.1,46.2,46.4,516996.0,242.13
2016-11-02,45.0,46.15,44.5,45.7,45.45,571711.0,259.49
2016-11-03,45.1,46.5,44.95,45.4,45.25,731622.0,334.9
2016-11-04,45.1,45.7,41.6,43.8,43.45,1079579.0,469.85
2016-11-07,44.15,46.05,44.0,44.0,44.5,981693.0,444.16
2016-11-08,44.9,45.25,43.5,43.85,43.75,621498.0,274.8
2016-11-09,36.5,41.9,35.0,41.3,41.15,2236410.0,883.53
2016-11-10,42.05,44.85,42.05,43.8,43.65,986132.0,431.19
2016-11-11,42.15,45.9,42.15,45.3,44.65,1996915.0,894.94
2016-11-15,46.0,46.0,38.6,39.05,39.95,1655922.0,700.01
2016-11-16,40.5,43.5,38.55,38.95,39.0,765177.0,308.78
2016-11-17,39.15,40.5,36.1,38.0,37.9,1120248.0,424.43
2016-11-18,37.5,38.0,36.0,36.65,36.3,552869.0,204.41
2016-11-21,36.7,36.85,32.65,33.45,33.2,817336.0,280.58
2016-11-22,33.7,37.65,33.7,36.0,35.95,1201844.0,428.91
2016-11-23,36.3,37.0,35.0,36.4,36.45,584027.0,210.19
2016-11-24,36.35,36.9,35.5,36.15,36.05,424286.0,153.39
2016-11-25,36.5,37.6,36.35,37.1,37.1,736990.0,272.27
2016-11-28,37.25,38.0,37.05,37.3,37.4,483817.0,181.07
2016-11-29,37.75,38.25,36.65,37.4,37.35,587755.0,222.03
2016-11-30,37.6,37.85,36.9,37.4,37.4,448288.0,167.24
2016-12-01,37.5,37.9,36.8,37.1,36.9,813478.0,301.83
2016-12-02,36.9,37.3,36.3,36.4,36.5,296526.0,109.1
2016-12-05,36.5,37.0,36.3,36.45,36.45,327187.0,119.65
2016-12-06,36.4,37.2,36.4,36.4,36.55,219298.0,80.65
2016-12-07,36.7,37.25,35.8,36.25,36.25,325067.0,119.48
2016-12-08,36.6,37.5,36.5,36.9,36.9,281491.0,104.27
2016-12-09,37.0,37.45,36.45,36.7,36.6,279052.0,102.7
2016-12-12,36.55,37.25,36.25,36.25,36.45,335296.0,123.26
2016-12-13,36.1,36.85,35.95,36.0,36.2,308942.0,112.66
2016-12-14,36.0,36.85,34.55,34.75,34.8,524675.0,187.46
2016-12-15,34.5,36.3,34.35,35.0,34.95,306977.0,108.09
2016-12-16,35.0,35.6,34.8,34.85,35.05,410084.0,144.3
2016-12-19,35.1,35.1,34.05,34.25,34.25,365870.0,125.65
2016-12-20,34.3,35.45,32.85,35.2,34.9,578453.0,196.67
2016-12-21,35.2,36.05,34.5,34.8,35.25,368419.0,130.87
2016-12-22,34.9,34.95,33.65,33.9,34.05,444244.0,151.75
2016-12-23,34.55,34.85,34.1,34.25,34.25,406878.0,139.85
2016-12-26,34.25,34.3,33.7,34.3,34.0,182446.0,62.03
2016-12-27,34.0,34.0,32.9,33.45,33.25,483258.0,161.46
2016-12-28,33.25,35.7,32.9,33.25,33.1,1483981.0,499.54
2016-12-29,33.2,34.0,33.1,33.25,33.3,270549.0,90.58
2016-12-30,33.5,33.85,33.2,33.25,33.25,560963.0,187.36
2017-01-02,33.3,33.95,33.25,33.6,33.7,408711.0,137.82
2017-01-03,33.85,36.1,33.45,35.7,35.9,1151756.0,407.64
2017-01-04,36.05,37.5,36.05,36.6,36.7,854782.0,314.68
2017-01-05,37.0,38.75,37.0,38.45,38.6,825690.0,313.76
2017-01-06,38.85,40.4,38.3,40.2,39.85,1505082.0,591.84
2017-01-09,40.35,41.8,40.3,41.8,41.55,1177932.0,485.16
2017-01-10,41.75,42.6,41.5,42.55,42.4,998424.0,421.54
2017-01-11,42.65,44.0,42.65,43.95,43.6,2259190.0,974.68
2017-01-12,43.85,44.15,42.35,42.5,42.7,783179.0,337.66
2017-01-13,42.8,43.3,41.05,41.65,41.45,575787.0,241.13
2017-01-16,41.0,42.5,41.0,42.4,42.15,563382.0,236.47
2017-01-17,42.3,43.65,42.3,42.95,43.1,1024266.0,441.71
2017-01-18,43.0,43.35,42.5,42.6,42.65,263744.0,112.76
2017-01-19,42.45,42.8,41.7,41.85,42.1,344161.0,144.98
2017-01-20,41.85,41.95,40.8,41.65,41.4,453576.0,188.13
2017-01-23,41.3,42.45,40.6,42.4,42.15,346634.0,144.29
2017-01-24,42.3,42.7,41.5,42.4,42.15,310182.0,130.74
2017-01-25,42.5,43.55,41.9,43.25,43.15,443699.0,189.26
2017-01-27,44.0,44.0,42.6,43.2,43.3,446671.0,193.0
2017-01-30,43.25,43.75,42.75,43.0,43.1,445158.0,192.52
2017-01-31,43.45,43.7,41.55,41.55,42.05,197164.0,83.94
2017-02-01,42.0,42.95,40.25,42.8,42.8,363470.0,152.31
2017-02-02,42.6,45.5,41.5,45.3,45.25,2234479.0,998.24
2017-02-03,45.3,47.55,45.1,47.5,47.25,2092796.0,972.54
2017-02-06,47.75,49.4,47.5,49.05,49.2,2092656.0,1021.14
2017-02-07,49.25,49.5,47.0,47.2,47.45,1183281.0,567.48
2017-02-08,47.6,47.9,46.7,47.6,47.7,556991.0,264.66
2017-02-09,48.0,48.95,46.9,47.05,47.3,1390661.0,664.47
2017-02-10,47.45,48.2,46.3,46.65,46.85,1338771.0,635.81
2017-02-13,47.4,47.45,44.25,44.85,44.65,2130651.0,974.3
2017-02-14,45.4,45.9,44.0,45.6,45.65,698748.0,316.22
2017-02-15,45.6,45.85,43.5,43.8,43.65,581973.0,259.8
2017-02-16,44.25,46.0,43.3,45.6,45.75,784124.0,351.64
2017-02-17,46.0,46.8,45.5,45.85,45.85,878582.0,404.91
2017-02-20,45.55,46.3,44.85,45.6,45.7,391167.0,179.07
2017-02-21,45.8,46.4,44.15,44.35,44.8,400826.0,181.26
2017-02-22,44.95,45.4,44.0,44.25,44.2,249155.0,111.25
2017-02-23,44.2,44.7,43.2,43.6,43.65,452197.0,198.61
2017-02-27,43.5,44.2,43.2,43.65,43.95,395619.0,172.91
2017-02-28,44.0,44.1,43.2,43.2,43.4,255513.0,111.76
2017-03-01,43.6,44.6,43.0,43.9,44.1,1474745.0,642.72
2017-03-02,44.0,45.25,43.95,44.6,44.7,1556167.0,689.91
2017-03-03,44.9,45.05,44.15,44.4,44.8,1178876.0,525.36
2017-03-06,44.8,45.25,43.9,44.0,44.05,260255.0,115.65
2017-03-07,44.2,44.25,43.05,43.6,43.55,270721.0,118.04
2017-03-08,43.55,43.8,42.5,42.75,42.8,132150.0,57.1
2017-03-09,42.7,43.8,42.5,43.55,43.5,1135273.0,490.32
2017-03-10,43.8,44.25,42.25,42.35,42.6,467739.0,203.07
2017-03-14,43.5,44.8,42.8,44.15,44.55,1329046.0,576.7
2017-03-15,44.6,45.4,43.65,44.0,43.95,510350.0,228.08
2017-03-16,44.1,44.8,43.75,44.0,43.9,494914.0,219.33
2017-03-17,44.25,44.45,43.5,43.6,43.8,333052.0,146.05
2017-03-20,44.05,44.25,43.5,44.0,44.0,543855.0,238.91
2017-03-21,44.1,44.95,43.0,43.25,43.3,373335.0,163.56
2017-03-22,43.3,43.8,42.75,43.8,43.65,323526.0,140.47
2017-03-23,43.9,44.3,43.35,43.5,43.55,218740.0,96.01
2017-03-24,43.8,44.25,42.75,42.75,43.0,390352.0,170.0
2017-03-27,42.9,44.0,42.75,43.9,43.7,659040.0,286.7
2017-03-28,43.75,44.05,42.8,43.2,43.0,504163.0,218.34
2017-03-29,43.45,43.75,42.45,42.9,42.85,649581.0,279.18
2017-03-30,42.85,43.55,42.55,43.1,42.75,331999.0,142.8
2017-03-31,43.0,44.0,42.6,43.8,43.75,332507.0,144.09
2017-04-03,44.0,48.2,44.0,47.6,47.35,2191529.0,1026.45
2017-04-05,47.9,52.0,47.6,50.2,49.9,4138098.0,2078.22
2017-04-06,49.9,50.2,48.25,49.25,49.0,2356526.0,1153.69
2017-04-07,48.35,51.2,48.35,50.4,50.5,1648064.0,832.74
2017-04-10,50.85,51.45,49.7,50.3,50.05,728446.0,366.61
2017-04-11,50.1,50.9,49.9,50.0,50.15,525094.0,264.15
2017-04-12,50.1,50.15,47.4,48.8,48.65,739308.0,361.6
2017-04-13,48.95,50.1,48.05,48.8,48.25,327865.0,159.58
2017-04-17,50.85,50.85,48.8,50.0,49.65,1099966.0,546.56
2017-04-18,50.2,50.85,48.7,49.0,49.1,671992.0,336.25
2017-04-19,49.4,50.1,47.3,49.95,49.85,575419.0,284.42
2017-04-20,50.0,50.7,49.7,50.15,50.3,648586.0,325.73
2017-04-21,50.45,50.7,49.9,50.4,50.25,1094528.0,550.48
2017-04-24,50.0,54.4,50.0,53.5,53.25,4229811.0,2241.36
2017-04-25,53.2,56.2,53.2,56.1,55.6,2848940.0,1547.46
2017-04-26,56.05,57.0,53.7,54.6,54.15,5296394.0,2904.98
2017-04-27,54.9,57.7,54.3,57.05,57.05,1395220.0,787.81
2017-04-28,57.3,57.3,55.45,56.0,56.05,671433.0,377.17
2017-05-02,56.2,56.55,54.1,55.0,55.3,744511.0,410.19
2017-05-03,55.5,59.25,54.65,58.4,58.4,2600413.0,1511.43
2017-05-04,58.6,60.0,57.95,59.0,58.9,1429484.0,846.53
2017-05-05,59.0,60.95,57.3,60.95,60.5,2198313.0,1320.49
2017-05-08,61.0,62.6,60.75,61.65,61.85,1908052.0,1177.23
2017-05-09,61.5,62.7,60.25,60.85,60.9,1647249.0,1011.9
2017-05-10,61.45,63.95,60.5,62.55,62.4,4545772.0,2841.74
2017-05-11,62.9,63.3,60.2,60.5,60.95,1404647.0,866.81
2017-05-12,61.7,62.45,60.4,62.0,62.05,1054486.0,650.07
2017-05-15,62.4,64.0,62.35,63.8,63.8,1387297.0,879.99
2017-05-16,64.0,67.3,63.2,66.75,66.7,2118825.0,1388.33
2017-05-17,66.05,67.7,62.65,63.7,63.55,4453884.0,2861.53
2017-05-18,63.0,64.9,62.1,64.6,64.05,2833179.0,1808.87
2017-05-19,64.6,65.8,62.8,64.75,65.0,1379982.0,891.03
2017-05-22,65.05,65.5,62.75,62.95,63.0,670929.0,424.23
2017-05-23,62.45,63.55,57.1,59.0,61.25,1070948.0,650.62
2017-05-24,60.65,61.7,58.0,58.5,58.5,800302.0,477.73
2017-05-25,58.95,61.4,58.9,60.5,60.4,458215.0,277.01
2017-05-26,61.45,61.9,60.6,61.15,61.3,285490.0,175.17
2017-05-29,61.9,62.0,59.7,60.8,60.25,591798.0,360.22
2017-05-30,60.4,61.9,59.5,61.45,61.65,386664.0,234.87
2017-05-31,61.9,61.95,59.55,59.9,60.1,349305.0,212.52
2017-06-01,60.5,61.0,59.7,60.2,60.35,280505.0,169.37
2017-06-02,60.75,61.9,60.3,60.35,60.75,546850.0,334.04
2017-06-05,61.3,61.7,60.0,60.9,60.85,364593.0,222.86
