Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-06-08,561.0,561.0,531.0,542.0,539.2,22729.0,122.36
2018-06-11,515.0,548.0,512.25,525.0,524.85,60741.0,317.6
2018-06-12,498.7,534.0,498.7,525.0,525.05,38802.0,204.62
2018-06-13,515.0,545.0,515.0,540.0,540.5,34213.0,184.4
2018-06-14,545.0,564.95,541.5,545.0,549.25,49978.0,276.6
2018-06-15,555.0,555.0,525.05,530.0,528.6,13751.0,73.71
2018-06-18,511.1,533.0,502.2,504.9,503.45,29635.0,149.72
2018-06-19,504.0,504.0,478.3,478.3,478.95,59210.0,285.74
2018-06-20,478.3,502.85,465.0,502.85,502.85,70793.0,345.24
2018-06-21,524.0,527.95,515.0,527.95,527.95,32451.0,170.5
2018-06-22,546.0,550.0,511.25,525.0,530.9,68240.0,370.04
2018-06-25,530.9,538.0,504.55,514.95,511.15,29352.0,152.28
2018-06-26,506.0,520.0,496.0,500.1,500.4,26034.0,132.07
2018-06-27,500.0,508.3,476.25,482.0,484.95,41379.0,204.38
2018-06-28,462.2,498.65,462.2,466.0,470.8,30173.0,142.16
2018-06-29,471.0,494.3,469.0,480.45,485.9,38547.0,189.71
2018-07-02,503.9,503.9,461.65,465.0,464.6,34923.0,162.92
2018-07-03,460.0,474.0,450.1,455.0,460.25,25349.0,117.18
2018-07-04,450.2,459.0,437.25,455.0,451.4,48055.0,214.39
2018-07-05,469.8,469.8,429.15,431.0,435.5,31490.0,137.35
2018-07-06,420.0,457.25,415.05,450.0,450.85,31377.0,140.19
2018-07-09,460.1,473.0,453.0,470.0,471.05,28698.0,134.11
2018-07-10,475.0,477.0,460.0,463.0,463.95,12677.0,59.23
2018-07-11,450.1,460.0,444.0,447.0,449.45,9649.0,43.6
2018-07-12,449.45,465.5,441.0,453.45,447.75,9295.0,42.33
2018-07-13,440.0,463.9,436.0,441.0,438.1,15647.0,69.42
2018-07-16,433.3,448.0,417.2,417.2,422.85,27128.0,116.93
2018-07-17,422.85,439.9,401.75,432.0,428.1,39695.0,166.07
2018-07-18,427.0,449.5,416.0,425.0,427.8,77035.0,337.06
2018-07-19,420.0,432.0,416.1,428.75,424.35,32056.0,136.71
2018-07-20,420.0,445.55,420.0,445.55,445.55,13104.0,57.67
2018-07-23,467.8,467.8,448.0,455.0,455.1,14369.0,66.17
2018-07-24,453.1,477.85,453.1,477.85,477.85,14021.0,66.78
2018-07-25,500.7,501.7,475.0,488.0,486.15,39025.0,191.87
2018-07-26,487.0,504.0,473.0,500.0,499.7,28134.0,139.46
2018-07-27,500.05,509.0,485.0,498.2,495.35,55661.0,278.66
2018-07-30,490.55,510.0,490.0,498.0,501.7,33495.0,167.88
2018-07-31,498.0,505.0,480.15,488.7,488.55,26809.0,132.84
2018-08-01,489.0,505.0,475.0,490.0,490.2,92824.0,458.83
2018-08-02,485.0,505.0,475.0,490.45,490.5,28364.0,139.74
2018-08-03,486.5,514.9,480.0,502.0,501.7,43771.0,221.29
2018-08-06,514.0,524.9,505.0,505.0,505.35,47666.0,243.25
2018-08-07,480.55,509.9,480.55,504.0,489.7,36514.0,182.75
2018-08-08,485.0,500.0,475.8,490.0,489.35,18298.0,90.1
2018-08-09,505.0,505.0,484.2,495.0,495.0,27552.0,135.76
2018-08-10,513.0,519.75,503.15,519.75,519.75,54662.0,281.52
2018-08-13,545.7,545.7,545.7,545.7,545.7,64943.0,354.39
2018-08-14,572.95,572.95,546.05,558.0,559.7,255529.0,1448.66
2018-08-16,570.85,570.85,531.75,531.75,534.75,78708.0,427.85
2018-08-17,515.0,561.45,515.0,561.45,559.8,195845.0,1091.02
2018-08-20,569.8,587.75,567.0,587.75,587.75,148252.0,866.47
2018-08-21,598.0,617.1,595.0,617.1,617.1,180316.0,1108.92
2018-08-23,647.95,647.95,615.05,647.95,647.65,259277.0,1660.41
2018-08-24,655.0,664.0,625.0,638.4,633.65,139911.0,904.36
2018-08-27,650.0,665.3,650.0,664.95,664.0,264769.0,1754.74
2018-08-28,680.0,694.85,675.0,680.15,685.2,233685.0,1602.28
2018-08-29,705.0,707.1,650.95,650.95,660.75,242168.0,1614.78
2018-08-30,631.2,685.5,627.75,668.0,679.55,108766.0,719.97
2018-08-31,689.0,704.0,660.5,668.0,678.05,150264.0,1031.71
2018-09-03,655.0,690.0,644.15,662.95,662.8,69322.0,462.31
2018-09-04,670.0,695.9,670.0,676.0,677.5,262583.0,1791.45
2018-09-05,681.0,681.55,660.0,666.1,671.6,120735.0,812.92
2018-09-06,685.0,690.0,668.0,684.0,681.55,174577.0,1186.84
2018-09-07,700.0,715.6,693.15,715.6,715.6,329229.0,2328.34
2018-09-10,732.0,751.35,732.0,751.35,751.35,391313.0,2936.83
2018-09-11,774.95,785.0,718.0,729.9,729.8,199692.0,1527.39
2018-09-12,729.8,739.9,693.35,706.5,705.2,228339.0,1605.24
2018-09-14,729.0,735.2,685.0,733.0,715.75,118046.0,838.29
2018-09-17,751.45,751.45,690.0,690.0,704.2,328096.0,2359.9
