Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,155.0,156.55,154.2,155.6,155.5,4762416.0,7404.0
2010-01-05,156.55,162.9,156.0,162.65,162.2,8779821.0,14012.93
2010-01-06,163.0,166.3,163.0,165.6,165.55,11273364.0,18579.19
2010-01-07,165.9,167.2,163.55,164.95,165.1,4214594.0,6961.71
2010-01-08,165.8,166.4,163.1,163.5,163.7,2733534.0,4510.09
2010-01-11,164.0,165.9,162.65,163.2,163.0,2190702.0,3596.98
2010-01-12,163.3,166.7,160.55,161.0,161.05,4273911.0,7013.09
2010-01-13,160.9,163.45,157.7,160.8,160.35,3584636.0,5743.09
2010-01-14,160.75,163.35,160.75,161.8,161.5,2466650.0,3998.8
2010-01-15,162.35,162.8,159.0,159.0,159.7,2422789.0,3886.72
2010-01-18,158.55,160.5,157.55,158.4,158.3,2673705.0,4243.0
2010-01-19,158.9,162.25,158.5,160.75,160.75,2935890.0,4719.38
2010-01-20,161.0,162.4,158.15,159.95,159.45,2398816.0,3841.81
2010-01-21,159.0,159.3,153.0,154.0,153.85,2489344.0,3870.82
2010-01-22,150.0,151.4,148.1,151.0,151.05,7091035.0,10632.21
2010-01-25,151.0,151.0,146.8,149.0,149.3,5099438.0,7593.57
2010-01-27,148.0,149.95,144.6,145.1,145.6,5832074.0,8534.34
2010-01-28,147.05,149.9,145.75,149.15,149.0,6596543.0,9787.42
2010-01-29,147.95,153.1,145.25,153.1,151.75,4899051.0,7287.53
2010-02-01,152.0,154.65,150.6,154.0,153.0,4801921.0,7346.21
2010-02-02,153.3,155.0,146.3,146.65,147.05,2921490.0,4383.58
2010-02-03,147.5,152.4,147.5,152.0,151.9,2471349.0,3724.55
2010-02-04,152.9,152.9,146.45,148.2,147.05,2109705.0,3151.36
2010-02-05,145.1,146.3,141.8,144.9,144.8,2430763.0,3506.34
2010-02-06,145.7,147.4,145.4,146.85,146.35,246743.0,360.41
2010-02-08,146.0,147.6,142.65,144.9,144.65,4205413.0,6069.48
2010-02-09,145.1,145.9,142.05,143.5,143.4,4464773.0,6433.78
2010-02-10,144.5,145.8,141.6,142.0,142.1,3165097.0,4544.99
2010-02-11,142.85,146.35,142.85,145.45,145.35,2757459.0,4007.09
2010-02-15,148.1,149.7,145.7,147.9,148.1,2910322.0,4310.22
2010-02-16,149.9,150.9,147.35,148.9,148.4,1779765.0,2640.75
2010-02-17,149.5,150.5,146.8,150.05,149.2,5105959.0,7603.85
2010-02-18,150.15,157.7,150.0,154.5,154.85,11751417.0,18240.35
2010-02-19,154.5,154.7,149.75,151.4,151.3,2937422.0,4456.97
2010-02-22,153.9,154.5,149.0,150.95,150.75,2025348.0,3071.34
2010-02-23,150.5,153.8,149.6,153.7,152.9,1651214.0,2517.13
2010-02-24,152.25,155.5,150.65,151.15,151.2,3057619.0,4652.36
2010-02-25,152.1,154.85,150.8,154.0,152.75,3184659.0,4841.99
2010-02-26,154.0,164.35,153.5,160.35,159.6,14739333.0,23729.69
2010-03-02,163.9,166.7,158.9,160.7,160.65,8770145.0,14160.23
2010-03-03,160.0,164.0,160.0,162.25,162.6,4739175.0,7686.74
2010-03-04,162.95,162.95,160.0,162.3,162.15,3494391.0,5633.62
2010-03-05,162.15,165.5,161.0,162.0,161.8,4150704.0,6779.18
2010-03-08,162.0,164.7,160.75,163.4,163.9,3400275.0,5537.78
2010-03-09,162.0,163.7,158.75,159.0,159.4,3062247.0,4912.11
2010-03-10,159.7,165.0,159.5,164.95,164.85,6956492.0,11352.34
2010-03-11,166.0,166.2,162.85,164.05,163.4,4107292.0,6733.3
2010-03-12,163.15,167.4,163.15,166.05,166.4,4743553.0,7864.82
2010-03-15,166.1,166.1,161.35,162.8,162.95,2874331.0,4684.22
2010-03-16,163.0,165.35,161.25,164.65,164.95,3426890.0,5613.76
2010-03-17,165.0,168.0,163.6,164.8,164.7,3724195.0,6153.22
