Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,69.0,70.75,68.25,69.5,69.6,9078.0,6.35
2010-01-05,69.25,73.0,69.25,71.45,71.15,52796.0,37.66
2010-01-06,72.8,72.8,68.1,68.6,69.15,22378.0,15.64
2010-01-07,68.05,70.2,68.05,69.0,69.4,9798.0,6.84
2010-01-08,70.0,74.2,69.8,70.55,70.95,74544.0,53.89
2010-01-11,72.95,72.95,70.3,71.2,70.75,13823.0,9.84
2010-01-12,71.0,72.5,68.5,70.0,69.4,35884.0,25.4
2010-01-13,71.0,83.3,69.0,83.3,83.3,114663.0,92.59
2010-01-14,92.8,100.0,89.7,92.2,95.15,2394239.0,2282.3
2010-01-15,93.6,93.6,81.6,84.5,83.9,772253.0,659.05
2010-01-18,83.9,85.55,80.0,82.0,81.85,133980.0,111.9
2010-01-19,83.5,85.25,78.2,79.6,79.85,189587.0,155.46
2010-01-20,80.95,82.75,79.0,79.0,79.5,71087.0,57.42
2010-01-21,79.95,79.95,75.0,75.0,75.55,65568.0,50.77
2010-01-22,75.0,82.55,72.0,79.15,79.75,152637.0,120.22
2010-01-25,79.05,82.95,77.6,81.0,81.0,109104.0,88.07
2010-01-27,81.95,81.95,76.1,80.0,80.6,103276.0,81.69
2010-01-28,80.6,83.0,78.0,80.0,80.35,71266.0,57.47
2010-01-29,78.25,84.95,78.0,83.4,83.5,99871.0,81.41
2010-02-01,84.0,92.0,83.0,88.6,89.4,147728.0,130.41
2010-02-02,91.0,95.75,88.55,89.0,89.65,184899.0,172.0
2010-02-03,92.9,95.5,89.0,90.3,89.8,140932.0,130.5
2010-02-04,90.0,91.5,85.2,87.0,85.8,37162.0,32.67
2010-02-05,84.0,84.75,80.15,84.75,84.1,35666.0,29.71
2010-02-06,84.45,86.5,81.3,86.5,85.55,12686.0,10.78
2010-02-08,86.0,87.0,82.1,82.35,82.9,14655.0,12.42
2010-02-09,84.0,84.8,82.25,82.4,82.7,22398.0,18.63
2010-02-10,85.0,86.0,82.0,82.15,83.55,21943.0,18.48
2010-02-11,82.0,84.45,81.9,83.65,82.6,22561.0,18.75
2010-02-15,82.0,86.5,82.0,83.0,83.9,32165.0,27.21
2010-02-16,83.1,88.2,83.1,83.6,84.45,63417.0,54.27
2010-02-17,85.0,87.0,83.0,85.25,86.0,36661.0,31.08
2010-02-18,85.0,86.0,84.25,85.0,84.6,11511.0,9.8
2010-02-19,84.0,86.0,82.6,82.6,83.05,10673.0,9.0
2010-02-22,84.0,84.6,81.1,81.95,81.6,8998.0,7.42
2010-02-23,81.0,82.5,78.25,80.0,80.35,7352.0,5.93
2010-02-24,80.95,80.95,78.6,79.0,79.05,8032.0,6.36
2010-02-25,78.0,80.0,77.05,77.8,77.3,3118.0,2.43
2010-02-26,76.5,83.0,76.5,81.0,80.85,15394.0,12.36
2010-03-02,81.5,88.9,81.5,88.0,87.05,50272.0,43.52
2010-03-03,90.1,93.0,86.7,87.1,88.0,79927.0,71.73
2010-03-04,88.5,88.95,86.0,86.0,86.55,24803.0,21.67
2010-03-05,86.5,88.6,84.0,84.9,85.25,31882.0,27.79
2010-03-08,85.1,87.6,84.3,84.7,85.35,13525.0,11.63
2010-03-09,85.55,93.0,83.0,90.0,90.2,146394.0,130.6
2010-03-10,93.0,94.8,87.15,87.6,88.35,64160.0,58.23
2010-03-11,89.0,89.5,86.0,87.0,86.9,14791.0,12.97
2010-03-12,87.95,88.35,85.5,85.5,86.1,11448.0,9.96
2010-03-15,86.5,88.0,84.2,84.9,85.2,20415.0,17.7
2010-03-16,84.8,86.95,84.55,85.5,85.2,7590.0,6.48
2010-03-17,87.35,94.0,86.05,89.2,89.6,188204.0,171.66
2010-03-18,91.8,92.0,88.6,89.55,89.9,80438.0,73.18
2010-03-19,90.6,93.8,90.05,90.4,90.95,160775.0,148.11
2010-03-22,91.0,92.3,89.0,89.25,89.45,100760.0,91.58
2010-03-23,90.05,91.45,88.25,88.9,88.8,36625.0,32.79
2010-03-25,88.3,90.0,88.3,88.75,88.85,19214.0,17.12
2010-03-26,90.0,90.0,86.8,88.2,88.3,40240.0,35.7
2010-03-29,89.0,89.5,87.5,88.0,87.85,16451.0,14.51
2010-03-30,89.25,91.4,88.25,90.0,88.85,24494.0,21.96
2010-03-31,89.0,92.4,87.25,88.8,89.7,30824.0,27.96
2010-04-01,89.05,91.45,88.75,91.15,90.9,24826.0,22.48
2010-04-05,94.2,94.2,90.3,91.05,91.3,18953.0,17.38
2010-04-06,90.7,92.1,89.0,90.7,90.25,23274.0,21.05
2010-04-07,90.25,96.1,90.1,95.5,95.1,155828.0,146.56
2010-04-08,97.0,99.7,93.0,94.0,93.65,89281.0,86.97
2010-04-09,93.65,96.6,93.65,95.0,95.1,33820.0,32.21
2010-04-12,94.5,95.95,93.3,94.0,94.05,16479.0,15.62
2010-04-13,94.9,94.9,92.0,92.0,92.0,8132.0,7.51
2010-04-15,92.55,97.25,92.55,93.0,92.8,37872.0,36.02
2010-04-16,93.0,93.25,91.15,92.8,92.4,11935.0,11.01
2010-04-19,89.0,91.75,87.55,90.75,90.3,15835.0,14.27
2010-04-20,91.25,96.0,90.1,94.9,94.4,28626.0,26.83
2010-04-21,96.0,97.7,93.0,93.25,94.0,29753.0,28.38
2010-04-22,95.0,95.0,92.05,93.4,92.9,17846.0,16.63
2010-04-23,93.0,94.0,90.95,91.0,91.0,10281.0,9.44
2010-04-26,92.5,93.6,91.65,92.2,92.35,8721.0,8.05
2010-04-27,92.1,93.7,90.0,90.1,90.7,15601.0,14.29
2010-04-28,88.3,90.05,87.05,88.2,88.1,16419.0,14.61
2010-04-29,88.0,90.0,88.0,89.0,88.6,10169.0,9.08
2010-04-30,89.95,90.5,89.05,89.35,89.2,7725.0,6.89
2010-05-03,89.0,92.5,85.1,85.8,86.1,37871.0,33.59
2010-05-04,89.5,91.5,87.0,87.3,88.4,40268.0,35.8
2010-05-05,85.0,89.0,85.0,88.65,88.55,20214.0,17.69
2010-05-06,89.5,90.9,87.15,87.45,87.65,11917.0,10.6
2010-05-07,84.0,88.0,84.0,87.3,86.5,20186.0,17.42
2010-05-10,88.0,88.9,87.3,88.3,88.05,9568.0,8.44
2010-05-11,88.15,89.4,88.0,88.0,88.1,3586.0,3.18
2010-05-12,87.3,88.65,87.05,87.1,87.25,3808.0,3.33
2010-05-13,87.95,91.0,87.2,90.9,90.55,16600.0,14.87
2010-05-14,91.75,91.75,86.5,87.2,87.7,9960.0,8.94
