Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,103.9,107.3,101.9,106.9,106.6,2057102.0,2157.65
2010-01-05,106.6,108.7,103.2,104.5,104.65,3221559.0,3395.96
2010-01-06,105.65,105.8,102.55,102.65,102.85,1499942.0,1553.55
2010-01-07,102.8,103.95,101.5,101.6,101.95,1288573.0,1319.86
2010-01-08,102.25,103.4,101.0,101.8,101.5,715364.0,732.06
2010-01-11,103.4,104.9,103.1,103.85,103.9,1474436.0,1532.02
2010-01-12,104.0,105.75,100.55,101.95,101.45,1710126.0,1775.02
2010-01-13,101.5,103.2,100.1,102.7,102.9,727442.0,742.03
2010-01-14,103.0,106.5,102.35,106.05,105.45,2951136.0,3080.43
2010-01-15,107.05,108.9,106.05,107.0,107.3,3162884.0,3413.75
2010-01-18,107.0,108.3,105.45,107.5,107.35,1147401.0,1232.77
2010-01-19,107.5,107.95,103.75,103.85,104.1,975366.0,1028.34
2010-01-20,104.25,106.6,103.05,103.65,103.35,852728.0,890.44
2010-01-21,104.0,105.0,101.0,101.4,101.7,1359274.0,1396.36
2010-01-22,98.1,102.95,97.55,99.1,99.45,2443434.0,2443.83
2010-01-25,99.0,99.9,96.0,96.2,96.85,2199932.0,2139.03
2010-01-27,97.0,97.0,90.45,94.0,90.9,2810221.0,2591.11
2010-01-28,90.0,93.65,90.0,92.65,92.45,3367646.0,3098.62
2010-01-29,92.0,93.65,87.75,93.35,93.15,1523763.0,1374.81
2010-02-01,92.9,96.0,91.7,93.45,93.35,927690.0,870.13
2010-02-02,93.5,95.65,90.05,90.65,90.85,766427.0,716.15
2010-02-03,92.0,93.8,91.65,92.7,92.9,653174.0,604.14
2010-02-04,92.9,92.9,90.55,91.3,91.1,378033.0,347.53
2010-02-05,88.2,89.9,86.05,87.1,87.2,1840215.0,1609.68
2010-02-06,87.25,90.1,87.2,90.0,89.55,179034.0,159.16
2010-02-08,91.0,91.85,87.5,88.75,88.75,1373947.0,1229.06
2010-02-09,88.9,91.95,87.6,91.6,91.65,1193814.0,1075.22
2010-02-10,92.5,92.8,89.0,89.7,89.7,1070236.0,976.98
2010-02-11,91.4,91.95,90.05,90.15,90.25,1209710.0,1101.88
2010-02-15,92.0,92.0,89.8,90.5,90.65,909020.0,823.59
2010-02-16,91.25,91.65,90.1,90.85,90.8,744820.0,677.51
2010-02-17,91.2,92.95,90.5,91.2,91.05,1158760.0,1061.6
2010-02-18,90.65,91.5,89.25,89.75,89.75,980058.0,883.59
2010-02-19,89.0,89.9,87.5,87.8,87.75,1451507.0,1281.01
2010-02-22,88.65,89.6,87.2,87.2,87.6,1036381.0,917.4
2010-02-23,87.0,87.9,86.35,87.0,87.15,691713.0,602.12
2010-02-24,86.5,88.1,85.2,85.55,86.0,1155149.0,1001.72
2010-02-25,86.3,88.85,85.0,88.5,87.65,2916377.0,2531.31
2010-02-26,88.75,91.7,87.3,89.8,89.6,2377564.0,2126.41
2010-03-02,90.5,97.0,89.3,94.25,94.25,3165177.0,2974.17
2010-03-03,95.25,96.3,93.0,93.2,93.3,1210078.0,1144.09
2010-03-04,95.0,95.0,91.95,93.25,93.25,1758121.0,1637.09
2010-03-05,94.0,94.5,92.35,93.7,93.8,2571785.0,2407.03
2010-03-08,94.95,95.0,93.65,94.3,94.4,1360317.0,1282.91
2010-03-09,94.4,94.85,90.85,91.7,91.65,1962069.0,1820.75
2010-03-10,91.65,94.2,91.6,93.95,93.75,1478119.0,1384.22
2010-03-11,92.55,94.8,92.55,94.55,94.25,415423.0,389.33
2010-03-12,94.55,95.25,93.3,93.6,93.6,573178.0,539.83
2010-03-15,93.9,95.3,92.75,95.3,94.75,1194065.0,1124.06
2010-03-16,95.5,99.0,95.2,98.35,98.55,2697766.0,2630.45
2010-03-17,100.0,101.5,97.2,98.9,98.45,3291325.0,3286.05
2010-03-18,99.5,104.45,98.3,104.3,104.1,4507284.0,4611.05
2010-03-19,104.5,105.4,102.4,102.9,103.15,3052710.0,3167.28
2010-03-22,102.95,104.1,100.7,101.0,101.05,1396320.0,1430.08
2010-03-23,102.7,103.9,100.55,102.3,102.6,1348581.0,1378.17
2010-03-25,102.1,103.35,100.8,101.25,101.15,1184544.0,1203.86
2010-03-26,101.15,102.7,100.4,100.55,100.95,1344429.0,1363.59
2010-03-29,101.05,103.3,100.05,102.75,102.35,1452354.0,1479.08
2010-03-30,103.0,104.55,102.55,103.0,103.1,1609539.0,1670.46
2010-03-31,104.0,104.8,101.8,102.2,102.25,1926010.0,1995.61
2010-04-01,102.9,103.85,102.2,102.6,102.55,783642.0,805.86
2010-04-05,103.15,103.5,102.4,103.05,103.15,594757.0,611.72
2010-04-06,103.0,106.9,102.75,105.25,105.5,1664755.0,1751.46
2010-04-07,106.0,106.5,103.8,105.4,105.45,778599.0,820.76
2010-04-08,105.5,106.05,104.05,104.2,104.45,791321.0,830.04
2010-04-09,104.6,108.0,104.6,107.15,107.1,1872247.0,1996.45
2010-04-12,108.35,108.8,105.15,105.7,105.85,1953587.0,2077.18
2010-04-13,106.0,107.15,105.3,106.55,106.7,2376036.0,2529.96
2010-04-15,106.15,109.8,106.15,107.75,107.35,2588337.0,2810.68
2010-04-16,106.0,108.75,106.0,107.8,108.0,1311998.0,1408.77
