Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,123.3,126.25,122.95,125.8,125.8,2443759.0,3056.62
2010-01-05,126.95,127.7,126.0,127.0,127.05,2245052.0,2853.73
2010-01-06,128.0,128.0,125.25,127.2,127.35,2112781.0,2680.39
2010-01-07,127.4,129.0,126.3,127.7,127.95,2083439.0,2665.04
2010-01-08,128.4,129.5,127.65,128.5,128.1,1408322.0,1814.38
2010-01-11,129.85,130.9,126.55,128.1,127.6,1772055.0,2281.5
2010-01-12,128.0,128.65,123.35,124.1,124.1,1418945.0,1789.23
2010-01-13,123.0,128.5,121.9,128.5,127.7,1876427.0,2359.57
2010-01-14,129.9,131.45,128.1,128.6,128.6,3992690.0,5185.21
2010-01-15,129.8,132.35,129.2,131.4,131.35,2966584.0,3884.81
2010-01-18,131.0,131.5,128.3,128.5,128.9,1211389.0,1571.97
2010-01-19,129.15,129.45,125.1,125.4,125.55,1027551.0,1306.19
2010-01-20,126.0,127.2,123.2,124.2,124.1,927772.0,1158.63
2010-01-21,123.0,124.2,119.05,119.55,119.6,927965.0,1128.13
2010-01-22,116.25,119.4,115.0,118.1,118.25,758459.0,889.22
2010-01-25,117.0,118.9,112.0,112.55,113.4,2199735.0,2522.91
2010-01-27,112.0,112.9,107.1,107.25,107.85,1643466.0,1799.65
2010-01-28,108.7,110.3,107.3,108.15,108.2,1781689.0,1941.21
2010-01-29,107.3,112.8,106.1,112.1,111.9,1166800.0,1277.23
2010-02-01,110.6,115.3,110.0,113.5,113.25,749992.0,846.26
2010-02-02,115.0,116.75,112.05,113.75,112.85,943860.0,1085.5
2010-02-03,114.5,118.9,114.0,118.6,118.5,1314197.0,1536.89
2010-02-04,118.5,119.0,115.75,116.5,116.8,1369930.0,1609.28
2010-02-05,113.25,113.5,110.45,111.55,112.0,1688682.0,1893.72
2010-02-06,112.3,113.85,112.05,113.85,113.15,89370.0,100.9
2010-02-08,113.85,114.45,110.2,112.6,112.5,916820.0,1028.32
2010-02-09,112.65,117.0,111.9,117.0,116.75,1174124.0,1348.68
2010-02-10,117.9,122.25,115.2,119.85,119.8,1859750.0,2238.17
2010-02-11,120.2,123.75,117.6,122.65,122.45,1204477.0,1472.95
2010-02-15,122.9,125.45,122.35,122.8,122.9,958052.0,1182.24
2010-02-16,123.5,125.75,120.5,125.0,124.85,777656.0,958.56
2010-02-17,125.5,126.4,122.1,124.15,123.95,1296032.0,1611.21
2010-02-18,124.5,124.5,122.1,122.4,122.6,698711.0,858.19
2010-02-19,121.0,122.25,119.2,119.6,120.2,605913.0,731.22
2010-02-22,121.25,122.7,114.55,114.8,115.3,1070454.0,1266.3
2010-02-23,115.95,117.5,113.5,116.25,116.65,565161.0,657.92
2010-02-24,113.2,116.65,113.2,116.3,116.35,638568.0,739.0
2010-02-25,117.0,117.3,113.6,117.2,116.5,500688.0,579.2
2010-02-26,117.5,119.4,116.1,118.0,117.65,489505.0,577.38
2010-03-02,119.9,122.15,116.4,121.45,120.9,829983.0,995.63
2010-03-03,121.7,126.4,120.25,125.2,125.6,1059037.0,1312.85
2010-03-04,126.45,127.1,123.5,124.45,125.05,1766481.0,2210.07
2010-03-05,126.25,129.4,125.25,127.5,126.8,1298180.0,1655.66
2010-03-08,128.8,129.3,125.3,126.35,126.45,2144784.0,2728.86
2010-03-09,127.1,127.15,120.5,120.55,120.95,1377950.0,1695.66
2010-03-10,121.5,123.9,119.1,121.4,120.85,2627114.0,3197.3
2010-03-11,122.45,122.9,120.15,121.1,121.5,625576.0,760.84
2010-03-12,121.9,122.45,119.6,120.35,120.5,443717.0,535.93
2010-03-15,121.0,123.15,119.6,121.05,122.0,650685.0,789.69
2010-03-16,122.6,122.7,120.2,122.35,122.35,423118.0,513.65
2010-03-17,122.3,125.0,122.15,124.4,124.45,1577338.0,1958.7
2010-03-18,124.4,127.25,123.25,126.3,126.55,1219538.0,1529.25
2010-03-19,126.7,129.4,125.5,127.25,127.55,1425978.0,1819.68
2010-03-22,127.5,135.9,125.0,130.9,129.8,5234401.0,6930.17
2010-03-23,131.0,134.8,130.65,132.85,132.95,3121233.0,4150.33
2010-03-25,132.8,137.4,132.0,135.05,135.4,6842959.0,9270.09
2010-03-26,136.2,136.75,132.45,133.0,132.8,1758060.0,2363.32
2010-03-29,133.95,134.45,131.1,131.15,131.3,1963311.0,2598.59
2010-03-30,132.0,133.5,130.8,131.85,131.55,1837662.0,2431.34
2010-03-31,132.0,133.8,129.6,131.0,131.75,1959793.0,2579.91
2010-04-01,132.0,134.9,132.0,134.45,134.3,1614007.0,2154.7
2010-04-05,134.8,136.35,134.0,135.0,135.05,1077888.0,1456.22
2010-04-06,134.5,136.0,133.4,133.6,133.9,1168330.0,1571.66
2010-04-07,134.75,136.0,133.0,134.8,134.75,2621413.0,3534.45
2010-04-08,134.0,140.65,134.0,136.9,137.3,3964978.0,5492.3
2010-04-09,139.0,141.15,137.4,140.6,140.25,1943254.0,2717.12
2010-04-12,140.0,143.25,140.0,142.9,142.4,2776103.0,3944.47
2010-04-13,142.5,143.0,136.0,137.25,138.45,1897674.0,2622.24
2010-04-15,139.7,139.7,135.5,136.0,136.2,641716.0,883.54
2010-04-16,139.4,139.4,134.4,134.4,134.85,495022.0,668.89
2010-04-19,133.9,134.0,131.15,132.1,131.95,574221.0,762.9
2010-04-20,132.5,136.95,132.5,136.5,136.05,794797.0,1077.8
2010-04-21,133.05,141.0,133.05,140.25,140.0,1499065.0,2091.88
2010-04-22,137.65,140.4,136.75,139.4,138.9,1030552.0,1430.82
2010-04-23,139.25,140.25,134.1,135.05,134.95,851532.0,1160.26
2010-04-26,136.1,139.7,132.2,132.9,133.1,1551705.0,2087.86
2010-04-27,132.3,133.55,129.6,132.3,131.6,1185404.0,1560.73
2010-04-28,128.65,131.9,127.1,131.35,130.25,1269640.0,1641.78
2010-04-29,132.0,132.0,126.5,127.4,127.4,1821337.0,2338.84
2010-04-30,128.9,129.5,124.0,126.3,125.55,2003594.0,2526.6
2010-05-03,123.1,124.9,122.25,122.9,123.05,1135718.0,1400.76
2010-05-04,123.25,123.9,118.55,119.3,120.25,1631552.0,1972.51
2010-05-05,118.0,122.45,116.5,122.45,122.2,1049829.0,1260.6
2010-05-06,121.0,122.9,117.95,119.0,119.35,413791.0,496.48
2010-05-07,115.9,118.7,115.55,116.0,116.9,1062873.0,1242.49
2010-05-10,117.0,120.15,117.0,118.5,118.75,877458.0,1043.13
2010-05-11,119.2,119.2,115.0,115.0,115.25,1209656.0,1406.06
2010-05-12,114.25,116.2,112.95,114.75,115.0,985296.0,1128.52
2010-05-13,116.9,117.0,114.6,116.55,116.6,575987.0,669.07
2010-05-14,116.7,118.35,114.05,114.1,115.2,509500.0,591.78
2010-05-17,114.75,115.45,108.3,114.75,114.95,827284.0,946.45
2010-05-18,114.75,116.95,113.7,116.0,116.15,348604.0,404.62
2010-05-19,114.15,115.9,113.05,114.0,113.85,405088.0,463.12
2010-05-20,115.5,115.5,111.15,111.5,112.05,406486.0,458.44
2010-05-21,109.0,115.0,107.2,109.05,109.25,1402956.0,1529.58
2010-05-24,110.25,112.5,109.15,111.0,110.9,800867.0,892.67
2010-05-25,110.0,110.95,108.25,109.1,110.1,1222283.0,1343.94
2010-05-26,110.3,112.7,106.75,111.2,110.65,591233.0,647.82
2010-05-27,110.1,110.75,107.2,109.5,109.5,1353618.0,1473.45
2010-05-28,111.25,111.9,109.75,110.45,110.75,248103.0,275.14
2010-05-31,110.5,110.5,107.0,108.1,107.85,490354.0,531.53
2010-06-01,107.5,109.3,105.6,106.05,106.25,1530400.0,1645.97
2010-06-02,107.0,108.4,105.5,107.5,107.65,872894.0,932.69
2010-06-03,110.0,110.5,108.2,109.75,110.05,779698.0,854.72
2010-06-04,110.85,114.1,109.5,113.45,113.45,1727642.0,1940.54
2010-06-07,111.2,112.75,110.0,112.3,111.7,265956.0,296.39
2010-06-08,112.5,114.6,109.7,110.25,110.5,508093.0,569.91
2010-06-09,110.25,113.35,110.25,112.65,112.65,530200.0,595.09
2010-06-10,113.5,115.0,112.15,114.4,114.2,325144.0,368.4
2010-06-11,115.0,115.5,111.5,111.55,112.6,214118.0,243.69
2010-06-14,113.65,113.7,111.1,113.35,113.0,256225.0,288.65
2010-06-15,112.0,114.25,112.0,113.7,113.85,215993.0,244.9
2010-06-16,114.35,114.95,112.75,112.95,113.55,191526.0,218.3
2010-06-17,112.5,114.25,112.35,113.2,113.35,408616.0,461.73
2010-06-18,115.0,115.0,112.85,113.05,113.35,261132.0,296.87
2010-06-21,114.0,116.35,113.75,115.2,115.05,738886.0,849.07
2010-06-22,114.0,114.35,112.05,112.4,112.5,540455.0,612.9
2010-06-23,111.1,113.5,110.8,112.4,112.7,544885.0,613.53
2010-06-24,112.25,113.9,109.05,110.0,110.15,1454769.0,1612.26
2010-06-25,110.15,110.75,107.8,108.0,108.35,515547.0,563.99
2010-06-28,109.0,109.2,107.8,108.65,108.5,595114.0,645.16
2010-06-29,107.6,109.6,107.25,108.35,108.3,972013.0,1054.12
2010-06-30,105.35,108.3,101.9,107.9,107.85,1209567.0,1289.35
2010-07-01,107.0,107.85,106.1,106.2,106.5,825192.0,880.15
2010-07-02,106.0,107.5,105.55,106.9,106.55,297441.0,317.31
2010-07-05,106.4,107.95,106.2,106.55,106.5,258015.0,275.54
2010-07-06,106.05,107.4,106.05,106.7,107.1,326086.0,348.9
2010-07-07,107.9,107.95,107.0,107.1,107.3,389003.0,417.03
2010-07-08,108.25,108.7,107.1,107.7,107.65,335074.0,361.84
2010-07-09,108.0,111.4,107.65,111.0,110.7,780783.0,857.74
2010-07-12,112.35,114.5,109.55,110.0,110.5,729079.0,809.31
2010-07-13,111.0,112.0,110.65,110.9,111.35,912955.0,1014.17
