Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,36.6,38.7,36.6,37.0,37.0,40188.0,15.1
2010-01-05,37.65,38.0,36.6,37.1,37.1,21810.0,8.1
2010-01-06,36.5,36.8,35.75,36.25,36.15,8715.0,3.16
2010-01-07,36.25,39.0,35.75,37.7,37.9,89499.0,33.93
2010-01-08,38.5,38.9,36.75,37.6,37.5,38173.0,14.48
2010-01-11,34.5,38.55,31.5,37.65,37.75,27148.0,10.34
2010-01-12,38.0,38.5,30.55,37.0,37.3,35270.0,12.91
2010-01-13,37.45,37.75,36.3,37.7,37.55,5086.0,1.89
2010-01-14,37.75,38.55,37.75,38.5,38.1,24126.0,9.2
2010-01-15,38.0,40.95,38.0,39.2,39.1,116364.0,46.1
2010-01-18,39.25,40.5,38.6,40.0,40.1,53389.0,21.27
2010-01-19,40.4,41.4,40.0,40.5,40.5,74800.0,30.3
2010-01-20,40.95,41.6,40.5,41.3,41.05,61246.0,25.08
2010-01-21,42.0,43.45,40.25,40.55,40.5,223098.0,92.5
2010-01-22,40.5,41.5,39.15,40.1,40.0,113371.0,45.52
2010-01-25,39.7,39.95,38.15,39.0,38.85,23178.0,9.06
2010-01-27,38.75,38.75,34.7,35.0,35.05,95602.0,34.38
2010-01-28,36.0,36.4,34.25,35.2,34.9,14214.0,4.94
2010-01-29,34.5,36.2,34.1,36.2,35.75,13213.0,4.64
2010-02-01,34.9,36.9,34.9,35.95,35.45,11707.0,4.14
2010-02-02,35.4,37.5,34.95,35.0,35.15,44717.0,15.95
2010-02-03,36.3,36.3,35.0,35.9,35.35,13006.0,4.61
2010-02-04,35.5,36.9,35.1,35.5,35.2,4333.0,1.55
2010-02-05,34.1,34.5,33.5,34.35,34.0,10936.0,3.7
2010-02-06,34.9,36.3,33.7,34.05,34.15,2105.0,0.72
2010-02-08,35.9,35.9,33.5,34.45,34.3,17557.0,6.0
2010-02-09,34.5,34.6,33.65,34.4,34.1,9138.0,3.11
2010-02-10,35.5,35.85,33.5,34.35,33.85,6709.0,2.28
2010-02-11,34.85,34.85,34.0,34.75,34.35,23995.0,8.18
2010-02-15,34.8,34.8,33.7,34.3,33.9,7209.0,2.45
2010-02-16,34.5,34.85,33.5,34.65,34.15,5226.0,1.78
2010-02-17,34.65,35.25,33.85,33.85,33.9,5421.0,1.86
2010-02-18,34.95,34.95,33.7,34.05,34.05,2177.0,0.75
2010-02-19,34.5,34.8,33.1,33.95,33.55,2834.0,0.96
2010-02-22,34.0,34.2,33.55,34.0,33.65,5373.0,1.81
2010-02-23,33.2,33.95,33.2,33.95,33.25,1459.0,0.49
2010-02-24,34.95,34.95,33.0,34.25,33.7,1730.0,0.58
2010-02-25,34.5,36.0,33.0,34.35,33.1,2271.0,0.76
2010-02-26,34.8,34.8,32.85,33.75,33.35,4481.0,1.5
