Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,44.5,46.45,43.6,44.95,45.05,463800.0,210.89
2010-01-05,45.9,46.3,44.75,44.95,45.25,296774.0,134.71
2010-01-06,45.5,49.25,45.25,48.25,48.45,1575900.0,756.61
2010-01-07,49.3,51.3,49.05,49.5,49.6,2300037.0,1155.52
2010-01-08,50.7,50.7,47.6,48.2,48.1,454216.0,223.87
2010-01-11,48.75,51.95,48.6,50.65,50.6,908436.0,458.41
2010-01-12,51.1,51.55,49.2,49.6,49.5,437051.0,221.01
2010-01-13,49.15,50.85,49.1,50.1,50.0,321886.0,160.37
2010-01-14,49.8,52.9,49.8,51.8,51.8,779435.0,403.96
2010-01-15,52.05,52.45,50.7,50.7,51.0,438274.0,226.96
2010-01-18,51.25,53.55,50.95,52.3,52.3,926115.0,488.3
2010-01-19,52.8,52.95,50.15,50.95,50.7,613459.0,317.91
2010-01-20,51.3,51.75,50.1,50.9,50.95,324047.0,164.66
2010-01-21,51.0,51.05,48.35,48.9,48.65,278717.0,138.26
2010-01-22,47.45,48.0,44.6,45.7,45.7,677257.0,309.48
2010-01-25,45.2,45.9,44.8,45.2,45.1,193938.0,87.75
2010-01-27,45.0,45.45,42.25,42.6,42.65,237010.0,102.94
2010-01-28,43.2,43.9,42.0,42.8,42.95,165426.0,71.19
2010-01-29,42.0,43.6,41.15,43.25,43.25,154942.0,65.61
2010-02-01,43.0,44.75,36.6,44.5,44.1,120992.0,53.13
2010-02-02,45.0,45.75,44.2,45.0,44.85,192083.0,85.88
2010-02-03,45.15,45.15,44.05,44.25,44.2,120720.0,53.71
2010-02-04,44.35,44.65,43.25,43.5,43.45,51756.0,22.74
2010-02-05,42.75,42.75,41.05,42.25,42.25,70549.0,29.72
2010-02-06,43.25,43.25,42.2,42.85,42.5,16753.0,7.14
2010-02-08,42.05,43.5,42.05,43.0,43.0,71731.0,30.7
2010-02-09,43.45,43.45,42.6,43.0,42.95,33019.0,14.17
2010-02-10,43.0,43.4,42.15,42.55,42.4,40488.0,17.32
2010-02-11,43.5,45.2,42.65,43.4,43.4,300786.0,132.56
2010-02-15,43.5,44.05,42.65,42.65,42.8,67398.0,29.22
2010-02-16,42.4,43.8,42.4,43.65,43.4,59979.0,25.88
