Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,76.3,78.3,75.7,76.0,76.1,91928.0,70.59
2010-01-05,76.0,77.7,75.75,75.75,76.1,103760.0,79.44
2010-01-06,76.25,76.95,75.1,75.8,76.1,80812.0,61.39
2010-01-07,76.55,78.7,76.25,76.6,76.75,110761.0,85.67
2010-01-08,77.4,77.8,76.05,76.3,76.3,50709.0,38.91
2010-01-11,76.65,77.5,76.55,76.8,76.75,59633.0,45.87
2010-01-12,77.0,79.25,75.1,76.2,75.75,200576.0,155.45
2010-01-13,75.1,75.8,73.7,75.2,75.0,90750.0,67.82
2010-01-14,75.95,76.9,74.3,75.2,74.7,78714.0,59.32
2010-01-15,61.8,77.8,61.8,75.7,75.85,115806.0,88.48
2010-01-18,76.0,77.0,75.5,76.4,76.05,73157.0,55.78
2010-01-19,76.0,77.0,73.55,74.0,74.35,87699.0,66.12
2010-01-20,74.9,76.75,73.8,74.75,74.8,101041.0,76.04
2010-01-21,74.05,76.95,73.0,73.0,73.35,175821.0,131.76
2010-01-22,72.0,72.0,68.6,70.6,70.65,110401.0,77.92
2010-01-25,70.0,72.05,70.0,70.3,70.65,52786.0,37.46
2010-01-27,71.0,71.9,65.0,65.5,65.7,124327.0,83.9
2010-01-28,66.5,67.15,65.1,66.0,65.6,74139.0,49.09
2010-01-29,66.0,68.4,66.0,67.25,67.6,94273.0,63.2
2010-02-01,68.0,72.0,67.2,69.85,69.7,110891.0,77.71
2010-02-02,70.9,71.75,67.65,68.1,68.05,82942.0,57.69
2010-02-03,68.9,69.35,67.7,67.7,68.1,34049.0,23.39
2010-02-04,68.0,70.25,66.1,66.6,66.55,61681.0,42.17
2010-02-05,64.5,66.5,64.0,65.1,65.35,65153.0,42.55
2010-02-06,65.5,66.15,64.55,65.65,65.6,6236.0,4.1
2010-02-08,65.25,66.85,63.45,65.3,65.5,20930.0,13.67
2010-02-09,66.2,66.2,65.3,66.15,65.95,17318.0,11.42
2010-02-10,66.05,68.4,65.5,65.65,65.9,146808.0,98.76
2010-02-11,66.5,67.85,65.85,66.05,66.15,32233.0,21.48
2010-02-15,67.0,67.5,64.75,65.05,65.05,41798.0,27.4
2010-02-16,64.8,66.25,64.25,65.75,65.9,37198.0,24.36
2010-02-17,66.75,68.4,64.8,65.05,65.15,130895.0,87.18
2010-02-18,65.9,66.45,64.5,65.4,65.5,74719.0,48.91
2010-02-19,65.5,66.85,64.8,65.1,65.95,82479.0,54.25
2010-02-22,66.25,66.25,63.6,64.25,63.95,41104.0,26.65
2010-02-23,64.4,65.0,62.8,64.0,63.85,55918.0,35.66
2010-02-24,63.6,64.45,62.2,62.95,63.1,61113.0,38.73
2010-02-25,63.3,63.55,62.75,63.3,63.35,89265.0,56.5
2010-02-26,62.5,64.25,62.5,62.9,62.95,41229.0,26.12
