Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-10-12,58.0,58.3,57.0,58.3,58.05,24017.0,13.89
2018-10-15,58.1,60.45,57.0,58.0,57.5,3371.0,1.98
2018-10-16,56.65,60.35,56.65,60.35,60.35,36415.0,21.51
2018-10-17,60.5,62.0,57.35,57.35,57.5,14705.0,8.6
2018-10-19,57.6,60.0,56.0,59.3,59.25,13485.0,7.97
2018-10-22,61.85,61.85,58.25,60.95,59.75,2957.0,1.77
2018-10-23,59.7,60.85,58.0,59.7,59.45,4991.0,2.99
2018-10-24,61.2,62.2,59.0,61.95,61.6,10180.0,6.21
2018-10-25,60.0,64.6,60.0,64.45,64.3,23208.0,14.44
2018-10-26,65.0,67.0,64.05,65.95,65.6,6188.0,4.06
2018-10-29,66.6,68.0,62.75,62.75,63.5,5083.0,3.28
2018-10-30,62.0,65.0,62.0,65.0,64.9,17918.0,11.51
2018-10-31,65.0,65.0,63.5,63.6,63.6,26265.0,16.99
2018-11-01,65.0,65.0,63.5,63.5,63.9,6673.0,4.28
2018-11-02,64.5,65.0,63.5,64.95,64.9,64016.0,41.03
2018-11-05,65.45,65.45,62.3,62.3,63.2,12537.0,8.06
2018-11-06,61.55,64.8,60.5,62.55,61.7,21842.0,13.42
2018-11-07,64.65,64.65,61.5,63.7,63.25,3796.0,2.4
2018-11-09,64.4,64.5,62.1,63.25,63.25,901.0,0.57
2018-11-12,62.55,63.75,60.1,63.0,62.35,22961.0,14.15
2018-11-13,63.65,64.0,61.65,64.0,64.0,3984.0,2.54
2018-11-14,63.95,64.0,62.5,63.9,63.9,4088.0,2.59
2018-11-15,62.35,63.95,62.3,63.45,63.45,2186.0,1.38
2018-11-16,63.75,63.8,62.0,63.0,62.15,8745.0,5.49
2018-11-19,61.05,63.35,61.05,62.4,61.75,595.0,0.37
2018-11-20,62.35,62.35,61.05,61.25,61.25,1665.0,1.02
2018-11-21,63.4,63.4,61.05,61.2,61.3,1678.0,1.04
2018-11-22,62.8,62.85,61.3,62.15,62.15,1283.0,0.79
2018-11-26,63.4,63.4,60.5,62.5,61.85,1198.0,0.74
2018-11-27,60.6,63.8,60.6,63.45,62.6,1394.0,0.87
2018-11-28,60.7,63.75,60.5,60.5,60.85,2833.0,1.73
2018-11-29,60.95,62.85,59.0,59.05,59.7,1517.0,0.91
2018-11-30,58.1,62.65,58.1,62.55,62.55,22001.0,13.61
2018-12-03,63.35,64.0,62.0,63.7,63.5,5248.0,3.33
2018-12-04,63.45,63.45,61.3,62.85,62.35,641.0,0.4
2018-12-05,60.1,63.85,60.05,61.7,61.65,21994.0,13.63
2018-12-06,60.25,61.7,59.9,60.9,60.0,1653.0,1.0
2018-12-07,61.9,62.0,59.4,61.95,61.85,1809.0,1.11
2018-12-10,60.0,61.0,60.0,61.0,61.0,172.0,0.1
2018-12-11,61.95,61.95,57.0,59.35,58.15,11882.0,6.9
2018-12-12,59.9,61.75,59.9,60.25,60.2,3549.0,2.14
2018-12-13,61.95,62.0,60.0,62.0,61.45,2453.0,1.5
2018-12-14,61.85,64.0,58.25,62.0,61.95,78540.0,47.55
2018-12-17,63.75,63.75,60.6,62.85,62.55,2856.0,1.77
2018-12-18,64.7,64.7,60.45,62.0,62.0,1815.0,1.12
2018-12-19,60.35,61.9,59.0,60.8,60.85,28858.0,17.39
2018-12-20,59.75,61.75,59.0,61.65,60.95,3038.0,1.82
2018-12-21,59.75,61.85,59.0,60.5,60.15,9692.0,5.82
2018-12-24,58.7,61.75,57.3,58.0,58.6,1333.0,0.78
2018-12-26,59.9,59.9,57.95,59.0,59.0,1607.0,0.94
2018-12-27,60.95,60.95,57.3,60.8,59.75,6722.0,4.02
2018-12-28,60.45,60.45,54.0,58.8,58.75,17229.0,9.84
2018-12-31,58.6,61.05,56.0,58.5,58.15,8750.0,5.1
2019-01-01,58.55,59.5,57.0,58.8,58.4,8314.0,4.82
2019-01-02,57.15,59.0,57.15,59.0,59.0,751.0,0.44
2019-01-03,59.85,59.9,56.95,58.0,57.35,2901.0,1.67
2019-01-04,58.05,58.2,55.5,57.4,57.3,11364.0,6.46
