Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1040.35,1064.5,1040.35,1064.5,1059.9,3764.0,39.72
2010-01-05,1070.0,1070.0,1042.05,1050.0,1050.85,3061.0,32.27
2010-01-06,1060.0,1069.0,1050.0,1052.0,1053.9,11536.0,121.78
2010-01-07,1057.0,1079.0,1038.0,1046.8,1046.0,111428.0,1175.21
2010-01-08,1001.1,1150.0,1001.1,1094.0,1086.65,144354.0,1574.67
2010-01-11,1070.0,1129.8,1070.0,1122.0,1121.9,129561.0,1456.72
2010-01-12,1125.0,1160.0,1120.0,1129.9,1123.75,20425.0,231.63
2010-01-13,1100.0,1234.4,1100.0,1234.4,1216.25,51759.0,618.24
2010-01-14,1220.0,1290.0,1170.0,1179.9,1179.1,154545.0,1914.77
2010-01-15,1189.0,1218.95,1180.05,1196.0,1187.0,68140.0,816.84
2010-01-18,1187.0,1215.0,1171.2,1180.0,1180.05,8154.0,97.15
2010-01-19,1171.0,1209.6,1171.0,1189.9,1189.6,89499.0,1070.38
2010-01-20,1288.0,1288.0,1181.1,1190.0,1188.85,22943.0,275.17
2010-01-21,1190.0,1233.0,1177.0,1182.0,1186.1,65697.0,789.8
2010-01-22,1184.0,1210.05,1155.0,1199.9,1199.95,97404.0,1166.82
2010-01-25,1199.9,1200.0,1160.1,1160.1,1175.9,6594.0,78.3
2010-01-27,1188.8,1188.8,1099.5,1130.0,1130.95,16696.0,188.79
2010-01-28,1130.0,1150.0,1075.0,1102.0,1109.1,7103.0,79.46
2010-01-29,1109.0,1148.95,1080.1,1135.0,1136.75,5752.0,64.14
2010-02-01,1162.5,1189.0,1130.15,1175.0,1170.15,3820.0,44.64
2010-02-02,1189.0,1198.0,1133.05,1170.0,1161.05,4257.0,49.99
2010-02-03,1162.0,1177.75,1153.0,1167.0,1165.65,2454.0,28.57
2010-02-04,1183.95,1197.0,1161.0,1170.0,1172.35,54415.0,638.92
2010-02-05,1113.8,1175.0,1113.8,1172.0,1171.75,10211.0,118.55
2010-02-06,1175.0,1182.05,1151.0,1160.0,1158.0,720.0,8.41
2010-02-08,1160.0,1189.85,1160.0,1170.0,1174.7,24284.0,285.45
2010-02-09,1165.0,1182.95,1156.15,1157.5,1158.5,12647.0,147.79
2010-02-10,1170.0,1170.0,1140.1,1150.0,1146.4,1172.0,13.53
2010-02-11,1151.0,1169.0,1134.0,1141.05,1146.35,12560.0,144.49
2010-02-15,1146.35,1155.0,1130.0,1130.0,1131.85,7493.0,85.87
2010-02-16,1135.0,1135.0,1118.1,1120.0,1125.4,3106.0,35.04
2010-02-17,1137.0,1170.0,1126.0,1150.0,1148.7,8905.0,102.12
2010-02-18,1159.0,1159.0,1125.0,1127.05,1127.75,1990.0,22.66
2010-02-19,1138.0,1140.0,1115.15,1124.0,1124.95,3035.0,34.16
2010-02-22,1124.95,1143.0,1110.0,1111.6,1115.75,1818.0,20.4
2010-02-23,1100.25,1137.8,1100.25,1127.0,1124.75,1759.0,19.76
2010-02-24,1132.0,1139.0,1101.0,1109.0,1105.6,1922.0,21.41
