Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-04-04,435.0,463.0,435.0,441.5,445.1,7417211.0,33411.62
2018-04-05,448.0,455.9,440.0,444.9,445.4,1111241.0,4960.94
2018-04-06,445.0,448.0,440.1,441.25,441.3,420849.0,1860.72
2018-04-09,441.0,443.0,435.0,435.0,436.15,311792.0,1365.17
2018-04-10,436.0,437.75,426.0,426.05,427.65,410484.0,1775.0
2018-04-11,427.4,427.65,418.0,419.5,419.1,302726.0,1273.25
2018-04-12,419.0,419.5,408.0,408.0,408.4,288649.0,1188.83
2018-04-13,405.1,427.0,403.1,422.3,423.55,820973.0,3412.38
2018-04-16,431.1,436.8,425.2,429.8,430.0,1002001.0,4315.73
2018-04-17,431.0,436.45,426.1,431.5,432.45,386663.0,1668.65
2018-04-18,433.0,436.0,427.25,431.0,429.65,279199.0,1204.89
2018-04-19,429.9,431.15,421.5,422.0,424.1,833605.0,3574.42
2018-04-20,422.1,429.9,421.05,426.0,426.2,110817.0,472.38
2018-04-23,426.0,426.2,422.45,424.0,424.0,71568.0,303.5
2018-04-24,422.5,424.95,418.15,419.9,420.0,69316.0,292.37
2018-04-25,420.0,427.3,420.0,425.15,425.0,145531.0,617.96
2018-04-26,427.7,428.0,422.05,426.0,425.35,99233.0,422.39
2018-04-27,426.4,426.4,421.6,422.85,422.75,85625.0,362.97
2018-04-30,422.0,424.9,417.0,423.0,419.2,162191.0,682.58
2018-05-02,419.5,421.0,397.0,399.0,398.35,444449.0,1792.7
2018-05-03,402.0,402.0,371.5,373.5,374.75,431143.0,1644.89
2018-05-04,383.0,383.0,368.0,368.05,369.7,1095078.0,4086.89
2018-05-07,376.5,376.75,363.5,364.05,366.65,530008.0,1950.29
2018-05-08,365.0,369.9,363.0,363.6,363.85,302167.0,1102.21
2018-05-09,365.0,367.95,359.15,362.5,360.8,866640.0,3135.26
2018-05-10,361.9,365.0,360.5,361.7,361.7,384294.0,1390.19
2018-05-11,365.0,366.7,361.5,363.0,363.1,133361.0,483.88
2018-05-14,363.0,366.75,361.6,363.0,363.05,91827.0,333.41
2018-05-15,363.0,364.85,359.25,360.6,362.3,373663.0,1353.35
2018-05-16,360.0,361.0,352.0,360.0,360.05,225695.0,808.8
2018-05-17,359.25,415.8,359.0,401.0,399.5,669303.0,2575.26
2018-05-18,400.0,407.9,376.05,381.0,380.0,936656.0,3576.44
2018-05-21,373.95,380.0,365.0,370.0,369.9,150689.0,557.31
2018-05-22,371.0,379.0,368.0,374.0,372.9,83130.0,309.59
2018-05-23,375.05,381.0,368.0,376.0,375.95,134563.0,505.72
2018-05-24,373.1,378.75,373.1,375.0,376.05,71771.0,270.04
2018-05-25,375.05,384.95,375.05,380.0,380.2,70018.0,265.05
2018-05-28,382.0,390.0,380.3,386.0,385.75,61042.0,235.4
2018-05-29,385.0,387.95,385.0,385.95,386.0,38543.0,148.86
2018-05-30,385.0,385.15,376.55,378.2,380.35,42129.0,160.76
2018-05-31,377.05,387.0,371.0,382.15,383.75,123413.0,467.17
2018-06-01,378.0,383.35,369.0,369.0,369.6,62018.0,231.64
2018-06-04,372.2,372.95,355.6,355.6,356.7,92225.0,332.68
2018-06-05,361.0,361.0,350.0,351.0,351.45,67672.0,238.43
2018-06-06,359.45,360.0,351.05,353.15,354.3,218939.0,780.26
2018-06-07,357.95,364.7,355.2,360.9,361.75,60336.0,217.55
2018-06-08,361.5,363.9,358.15,362.05,362.0,58176.0,210.17
2018-06-11,362.0,363.95,357.0,359.1,359.3,66315.0,239.06
2018-06-12,357.3,363.15,357.0,357.5,357.95,34692.0,124.74
2018-06-13,361.9,361.9,356.0,356.1,357.0,91776.0,328.21
2018-06-14,366.0,369.0,357.55,360.0,361.3,410849.0,1491.23
2018-06-15,361.5,364.0,358.0,361.45,360.6,138851.0,500.52
2018-06-18,361.45,365.95,361.45,365.5,364.8,115722.0,420.85
2018-06-19,364.0,365.9,358.0,363.5,363.0,102629.0,371.09
2018-06-20,362.4,365.0,356.1,360.0,360.15,69141.0,248.93
2018-06-21,364.0,364.0,356.05,360.0,360.0,278721.0,1001.5
2018-06-22,360.0,363.45,355.0,356.85,356.25,55002.0,196.97
2018-06-25,357.0,390.0,351.05,351.05,352.4,52194.0,186.36
2018-06-26,352.4,352.45,344.45,346.0,346.35,83340.0,290.94
2018-06-27,347.0,350.0,332.25,334.7,333.75,247749.0,833.29
2018-06-28,330.05,333.0,325.0,330.15,328.55,313073.0,1027.15
2018-06-29,328.0,345.0,326.35,330.0,330.0,170785.0,559.94
2018-07-02,330.0,332.6,325.05,325.25,326.25,85861.0,281.56
2018-07-03,325.0,326.0,316.5,318.25,319.1,107468.0,343.49
2018-07-04,320.0,321.6,298.0,298.15,302.9,288215.0,887.37
2018-07-05,304.65,304.65,291.0,295.5,293.3,247582.0,731.61
2018-07-06,293.2,309.0,292.35,305.0,305.3,141846.0,430.4
2018-07-09,305.95,314.5,305.95,310.9,311.35,82057.0,255.11
2018-07-10,311.0,319.95,310.9,318.2,317.4,126888.0,399.04
2018-07-11,317.4,328.0,315.0,325.9,325.75,128458.0,415.82
2018-07-12,328.95,333.0,328.45,331.0,331.0,91711.0,303.01
2018-07-13,334.9,334.9,318.0,320.0,319.75,45147.0,145.6
2018-07-16,319.0,319.5,305.0,305.7,307.1,35540.0,110.2
2018-07-17,305.0,310.0,301.05,308.0,307.65,146025.0,446.16
2018-07-18,308.1,315.9,302.1,307.0,306.6,53832.0,168.01
2018-07-19,307.0,309.05,301.0,305.0,303.8,44628.0,135.59
2018-07-20,301.0,309.9,300.3,302.5,302.75,41783.0,127.17
2018-07-23,298.6,317.55,298.6,313.25,313.4,118732.0,371.27
2018-07-24,313.0,313.0,300.0,310.0,309.0,133688.0,411.81
2018-07-25,306.0,313.6,306.0,309.45,309.2,208592.0,650.04
2018-07-26,309.0,314.5,308.1,314.0,311.15,62803.0,195.15
2018-07-27,311.0,317.45,311.0,316.25,316.0,73478.0,231.23
2018-07-30,317.5,325.0,313.0,316.85,316.4,110729.0,352.75
2018-07-31,318.75,325.0,317.95,324.2,323.0,181446.0,583.96
2018-08-01,323.5,330.0,323.5,328.55,328.4,82853.0,271.09
2018-08-02,338.0,338.0,326.45,332.75,333.85,128172.0,425.53
2018-08-03,331.25,337.0,331.25,336.5,336.6,93738.0,314.18
2018-08-06,340.0,351.75,336.0,351.0,349.45,222324.0,765.99
2018-08-07,351.0,365.45,349.95,365.0,360.6,279039.0,992.94
2018-08-08,362.0,366.3,355.75,356.5,357.9,211012.0,766.36
2018-08-09,357.9,359.4,346.3,349.0,349.95,48109.0,169.36
2018-08-10,350.0,352.75,340.0,347.0,344.65,42070.0,145.51
2018-08-13,345.0,347.35,330.1,330.1,331.75,57906.0,194.31
2018-08-14,330.0,336.95,327.75,329.9,329.9,50671.0,167.73
2018-08-16,332.0,333.9,329.0,330.0,330.0,2028916.0,6695.67
2018-08-17,331.05,331.5,320.05,324.0,325.95,875544.0,2869.29
2018-08-20,326.0,328.9,324.5,326.05,325.7,164688.0,538.17
2018-08-21,322.2,328.7,317.0,321.9,323.7,347447.0,1125.92
2018-08-23,325.0,327.0,322.0,324.7,323.5,108970.0,353.87
2018-08-24,322.0,324.5,319.65,322.0,322.7,58626.0,189.05
2018-08-27,318.65,323.65,317.5,320.0,320.15,52033.0,167.19
2018-08-28,321.0,328.4,320.4,326.3,326.75,200918.0,654.74
2018-08-29,326.05,335.85,324.25,330.0,333.05,99860.0,329.39
2018-08-30,335.0,335.0,325.2,328.0,327.9,44740.0,146.84
2018-08-31,334.9,343.7,331.0,335.2,335.0,120688.0,404.97
2018-09-03,335.5,339.0,327.2,330.0,331.15,57033.0,188.91
2018-09-04,330.0,334.35,327.25,331.3,330.95,47835.0,158.42
2018-09-05,330.0,334.2,324.0,331.0,330.6,130606.0,430.57
2018-09-06,330.0,335.55,326.25,331.0,331.0,59988.0,197.54
2018-09-07,330.9,331.6,320.0,326.8,327.1,73428.0,240.19
2018-09-10,325.0,329.3,325.0,327.0,327.4,42227.0,138.02
2018-09-11,333.7,337.45,325.1,330.0,328.85,85832.0,283.93
2018-09-12,329.6,331.95,326.95,329.05,330.75,44936.0,148.33
2018-09-14,328.05,332.75,328.05,331.0,331.05,37045.0,122.59
2018-09-17,328.0,331.1,325.2,330.0,329.25,123155.0,404.99
2018-09-18,330.0,333.0,328.05,331.0,330.45,60620.0,200.11
2018-09-19,330.0,330.95,313.05,315.8,315.5,165064.0,533.77
2018-09-21,313.0,317.0,297.25,307.9,306.6,798660.0,2424.64
2018-09-24,307.1,308.95,294.35,295.4,295.95,86552.0,257.92
2018-09-25,298.7,303.0,292.15,299.0,299.0,331020.0,988.94
2018-09-26,301.6,306.0,295.15,296.0,297.2,126911.0,380.51
2018-09-27,299.6,302.0,295.0,297.0,297.35,69555.0,207.04
2018-09-28,300.95,300.95,286.1,288.25,289.15,81297.0,238.99
2018-10-01,285.0,287.95,274.1,280.25,279.9,96828.0,270.48
2018-10-03,284.9,284.9,263.0,264.0,264.8,292883.0,786.22
2018-10-04,265.95,271.5,264.1,267.8,266.4,1020864.0,2751.43
2018-10-05,270.95,277.95,262.4,263.0,265.85,95485.0,254.4
2018-10-08,265.0,265.0,248.15,250.0,249.95,104733.0,265.74
2018-10-09,256.0,256.15,240.95,242.4,243.35,156907.0,383.66
2018-10-10,245.0,247.6,239.0,239.8,239.85,287340.0,696.32
2018-10-11,238.0,239.0,228.05,229.5,229.45,190124.0,438.77
2018-10-12,234.95,235.8,227.0,234.9,229.35,2011491.0,4615.01
2018-10-15,239.0,260.0,234.2,250.0,250.0,679269.0,1700.71
2018-10-16,252.0,273.55,248.2,268.4,269.8,235950.0,619.12
2018-10-17,269.0,273.85,254.0,257.0,256.55,185068.0,482.31
2018-10-19,261.0,267.5,238.75,247.1,246.75,187692.0,482.25
2018-10-22,248.75,257.0,225.55,230.0,235.15,240547.0,589.85
2018-10-23,234.75,237.05,227.0,231.5,231.35,258423.0,597.29
2018-10-24,227.0,241.0,227.0,240.8,240.1,89557.0,212.29
2018-10-25,235.0,246.0,233.25,239.95,239.85,194963.0,467.33
2018-10-26,238.95,245.0,236.05,239.65,239.6,125733.0,302.46
2018-10-29,235.0,244.55,235.0,240.0,240.4,1263046.0,3032.79
2018-10-30,243.0,248.7,237.05,237.7,238.75,1450631.0,3535.17
2018-10-31,238.75,242.6,235.1,239.0,239.0,208814.0,498.79
2018-11-01,244.5,248.5,239.0,240.7,239.95,177622.0,432.12
2018-11-02,241.0,257.0,241.0,241.9,243.15,748651.0,1829.92
2018-11-05,246.7,249.9,237.85,239.75,240.0,330038.0,793.72
2018-11-06,240.7,244.45,236.0,238.0,237.2,146876.0,351.95
2018-11-07,242.0,244.9,238.75,243.35,243.85,35610.0,86.56
2018-11-09,245.8,245.8,239.3,240.0,239.75,141304.0,339.43
2018-11-12,241.0,249.0,239.0,242.0,243.05,707516.0,1720.48
2018-11-13,244.4,248.7,240.25,245.05,244.9,183658.0,449.89
2018-11-14,245.4,258.9,245.0,256.0,253.9,643242.0,1632.02
2018-11-15,258.5,259.9,249.0,255.95,255.5,375316.0,948.88
2018-11-16,256.45,258.0,252.4,257.3,256.3,188172.0,483.49
2018-11-19,260.0,284.6,256.5,277.5,280.0,672301.0,1832.9
2018-11-20,278.0,278.0,260.0,270.5,270.15,2162383.0,5687.68
2018-11-21,269.5,277.0,268.05,273.0,269.75,142141.0,386.55
2018-11-22,268.55,275.0,268.0,272.3,271.75,84073.0,228.38
2018-11-26,270.95,271.65,262.0,269.1,266.0,59723.0,159.37
2018-11-27,267.0,272.8,263.4,268.5,269.7,248816.0,668.95
2018-11-28,269.9,270.25,264.3,265.5,266.15,303525.0,809.66
2018-11-29,269.0,275.05,263.05,265.0,265.05,268213.0,717.98
2018-11-30,266.8,267.45,248.05,256.5,255.3,1115576.0,2870.53
2018-12-03,255.55,261.0,255.05,260.0,258.75,150387.0,388.52
2018-12-04,257.0,266.25,257.0,263.45,263.2,119898.0,315.23
2018-12-05,263.2,264.9,260.0,262.0,261.6,255426.0,667.79
2018-12-06,262.8,262.9,255.1,258.0,257.65,59445.0,153.5
2018-12-07,259.0,266.75,255.0,265.5,264.6,334552.0,880.24
2018-12-10,257.0,261.4,256.0,260.05,259.25,94285.0,244.04
2018-12-11,259.25,267.3,254.15,264.1,265.1,176957.0,466.32
2018-12-12,263.8,269.0,263.0,268.0,267.6,262225.0,701.45
2018-12-13,269.85,272.4,267.5,269.45,268.2,61360.0,165.16
2018-12-14,269.45,271.55,265.1,269.1,269.8,35749.0,96.4
2018-12-17,266.0,272.05,265.05,268.0,267.4,222637.0,599.85
2018-12-18,268.0,270.7,265.0,268.15,268.7,132211.0,356.07
2018-12-19,269.9,273.25,266.0,267.1,270.65,318286.0,862.61
2018-12-20,269.85,273.9,265.1,269.3,270.85,127498.0,344.04
2018-12-21,271.0,273.6,268.0,270.95,270.45,65939.0,178.59
2018-12-24,270.0,270.0,261.3,261.6,262.25,47881.0,127.66
2018-12-26,262.2,263.65,250.0,260.0,260.15,83813.0,216.98
2018-12-27,262.0,263.4,254.0,258.35,260.95,676727.0,1757.74
2018-12-28,261.95,265.0,256.8,258.0,259.2,168403.0,440.91
2018-12-31,259.8,262.0,255.0,259.5,259.8,207525.0,539.4
2019-01-01,260.0,265.0,259.1,264.2,263.35,60604.0,158.89
2019-01-02,263.3,264.0,260.5,263.9,262.4,43488.0,114.1
2019-01-03,264.8,265.0,259.7,261.55,263.15,26849.0,70.7
2019-01-04,264.75,264.75,260.0,262.0,262.9,33611.0,88.08
