Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,45.65,46.05,44.55,44.9,44.85,119690.0,54.19
2010-01-05,44.9,45.95,44.75,45.0,45.1,225330.0,101.87
2010-01-06,45.3,49.5,45.1,48.0,47.95,1198826.0,576.46
2010-01-07,48.2,48.45,46.65,46.95,46.95,105988.0,50.23
2010-01-08,47.25,48.35,46.15,46.6,46.6,285891.0,135.4
2010-01-11,47.5,48.45,46.95,47.7,47.75,251912.0,120.3
2010-01-12,47.95,47.95,46.2,46.6,46.5,145574.0,68.71
2010-01-13,46.1,47.05,46.1,46.8,46.65,76693.0,35.74
2010-01-14,47.4,47.7,46.4,46.4,46.55,70673.0,33.12
2010-01-15,46.9,47.0,46.0,46.0,46.25,90839.0,42.31
2010-01-18,46.75,47.35,46.0,46.15,46.15,162052.0,75.54
2010-01-19,46.3,46.3,44.8,45.6,45.5,185716.0,84.44
2010-01-20,45.05,45.85,43.55,43.75,44.05,166451.0,74.28
2010-01-21,44.0,44.7,42.7,43.0,43.0,106673.0,46.47
2010-01-22,42.05,42.75,40.7,42.5,42.3,119930.0,50.27
2010-01-25,42.5,44.25,42.0,43.1,43.25,111503.0,48.38
2010-01-27,43.2,43.5,39.75,39.75,40.2,204268.0,84.38
2010-01-28,40.25,42.2,40.25,41.8,41.45,195992.0,81.3
2010-01-29,41.95,41.95,40.0,41.45,40.95,94881.0,38.71
2010-02-01,41.8,42.5,41.0,42.0,41.75,40741.0,17.03
2010-02-02,44.5,44.5,41.45,41.5,41.65,87836.0,37.55
2010-02-03,41.95,42.65,41.35,42.05,42.0,57522.0,24.32
2010-02-04,42.0,42.5,41.05,42.25,42.05,63629.0,26.59
2010-02-05,39.05,41.5,39.0,40.7,40.95,55964.0,22.76
2010-02-06,41.1,42.45,40.7,41.0,41.1,12360.0,5.1
2010-02-08,41.75,43.6,41.3,42.8,43.05,130248.0,55.54
2010-02-09,42.55,43.4,42.1,42.1,42.35,32458.0,13.83
2010-02-10,43.0,43.6,42.15,42.55,42.75,96598.0,41.53
2010-02-11,43.0,43.15,40.9,41.1,41.15,109980.0,45.57
2010-02-15,42.45,42.45,40.55,40.55,40.75,70738.0,29.11
2010-02-16,41.2,42.75,40.8,41.75,42.2,91316.0,38.32
2010-02-17,42.8,42.8,41.25,41.45,41.55,25238.0,10.57
2010-02-18,41.5,42.9,41.35,42.85,42.5,72302.0,30.58
2010-02-19,42.15,42.55,40.6,41.0,41.2,58217.0,24.02
2010-02-22,41.75,42.35,40.5,40.5,40.6,44591.0,18.29
2010-02-23,41.15,41.15,40.0,40.1,40.2,40392.0,16.32
2010-02-24,40.05,40.9,39.4,39.55,39.55,84972.0,33.92
2010-02-25,40.3,40.3,39.35,39.8,39.65,27696.0,11.05
2010-02-26,40.1,41.8,39.3,39.5,39.55,85058.0,34.4
2010-03-02,41.0,41.0,40.1,40.75,40.45,47614.0,19.3
2010-03-03,41.05,41.25,40.3,40.8,40.6,40251.0,16.42
2010-03-04,40.65,41.8,40.5,41.6,41.55,66977.0,27.62
2010-03-05,41.7,42.3,41.05,41.4,41.6,63649.0,26.49
2010-03-08,42.0,43.4,42.0,42.3,42.2,149305.0,63.72
2010-03-09,43.3,43.3,40.55,40.55,40.85,94448.0,39.21
2010-03-10,40.75,41.9,40.75,41.35,41.4,60422.0,25.08
2010-03-11,42.0,43.0,41.5,42.1,42.05,119364.0,50.38
2010-03-12,40.0,44.45,40.0,40.8,40.9,251692.0,106.62
2010-03-15,40.8,41.7,39.1,39.3,39.4,226512.0,91.05
2010-03-16,39.9,40.7,39.5,40.5,40.6,146507.0,58.85
2010-03-17,40.25,41.4,39.85,40.25,39.95,49677.0,20.05
2010-03-18,40.5,41.5,40.0,40.3,40.45,109366.0,44.56
2010-03-19,40.5,41.4,39.9,40.0,40.15,136377.0,55.17
2010-03-22,39.5,40.35,39.2,39.55,39.5,68030.0,27.06
2010-03-23,39.45,39.95,38.9,39.1,39.15,80753.0,31.86
2010-03-25,39.0,40.4,38.65,40.0,40.0,71958.0,28.53
2010-03-26,40.5,41.0,40.0,40.15,40.35,82026.0,33.2
2010-03-29,40.0,42.3,39.7,39.8,40.0,174019.0,71.37
2010-03-30,41.0,41.4,39.8,40.6,40.3,128831.0,52.31
2010-03-31,40.8,40.8,40.05,40.25,40.1,36105.0,14.54
2010-04-01,40.5,41.65,40.2,40.7,40.7,215115.0,88.05
2010-04-05,41.4,42.4,40.8,42.4,42.0,79518.0,33.09
2010-04-06,42.9,42.9,41.6,42.25,42.1,49242.0,20.75
2010-04-07,42.7,42.7,41.0,41.4,41.5,68261.0,28.45
2010-04-08,41.85,42.25,41.3,41.75,41.75,96927.0,40.57
2010-04-09,42.0,45.7,41.85,42.25,42.6,508920.0,222.97
2010-04-12,42.9,43.9,42.75,43.25,43.0,121239.0,52.45
2010-04-13,43.2,43.55,42.7,42.8,42.85,69452.0,29.87
2010-04-15,43.5,44.35,42.5,43.2,43.15,263975.0,114.67
2010-04-16,42.8,46.5,42.6,45.75,45.85,338035.0,151.87
2010-04-19,45.4,45.5,43.7,45.0,45.0,201334.0,90.35
2010-04-20,45.9,46.95,43.55,43.95,43.95,114619.0,51.19
2010-04-21,44.1,45.15,43.55,44.1,44.3,63447.0,28.15
2010-04-22,43.15,45.0,43.15,43.5,43.85,191853.0,85.16
2010-04-23,44.4,46.4,43.6,46.05,46.05,103230.0,46.92
2010-04-26,46.9,47.75,45.0,45.1,45.15,335724.0,155.41
2010-04-27,45.9,47.3,44.7,45.5,45.8,368732.0,170.78
2010-04-28,45.5,45.5,44.0,44.1,44.25,146171.0,65.18
2010-04-29,45.9,47.25,45.2,46.4,46.35,281283.0,130.07
2010-04-30,47.0,47.0,45.35,45.65,45.75,109028.0,50.41
2010-05-03,46.7,48.0,45.55,47.0,46.85,233092.0,109.48
2010-05-04,47.75,48.85,45.5,46.0,45.8,543994.0,258.43
2010-05-05,45.85,46.6,44.4,46.5,46.25,105103.0,48.09
2010-05-06,46.45,46.75,45.1,45.6,45.6,106521.0,48.84
2010-05-07,44.05,45.6,43.25,43.25,43.7,66157.0,29.26
2010-05-10,46.0,46.0,44.5,45.0,45.1,48761.0,22.01
2010-05-11,45.7,45.75,44.0,44.05,44.3,68010.0,30.48
2010-05-12,45.8,45.9,43.1,44.2,43.9,51624.0,22.67
2010-05-13,44.95,45.75,44.25,44.7,44.5,98148.0,44.07
2010-05-14,45.0,45.35,43.8,44.0,44.1,67120.0,29.95
2010-05-17,43.8,43.8,42.15,42.8,42.9,55867.0,23.94
2010-05-18,43.2,43.75,42.65,42.75,42.9,28242.0,12.16
2010-05-19,42.5,45.4,41.65,42.15,42.2,97308.0,41.87
2010-05-20,42.2,42.9,41.0,41.1,41.2,67868.0,28.22
2010-05-21,41.35,41.35,40.1,41.0,40.9,54037.0,21.96
2010-05-24,42.9,42.9,40.6,40.85,40.85,34680.0,14.35
2010-05-25,40.15,41.6,40.15,40.2,40.35,61551.0,25.04
2010-05-26,41.0,41.5,40.05,40.7,40.95,55406.0,22.69
2010-05-27,41.6,41.7,40.0,40.0,40.2,46630.0,18.97
2010-05-28,41.25,41.55,40.5,40.8,41.0,37642.0,15.43
2010-05-31,41.5,41.5,40.7,41.5,41.3,27881.0,11.48
2010-06-01,41.5,42.5,41.0,41.6,41.35,70289.0,29.43
2010-06-02,41.0,43.6,40.7,43.35,43.05,104937.0,44.84
2010-06-03,43.0,44.6,43.0,44.6,44.35,78295.0,34.45
2010-06-04,44.25,46.5,44.25,45.25,45.55,202488.0,92.28
2010-06-07,45.3,45.3,43.25,43.65,43.65,122352.0,53.91
2010-06-08,44.75,44.75,42.8,43.4,43.15,73995.0,32.53
2010-06-09,43.45,44.2,43.0,43.85,43.4,66839.0,29.07
2010-06-10,44.5,44.5,42.6,43.65,43.25,47912.0,20.68
2010-06-11,44.7,44.8,43.4,43.9,43.6,35785.0,15.64
2010-06-14,44.45,44.5,43.25,43.6,43.5,24163.0,10.56
2010-06-15,44.8,44.8,42.55,43.0,42.95,52021.0,22.49
2010-06-16,43.0,44.45,43.0,43.5,43.5,24463.0,10.68
2010-06-17,43.1,44.0,43.0,43.25,43.4,30989.0,13.45
2010-06-18,44.0,45.0,43.1,44.0,44.2,211362.0,93.8
2010-06-21,44.0,45.0,43.5,43.6,43.65,167104.0,73.79
2010-06-22,43.9,45.0,43.2,44.0,44.0,168544.0,74.12
2010-06-23,44.4,44.75,43.25,43.9,44.0,215672.0,95.21
2010-06-24,42.8,44.65,42.8,43.75,43.85,110915.0,48.94
2010-06-25,44.25,44.25,42.0,43.7,43.45,105436.0,46.14
2010-06-28,44.4,44.9,43.45,44.2,44.05,255578.0,113.02
2010-06-29,44.5,44.9,43.75,43.85,43.9,113310.0,49.91
2010-06-30,43.0,44.9,43.0,44.6,44.7,103686.0,46.14
2010-07-01,44.8,45.7,44.05,44.85,44.65,336791.0,151.75
2010-07-02,43.8,44.2,43.4,43.75,43.9,69452.0,30.51
2010-07-05,44.0,44.0,43.4,43.45,43.7,24135.0,10.56
2010-07-06,44.0,44.0,43.5,43.8,43.6,58848.0,25.73
2010-07-07,44.0,44.5,43.3,43.65,43.95,138712.0,60.83
2010-07-08,44.4,44.4,43.4,43.9,43.75,127913.0,56.06
2010-07-09,44.0,44.05,43.45,43.5,43.55,61460.0,26.92
2010-07-12,44.0,44.25,43.5,43.7,43.65,37934.0,16.57
2010-07-13,44.0,44.0,42.75,42.9,42.95,93817.0,40.55
2010-07-14,43.1,43.7,42.3,42.5,42.55,147245.0,63.3
2010-07-15,43.25,47.4,43.2,45.8,45.95,701302.0,319.83
2010-07-16,46.6,49.5,43.8,47.55,47.4,1906935.0,921.91
2010-07-19,47.0,48.0,45.0,47.0,47.1,284266.0,134.33
2010-07-20,47.1,47.65,44.0,44.0,44.65,235636.0,107.9
2010-07-21,45.0,47.4,44.7,45.8,45.95,211281.0,97.76
2010-07-22,46.05,46.55,45.1,46.0,45.8,98146.0,45.05
2010-07-23,45.8,46.35,44.5,44.95,44.7,87842.0,39.63
2010-07-26,44.5,45.5,44.3,44.3,44.55,51063.0,22.96
2010-07-27,44.1,45.0,43.8,44.5,44.6,58100.0,25.75
2010-07-28,45.0,45.6,43.6,44.05,43.9,145022.0,64.78
2010-07-29,43.55,44.95,43.05,44.4,44.4,56595.0,25.16
2010-07-30,44.4,46.3,44.0,46.0,45.7,302021.0,137.46
2010-08-02,46.25,47.4,46.2,46.95,46.7,215494.0,100.65
2010-08-03,47.25,47.4,45.1,45.6,45.55,116696.0,54.02
2010-08-04,46.45,46.45,44.9,45.2,45.15,77052.0,34.92
2010-08-05,45.35,48.1,45.35,46.7,46.45,442202.0,207.77
2010-08-06,46.95,47.65,46.5,46.7,46.8,240555.0,113.43
2010-08-09,46.5,48.65,46.35,47.0,46.95,339282.0,161.81
2010-08-10,47.1,48.35,46.0,46.5,46.7,254476.0,120.7
2010-08-11,46.6,47.55,45.1,45.4,45.3,165868.0,76.81
2010-08-12,45.75,47.4,44.0,46.4,46.65,234946.0,109.35
2010-08-13,46.05,47.45,46.05,46.75,46.55,60191.0,28.19
2010-08-16,47.0,47.8,46.25,46.45,46.5,169129.0,79.6
2010-08-17,47.25,47.6,46.45,47.3,47.1,138828.0,65.2
2010-08-18,49.4,50.15,47.8,48.8,48.85,581467.0,282.77
2010-08-19,49.45,49.45,48.1,48.25,48.3,171665.0,83.4
2010-08-20,48.1,51.5,47.55,49.55,49.65,534125.0,265.02
2010-08-23,50.8,52.4,50.6,52.3,51.85,1156886.0,596.68
2010-08-24,53.0,53.65,51.25,52.9,53.05,654261.0,343.94
2010-08-25,53.25,54.75,50.5,50.65,50.8,652634.0,345.11
2010-08-26,51.5,52.5,51.0,51.45,51.3,328056.0,170.03
2010-08-27,51.8,52.7,50.05,50.6,50.4,386343.0,199.23
2010-08-30,52.95,52.95,48.65,49.8,49.8,261658.0,131.56
2010-08-31,49.1,50.75,47.8,49.75,49.7,407899.0,199.75
2010-09-01,50.15,50.65,49.0,50.0,50.0,183795.0,91.41
2010-09-02,50.85,50.85,49.25,49.6,49.6,123509.0,61.37
2010-09-03,49.6,50.8,49.3,49.55,50.2,163516.0,81.76
2010-09-06,50.75,50.75,49.6,50.05,50.1,133485.0,66.99
2010-09-07,50.35,54.45,49.7,52.35,52.7,882352.0,461.76
2010-09-08,52.55,53.3,51.25,51.4,51.6,221047.0,115.17
2010-09-09,51.75,52.8,51.2,51.7,51.85,185236.0,96.57
2010-09-13,51.5,52.3,51.0,51.5,51.3,132947.0,68.38
2010-09-14,51.0,52.0,50.4,50.95,50.95,212739.0,108.71
2010-09-15,51.0,51.8,50.4,51.1,50.9,203690.0,103.88
2010-09-16,51.9,51.9,50.8,51.45,51.5,223855.0,114.75
2010-09-17,52.75,52.75,50.6,51.35,50.8,94822.0,48.4
2010-09-20,51.15,52.8,50.85,51.05,51.05,164171.0,84.34
2010-09-21,51.7,52.1,50.85,51.05,51.25,194248.0,99.83
2010-09-22,51.05,51.8,50.75,51.15,51.1,122437.0,62.47
2010-09-23,51.4,51.6,51.0,51.6,51.45,134647.0,68.84
2010-09-24,51.0,52.0,50.5,51.0,51.05,113783.0,58.24
2010-09-27,50.8,52.8,50.8,52.5,52.3,263755.0,137.29
2010-09-28,53.3,53.45,51.05,51.35,51.2,178161.0,92.38
2010-09-29,51.75,51.9,51.0,51.0,51.05,77449.0,39.77
2010-09-30,51.1,52.4,50.65,52.25,51.75,149781.0,76.86
