Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,211.8,215.0,210.05,212.0,211.8,250189.0,530.3
2010-01-05,214.0,225.7,212.55,223.2,222.3,950077.0,2083.75
2010-01-06,224.4,224.4,215.0,215.45,215.85,463486.0,1011.88
2010-01-07,216.1,221.0,214.2,215.0,215.75,340583.0,741.06
2010-01-08,216.9,223.25,216.05,216.95,217.0,654557.0,1437.1
2010-01-11,219.25,222.65,217.2,219.45,218.8,416070.0,914.9
2010-01-12,220.0,241.5,219.65,233.5,233.65,2678127.0,6242.94
2010-01-13,229.7,237.6,228.7,230.6,231.4,1000091.0,2325.6
2010-01-14,233.7,238.55,230.1,230.9,231.1,543370.0,1271.93
2010-01-15,232.35,234.5,227.15,227.7,228.75,372783.0,859.8
2010-01-18,228.25,232.7,225.65,226.4,226.6,238614.0,545.38
2010-01-19,227.85,242.75,227.15,239.0,237.35,1327302.0,3157.44
2010-01-20,239.25,284.85,238.7,284.85,284.85,7192926.0,19385.02
2010-01-21,250.0,311.0,250.0,285.5,283.6,10509174.0,31237.48
2010-01-22,275.15,282.5,263.25,270.0,270.8,3280618.0,8972.73
2010-01-25,270.8,322.4,266.1,299.8,301.2,11578436.0,35396.32
2010-01-27,270.0,329.6,270.0,300.0,299.45,8496067.0,26483.8
2010-01-28,304.8,316.0,288.65,295.05,294.9,7054247.0,21075.92
2010-01-29,270.0,307.0,270.0,300.95,300.05,3956007.0,11657.11
2010-02-01,283.6,311.4,283.6,304.55,303.85,3565243.0,10893.3
2010-02-02,307.8,317.5,294.35,298.75,297.65,3653127.0,11302.13
2010-02-03,304.8,307.8,297.0,302.15,301.05,1672913.0,5062.47
2010-02-04,298.0,303.7,281.15,287.0,284.5,1596897.0,4694.83
2010-02-05,267.15,278.2,251.8,256.25,256.85,2858915.0,7492.53
2010-02-06,261.95,267.0,259.0,265.3,263.05,348958.0,917.72
2010-02-08,266.0,268.0,255.1,259.25,259.85,1251825.0,3281.12
2010-02-09,259.4,277.0,251.1,274.0,274.0,2647711.0,7088.73
2010-02-10,277.35,283.5,264.3,264.6,266.1,2301789.0,6358.92
2010-02-11,269.0,273.45,264.6,266.0,266.2,1314813.0,3545.79
2010-02-15,269.7,272.8,261.1,262.6,262.3,665746.0,1773.97
2010-02-16,264.15,265.0,256.05,260.9,260.1,570223.0,1479.65
2010-02-17,263.0,274.8,262.0,266.0,266.1,1443807.0,3878.61
2010-02-18,267.75,269.3,261.05,262.0,261.95,655623.0,1741.57
2010-02-19,259.0,261.7,248.0,250.5,251.4,626393.0,1595.21
2010-02-22,260.0,260.0,242.0,242.9,243.2,528037.0,1320.33
2010-02-23,242.0,248.4,236.8,237.8,238.1,649585.0,1579.24
2010-02-24,233.0,235.9,228.6,230.05,230.3,595689.0,1383.99
2010-02-25,232.4,233.8,226.35,228.0,228.2,375177.0,866.02
2010-02-26,227.0,247.65,227.0,238.7,238.85,1285223.0,3054.78
2010-03-02,242.2,245.9,241.0,244.0,243.15,511411.0,1243.95
2010-03-03,245.7,255.75,243.25,252.4,251.8,961445.0,2419.19
2010-03-04,252.5,258.85,248.7,254.4,253.15,791097.0,2014.43
2010-03-05,255.1,257.75,250.5,252.6,252.3,566198.0,1441.7
2010-03-08,256.0,258.9,245.9,248.7,248.25,552793.0,1396.19
2010-03-09,249.9,249.9,241.05,243.5,242.6,359351.0,877.17
2010-03-10,244.0,248.7,241.55,245.7,244.9,491160.0,1203.42
2010-03-11,244.5,246.0,236.2,240.0,239.45,310451.0,749.98
2010-03-12,238.2,244.8,236.1,236.1,237.35,405116.0,972.19
2010-03-15,237.35,237.35,230.15,230.15,231.1,293266.0,682.7
2010-03-16,231.85,265.0,231.1,262.5,262.45,5331895.0,13665.33
2010-03-17,264.4,276.0,264.3,275.0,274.35,5647329.0,15324.14
2010-03-18,276.4,282.0,263.85,278.5,276.4,2387669.0,6476.46
2010-03-19,280.0,280.0,269.55,271.3,273.25,1118290.0,3076.78
2010-03-22,268.45,273.7,261.8,262.95,263.0,794904.0,2132.85
2010-03-23,266.0,275.6,265.35,270.5,271.05,1267105.0,3443.28
2010-03-25,270.0,273.65,268.15,270.45,270.35,635882.0,1722.66
2010-03-26,271.0,281.05,270.8,272.55,275.65,1324781.0,3654.03
2010-03-29,277.8,277.8,262.3,263.0,264.85,652503.0,1770.89
2010-03-30,267.5,271.85,261.65,262.3,262.75,697608.0,1864.98
2010-03-31,264.95,268.4,258.1,261.3,260.35,473086.0,1248.85
2010-04-01,262.85,271.2,261.8,268.0,269.4,1084057.0,2904.27
2010-04-05,273.4,275.2,269.2,272.5,271.85,777496.0,2118.27
2010-04-06,272.6,274.35,265.0,268.45,267.3,435838.0,1176.86
2010-04-07,269.0,274.4,265.5,269.6,269.7,490084.0,1325.47
2010-04-08,269.2,291.8,265.65,283.9,282.75,4181669.0,11863.09
2010-04-09,285.55,294.0,283.25,286.0,286.55,2042636.0,5910.84
2010-04-12,288.85,296.8,279.0,294.0,294.05,2309064.0,6694.69
2010-04-13,297.8,297.8,285.05,285.8,287.05,1072508.0,3108.99
2010-04-15,289.2,292.45,278.05,280.0,280.1,966496.0,2777.62
2010-04-16,280.4,285.0,276.55,277.2,278.05,784455.0,2198.16
2010-04-19,275.1,275.1,262.1,266.0,265.85,608920.0,1634.8
2010-04-20,268.4,274.9,266.0,272.4,271.35,825045.0,2234.02
2010-04-21,273.8,282.45,270.25,274.7,276.9,1015955.0,2817.05
2010-04-22,274.0,279.0,269.25,270.4,271.1,604730.0,1659.65
2010-04-23,272.5,274.8,267.25,270.45,269.45,385065.0,1044.66
2010-04-26,272.45,273.85,266.2,267.4,268.45,330820.0,895.01
2010-04-27,269.0,271.8,266.35,267.5,268.0,340693.0,916.6
2010-04-28,264.0,264.7,256.1,259.5,258.3,382892.0,996.65
2010-04-29,260.6,264.7,259.05,261.35,260.4,331667.0,868.28
2010-04-30,263.3,266.85,260.25,261.0,261.75,401695.0,1059.09
2010-05-03,259.4,262.75,256.0,258.3,258.9,411488.0,1068.07
2010-05-04,259.8,263.25,249.1,250.4,250.85,366486.0,940.82
2010-05-05,245.0,248.0,238.15,247.8,245.85,396716.0,962.13
2010-05-06,245.1,252.9,243.2,246.8,247.55,334088.0,829.72
2010-05-07,244.5,244.9,235.35,236.7,238.2,288533.0,694.41
2010-05-10,246.0,250.9,243.15,247.55,247.9,315622.0,779.09
2010-05-11,252.0,252.85,242.5,242.6,244.3,244628.0,605.01
2010-05-12,244.9,247.1,236.25,240.0,239.8,218494.0,526.62
2010-05-13,245.0,245.7,239.65,239.65,240.85,157434.0,382.38
2010-05-14,240.0,244.7,231.5,232.7,234.75,226651.0,541.06
2010-05-17,228.0,234.0,226.15,232.25,232.2,212257.0,488.8
2010-05-18,235.0,236.25,228.0,228.75,229.2,183989.0,427.3
2010-05-19,228.0,242.9,224.1,225.0,226.65,695494.0,1632.11
2010-05-20,230.0,233.8,221.35,225.9,224.3,292348.0,665.7
2010-05-21,219.0,220.9,213.35,216.0,216.85,262327.0,569.2
2010-05-24,220.0,239.9,220.0,227.05,227.1,513779.0,1190.53
2010-05-25,222.6,225.95,215.25,217.2,216.85,251411.0,553.89
2010-05-26,223.5,232.25,221.0,223.45,223.25,464562.0,1047.04
2010-05-27,224.9,227.95,220.15,223.25,223.65,272838.0,610.55
2010-05-28,228.0,232.5,225.9,226.8,227.85,438117.0,1002.86
2010-05-31,228.9,229.9,224.2,225.9,226.0,221044.0,499.82
2010-06-01,226.5,235.9,215.0,223.55,224.25,570186.0,1312.93
2010-06-02,226.9,228.8,223.1,227.85,226.8,202890.0,458.97
2010-06-03,229.6,234.0,228.7,229.95,229.5,346916.0,801.44
2010-06-04,230.1,230.75,225.5,226.6,227.15,161692.0,368.07
2010-06-07,220.0,223.4,217.3,221.1,220.5,144236.0,318.46
2010-06-08,220.5,225.75,216.7,219.05,218.75,183660.0,407.38
2010-06-09,222.0,224.4,219.05,222.5,220.95,218360.0,483.77
2010-06-10,224.0,224.0,219.25,223.5,222.85,189126.0,419.57
2010-06-11,225.7,229.0,222.15,224.0,223.6,270806.0,610.54
2010-06-14,225.5,266.1,225.0,263.0,262.4,2412118.0,6049.02
2010-06-15,264.0,276.35,257.7,266.7,267.35,4223504.0,11314.95
2010-06-16,270.0,275.3,260.5,264.5,266.9,2388473.0,6432.44
2010-06-17,267.85,269.75,261.2,262.1,262.45,873817.0,2317.93
2010-06-18,263.1,272.9,257.15,258.0,259.3,1943522.0,5175.45
2010-06-21,262.0,265.5,258.95,261.0,260.25,404649.0,1061.58
2010-06-22,260.0,261.8,252.75,254.75,253.95,422162.0,1081.3
2010-06-23,253.1,263.7,247.2,257.5,257.1,906294.0,2328.19
2010-06-24,257.5,263.25,255.8,257.0,257.3,568144.0,1476.28
2010-06-25,255.5,262.9,253.1,254.6,254.95,582761.0,1502.18
2010-06-28,255.0,259.45,254.6,255.25,256.55,297547.0,765.19
2010-06-29,256.55,259.65,249.55,250.9,251.2,323013.0,821.82
2010-06-30,249.95,252.5,245.1,248.2,249.05,319415.0,796.64
2010-07-01,250.0,250.0,243.0,246.4,245.25,227845.0,561.98
2010-07-02,246.95,263.0,246.8,253.5,253.95,927655.0,2369.58
2010-07-05,257.0,261.8,252.0,254.55,254.15,528287.0,1360.34
2010-07-06,255.0,257.6,252.6,254.3,253.4,269184.0,686.44
2010-07-07,254.0,257.6,251.2,251.75,252.05,388236.0,988.46
2010-07-08,255.9,260.5,254.3,254.5,255.15,594043.0,1529.02
2010-07-09,256.4,258.5,252.4,253.0,253.4,229580.0,586.47
2010-07-12,255.4,258.35,252.6,253.55,253.7,327624.0,837.21
2010-07-13,255.0,259.8,253.2,256.5,256.45,348595.0,893.92
2010-07-14,259.5,261.5,254.0,254.0,255.25,663351.0,1715.14
2010-07-15,255.0,257.8,251.1,253.3,252.8,275814.0,702.46
2010-07-16,253.6,254.65,250.15,251.0,251.7,201674.0,509.52
2010-07-19,250.0,253.55,247.5,248.6,248.75,227579.0,570.27
2010-07-20,250.5,253.4,245.55,246.0,246.7,199489.0,498.49
2010-07-21,248.0,249.7,246.3,247.6,247.45,177498.0,440.54
2010-07-22,246.0,250.7,245.5,247.2,247.35,266560.0,661.11
2010-07-23,251.0,258.7,248.2,248.2,249.9,442381.0,1117.48
2010-07-26,251.0,252.6,235.05,243.6,243.65,176899.0,433.74
2010-07-27,244.0,248.4,242.0,243.0,242.75,180783.0,440.66
2010-07-28,244.5,247.75,241.7,242.6,242.75,206749.0,505.03
2010-07-29,242.0,244.45,240.7,242.0,241.55,123256.0,299.04
2010-07-30,241.0,243.4,236.05,236.8,237.55,147838.0,354.55
2010-08-02,240.0,257.3,237.9,253.2,252.5,1789497.0,4496.57
2010-08-03,254.0,274.0,249.2,266.55,265.3,3651026.0,9700.8
2010-08-04,266.0,292.5,266.0,289.3,288.35,4494438.0,12601.06
2010-08-05,290.95,298.2,280.85,282.1,282.15,2860704.0,8290.2
2010-08-06,283.0,296.7,280.1,291.6,290.25,2575840.0,7452.95
2010-08-09,292.0,293.4,241.15,285.75,286.9,1063081.0,3066.34
2010-08-10,286.9,288.9,268.6,270.0,270.75,970253.0,2697.64
2010-08-11,274.0,287.65,267.15,270.0,269.2,1720247.0,4782.5
