Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-02-29,118.4,119.45,103.55,116.0,115.8,7158.0,8.25
2012-03-01,115.9,120.95,111.0,117.45,117.45,1168.0,1.36
2012-03-02,126.0,126.0,113.0,117.5,117.5,198.0,0.23
2012-03-03,120.0,120.0,110.05,113.9,110.45,455.0,0.5
2012-03-05,119.0,119.0,111.1,116.0,111.2,309.0,0.36
2012-03-06,110.0,120.9,110.0,118.0,116.45,3522.0,4.11
2012-03-07,139.7,139.7,111.25,117.0,116.65,3860.0,4.49
2012-03-09,126.45,126.45,114.0,117.9,116.85,4788.0,5.6
2012-03-12,116.0,120.9,114.8,115.8,115.95,1827.0,2.15
2012-03-13,116.5,116.5,110.0,112.0,113.5,4956.0,5.64
2012-03-14,114.35,115.0,112.05,113.0,113.0,768.0,0.88
2012-03-15,108.0,126.3,107.0,116.9,115.8,6498.0,7.49
2012-03-16,111.0,117.0,111.0,111.5,113.2,52.0,0.06
2012-03-19,110.5,111.8,108.75,109.2,110.0,2390.0,2.64
2012-03-20,111.15,118.2,107.5,111.0,109.85,79846.0,88.82
2012-03-21,108.25,109.0,106.0,106.0,107.0,1811.0,1.93
2012-03-22,110.7,112.7,106.35,106.35,106.65,298.0,0.33
2012-03-23,110.0,111.0,101.0,106.5,104.9,1688.0,1.79
2012-03-26,106.0,107.0,106.0,106.0,106.0,2112.0,2.24
2012-03-27,115.0,115.0,101.55,103.0,105.45,41950.0,44.59
2012-03-28,103.0,106.5,100.0,100.0,100.85,1090.0,1.12
2012-03-29,101.0,105.45,100.0,100.75,101.65,8465.0,8.66
2012-03-30,103.45,109.5,100.5,107.0,105.85,1034.0,1.08
2012-04-02,105.85,106.65,100.1,103.0,105.5,119.0,0.12
2012-04-03,105.8,109.0,102.95,102.95,103.15,128.0,0.14
2012-04-04,102.0,109.0,102.0,109.0,106.7,1178.0,1.25
2012-04-09,106.0,106.0,101.5,101.5,101.85,63.0,0.07
2012-04-10,105.0,108.0,103.15,103.15,104.1,401.0,0.43
2012-04-11,107.0,111.0,102.65,105.25,105.25,121.0,0.13
2012-04-12,103.05,103.05,100.25,101.0,101.0,29.0,0.03
2012-04-13,109.5,116.75,107.0,115.05,113.6,3902.0,4.39
2012-04-16,116.95,124.0,116.0,122.0,121.9,793.0,0.95
2012-04-17,122.0,123.2,107.05,119.1,122.35,3908.0,4.63
2012-04-18,110.2,128.5,110.2,120.0,120.0,2608.0,3.13
2012-04-19,125.0,127.0,122.5,123.15,126.45,3632.0,4.55
2012-04-20,128.0,128.85,124.25,125.0,124.45,931.0,1.17
2012-04-23,121.1,121.1,121.1,121.1,121.1,127.0,0.15
2012-04-24,113.5,122.0,113.5,122.0,121.35,92.0,0.11
2012-04-25,122.0,127.9,122.0,125.0,125.0,6076.0,7.49
2012-04-26,115.55,124.95,115.55,124.0,124.0,8021.0,9.8
2012-04-27,120.1,123.0,120.1,123.0,123.0,375.0,0.46
2012-04-28,127.9,127.9,127.9,127.9,127.9,80.0,0.1
2012-04-30,124.0,124.0,121.5,121.5,121.5,441.0,0.54
2012-05-02,121.5,125.0,121.5,121.5,122.25,335.0,0.41
2012-05-03,118.0,121.5,115.1,121.4,120.2,438.0,0.52
2012-05-04,115.0,116.0,112.0,115.25,115.25,36.0,0.04
2012-05-07,111.15,125.0,111.1,121.1,121.55,1342.0,1.61
2012-05-08,128.0,131.0,120.0,129.5,129.95,12848.0,16.19
2012-05-09,125.0,129.0,123.0,123.0,123.75,15414.0,19.37
2012-05-10,124.4,126.0,120.0,123.0,123.5,13203.0,16.35
2012-05-11,124.0,125.8,123.0,125.8,125.8,10774.0,13.39
2012-05-14,126.0,126.0,118.0,123.75,123.85,14805.0,18.38
2012-05-15,124.5,126.0,123.0,126.0,126.0,12721.0,15.89
2012-05-16,125.0,126.85,125.0,125.0,125.0,11439.0,14.34
2012-05-17,123.8,129.9,123.8,126.5,125.55,15829.0,19.93
2012-05-18,115.6,127.8,115.6,123.6,123.55,11108.0,13.91
2012-05-21,125.0,126.8,123.4,125.5,125.5,20086.0,25.12
2012-05-22,125.0,127.0,124.0,126.0,126.0,11407.0,14.3
2012-05-23,120.8,144.2,120.8,125.0,125.0,2916.0,3.69
2012-05-24,127.0,128.0,124.0,124.05,125.45,18612.0,23.42
2012-05-25,119.9,127.0,119.9,127.0,126.25,17901.0,22.53
2012-05-28,123.2,131.8,123.2,125.05,125.7,10843.0,13.68
2012-05-29,126.0,126.0,126.0,126.0,126.0,6250.0,7.88
2012-05-30,126.0,128.0,126.0,127.95,127.95,11630.0,14.76
2012-05-31,130.65,130.65,125.05,125.05,125.1,9048.0,11.47
2012-06-01,130.0,130.0,125.55,126.0,126.0,5974.0,7.56
2012-06-04,124.3,126.0,123.05,126.0,126.0,9013.0,11.33
2012-06-05,125.35,126.55,125.0,125.0,125.4,10782.0,13.62
2012-06-06,121.2,139.7,121.2,125.0,125.0,3664.0,4.64
2012-06-07,126.5,128.9,125.05,125.9,125.55,11067.0,13.98
2012-06-08,124.25,128.1,124.1,125.0,125.05,13321.0,16.9
2012-06-11,124.0,127.0,124.0,127.0,127.0,23589.0,29.65
2012-06-12,125.5,127.8,125.0,126.8,126.3,12074.0,15.21
2012-06-13,126.2,130.9,125.0,130.9,129.15,14460.0,18.32
2012-06-14,128.25,133.9,126.0,133.9,130.7,18028.0,23.07
2012-06-15,129.05,129.5,127.6,129.0,129.0,10016.0,12.93
2012-06-18,127.0,131.9,127.0,131.9,129.4,12452.0,16.03
2012-06-19,125.15,128.6,125.15,126.0,127.3,14285.0,18.26
2012-06-20,128.25,129.5,127.0,128.0,128.0,16543.0,21.22
2012-06-21,127.2,132.0,122.55,132.0,130.45,11061.0,14.09
2012-06-22,127.3,131.0,126.0,127.5,128.0,13595.0,17.34
2012-06-25,129.0,129.5,125.1,127.0,126.6,23027.0,29.51
2012-06-26,127.65,130.5,126.0,128.15,129.9,43270.0,55.55
2012-06-27,130.0,131.0,126.25,128.1,128.85,23881.0,30.75
2012-06-28,128.0,129.9,126.85,127.0,128.0,21974.0,28.15
2012-06-29,131.85,131.85,124.1,124.1,128.95,16545.0,21.15
2012-07-02,133.0,153.7,125.2,125.2,126.3,27936.0,35.59
2012-07-03,124.15,130.0,124.15,126.0,125.9,42892.0,54.8
2012-07-04,126.0,130.0,122.95,129.75,129.4,49517.0,63.02
2012-07-05,154.75,154.75,127.15,127.15,127.5,32276.0,41.76
2012-07-06,127.7,131.4,127.5,130.0,129.85,25113.0,32.45
2012-07-09,129.3,130.0,128.0,128.0,128.0,10717.0,13.84
2012-07-10,128.25,140.0,128.25,131.0,131.65,30902.0,40.23
2012-07-11,130.5,138.0,130.05,130.15,131.55,21708.0,28.4
2012-07-12,129.55,133.0,126.0,133.0,131.6,21081.0,27.42
2012-07-13,131.55,131.6,126.6,129.2,130.0,17709.0,22.99
2012-07-16,130.25,130.5,129.1,130.0,130.0,11516.0,14.98
2012-07-17,130.25,132.0,127.15,127.15,128.0,41185.0,53.27
2012-07-18,128.5,130.05,127.15,129.45,128.25,35531.0,45.8
2012-07-19,128.3,135.5,128.0,131.5,129.75,36783.0,47.97
2012-07-20,130.1,132.0,128.95,129.55,129.7,40681.0,52.76
2012-07-23,130.0,130.6,127.05,127.05,128.35,68407.0,88.32
2012-07-24,128.6,130.6,126.0,129.9,129.3,56558.0,72.49
2012-07-25,129.3,131.2,126.3,130.0,129.5,18184.0,23.32
2012-07-26,126.25,128.15,124.55,126.5,125.15,5123.0,6.49
2012-07-27,135.0,135.0,122.5,122.5,123.25,26357.0,33.3
2012-07-30,116.35,126.45,116.35,122.9,122.9,21069.0,26.06
2012-07-31,123.7,125.0,121.0,122.5,122.4,22027.0,27.2
2012-08-01,122.45,126.9,122.25,125.0,125.05,27392.0,34.01
2012-08-02,130.0,130.0,123.6,127.3,124.15,10365.0,12.89
2012-08-03,120.7,129.0,120.7,121.05,124.7,26039.0,32.66
2012-08-06,127.5,127.95,125.05,125.15,125.7,17007.0,21.38
2012-08-07,124.65,127.85,123.95,124.9,124.5,10512.0,13.1
2012-08-08,123.5,126.0,123.2,124.75,124.75,50558.0,62.97
2012-08-09,123.45,125.0,123.25,124.0,124.0,26805.0,33.25
2012-08-10,121.55,125.0,121.55,125.0,122.5,10599.0,13.04
2012-08-13,121.9,126.5,121.6,121.6,122.4,30828.0,37.7
2012-08-14,121.5,125.4,121.5,122.5,123.1,26467.0,32.66
2012-08-16,123.25,123.4,120.9,120.9,121.1,30799.0,37.71
2012-08-17,121.7,122.0,118.4,119.0,119.45,12619.0,15.3
2012-08-21,117.05,122.0,116.2,116.45,117.25,17469.0,20.66
2012-08-22,116.5,120.5,114.0,114.0,114.9,34520.0,40.36
2012-08-23,115.0,117.65,111.0,114.0,114.0,53298.0,61.69
2012-08-24,118.85,118.85,109.3,116.8,114.3,5313.0,6.07
2012-08-27,113.0,113.9,109.25,110.0,110.0,5751.0,6.52
2012-08-28,108.25,109.9,105.6,108.0,108.05,6925.0,7.5
2012-08-29,105.1,106.9,103.7,106.35,106.35,10468.0,10.99
2012-08-30,105.35,109.75,100.5,107.0,107.35,7652.0,8.07
2012-08-31,106.0,106.9,99.0,101.9,100.5,1393.0,1.41
2012-09-03,104.9,104.9,98.0,101.5,98.35,385.0,0.38
2012-09-04,98.0,106.5,97.0,106.5,102.25,14949.0,15.05
2012-09-05,107.9,107.9,101.0,101.35,102.15,29857.0,31.3
2012-09-06,101.0,107.9,99.0,106.2,106.1,2166.0,2.27
2012-09-07,103.55,104.2,101.0,101.0,102.05,1228.0,1.26
2012-09-08,103.0,108.8,102.0,103.05,103.7,14888.0,15.57
2012-09-10,103.0,105.0,102.05,104.0,103.3,29040.0,30.21
2012-09-11,106.15,106.25,102.15,102.8,105.0,26188.0,26.8
2012-09-12,102.5,108.4,100.05,107.0,107.4,32254.0,33.69
2012-09-13,110.9,110.9,105.0,107.85,106.85,38682.0,41.17
2012-09-14,106.9,109.9,102.0,109.5,109.05,21721.0,22.89
2012-09-17,108.0,114.0,105.5,112.0,112.0,44439.0,48.68
2012-09-18,110.0,116.05,108.5,115.3,113.95,7166.0,8.15
2012-09-20,116.9,116.9,111.65,116.0,115.1,51555.0,59.31
2012-09-21,115.0,116.0,112.2,116.0,116.0,13627.0,15.64
2012-09-24,117.6,117.6,115.0,116.85,115.45,10794.0,12.52
2012-09-25,117.0,119.9,114.55,119.0,117.1,54076.0,62.86
