Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-12-10,143.6,143.6,136.65,140.0,140.05,3878.0,5.45
2010-12-13,142.5,143.0,139.0,139.0,139.05,1090.0,1.52
2010-12-14,139.5,141.5,139.0,139.0,139.25,1320.0,1.84
2010-12-15,145.85,149.7,139.0,139.25,139.25,651.0,0.93
2010-12-16,139.15,140.15,139.0,139.05,139.05,645.0,0.9
2010-12-20,139.1,141.0,139.0,140.9,140.9,310.0,0.43
2010-12-21,139.0,168.0,139.0,139.0,139.05,3290.0,4.71
2010-12-22,150.0,150.0,139.05,141.0,141.0,707.0,1.0
2010-12-23,141.0,141.0,133.0,133.0,134.15,462.0,0.63
2010-12-24,139.9,143.0,136.0,140.0,140.1,2025.0,2.83
2010-12-27,140.0,143.45,140.0,140.5,140.25,1089.0,1.53
2010-12-28,140.0,142.4,140.0,140.0,140.0,1373.0,1.92
2010-12-29,140.05,141.8,140.0,141.8,141.8,175.0,0.25
2010-12-30,149.2,149.2,139.0,140.0,140.0,2782.0,3.9
2010-12-31,140.0,140.0,140.0,140.0,140.0,1553.0,2.17
2011-01-03,140.2,147.0,140.0,145.0,143.55,1145.0,1.62
2011-01-04,145.0,148.0,141.05,141.7,141.4,2141.0,3.08
2011-01-05,147.0,159.9,147.0,152.05,153.7,77418.0,120.69
2011-01-06,155.05,156.0,147.5,155.0,152.6,10718.0,16.18
2011-01-07,150.0,150.0,142.5,144.2,144.1,4003.0,5.8
2011-01-10,142.5,144.0,140.0,142.0,141.25,1921.0,2.71
2011-01-11,140.0,144.75,140.0,141.95,140.1,1239.0,1.74
2011-01-12,140.0,144.9,140.0,140.35,141.35,2111.0,2.98
2011-01-13,154.0,154.0,140.0,141.0,141.0,1575.0,2.21
2011-01-14,140.25,142.45,140.0,141.65,140.7,4064.0,5.71
2011-01-17,140.0,141.95,140.0,140.0,140.0,4172.0,5.84
2011-01-18,141.0,141.0,140.0,140.0,140.0,5873.0,8.22
2011-01-19,140.0,142.25,140.0,142.25,141.75,5170.0,7.3
2011-01-20,140.05,145.0,140.0,140.3,140.3,2861.0,4.08
2011-01-21,142.0,143.0,142.0,142.95,142.1,1475.0,2.1
2011-01-24,140.25,145.5,140.0,142.0,142.05,2160.0,3.07
2011-01-25,140.2,141.0,140.0,141.0,141.0,3441.0,4.83
2011-01-27,144.1,144.2,141.0,143.25,142.75,1276.0,1.82
2011-01-28,142.75,142.75,140.0,140.05,140.05,11626.0,16.37
2011-01-31,140.0,143.0,140.0,140.0,140.1,7920.0,11.11
2011-02-01,141.7,145.0,140.1,143.0,141.85,3633.0,5.16
2011-02-02,142.95,143.7,142.95,143.6,143.55,1863.0,2.66
2011-02-03,142.6,144.75,141.0,144.75,144.25,520.0,0.74
2011-02-04,145.05,151.0,140.0,140.0,140.45,12479.0,17.98
2011-02-07,140.15,140.95,140.0,140.95,140.1,1712.0,2.4
2011-02-08,140.05,141.0,140.0,140.0,140.0,2533.0,3.55
2011-02-09,140.0,142.95,140.0,140.0,140.05,5242.0,7.37
2011-02-10,140.05,140.95,140.0,140.0,140.0,2689.0,3.76
2011-02-11,141.3,141.35,140.0,140.0,140.0,2428.0,3.4
2011-02-14,141.05,142.0,140.0,140.05,140.05,1688.0,2.37
2011-02-15,140.15,140.7,140.05,140.05,140.25,661.0,0.93
2011-02-16,140.05,140.05,140.0,140.0,140.05,604.0,0.85
2011-02-17,140.05,141.8,140.0,141.8,140.5,1671.0,2.34
2011-02-18,142.8,142.8,140.0,140.0,140.0,913.0,1.28
2011-02-21,140.05,142.0,138.05,138.2,138.2,223.0,0.31
2011-02-22,136.1,140.0,135.5,135.75,136.4,404.0,0.56
2011-02-23,135.05,135.15,135.05,135.15,135.15,202.0,0.27
2011-02-24,135.0,135.0,128.05,131.75,130.0,1278.0,1.67
2011-02-25,128.05,129.95,122.05,122.8,123.45,497.0,0.62
2011-02-28,137.8,140.0,132.0,140.0,138.55,2669.0,3.66
2011-03-01,148.85,148.85,125.55,132.5,132.65,2434.0,3.25
2011-03-03,138.5,138.5,128.65,130.0,130.0,406.0,0.54
2011-03-04,127.1,134.0,127.1,131.0,131.0,543.0,0.71
2011-03-07,130.0,134.5,130.0,134.5,133.85,1736.0,2.27
2011-03-08,140.5,140.5,132.0,134.9,134.9,329.0,0.44
2011-03-09,130.2,138.4,130.05,130.05,130.1,678.0,0.89
2011-03-10,145.0,145.5,130.0,130.5,130.4,8548.0,11.62
2011-03-11,130.1,142.8,130.0,130.1,130.2,4864.0,6.54
2011-03-14,130.55,136.0,130.0,130.0,130.5,1014.0,1.33
2011-03-15,134.5,134.5,130.3,131.0,131.0,485.0,0.64
2011-03-16,131.85,132.0,130.2,131.95,131.95,1104.0,1.45
2011-03-17,130.05,134.0,130.0,134.0,131.3,511.0,0.67
2011-03-18,130.15,132.95,130.1,132.95,131.05,223.0,0.29
2011-03-21,134.0,134.5,130.0,131.85,131.3,1195.0,1.57
2011-03-22,132.0,134.9,130.0,131.95,130.05,4627.0,6.12
2011-03-23,130.25,132.8,130.0,131.5,130.95,1590.0,2.08
2011-03-24,130.05,132.0,130.05,132.0,132.0,1300.0,1.71
2011-03-25,131.2,134.5,131.2,134.35,133.0,812.0,1.07
2011-03-28,133.5,133.5,130.5,131.0,131.0,1725.0,2.26
2011-03-29,131.55,132.0,130.0,130.5,130.5,9215.0,12.04
2011-03-30,131.0,132.0,131.0,132.0,132.0,398.0,0.53
2011-03-31,132.0,133.0,131.0,133.0,133.0,5221.0,6.93
2011-04-01,132.5,132.5,132.0,132.0,132.0,300.0,0.4
2011-04-04,138.8,141.0,136.15,141.0,140.7,7177.0,9.98
2011-04-05,141.0,144.9,140.0,140.0,140.0,8373.0,11.74
2011-04-06,143.95,145.85,140.45,143.5,142.1,2502.0,3.57
2011-04-07,143.0,147.0,142.25,142.25,142.35,1303.0,1.87
2011-04-08,140.75,142.5,140.0,140.0,140.0,670.0,0.94
2011-04-11,141.0,142.85,140.0,141.0,142.4,442.0,0.62
2011-04-13,141.5,144.9,140.0,144.8,142.95,1205.0,1.7
2011-04-15,140.0,146.5,140.0,142.0,142.1,1753.0,2.5
2011-04-18,140.0,146.0,140.0,141.1,142.15,1710.0,2.43
2011-04-19,154.0,154.0,141.0,141.55,141.55,1399.0,1.99
2011-04-20,147.5,157.4,145.5,156.0,156.05,23936.0,36.41
2011-04-21,159.85,165.75,155.0,155.15,156.0,45199.0,72.33
2011-04-25,156.0,163.0,151.0,160.2,159.4,4896.0,7.83
2011-04-26,161.95,161.95,154.0,155.6,155.5,6470.0,10.17
2011-04-27,162.5,162.5,152.1,152.55,153.5,1690.0,2.6
2011-04-28,159.0,159.0,145.05,149.25,147.85,2372.0,3.54
2011-04-29,151.4,151.4,143.45,149.95,146.1,1264.0,1.84
2011-05-02,144.2,146.9,143.0,143.0,144.5,331.0,0.48
2011-05-03,150.0,164.0,136.55,136.55,139.85,3032.0,4.39
2011-05-04,148.4,148.4,135.0,138.0,138.1,706.0,0.98
2011-05-05,141.4,143.45,136.15,137.0,138.0,259.0,0.36
2011-05-06,132.0,143.0,132.0,135.5,136.9,1136.0,1.55
2011-05-09,134.25,146.0,128.0,131.2,132.5,1375.0,1.82
2011-05-10,127.25,136.0,127.25,130.2,130.2,1077.0,1.41
2011-05-11,130.35,135.9,130.35,131.0,131.25,1311.0,1.72
2011-05-12,145.0,145.0,130.3,131.0,130.85,1391.0,1.83
2011-05-13,139.0,139.0,126.25,131.25,131.75,2441.0,3.22
2011-05-16,138.1,138.1,127.8,131.0,131.0,490.0,0.64
2011-05-17,137.5,137.5,126.8,127.3,127.85,2131.0,2.76
2011-05-18,134.9,134.9,125.5,125.5,125.5,1880.0,2.37
2011-05-19,134.5,134.5,125.5,129.5,128.3,908.0,1.16
2011-05-20,135.0,135.0,124.55,126.4,126.4,349.0,0.45
2011-05-23,125.0,126.0,125.0,125.5,125.5,466.0,0.59
2011-05-24,129.0,131.0,125.1,125.25,125.95,1017.0,1.31
2011-05-25,125.05,129.5,125.0,127.0,125.85,2795.0,3.5
2011-05-26,125.05,128.0,125.0,125.0,125.0,1246.0,1.56
2011-05-27,130.0,130.0,125.1,127.0,127.0,178.0,0.22
2011-05-31,126.15,126.15,125.0,125.0,125.0,416.0,0.52
2011-06-01,125.15,129.45,125.1,125.1,125.35,921.0,1.16
2011-06-02,125.05,127.1,125.0,125.15,126.3,393.0,0.49
2011-06-03,125.0,127.0,125.0,125.3,125.3,281.0,0.35
2011-06-06,125.0,128.8,125.0,128.8,127.25,416.0,0.52
2011-06-07,125.1,125.1,125.0,125.0,125.0,264.0,0.33
2011-06-08,128.45,128.45,125.0,125.05,125.0,921.0,1.15
2011-06-09,125.05,127.5,125.0,125.0,125.0,550.0,0.69
2011-06-10,125.05,126.0,125.0,126.0,126.0,290.0,0.36
2011-06-13,125.0,132.9,125.0,126.0,128.35,1057.0,1.34
2011-06-14,126.0,129.5,126.0,127.0,127.25,2812.0,3.56
2011-06-15,127.0,127.0,126.0,126.5,126.15,906.0,1.14
2011-06-16,125.5,125.5,125.5,125.5,125.5,50.0,0.06
2011-06-17,125.15,127.0,125.05,127.0,126.5,200.0,0.25
2011-06-20,125.15,129.9,125.0,125.0,125.0,2118.0,2.65
