Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,102.25,103.6,100.5,102.4,102.3,175469.0,179.49
2010-01-05,103.85,104.4,100.7,101.45,101.25,205534.0,210.25
2010-01-06,103.75,107.4,102.8,103.45,103.15,571092.0,596.84
2010-01-07,104.5,105.3,103.05,103.3,103.5,324114.0,336.73
2010-01-08,104.8,115.8,103.5,112.5,111.95,2005764.0,2233.13
2010-01-11,114.7,116.7,113.0,113.8,113.6,591661.0,679.53
2010-01-12,112.3,116.4,108.5,109.5,109.65,361934.0,409.78
2010-01-13,105.0,118.35,105.0,116.75,116.3,869910.0,1002.2
2010-01-14,117.0,121.0,117.0,117.1,117.75,618521.0,734.3
2010-01-15,119.5,123.7,117.4,120.7,120.1,558738.0,676.2
2010-01-18,120.0,125.0,118.15,123.1,121.85,276572.0,338.96
2010-01-19,123.0,123.8,117.0,118.9,117.8,148473.0,179.06
2010-01-20,119.9,123.0,117.1,118.0,117.55,163551.0,195.72
2010-01-21,116.1,120.45,113.65,115.0,114.7,193673.0,227.41
2010-01-22,114.7,114.7,107.05,112.0,113.0,179237.0,199.74
2010-01-25,113.9,114.75,110.15,112.75,113.05,110592.0,125.16
2010-01-27,111.1,118.0,110.1,111.0,111.8,323199.0,370.07
2010-01-28,112.5,116.9,112.0,115.7,114.5,194258.0,221.52
2010-01-29,116.0,116.0,108.25,115.45,115.35,161552.0,182.38
2010-02-01,115.5,115.8,111.55,112.15,112.4,199663.0,226.54
2010-02-02,113.85,116.75,112.4,112.7,112.85,211145.0,242.34
2010-02-03,114.1,115.0,112.85,113.35,113.4,93760.0,106.7
2010-02-04,115.2,115.2,110.0,110.9,110.6,74879.0,84.49
2010-02-05,109.0,109.95,104.2,104.9,106.05,141852.0,151.76
2010-02-06,107.7,108.0,106.2,107.0,107.45,31552.0,33.89
2010-02-08,107.85,110.5,106.6,108.7,108.9,69535.0,75.34
2010-02-09,109.8,110.0,108.0,108.35,108.55,26805.0,29.18
2010-02-10,108.8,110.3,105.0,105.0,106.25,43544.0,46.97
2010-02-11,107.0,109.0,96.9,106.0,106.3,67339.0,71.71
