Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,50.0,50.85,49.05,50.15,50.7,21233.0,10.61
2010-01-05,51.4,53.25,50.5,52.25,52.05,67449.0,35.15
2010-01-06,52.05,54.0,49.5,52.05,53.4,34361.0,17.64
2010-01-07,54.0,56.05,53.0,55.45,55.35,16798.0,9.25
2010-01-08,55.0,59.8,54.15,55.5,55.45,117934.0,67.73
2010-01-11,60.75,60.75,55.1,56.9,56.6,35555.0,20.53
2010-01-12,61.5,61.5,55.5,56.5,56.1,112517.0,64.2
2010-01-13,55.0,58.65,52.1,58.1,57.85,31556.0,17.96
2010-01-14,57.9,58.0,56.7,57.45,57.2,23396.0,13.36
2010-01-15,57.5,58.0,55.1,56.25,56.95,10898.0,6.19
2010-01-18,55.35,56.5,55.25,56.5,56.25,10469.0,5.86
2010-01-19,56.0,57.0,55.15,57.0,57.0,30957.0,17.5
2010-01-20,57.7,58.45,55.5,58.05,58.0,44288.0,25.23
2010-01-21,57.0,58.35,55.45,57.95,57.35,10790.0,6.14
2010-01-22,53.55,56.7,53.55,55.7,55.15,21200.0,11.65
2010-01-25,53.55,58.45,53.55,55.35,55.45,18211.0,10.24
2010-01-27,54.05,55.25,51.5,51.5,52.05,61004.0,32.38
2010-01-28,53.0,53.5,50.1,52.0,52.5,18037.0,9.39
2010-01-29,51.5,54.85,49.05,52.0,52.65,35088.0,17.94
2010-02-01,50.25,53.9,50.25,52.15,52.15,3952.0,2.08
2010-02-02,51.0,53.9,51.0,51.55,52.2,3488.0,1.85
2010-02-03,52.5,56.0,52.5,55.0,55.0,29109.0,16.03
2010-02-04,54.5,58.2,53.35,56.4,56.3,86826.0,49.97
2010-02-05,55.0,55.95,52.55,55.25,55.0,33425.0,18.23
2010-02-06,53.55,56.25,53.55,54.25,54.25,2451.0,1.33
2010-02-08,55.0,57.9,53.7,56.95,56.85,9926.0,5.59
2010-02-09,56.5,58.05,54.45,55.05,56.25,53096.0,30.68
2010-02-10,55.5,56.25,54.65,56.0,56.0,2945.0,1.64
2010-02-11,54.5,58.05,54.5,56.0,56.15,59889.0,34.56
