Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,176.0,182.75,175.25,180.6,180.75,33843.0,60.85
2010-01-05,182.0,183.45,175.05,182.0,181.2,28885.0,52.22
2010-01-06,182.0,185.95,180.0,182.25,183.25,47045.0,86.43
2010-01-07,183.0,189.25,181.1,186.0,186.6,42626.0,79.4
2010-01-08,188.0,194.95,186.0,189.0,187.8,45535.0,87.6
2010-01-11,198.0,198.0,185.05,186.05,185.9,18237.0,34.24
2010-01-12,187.0,194.3,185.0,187.0,188.45,29784.0,56.63
2010-01-13,185.05,189.75,185.0,186.15,186.6,26186.0,48.92
2010-01-14,190.6,190.6,186.0,186.2,186.35,6896.0,12.95
2010-01-15,186.55,188.75,185.05,185.05,186.35,7884.0,14.71
2010-01-18,187.0,189.5,185.4,186.2,186.15,14079.0,26.26
2010-01-19,185.0,194.0,185.0,189.65,188.65,16972.0,32.12
2010-01-20,189.0,190.9,187.5,188.75,188.5,26845.0,50.61
2010-01-21,190.9,194.0,188.0,192.75,191.95,33435.0,64.21
2010-01-22,187.05,195.0,187.0,193.0,193.0,37081.0,71.02
2010-01-25,210.0,210.0,192.0,192.0,192.35,10266.0,19.97
2010-01-27,187.05,194.0,181.0,183.0,185.45,28486.0,54.28
2010-01-28,185.45,193.0,185.45,190.0,190.65,22400.0,42.86
2010-01-29,189.9,190.5,182.2,190.0,189.45,18535.0,34.2
2010-02-01,188.0,194.7,171.8,184.0,182.65,24462.0,44.45
2010-02-02,185.0,187.0,178.0,180.1,180.7,7333.0,13.49
2010-02-03,187.0,187.0,172.0,172.2,173.15,14158.0,25.02
2010-02-04,174.0,176.0,170.1,170.1,170.15,1651.0,2.84
2010-02-05,166.95,170.1,156.6,161.0,159.0,6251.0,10.16
2010-02-06,160.0,161.9,153.6,155.0,155.6,12906.0,20.12
2010-02-08,159.8,183.8,154.55,176.0,177.4,80428.0,141.95
2010-02-09,175.1,180.0,170.15,174.15,175.25,24597.0,42.84
2010-02-10,176.5,181.0,174.0,175.2,175.25,10275.0,18.11
2010-02-11,174.45,181.5,174.45,176.0,176.0,40777.0,72.75
2010-02-15,176.0,180.0,176.0,180.0,176.5,5820.0,10.26
2010-02-16,176.1,187.0,176.1,178.95,179.8,39102.0,71.47
2010-02-17,181.0,215.8,179.55,215.8,215.75,1237161.0,2570.82
2010-02-18,220.0,239.5,215.25,223.15,223.75,2647009.0,6071.19
2010-02-19,220.3,226.0,214.1,214.55,215.35,399746.0,879.1
2010-02-22,219.5,227.4,214.35,215.25,216.65,410985.0,912.68
2010-02-23,215.0,221.8,210.1,210.2,211.7,155394.0,338.18
2010-02-24,210.0,212.4,192.6,193.25,195.05,107530.0,216.06
2010-02-25,190.0,204.9,190.0,202.1,202.2,175998.0,349.18
2010-02-26,204.0,207.7,197.0,197.1,198.65,57189.0,115.89
2010-03-02,191.0,205.8,188.0,199.45,199.9,38309.0,77.15
2010-03-03,206.9,214.0,195.0,198.15,198.75,22009.0,44.24
2010-03-04,200.0,206.4,199.0,200.4,200.95,52743.0,107.33
2010-03-05,203.75,204.5,194.1,194.2,197.4,15479.0,31.02
2010-03-08,198.0,201.95,193.25,194.9,194.45,22000.0,43.36
2010-03-09,194.9,199.9,192.0,197.9,195.2,16080.0,31.48
2010-03-10,194.9,197.85,192.15,193.0,193.05,9229.0,18.05
2010-03-11,193.0,196.7,190.0,194.5,193.35,12897.0,25.03
2010-03-12,188.5,196.5,188.5,192.05,193.55,13194.0,25.68
2010-03-15,192.0,196.9,192.0,194.0,194.35,9934.0,19.34
2010-03-16,191.0,203.9,191.0,201.85,201.1,22264.0,44.25
2010-03-17,201.75,205.95,194.4,196.0,195.75,16727.0,33.47
2010-03-18,191.0,197.9,191.0,192.7,193.5,6876.0,13.4
2010-03-19,194.05,204.5,194.05,198.15,198.85,22162.0,44.36
2010-03-22,194.2,210.0,194.2,200.3,201.3,99786.0,205.16
2010-03-23,203.05,204.7,198.3,199.5,200.0,9214.0,18.58
2010-03-25,200.0,201.95,200.0,200.0,200.0,5634.0,11.28
2010-03-26,195.0,205.95,195.0,200.0,200.45,16234.0,32.71
2010-03-29,198.0,204.7,198.0,200.0,200.0,5883.0,11.78
2010-03-30,201.95,203.9,199.95,201.5,200.45,9967.0,19.98
2010-03-31,198.0,202.0,198.0,200.0,200.05,8236.0,16.53
2010-04-01,198.0,204.0,198.0,200.5,200.9,3869.0,7.79
2010-04-05,203.75,203.75,200.0,200.05,200.45,4932.0,9.91
2010-04-06,200.1,204.0,200.0,201.7,200.6,6115.0,12.34
2010-04-07,202.4,220.9,201.1,215.35,217.3,102487.0,219.83
2010-04-08,216.0,229.0,212.2,212.2,216.0,50388.0,111.58
2010-04-09,217.0,221.85,209.05,212.0,210.65,12080.0,26.09
2010-04-12,208.3,220.95,208.2,214.5,212.35,21490.0,46.42
2010-04-13,216.45,219.0,211.0,211.0,212.55,9580.0,20.59
2010-04-15,213.5,218.55,207.2,209.1,208.9,15773.0,33.76
2010-04-16,210.5,222.6,209.0,210.5,211.2,64073.0,139.43
2010-04-19,204.4,209.05,202.1,202.15,203.6,8027.0,16.51
2010-04-20,208.0,235.65,205.0,229.0,229.15,352028.0,787.59
2010-04-21,232.35,235.0,218.3,220.0,220.45,78831.0,178.03
2010-04-22,218.05,227.9,214.2,215.1,216.9,27672.0,61.62
2010-04-23,219.65,219.95,213.0,213.5,213.7,10031.0,21.68
2010-04-26,217.0,219.0,212.0,212.6,213.1,10089.0,21.68
2010-04-27,211.55,252.3,211.55,244.1,247.7,992656.0,2400.62
2010-04-28,237.0,245.95,225.15,229.0,228.45,244778.0,580.75
2010-04-29,230.0,242.5,229.0,232.3,231.4,153718.0,363.14
2010-04-30,233.05,236.0,224.0,226.0,225.85,26191.0,60.38
2010-05-03,227.0,234.3,222.35,225.0,225.0,43870.0,100.47
2010-05-04,227.1,232.8,218.6,220.05,220.45,31129.0,70.61
2010-05-05,217.65,218.3,202.8,214.9,213.85,25267.0,53.72
2010-05-06,216.5,242.9,212.0,235.75,238.55,361628.0,851.16
2010-05-07,231.0,234.45,212.0,213.6,213.25,63819.0,141.45
2010-05-10,220.0,233.9,218.7,225.0,225.3,112634.0,255.52
2010-05-11,223.0,232.0,220.0,223.5,222.55,43936.0,99.41
2010-05-12,224.0,230.75,219.5,222.0,221.25,56275.0,126.69
2010-05-13,224.85,227.0,219.0,220.85,219.95,17728.0,39.43
2010-05-14,221.9,222.7,212.55,213.0,213.8,12881.0,27.92
2010-05-17,212.95,214.8,208.0,212.65,211.3,15566.0,32.94
2010-05-18,210.0,224.85,210.0,213.1,214.95,46804.0,102.58
2010-05-19,214.05,219.0,205.1,205.15,206.3,21443.0,45.45
2010-05-20,209.9,211.8,201.55,203.3,203.4,17481.0,35.96
2010-05-21,200.0,202.85,190.15,194.0,193.7,26525.0,51.92
2010-05-24,200.0,213.0,196.0,199.8,201.3,128364.0,265.58
