Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,549.9,549.9,536.15,541.95,540.95,27175.0,146.92
2010-01-05,545.4,552.0,540.15,540.4,541.35,36443.0,198.54
2010-01-06,542.0,570.0,542.0,558.85,557.25,140507.0,782.29
2010-01-07,560.0,585.95,560.0,569.0,568.5,167100.0,962.09
2010-01-08,575.7,587.5,565.0,566.2,566.65,101063.0,584.22
2010-01-11,573.0,579.9,562.3,566.0,564.9,17798.0,101.66
2010-01-12,567.85,602.7,555.3,579.3,580.25,246689.0,1430.02
2010-01-13,584.95,595.0,573.5,579.4,580.65,120379.0,703.13
2010-01-14,586.55,595.0,580.25,582.35,582.5,81312.0,477.13
2010-01-15,585.7,617.9,581.55,591.0,589.15,236143.0,1423.85
2010-01-18,587.0,605.0,582.65,583.95,585.05,101797.0,607.03
2010-01-19,588.0,596.5,566.0,570.0,570.55,101529.0,595.26
2010-01-20,579.6,583.0,566.0,569.0,569.3,76608.0,440.44
2010-01-21,564.0,571.75,555.0,558.1,557.15,49084.0,278.2
2010-01-22,542.1,555.0,537.0,550.3,549.55,17423.0,95.29
2010-01-25,543.3,554.65,536.5,540.5,540.7,13519.0,73.15
2010-01-27,534.0,554.4,525.0,527.0,528.8,26002.0,139.62
2010-01-28,541.95,545.0,525.1,538.0,534.65,16751.0,89.69
2010-01-29,525.1,539.0,516.0,535.35,534.7,17726.0,93.57
2010-02-01,534.45,541.8,528.1,532.0,531.0,14073.0,75.14
2010-02-02,543.3,556.0,530.0,531.0,532.55,67234.0,362.86
2010-02-03,539.95,542.0,533.15,533.15,535.5,55431.0,297.45
2010-02-04,537.0,539.95,525.0,529.5,526.0,6590.0,35.09
2010-02-05,510.0,526.9,501.15,517.0,518.35,22595.0,117.32
2010-02-06,523.0,523.0,515.3,517.95,516.95,3533.0,18.29
2010-02-08,514.1,527.0,514.1,519.5,519.7,7886.0,40.88
2010-02-09,517.25,523.0,517.25,521.0,520.15,3639.0,18.93
2010-02-10,523.0,534.0,515.0,520.0,521.05,14864.0,77.85
2010-02-11,522.3,544.9,517.1,530.2,533.75,18173.0,97.28
2010-02-15,539.95,539.95,523.25,525.8,525.25,5624.0,29.67
2010-02-16,527.25,529.7,518.0,521.0,521.6,5539.0,28.91
2010-02-17,529.8,531.95,525.0,527.05,527.5,7040.0,37.15
2010-02-18,527.0,529.75,520.15,522.0,521.5,87837.0,462.82
2010-02-19,517.15,521.55,513.2,515.85,515.25,7333.0,37.92
2010-02-22,520.0,524.75,510.0,510.4,510.65,92764.0,476.35
2010-02-23,511.0,517.0,501.2,510.05,508.75,98510.0,505.58
