Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,44.5,45.15,44.35,45.0,44.85,76137.0,34.18
2010-01-05,45.0,45.45,44.7,45.0,45.0,137622.0,62.07
2010-01-06,45.0,47.35,45.0,46.5,46.4,373629.0,173.61
2010-01-07,46.7,51.7,46.5,49.25,49.7,1247074.0,625.3
2010-01-08,51.8,54.3,50.1,50.25,50.35,844736.0,432.35
2010-01-11,50.7,51.9,49.85,51.5,51.2,445897.0,227.79
2010-01-12,51.5,51.7,49.4,49.7,49.9,226819.0,114.78
2010-01-13,48.1,53.75,48.1,51.5,51.7,724162.0,376.5
2010-01-14,52.0,52.3,51.0,51.3,51.25,202679.0,104.43
2010-01-15,51.7,52.25,51.0,51.0,51.15,231850.0,119.71
2010-01-18,51.5,53.7,51.5,52.2,52.3,529324.0,278.52
2010-01-19,52.0,53.25,50.55,51.0,50.8,213188.0,110.55
2010-01-20,46.7,51.9,46.7,50.75,50.8,148187.0,75.57
2010-01-21,50.8,51.0,49.2,49.35,49.55,105334.0,52.78
2010-01-22,48.25,51.0,47.3,49.9,49.7,204209.0,100.86
2010-01-25,49.7,54.0,49.2,49.45,49.8,267567.0,136.14
2010-01-27,49.85,50.5,46.8,46.95,47.15,156518.0,75.7
2010-01-28,47.1,48.95,46.55,46.65,46.65,90973.0,43.08
2010-01-29,46.5,48.35,45.15,48.25,47.95,122169.0,57.19
2010-02-01,47.0,48.9,47.0,48.1,48.15,82870.0,40.09
2010-02-02,48.3,48.9,44.7,47.5,47.45,91714.0,44.11
2010-02-03,48.0,48.4,47.45,47.7,47.6,59279.0,28.34
2010-02-04,47.55,47.95,46.5,46.95,46.75,67896.0,32.14
2010-02-05,46.0,46.0,44.25,45.1,45.0,154926.0,69.72
2010-02-06,44.8,46.0,44.8,45.8,45.85,11691.0,5.35
2010-02-08,45.8,46.95,45.4,45.6,45.95,89594.0,41.41
2010-02-09,47.0,47.0,45.15,45.7,45.75,32790.0,14.99
2010-02-10,46.5,46.8,45.35,45.5,45.45,23618.0,10.82
2010-02-11,46.0,46.65,45.45,45.45,45.55,33128.0,15.17
2010-02-15,46.6,47.3,45.5,46.25,46.3,119155.0,55.45
2010-02-16,46.2,46.75,45.5,46.0,45.9,54103.0,24.89
2010-02-17,46.6,46.65,45.4,45.6,45.65,51716.0,23.84
2010-02-18,45.7,46.3,45.05,45.5,45.4,22831.0,10.38
2010-02-19,45.05,45.7,43.5,44.45,44.35,73680.0,32.93
2010-02-22,45.9,45.95,44.4,44.4,44.7,55742.0,25.16
2010-02-23,44.55,44.55,43.65,43.75,43.7,34813.0,15.33
2010-02-24,44.4,44.4,42.8,43.4,43.35,42236.0,18.3
2010-02-25,43.5,43.95,43.35,43.75,43.8,18521.0,8.09
2010-02-26,44.0,44.9,43.6,43.85,44.1,42477.0,18.78
2010-03-02,44.75,45.1,44.1,45.1,44.8,62040.0,27.71
2010-03-03,45.0,48.2,45.0,46.8,46.9,247011.0,116.58
2010-03-04,47.75,48.6,46.9,47.05,47.2,263092.0,125.85
2010-03-05,48.0,48.6,47.25,48.15,48.0,168717.0,80.94
2010-03-08,48.9,48.9,47.7,48.0,47.9,70224.0,33.77
2010-03-09,48.05,48.05,47.0,47.3,47.05,49190.0,23.32
2010-03-10,47.4,47.55,46.5,47.0,46.9,42939.0,20.14
2010-03-11,47.1,47.25,46.65,47.0,47.05,46605.0,21.91
2010-03-12,47.0,47.3,46.45,47.0,46.85,31188.0,14.62
2010-03-15,47.2,47.2,46.3,47.15,46.8,26192.0,12.27
2010-03-16,46.8,47.2,46.6,46.75,47.0,25613.0,12.02
