Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-05-21,98.0,98.8,90.0,92.2,91.45,36263480.0,34097.43
2010-05-24,93.0,94.45,89.25,89.7,90.15,7027985.0,6380.73
2010-05-25,90.0,90.0,81.6,83.0,82.4,2689887.0,2265.66
2010-05-26,84.0,85.95,80.5,83.0,81.8,1935465.0,1606.75
2010-05-27,82.9,84.2,80.75,83.8,83.45,1440326.0,1192.0
2010-05-28,84.25,84.25,81.9,82.3,82.3,1117226.0,925.24
2010-05-31,83.0,86.15,83.0,83.35,83.5,1089960.0,917.38
2010-06-01,83.5,83.5,80.1,80.7,80.65,557134.0,456.06
2010-06-02,81.4,82.4,80.1,80.4,80.8,563699.0,456.33
2010-06-03,81.8,82.45,81.15,81.25,81.35,463956.0,378.43
2010-06-04,82.0,82.5,81.15,81.55,81.5,358444.0,292.4
2010-06-07,80.0,80.8,77.0,79.0,78.85,468071.0,370.1
2010-06-08,78.9,81.2,75.65,75.8,76.25,1185637.0,932.76
2010-06-09,77.0,78.0,75.8,76.15,76.2,360975.0,277.26
2010-06-10,76.25,77.45,76.25,77.15,77.0,249140.0,191.54
2010-06-11,77.95,82.95,77.35,81.2,81.25,1669463.0,1352.13
2010-06-14,81.25,83.05,81.25,81.75,81.6,476663.0,391.09
2010-06-15,81.8,84.8,81.4,84.25,83.9,973103.0,811.14
2010-06-16,85.0,86.4,84.1,84.75,84.7,674257.0,572.74
2010-06-17,85.5,87.2,85.35,86.9,86.45,861822.0,745.28
2010-06-18,86.5,86.85,85.05,86.05,85.75,378563.0,324.52
2010-06-21,86.9,87.2,85.5,86.0,86.3,353262.0,304.22
2010-06-22,85.1,86.45,84.8,86.0,85.9,398977.0,341.28
2010-06-23,85.5,85.5,84.5,85.05,85.15,268606.0,228.74
2010-06-24,85.05,87.0,85.05,85.7,85.95,558971.0,483.1
2010-06-25,86.0,87.0,83.8,84.1,84.7,343653.0,293.41
2010-06-28,84.25,86.35,84.25,86.3,86.2,240061.0,205.77
2010-06-29,86.2,88.0,83.8,85.2,84.55,983815.0,842.64
2010-06-30,84.1,89.9,82.1,89.5,88.9,1386164.0,1212.98
2010-07-01,89.25,91.9,89.05,90.45,90.4,960169.0,870.7
2010-07-02,92.0,92.9,89.2,89.35,89.55,571388.0,518.35
2010-07-05,90.0,91.0,88.9,88.9,89.45,350003.0,315.26
2010-07-06,89.9,90.2,86.85,86.85,87.45,590921.0,521.73
2010-07-07,87.5,87.95,86.0,86.4,86.2,427081.0,369.53
2010-07-08,86.9,87.7,85.9,86.45,86.2,366076.0,317.53
2010-07-09,86.7,87.6,86.4,86.9,86.8,362144.0,314.63
2010-07-12,87.0,91.7,86.8,88.6,88.5,2980306.0,2671.69
2010-07-13,89.0,89.65,87.7,88.85,88.75,802707.0,711.15
2010-07-14,89.5,89.65,87.25,87.95,87.8,446716.0,396.69
2010-07-15,88.0,88.1,86.5,86.7,86.8,225127.0,195.83
2010-07-16,86.25,87.95,86.1,86.25,86.35,459418.0,398.2
2010-07-19,86.95,87.45,86.25,87.2,86.95,365576.0,317.57
2010-07-20,87.5,88.0,86.1,86.25,86.3,256782.0,223.28
2010-07-21,87.0,87.45,86.15,87.2,86.9,200239.0,173.42
2010-07-22,87.25,87.25,86.25,86.85,86.75,163968.0,142.08
2010-07-23,87.0,87.5,85.5,85.9,85.85,303383.0,261.64
2010-07-26,85.85,85.95,84.15,84.8,84.85,213139.0,180.99
2010-07-27,86.5,86.5,84.25,85.1,84.75,155197.0,131.59
2010-07-28,84.75,86.0,84.2,84.3,84.35,135262.0,114.42
2010-07-29,85.5,85.5,84.0,84.05,84.15,218323.0,184.63
2010-07-30,85.0,85.75,83.5,83.7,83.65,108931.0,91.45
2010-08-02,83.9,84.45,83.2,84.1,83.8,160178.0,134.11
2010-08-03,84.1,84.2,83.55,84.1,83.75,143533.0,120.23
2010-08-04,84.0,84.25,83.05,84.0,83.85,99415.0,83.21
2010-08-05,84.4,84.5,83.25,83.35,83.6,173760.0,145.51
2010-08-06,84.0,84.0,82.55,82.9,82.7,152624.0,127.09
2010-08-09,82.7,83.5,82.7,82.85,83.0,97451.0,80.94
2010-08-10,84.5,89.0,83.95,84.5,84.65,405175.0,346.71
2010-08-11,85.5,86.5,84.2,84.5,84.45,323941.0,276.58
2010-08-12,83.1,84.4,82.1,84.0,83.8,97829.0,81.89
2010-08-13,83.8,84.35,83.25,84.25,84.1,131099.0,110.22
2010-08-16,83.5,83.7,79.5,81.7,81.65,345751.0,282.2
2010-08-17,81.7,82.2,81.1,81.5,81.6,148368.0,121.19
2010-08-18,81.55,82.3,80.6,81.05,80.9,242203.0,196.77
2010-08-19,81.85,82.45,80.05,81.7,81.55,96742.0,79.01
2010-08-20,80.3,84.1,80.3,82.6,82.35,244225.0,202.14
2010-08-23,83.2,83.45,82.1,82.65,82.85,97461.0,80.91
2010-08-24,83.0,83.9,81.6,81.6,81.8,102161.0,84.2
2010-08-25,81.9,81.9,80.65,80.7,80.75,115508.0,93.66
2010-08-26,81.0,81.45,79.65,79.95,79.85,112422.0,90.35
2010-08-27,79.2,80.0,78.8,79.1,78.95,115323.0,91.49
2010-08-30,80.0,80.5,78.35,80.15,79.4,157308.0,124.49
2010-08-31,79.25,82.0,78.1,80.0,80.2,146465.0,116.06
2010-09-01,79.55,81.5,79.55,81.0,80.75,116663.0,93.68
2010-09-02,81.5,82.25,80.4,81.4,80.9,195700.0,159.06
