Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-11-11,120.65,120.65,120.65,120.65,120.65,3.0,0.0
2013-11-12,114.65,114.65,114.65,114.65,114.65,1.0,0.0
2013-11-13,108.95,108.95,108.95,108.95,108.95,1.0,0.0
2013-11-14,103.55,103.55,103.55,103.55,103.55,303.0,0.31
2013-11-19,98.4,98.4,98.4,98.4,98.4,133.0,0.13
2013-11-20,93.5,93.5,93.5,93.5,93.5,100.0,0.09
2013-11-21,88.85,88.85,88.85,88.85,88.85,4.0,0.0
2013-11-22,84.45,84.45,84.45,84.45,84.45,75.0,0.06
2013-11-25,80.25,80.25,80.25,80.25,80.25,14.0,0.01
2013-11-26,76.0,76.0,67.25,67.5,67.5,7094.0,4.95
2013-11-27,54.05,69.9,54.0,60.5,60.2,19678.0,11.68
2013-11-28,60.0,62.1,56.3,57.9,56.65,4234.0,2.46
2013-11-29,54.0,58.0,54.0,56.3,55.75,3273.0,1.83
2013-12-02,54.65,61.3,54.65,61.3,61.3,10465.0,6.28
2013-12-03,63.0,67.4,63.0,67.4,67.4,6323.0,4.25
2013-12-04,74.1,74.1,74.1,74.1,74.1,3190.0,2.36
2013-12-05,77.8,77.8,74.1,77.8,77.8,11932.0,9.16
2013-12-06,81.6,81.65,74.5,74.8,75.3,10899.0,8.68
2013-12-09,72.05,78.2,71.55,71.55,71.55,2654.0,1.96
2013-12-10,71.5,71.5,68.1,69.95,68.15,2632.0,1.8
2013-12-11,67.0,67.0,64.75,65.0,65.0,2016.0,1.32
2013-12-12,65.0,66.0,63.2,64.5,64.7,10218.0,6.65
2013-12-13,63.0,64.7,62.0,63.95,62.25,490.0,0.31
2013-12-16,62.5,62.5,59.15,61.95,61.95,836.0,0.5
2013-12-17,59.0,61.95,59.0,59.2,59.5,862.0,0.52
2013-12-18,58.0,60.95,58.0,60.75,60.1,951.0,0.57
2013-12-19,57.1,60.95,57.1,59.0,59.0,928.0,0.55
2013-12-20,57.1,60.0,56.05,58.1,58.1,2837.0,1.68
2013-12-23,58.1,61.0,58.0,61.0,61.0,2218.0,1.34
2013-12-24,64.0,64.0,60.75,62.2,61.55,948.0,0.59
2013-12-26,60.0,63.4,60.0,62.0,62.25,2064.0,1.29
