Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-04-23,117.0,120.75,117.0,118.45,118.75,256106.0,306.46
2018-04-24,118.05,120.0,117.0,117.15,117.7,149163.0,177.3
2018-04-25,119.0,119.0,114.2,115.0,115.1,180300.0,211.12
2018-04-26,115.6,115.6,113.9,115.0,114.7,91014.0,104.49
2018-04-27,115.3,115.3,110.55,111.0,111.65,171717.0,193.94
2018-04-30,112.0,114.0,110.5,112.3,112.8,91001.0,102.96
2018-05-02,111.15,114.3,109.0,109.1,109.5,149099.0,167.18
2018-05-03,108.65,110.25,107.0,109.5,109.1,126030.0,137.46
2018-05-04,109.5,113.45,109.25,110.85,110.9,243043.0,270.4
2018-05-07,110.15,112.65,110.0,111.7,111.6,90715.0,101.3
2018-05-08,111.2,111.8,109.0,109.1,109.95,41667.0,45.84
2018-05-09,109.45,112.5,109.05,111.9,110.65,112514.0,125.47
2018-05-10,111.1,111.25,107.1,107.6,109.1,75177.0,82.22
2018-05-11,109.85,110.5,107.85,108.5,108.5,60428.0,66.18
2018-05-14,108.35,111.0,107.4,110.0,109.5,74121.0,81.03
2018-05-15,108.5,111.9,108.0,108.1,108.15,61770.0,68.23
2018-05-16,107.05,108.9,104.5,106.8,107.45,85292.0,90.89
2018-05-17,108.45,110.5,107.1,107.1,108.3,57951.0,63.31
2018-05-18,108.85,111.0,106.1,106.5,107.75,307330.0,335.0
2018-05-21,109.0,109.0,103.2,103.25,103.35,134687.0,142.03
2018-05-22,104.6,105.9,103.25,105.25,105.35,82651.0,86.72
2018-05-23,105.25,105.9,104.0,104.0,104.2,55154.0,57.86
2018-05-24,106.4,106.4,103.1,104.55,104.2,64328.0,67.31
2018-05-25,104.9,105.85,104.05,104.45,104.5,29642.0,31.12
2018-05-28,105.0,105.5,103.2,104.1,104.0,64343.0,67.19
2018-05-29,104.25,104.95,102.9,104.7,104.0,68802.0,71.51
2018-05-30,103.15,104.55,102.85,103.0,103.15,48628.0,50.54
2018-05-31,103.4,104.1,102.0,103.0,102.9,34420.0,35.51
2018-06-01,102.55,103.5,98.75,98.75,99.45,71897.0,72.84
2018-06-04,99.5,100.55,97.05,97.05,97.3,58591.0,57.38
2018-06-05,96.0,96.15,93.1,94.5,94.3,120140.0,114.21
2018-06-06,94.3,96.4,91.5,96.05,96.25,89591.0,84.91
2018-06-07,96.1,100.0,96.0,99.5,99.2,85954.0,85.1
2018-06-08,98.55,100.65,98.0,99.8,99.3,33610.0,33.39
2018-06-11,99.8,104.85,99.8,104.85,103.5,49989.0,51.18
2018-06-12,104.7,104.8,102.5,102.6,103.2,49146.0,51.06
2018-06-13,103.1,106.0,101.5,102.1,104.15,71154.0,74.32
2018-06-14,104.0,104.0,99.9,103.0,102.55,57121.0,58.05
2018-06-15,100.25,103.3,98.6,101.4,101.3,173176.0,176.4
2018-06-18,101.3,103.0,100.0,101.25,101.2,84452.0,85.29
2018-06-19,100.0,101.1,97.5,97.7,98.1,67643.0,66.85
2018-06-20,98.0,98.25,95.1,96.5,96.35,108870.0,105.05
2018-06-21,99.0,99.0,95.4,96.45,96.55,112189.0,107.8
2018-06-22,96.0,98.35,95.7,97.05,97.35,42578.0,41.4
2018-06-25,96.15,98.6,94.1,94.3,94.4,48007.0,45.81
2018-06-26,94.0,105.0,93.2,99.25,99.4,460954.0,461.29
2018-06-27,99.0,99.95,93.25,96.0,95.25,198039.0,188.26
2018-06-28,95.0,95.0,90.9,91.85,91.95,134322.0,124.27
2018-06-29,92.3,94.45,91.7,93.15,93.2,64458.0,59.96
2018-07-02,93.35,94.95,92.8,94.0,94.7,40570.0,38.16
2018-07-03,94.5,96.4,94.1,94.8,95.45,48895.0,46.65
2018-07-04,94.45,95.0,92.65,93.4,93.4,35263.0,33.11
2018-07-05,94.55,94.6,92.5,92.75,93.15,48203.0,45.0
2018-07-06,92.25,96.9,92.25,95.8,95.85,81729.0,77.61
2018-07-09,96.3,98.5,95.4,96.3,97.0,77057.0,74.83
2018-07-10,97.1,101.7,97.1,99.2,99.8,77987.0,77.6
2018-07-11,99.8,99.8,97.1,98.1,97.95,36694.0,36.07
2018-07-12,98.95,100.5,97.5,97.5,98.15,63013.0,62.34
2018-07-13,99.05,99.4,94.65,95.9,95.8,37868.0,36.57
2018-07-16,97.0,104.9,94.6,98.75,98.45,2381259.0,2401.91
2018-07-17,100.4,102.5,98.3,101.5,101.8,696736.0,698.17
2018-07-18,102.65,102.65,98.7,99.4,99.3,197669.0,197.5
2018-07-19,100.0,100.5,96.2,99.1,99.05,208621.0,205.06
2018-07-20,99.05,100.5,97.2,100.0,99.5,113669.0,112.83
2018-07-23,99.9,104.5,98.85,101.55,103.05,472235.0,482.27
2018-07-24,103.0,106.0,101.1,105.0,105.0,340206.0,357.23
2018-07-25,104.95,108.9,104.0,104.0,105.0,253294.0,268.44
2018-07-26,105.1,107.85,104.5,104.7,104.85,199108.0,210.74
2018-07-27,105.4,108.8,104.6,107.6,108.45,145867.0,156.31
2018-07-30,109.15,112.2,108.0,112.1,111.1,137699.0,151.48
2018-07-31,111.5,118.0,108.8,117.6,116.85,268825.0,307.84
2018-08-01,117.7,117.9,112.5,113.35,114.45,127813.0,146.54
2018-08-02,114.85,116.5,112.0,112.0,112.45,140532.0,160.55
2018-08-03,113.2,119.7,112.5,118.05,118.8,288221.0,338.32
2018-08-06,117.75,128.0,117.2,123.5,124.2,780890.0,961.51
2018-08-07,124.0,125.35,120.1,121.0,121.15,228985.0,280.78
2018-08-08,121.15,128.0,120.3,126.6,126.85,366924.0,461.65
2018-08-09,127.4,134.9,123.95,132.5,132.35,545784.0,715.19
2018-08-10,132.35,134.75,109.3,118.0,117.9,1135541.0,1408.27
2018-08-13,117.7,127.8,114.0,123.4,122.8,425655.0,522.48
2018-08-14,123.0,127.5,121.25,127.0,126.1,223016.0,278.3
2018-08-16,126.7,140.0,125.95,135.6,135.65,1178278.0,1597.47
2018-08-17,136.85,144.4,136.1,142.1,141.35,727751.0,1029.82
2018-08-20,142.0,142.8,131.45,136.8,136.95,364716.0,496.89
2018-08-21,136.9,137.9,134.45,136.0,135.75,115451.0,156.55
2018-08-23,135.25,136.05,130.2,133.55,132.95,130767.0,173.36
2018-08-24,133.9,137.9,130.5,131.0,131.15,107398.0,143.24
2018-08-27,132.2,134.85,127.0,129.25,128.65,98248.0,128.94
2018-08-28,129.9,134.0,129.3,130.0,130.8,110413.0,145.05
2018-08-29,131.2,131.65,129.2,130.0,130.05,53470.0,69.7
2018-08-30,132.35,137.0,128.05,131.6,132.45,169257.0,224.74
2018-08-31,132.05,134.35,130.5,130.85,131.2,83915.0,111.05
2018-09-03,131.15,139.5,130.1,133.3,133.55,246162.0,333.47
