Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,102.7,104.4,101.0,104.25,103.65,23036.0,23.68
2010-01-05,105.75,107.7,104.2,104.7,105.85,49369.0,52.19
2010-01-06,108.85,108.85,105.3,106.2,106.45,43344.0,46.62
2010-01-07,108.45,110.3,106.0,109.95,108.95,54118.0,58.75
2010-01-08,110.8,112.0,106.3,107.1,107.8,24602.0,27.06
2010-01-11,108.15,110.0,107.35,108.0,107.7,13385.0,14.59
2010-01-12,109.4,109.5,105.4,106.45,106.5,13754.0,14.78
2010-01-13,105.0,108.4,105.0,106.6,106.8,7290.0,7.77
2010-01-14,105.0,110.75,105.0,107.6,107.6,17591.0,19.12
2010-01-15,105.35,113.0,105.35,111.9,111.05,35742.0,39.68
2010-01-18,112.0,115.7,112.0,112.15,113.7,36009.0,41.06
2010-01-19,113.0,114.85,110.0,110.1,110.85,25978.0,29.35
2010-01-20,111.5,112.4,107.4,108.05,108.5,8807.0,9.64
2010-01-21,109.0,110.35,105.05,105.9,106.15,15867.0,17.01
2010-01-22,105.05,105.05,98.1,102.0,103.1,8948.0,9.18
2010-01-25,100.45,105.9,98.4,99.0,99.55,71483.0,71.77
2010-01-27,95.5,98.0,89.95,89.95,90.6,26455.0,24.5
2010-01-28,90.0,92.2,87.0,91.7,89.85,5838.0,5.28
2010-01-29,88.1,90.55,87.5,90.15,89.55,2838.0,2.52
2010-02-01,90.0,93.6,90.0,91.2,91.55,4392.0,4.04
2010-02-02,93.85,93.85,90.1,90.1,90.15,4077.0,3.75
2010-02-03,91.15,92.5,90.65,91.45,91.2,2523.0,2.3
2010-02-04,91.2,96.0,89.0,89.0,90.15,3944.0,3.6
2010-02-05,85.1,87.7,85.0,86.6,86.55,4944.0,4.27
2010-02-06,87.7,87.7,86.3,86.3,86.45,441.0,0.38
2010-02-08,85.6,87.3,85.35,86.95,85.8,2218.0,1.91
2010-02-09,86.0,88.95,86.0,88.9,88.6,2316.0,2.03
2010-02-10,89.0,91.5,88.6,88.6,89.05,1721.0,1.55
2010-02-11,89.55,90.45,88.0,88.0,88.75,2404.0,2.14
2010-02-15,91.0,91.0,88.0,88.25,88.7,2661.0,2.37
2010-02-16,88.0,89.65,87.4,89.45,89.3,1731.0,1.53
2010-02-17,90.0,92.0,90.0,90.1,90.4,4499.0,4.09
2010-02-18,89.4,91.0,89.05,89.05,89.2,1626.0,1.46
2010-02-19,88.0,89.85,86.4,86.85,86.85,690.0,0.6
2010-02-22,87.0,88.1,86.0,87.45,86.3,2176.0,1.9
2010-02-23,85.0,87.55,85.0,85.55,85.55,1302.0,1.12
2010-02-24,85.55,86.0,84.7,84.7,84.9,583.0,0.5
2010-02-25,86.0,86.9,84.4,85.5,85.5,413.0,0.35
