Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1094.0,1129.0,1094.0,1116.6,1119.4,8341.0,93.16
2010-01-05,1130.0,1148.9,1124.95,1124.95,1125.55,42517.0,482.08
2010-01-06,1139.95,1140.0,1122.5,1135.0,1134.8,7050.0,79.83
2010-01-07,1125.0,1189.0,1125.0,1162.8,1168.95,34331.0,402.45
2010-01-08,1180.0,1216.4,1149.0,1152.9,1152.15,56103.0,668.51
2010-01-11,1165.0,1198.95,1153.9,1166.0,1165.45,9776.0,113.93
2010-01-12,1111.0,1204.0,1111.0,1165.95,1176.35,87282.0,1033.49
2010-01-13,1186.85,1190.0,1148.35,1190.0,1181.8,17526.0,206.42
2010-01-14,1185.0,1218.6,1184.4,1196.2,1195.3,23890.0,286.83
2010-01-15,1200.0,1222.0,1194.0,1195.0,1195.2,14725.0,176.38
2010-01-18,1162.6,1233.0,1162.6,1201.0,1199.0,28151.0,340.99
2010-01-19,1200.0,1214.0,1195.25,1209.9,1206.4,21537.0,259.86
2010-01-20,1222.0,1238.8,1205.0,1238.8,1224.05,41822.0,510.3
2010-01-21,1235.0,1236.9,1195.0,1195.2,1197.45,20832.0,252.63
2010-01-22,1154.6,1196.95,1120.0,1185.8,1176.2,8594.0,100.38
2010-01-25,1160.0,1230.0,1136.05,1157.0,1159.45,7390.0,86.07
2010-01-27,1160.0,1172.05,1091.0,1100.05,1099.5,12306.0,137.17
2010-01-28,1095.0,1135.0,1016.0,1045.0,1033.35,15198.0,162.35
2010-01-29,1001.1,1059.8,991.0,1058.35,1042.65,9351.0,95.46
2010-02-01,1040.0,1176.0,1040.0,1148.0,1154.1,33076.0,375.44
2010-02-02,1190.0,1190.0,1114.0,1115.0,1131.7,10781.0,123.93
2010-02-03,1134.0,1165.0,1130.0,1139.8,1142.6,6041.0,69.51
2010-02-04,1160.0,1160.0,1102.0,1125.0,1127.05,4251.0,48.21
2010-02-05,1107.9,1115.0,1050.0,1080.0,1071.8,11526.0,123.85
2010-02-06,1134.0,1134.0,1081.0,1090.0,1086.85,686.0,7.49
2010-02-08,1093.0,1100.0,1055.0,1059.0,1057.9,7492.0,80.06
2010-02-09,1060.0,1088.0,1042.2,1062.0,1061.5,6631.0,70.86
2010-02-10,1070.0,1098.85,1053.65,1074.0,1074.3,5300.0,56.97
2010-02-11,1100.0,1100.0,1070.35,1070.65,1077.85,1717.0,18.53
2010-02-15,1098.9,1098.9,1062.5,1085.0,1079.3,3984.0,43.05
2010-02-16,1063.15,1082.8,1063.15,1065.1,1068.2,2543.0,27.3
2010-02-17,1085.0,1099.0,1077.0,1083.0,1086.2,3802.0,41.4
2010-02-18,1070.1,1084.2,1057.0,1075.0,1069.5,10923.0,116.16
2010-02-19,1058.35,1079.0,1050.0,1055.0,1055.5,18861.0,198.65
2010-02-22,1069.95,1084.0,1026.3,1042.0,1042.75,9432.0,98.73
2010-02-23,1051.0,1070.0,1028.0,1029.1,1039.85,2359.0,24.67
2010-02-24,1029.0,1054.0,1010.1,1035.0,1042.05,92040.0,936.29
2010-02-25,1040.35,1048.85,1026.0,1030.0,1029.05,8984.0,93.05
2010-02-26,1020.25,1036.0,995.0,1000.0,997.0,113551.0,1147.05
2010-03-02,1049.9,1119.0,991.1,1049.75,1070.25,143832.0,1485.15
2010-03-03,1079.9,1080.0,1040.0,1052.05,1057.15,44656.0,470.4
2010-03-04,1057.15,1065.0,1046.15,1050.0,1051.5,4966.0,52.44
2010-03-05,1074.9,1075.0,1048.0,1055.15,1057.1,4657.0,49.68
2010-03-08,1069.0,1075.0,1057.0,1066.0,1064.4,5053.0,53.81
2010-03-09,1079.0,1080.0,1046.15,1050.0,1050.25,16104.0,169.85
2010-03-10,1050.25,1061.95,1050.0,1050.0,1051.7,4462.0,46.97
2010-03-11,1063.95,1063.95,1035.0,1045.0,1044.8,3675.0,38.53
2010-03-12,1040.1,1044.1,1027.0,1040.0,1031.2,15706.0,162.4
2010-03-15,1040.0,1046.0,1001.0,1008.15,1025.1,16515.0,169.95
2010-03-16,1030.0,1033.8,1010.0,1020.2,1019.7,11386.0,116.62
2010-03-17,1035.0,1039.95,997.0,1015.0,1003.8,18571.0,189.1
2010-03-18,1020.0,1048.8,1014.0,1024.9,1021.7,17877.0,184.88
2010-03-19,1037.0,1043.0,1030.0,1031.1,1035.55,9802.0,101.62
2010-03-22,1009.0,1034.95,1005.15,1010.5,1012.65,7049.0,71.89
2010-03-23,1034.0,1035.0,1015.05,1015.15,1017.3,4140.0,42.36
2010-03-25,1029.0,1035.0,1016.05,1023.0,1024.35,7827.0,80.04
2010-03-26,1035.0,1056.0,1019.5,1053.95,1047.2,12171.0,126.04
2010-03-29,1064.7,1064.7,1025.0,1032.0,1028.45,8644.0,89.79
2010-03-30,1021.0,1045.0,1013.15,1028.0,1033.3,9527.0,98.52
2010-03-31,1048.5,1065.0,1030.0,1040.0,1035.2,10846.0,113.58
2010-04-01,1045.0,1050.0,1030.0,1034.5,1031.35,24190.0,251.5
2010-04-05,1044.0,1064.0,1035.8,1040.0,1042.05,32538.0,340.59
2010-04-06,1048.0,1095.9,1040.2,1055.0,1058.15,59086.0,635.53
2010-04-07,1078.0,1088.8,1062.0,1070.0,1071.4,18647.0,200.81
2010-04-08,1079.0,1084.95,1063.0,1065.2,1072.25,31577.0,339.85
2010-04-09,1072.0,1088.0,1065.0,1066.0,1065.9,11039.0,118.62
2010-04-12,1082.9,1082.9,1044.0,1044.0,1048.3,4484.0,47.31
2010-04-13,1053.0,1078.0,1036.05,1043.2,1046.05,10792.0,113.45
2010-04-15,1053.9,1066.0,1035.05,1055.0,1052.95,32371.0,342.14
2010-04-16,1062.9,1067.0,1041.8,1046.5,1052.25,18150.0,191.88
2010-04-19,1097.8,1097.8,1020.0,1052.0,1050.45,9667.0,100.93
2010-04-20,1041.0,1067.0,1039.0,1065.0,1065.6,30419.0,323.05
2010-04-21,1068.0,1074.9,1067.25,1070.0,1071.6,38765.0,414.82
2010-04-22,1052.0,1124.85,1042.6,1100.5,1100.2,60794.0,662.81
2010-04-23,1104.95,1105.0,1070.0,1074.0,1078.85,44773.0,484.07
2010-04-26,1091.8,1099.0,1070.0,1075.0,1076.25,33166.0,357.64
2010-04-27,1076.25,1089.8,1070.0,1080.0,1083.4,25669.0,277.43
2010-04-28,1075.0,1080.15,1043.5,1073.0,1074.5,51640.0,552.35
