Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,150.0,152.5,139.7,149.95,149.95,280.0,0.4
2010-01-05,143.0,149.95,143.0,149.95,149.95,153.0,0.23
2010-01-06,145.0,151.2,143.2,143.2,143.2,170.0,0.25
2010-01-07,140.0,145.0,138.3,141.0,141.0,56.0,0.08
2010-01-08,138.0,142.65,135.0,142.65,142.65,2231.0,3.03
2010-01-11,147.45,149.95,147.45,149.85,149.85,167.0,0.25
2010-01-12,146.05,146.05,143.0,143.0,143.0,436.0,0.62
2010-01-13,140.1,145.9,138.7,145.7,141.05,700.0,1.0
2010-01-14,139.0,139.1,139.0,139.1,139.1,55.0,0.08
2010-01-15,146.0,149.0,142.2,142.2,142.2,524.0,0.76
2010-01-18,150.0,153.0,147.2,147.2,147.25,350.0,0.52
2010-01-19,155.9,155.9,147.65,151.8,151.25,195.0,0.29
2010-01-20,151.25,159.0,146.0,158.8,158.8,216.0,0.33
2010-01-21,164.0,170.0,151.35,151.35,153.8,2040.0,3.31
2010-01-25,150.0,152.0,144.1,144.8,144.8,78.0,0.11
2010-01-27,140.05,155.0,140.05,152.5,150.15,191.0,0.28
2010-01-28,160.0,160.0,138.0,150.0,149.95,832.0,1.22
2010-01-29,150.0,150.0,136.6,147.0,147.0,800.0,1.15
2010-02-01,136.1,154.9,136.1,154.9,149.85,364.0,0.54
2010-02-02,139.9,156.0,139.0,142.0,142.0,408.0,0.6
2010-02-03,152.6,153.0,141.0,143.0,143.0,293.0,0.43
2010-02-04,145.0,151.9,143.0,146.5,145.25,217.0,0.32
2010-02-05,140.0,147.0,133.0,134.0,134.0,398.0,0.56
2010-02-06,145.0,145.0,145.0,145.0,145.0,1.0,0.0
2010-02-08,138.5,138.7,130.6,138.7,138.7,1649.0,2.2
2010-02-10,144.0,144.75,130.05,135.5,135.85,2311.0,3.21
2010-02-11,132.45,142.8,132.45,141.9,141.9,234.0,0.33
2010-02-15,141.9,142.75,133.6,142.75,139.4,336.0,0.47
2010-02-16,147.5,147.5,135.0,135.0,135.05,228.0,0.31
2010-02-17,140.9,142.0,134.05,140.0,140.0,322.0,0.45
2010-02-19,135.0,144.0,135.0,140.0,140.0,437.0,0.61
2010-02-24,132.15,142.9,131.0,139.75,137.6,1790.0,2.41
2010-02-25,141.9,141.9,141.9,141.9,141.9,2.0,0.0
2010-03-02,135.3,141.5,135.3,141.5,141.5,200.0,0.28
2010-03-04,135.6,152.0,135.6,151.9,149.75,1459.0,2.15
2010-03-05,146.25,164.75,146.25,164.75,163.15,1597.0,2.59
2010-03-08,166.0,190.0,166.0,175.0,175.95,9644.0,17.27
2010-03-09,192.4,193.0,170.0,170.0,171.05,2522.0,4.49
2010-03-10,165.2,175.5,165.2,171.0,171.0,469.0,0.81
2010-03-11,164.0,167.7,160.75,160.75,164.55,1718.0,2.82
2010-03-12,157.0,168.5,155.5,160.0,160.0,1051.0,1.7
2010-03-15,155.0,174.0,155.0,161.0,161.0,674.0,1.11
2010-03-16,163.0,168.0,160.7,165.45,165.45,103.0,0.17
2010-03-17,164.0,169.8,163.35,169.8,166.55,42.0,0.07
2010-03-18,160.0,166.0,158.0,161.0,161.0,3843.0,6.28
2010-03-19,160.0,193.2,160.0,193.2,192.1,75562.0,141.9
2010-03-22,196.15,221.0,190.0,214.5,215.25,173032.0,371.03
2010-03-23,215.05,219.0,210.0,212.4,216.05,41006.0,87.72
2010-03-25,212.0,230.0,212.0,218.0,219.25,46861.0,104.72
2010-03-26,220.0,235.15,218.55,234.9,233.85,50273.0,115.89
2010-03-29,236.8,244.9,234.0,239.7,236.75,20935.0,49.96
2010-03-30,238.0,238.0,228.0,232.0,231.2,4683.0,10.92
2010-03-31,233.35,245.0,233.25,245.0,241.0,11175.0,26.6
