Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,33.75,35.25,33.75,34.95,34.65,81347.0,28.22
2010-01-05,35.0,36.3,34.8,35.4,35.5,89814.0,32.05
2010-01-06,36.0,36.0,34.6,34.6,34.85,23715.0,8.31
2010-01-07,35.0,35.95,34.85,35.4,35.35,69039.0,24.25
2010-01-08,35.7,35.85,34.6,34.6,35.05,34037.0,12.05
2010-01-11,35.5,36.25,34.8,35.2,35.25,35456.0,12.59
2010-01-12,35.45,35.9,34.6,35.05,35.1,27776.0,9.83
2010-01-13,34.85,35.4,34.5,34.55,34.95,15951.0,5.55
2010-01-14,34.8,35.55,34.8,35.15,35.05,17753.0,6.25
2010-01-15,35.6,35.7,34.8,35.3,35.3,15596.0,5.51
2010-01-18,35.0,37.0,34.8,36.0,36.05,52252.0,18.87
2010-01-19,35.5,36.45,35.5,35.95,35.75,21308.0,7.67
2010-01-20,35.55,36.45,35.05,35.1,35.1,15423.0,5.46
2010-01-21,35.5,35.5,34.1,34.5,34.25,21986.0,7.57
2010-01-22,32.85,34.5,32.25,33.5,33.45,24082.0,8.03
2010-01-25,34.0,34.0,32.85,34.0,33.8,7950.0,2.68
2010-01-27,34.0,34.9,32.25,32.25,32.6,41366.0,13.9
2010-01-28,33.15,33.15,32.25,33.0,32.9,16001.0,5.24
2010-01-29,32.0,32.55,31.35,31.95,31.95,33937.0,10.82
2010-02-01,32.05,34.7,31.95,33.85,33.9,40337.0,13.62
2010-02-02,34.1,34.65,33.0,33.0,33.0,14800.0,4.99
2010-02-03,33.0,33.65,33.0,33.0,33.1,5964.0,1.98
2010-02-04,33.0,33.5,32.6,33.4,33.0,9679.0,3.21
2010-02-05,32.1,32.5,31.15,31.75,31.7,24384.0,7.69
2010-02-06,32.5,32.8,31.35,32.25,32.4,2182.0,0.71
2010-02-08,32.9,32.95,31.3,31.5,31.6,26078.0,8.45
2010-02-09,32.9,32.9,31.8,31.85,31.9,1975.0,0.64
2010-02-10,32.8,33.65,32.05,32.05,32.25,20812.0,6.82
2010-02-11,32.65,32.65,31.8,32.0,32.0,4427.0,1.43
2010-02-15,32.0,32.45,31.5,31.5,31.6,5022.0,1.6
2010-02-16,31.5,31.7,31.25,31.5,31.55,23869.0,7.52
2010-02-17,31.6,32.0,31.6,31.95,31.9,4827.0,1.54
2010-02-18,32.0,32.15,31.5,31.5,31.5,4985.0,1.58
2010-02-19,31.7,32.3,31.6,31.6,31.7,17278.0,5.53
2010-02-22,31.65,31.9,31.2,31.45,31.4,5175.0,1.64
2010-02-23,31.05,31.55,30.7,31.0,31.0,4319.0,1.34
2010-02-24,30.35,31.5,30.05,30.15,30.25,11647.0,3.52
2010-02-25,30.3,30.9,30.05,30.9,30.8,5725.0,1.75
2010-02-26,30.25,31.85,29.4,31.75,31.6,9377.0,2.88
2010-03-02,31.15,31.85,31.0,31.1,31.35,5752.0,1.8
2010-03-03,31.0,32.0,31.0,31.45,31.45,9010.0,2.85
2010-03-04,31.8,33.25,30.5,33.0,32.45,25076.0,7.99
2010-03-05,33.0,33.55,32.55,32.6,32.55,10305.0,3.38
2010-03-08,32.35,33.25,32.25,32.25,32.45,4793.0,1.57
2010-03-09,32.2,32.5,32.0,32.05,32.05,2138.0,0.69
2010-03-10,31.75,33.0,31.7,32.3,31.8,4018.0,1.29
2010-03-11,31.9,31.9,31.0,31.25,31.2,8895.0,2.79
2010-03-12,31.5,31.95,31.0,31.1,31.1,19050.0,5.98
2010-03-15,31.6,31.7,31.1,31.1,31.35,6405.0,2.02
2010-03-16,31.4,31.85,31.15,31.8,31.8,1661.0,0.53
2010-03-17,32.0,32.1,31.5,31.8,31.7,5347.0,1.7
2010-03-18,31.2,31.95,31.2,31.3,31.3,1669.0,0.53
2010-03-19,31.3,31.8,30.7,31.0,31.05,16640.0,5.17
2010-03-22,31.0,31.75,31.0,31.7,31.6,8286.0,2.59
2010-03-23,31.15,31.75,31.15,31.25,31.25,4146.0,1.3
2010-03-25,30.3,31.7,30.0,31.15,31.5,6668.0,2.07
2010-03-26,31.15,31.25,30.75,31.0,31.0,11739.0,3.64
2010-03-29,32.25,32.25,30.9,30.9,31.1,11343.0,3.53
2010-03-30,30.65,31.5,30.65,31.05,31.05,5395.0,1.68
2010-03-31,31.95,31.95,30.75,30.85,30.85,4810.0,1.49
2010-04-01,31.2,33.5,30.85,32.55,32.3,18084.0,5.76
2010-04-05,31.55,33.75,31.55,32.5,32.55,20109.0,6.58
2010-04-06,33.4,33.5,32.7,33.25,32.9,9269.0,3.07
2010-04-07,32.7,33.8,32.65,33.0,32.95,6581.0,2.18
2010-04-08,33.0,34.0,33.0,33.4,33.55,22801.0,7.62
2010-04-09,32.4,35.25,32.4,34.1,33.9,25023.0,8.56
2010-04-12,33.9,34.75,33.4,34.5,34.35,13385.0,4.6
2010-04-13,33.75,34.7,33.75,34.5,34.45,7072.0,2.43
2010-04-15,35.0,36.65,35.0,35.25,35.25,50902.0,18.08
2010-04-16,35.0,36.0,35.0,35.35,35.45,18082.0,6.43
2010-04-19,34.75,35.5,34.0,35.4,35.2,16499.0,5.75
2010-04-20,35.35,36.0,35.0,36.0,35.75,13602.0,4.84
2010-04-21,36.4,36.4,35.1,35.1,35.15,17936.0,6.42
2010-04-22,35.15,36.45,35.15,35.5,35.65,15440.0,5.53
2010-04-23,35.4,36.05,35.2,35.35,35.35,13468.0,4.8
2010-04-26,35.6,36.2,35.35,35.75,36.0,21008.0,7.51
2010-04-27,35.75,36.45,35.4,36.2,36.0,13709.0,4.93
2010-04-28,35.4,36.35,35.0,35.4,35.5,13060.0,4.68
2010-04-29,35.5,36.3,35.5,36.0,35.95,9899.0,3.56
2010-04-30,36.25,36.5,35.3,35.35,35.55,23471.0,8.44
2010-05-03,36.0,36.0,34.55,35.1,35.05,44803.0,15.67
2010-05-04,34.75,35.2,33.55,34.0,33.8,14794.0,5.08
2010-05-05,33.7,33.7,32.85,33.0,33.15,11905.0,3.95
2010-05-06,33.7,35.0,33.15,33.4,33.6,20281.0,6.92
2010-05-07,33.1,34.15,33.05,33.05,33.15,9043.0,3.01
2010-05-10,33.75,34.5,33.5,33.8,34.05,6753.0,2.3
2010-05-11,34.0,34.75,33.25,33.8,33.75,5744.0,1.94
2010-05-12,33.5,34.2,33.1,33.7,33.65,4808.0,1.61
2010-05-13,33.9,33.9,33.15,33.3,33.25,4996.0,1.67
2010-05-14,33.8,33.8,33.0,33.0,33.0,7590.0,2.52
2010-05-17,33.0,33.7,31.5,32.2,32.4,20472.0,6.62
2010-05-18,32.15,33.25,31.9,33.1,32.85,1051.0,0.34
2010-05-19,32.25,32.75,31.2,31.3,31.8,5962.0,1.92
2010-05-20,31.15,32.3,31.05,32.1,31.9,4960.0,1.57
2010-05-21,31.5,32.1,31.05,32.0,31.95,7994.0,2.52
2010-05-24,31.95,32.2,31.4,31.5,31.5,5644.0,1.8
2010-05-25,31.65,31.85,30.15,30.9,30.9,9253.0,2.86
2010-05-26,31.7,31.7,30.6,30.75,30.7,5807.0,1.8
2010-05-27,30.3,31.7,30.3,31.6,31.6,1018.0,0.32
2010-05-28,30.9,31.8,30.75,31.5,31.6,7749.0,2.43
2010-05-31,31.15,33.5,30.25,30.25,30.7,59016.0,18.65
2010-06-01,31.0,31.2,30.75,30.75,30.9,7340.0,2.27
2010-06-02,30.5,31.05,30.5,31.05,30.9,2823.0,0.87
2010-06-03,31.0,31.45,30.75,31.2,31.0,9961.0,3.09
2010-06-04,31.7,32.7,31.25,31.5,31.5,6642.0,2.1
2010-06-07,31.4,31.5,30.0,30.9,30.95,3054.0,0.94
2010-06-08,31.4,31.4,30.5,30.6,30.65,7132.0,2.2
2010-06-09,30.05,32.25,30.05,31.35,31.55,12572.0,3.92
2010-06-10,31.15,31.6,31.15,31.5,31.5,2601.0,0.82
2010-06-11,31.8,31.8,31.0,31.3,31.25,19602.0,6.17
2010-06-14,31.5,31.6,31.05,31.05,31.1,6527.0,2.04
