Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-03-02,186.55,186.55,186.55,186.55,186.55,1160.0,2.16
2016-03-03,195.85,195.85,194.0,195.85,195.85,49956.0,97.81
2016-03-04,213.0,215.4,203.1,215.4,215.4,74657.0,158.48
2016-03-08,229.0,236.9,223.25,229.25,227.75,255858.0,592.4
2016-03-09,229.25,246.5,220.0,228.65,228.35,110153.0,251.01
2016-03-10,225.0,230.9,224.1,227.0,226.85,58964.0,134.08
2016-03-11,226.6,236.0,226.0,229.55,229.2,107730.0,248.54
2016-03-14,235.0,236.0,223.6,225.8,225.95,93577.0,215.17
2016-03-15,225.15,232.0,224.0,226.0,225.6,70399.0,161.03
2016-03-16,227.0,229.7,206.0,223.85,224.45,67904.0,151.17
2016-03-17,227.85,229.9,215.95,218.5,217.8,76617.0,170.94
2016-03-18,220.0,225.95,210.6,215.9,214.2,36408.0,78.29
2016-03-21,215.95,223.9,210.0,216.0,216.9,56769.0,123.11
2016-03-22,213.05,225.55,213.05,219.9,219.2,57829.0,127.61
2016-03-23,221.0,223.9,215.15,218.5,219.0,67781.0,149.18
2016-03-28,215.7,222.3,215.1,216.5,216.75,33267.0,72.65
2016-03-29,218.25,220.95,213.25,214.0,216.4,42381.0,91.92
2016-03-30,220.45,220.45,216.15,219.8,217.65,24104.0,52.7
2016-03-31,219.95,220.0,213.0,213.5,214.3,20902.0,45.06
2016-04-01,230.0,232.0,212.05,228.2,227.6,94368.0,214.3
2016-04-04,227.9,234.0,220.0,224.9,224.55,40895.0,92.73
2016-04-05,223.85,228.05,217.1,220.0,220.15,39356.0,87.56
2016-04-06,222.75,226.5,215.1,218.0,217.2,50062.0,108.82
2016-04-07,217.95,219.0,213.2,214.0,215.05,24893.0,53.85
2016-04-08,216.45,218.9,211.65,216.0,214.9,45497.0,98.13
2016-04-11,215.0,215.0,190.0,203.0,201.8,84746.0,173.26
2016-04-12,198.2,210.0,192.5,206.0,203.25,82324.0,163.86
2016-04-13,205.15,214.7,205.15,207.0,207.45,88464.0,186.8
2016-04-18,213.65,213.65,195.0,203.0,201.25,60563.0,122.84
2016-04-20,202.0,205.8,197.9,204.75,203.7,37729.0,75.95
2016-04-21,204.65,214.0,202.0,205.0,203.4,44855.0,93.37
2016-04-22,201.3,206.8,201.0,204.75,204.1,21734.0,44.47
2016-04-25,202.95,207.0,201.3,203.95,203.5,20664.0,42.12
2016-04-26,203.05,204.9,200.1,202.8,202.05,27585.0,55.69
2016-04-27,205.9,214.4,202.2,208.1,207.9,80071.0,168.02
2016-04-28,208.05,210.55,202.3,204.95,203.8,28391.0,58.34
2016-04-29,203.75,208.9,197.0,202.0,202.3,50442.0,101.7
2016-05-02,207.0,207.0,198.0,200.1,200.85,23052.0,46.38
2016-05-03,200.15,205.4,198.5,200.1,199.85,49247.0,99.46
2016-05-04,200.55,202.9,195.0,196.0,195.6,30992.0,61.4
2016-05-05,196.65,199.15,190.25,192.15,193.15,30272.0,58.49
2016-05-06,192.95,201.4,190.5,199.0,198.95,49952.0,98.53
2016-05-09,200.9,206.0,197.6,205.5,204.1,38041.0,77.44
2016-05-10,207.4,208.0,198.0,200.25,202.4,30429.0,61.84
2016-05-11,199.15,205.0,196.5,199.55,199.8,27028.0,54.29
2016-05-12,198.45,203.9,198.2,199.0,199.1,28063.0,56.24
2016-05-13,202.05,203.0,198.0,200.9,200.45,18766.0,37.51
2016-05-16,203.45,203.45,196.3,198.0,197.55,20691.0,41.13
2016-05-17,199.0,199.9,195.0,195.0,195.65,21663.0,42.77
2016-05-18,195.45,196.35,192.15,192.2,193.1,28866.0,55.79
2016-05-19,197.0,197.0,175.35,181.0,180.2,108570.0,200.69
2016-05-20,180.0,180.0,171.75,172.1,173.05,81042.0,143.05
2016-05-23,175.1,175.75,163.55,168.0,166.7,105215.0,178.13
2016-05-24,167.0,200.0,165.5,195.3,194.1,827090.0,1591.46
2016-05-25,197.1,199.5,186.0,189.05,189.25,108564.0,207.42
2016-05-26,187.55,206.0,187.1,199.3,201.0,296636.0,597.65
2016-05-27,201.1,210.0,201.1,201.95,202.9,120662.0,247.12
2016-05-30,205.95,213.8,185.05,192.45,191.65,513460.0,1018.71
2016-05-31,183.5,189.95,181.0,182.0,182.2,127894.0,234.89
2016-06-01,182.55,195.35,182.55,188.0,189.3,123898.0,236.0
2016-06-02,189.45,189.5,184.1,185.45,184.85,32451.0,60.46
2016-06-03,185.15,187.5,180.3,181.5,180.75,60349.0,110.54
2016-06-06,183.5,184.8,175.0,175.95,176.5,61297.0,109.88
2016-06-07,178.45,181.7,176.0,178.0,176.95,78502.0,140.36
2016-06-08,176.0,185.0,176.0,178.5,180.35,83686.0,150.63
2016-06-09,182.5,182.5,176.25,177.0,177.7,39131.0,69.68
2016-06-10,177.0,180.0,175.0,175.8,175.9,56811.0,100.57
2016-06-13,177.0,178.8,169.2,175.0,175.15,87911.0,153.66
2016-06-14,177.65,178.0,172.1,174.0,174.7,55400.0,97.31
2016-06-15,175.1,176.6,172.0,174.25,173.4,41138.0,71.7
2016-06-16,171.1,172.5,167.0,168.0,169.1,50431.0,85.81
2016-06-17,173.95,177.95,169.2,172.0,170.65,49002.0,85.02
2016-06-20,168.0,173.95,168.0,171.55,172.05,49917.0,85.86
2016-06-21,173.95,177.0,170.35,171.0,172.0,66323.0,114.74
2016-06-22,173.95,174.05,168.35,168.35,168.7,45662.0,78.01
2016-06-23,169.05,171.0,166.0,167.5,167.25,45084.0,75.84
2016-06-24,153.1,164.8,147.05,164.8,162.65,239374.0,370.62
2016-06-27,165.75,165.8,156.1,157.0,157.9,115331.0,183.62
2016-06-28,158.75,159.8,147.3,148.5,148.55,389066.0,585.19
2016-06-29,149.0,162.0,149.0,160.0,159.15,204168.0,322.57
2016-06-30,161.0,174.45,160.9,166.2,165.95,252682.0,424.1
2016-07-01,167.2,173.7,166.2,167.05,166.85,86411.0,146.17
2016-07-04,168.9,171.05,168.0,169.0,168.95,58849.0,99.72
2016-07-05,169.0,169.5,164.25,165.6,166.1,54754.0,90.93
2016-07-07,168.5,170.15,165.0,166.9,165.8,66640.0,111.43
2016-07-08,165.9,167.35,161.4,162.8,163.05,66532.0,109.11
2016-07-11,168.8,168.8,158.8,159.45,160.45,67348.0,109.47
2016-07-12,162.0,165.75,159.3,165.05,164.15,61530.0,100.42
2016-07-13,164.05,166.9,160.3,160.3,162.05,55169.0,90.54
2016-07-14,163.0,168.3,162.95,167.5,167.0,73629.0,122.19
2016-07-15,169.0,171.9,164.85,167.0,165.65,111309.0,187.2
2016-07-18,168.45,168.5,163.95,165.0,164.65,58367.0,96.75
2016-07-19,165.1,169.55,160.5,169.55,166.0,76327.0,125.21
2016-07-20,168.45,169.4,163.5,164.0,164.5,57861.0,95.94
2016-07-21,166.85,167.0,162.0,162.0,163.2,57931.0,95.15
2016-07-22,164.45,167.3,162.95,166.75,165.75,53797.0,88.8
2016-07-25,167.75,169.5,164.1,164.9,165.25,67926.0,112.78
2016-07-26,163.6,167.45,162.15,163.0,163.05,123679.0,203.09
2016-07-27,165.75,165.8,160.8,161.0,161.45,45378.0,73.9
2016-07-28,164.45,165.0,161.1,161.2,162.0,80780.0,131.86
2016-07-29,162.05,163.9,160.55,161.95,162.05,51061.0,82.66
2016-08-01,164.6,164.6,160.2,161.85,161.8,61436.0,99.51
2016-08-02,162.95,164.4,160.7,160.7,161.25,50748.0,82.32
2016-08-03,163.0,163.0,158.9,162.05,161.2,70587.0,113.27
2016-08-04,165.0,165.0,153.9,158.0,158.35,48808.0,77.37
2016-08-05,155.35,166.7,155.3,166.7,163.0,75760.0,122.19
2016-08-08,163.0,175.95,159.0,163.5,164.65,334874.0,564.21
2016-08-09,167.0,167.0,150.2,155.0,155.35,108346.0,170.7
2016-08-10,154.05,157.0,148.5,150.5,150.95,77000.0,116.64
2016-08-11,148.05,155.8,141.55,144.0,143.3,88774.0,129.97
2016-08-12,145.9,147.0,130.0,134.5,135.0,160404.0,218.14
2016-08-16,142.0,145.0,135.05,139.15,138.95,86307.0,120.45
2016-08-17,138.95,141.5,135.85,139.0,139.2,44371.0,61.3
2016-08-18,143.95,144.9,135.05,136.5,137.15,32562.0,44.97
2016-08-19,135.2,140.9,135.05,136.3,136.9,33890.0,46.72
2016-08-22,140.0,140.0,134.0,135.9,136.85,53848.0,73.44
2016-08-23,135.25,138.5,123.95,128.0,129.0,115554.0,151.59
2016-08-24,126.1,134.8,126.1,129.5,128.9,130574.0,171.66
2016-08-25,128.5,129.0,103.15,116.0,115.65,1151959.0,1304.79
2016-08-26,116.0,129.9,115.5,124.55,124.2,602959.0,758.84
2016-08-29,124.65,129.0,120.2,120.7,120.95,125544.0,156.02
2016-08-30,122.3,124.75,116.95,117.3,118.35,75514.0,90.67
2016-08-31,118.95,123.1,115.05,118.6,120.35,84024.0,99.54
2016-09-01,120.2,120.45,116.0,116.05,116.2,55714.0,65.38
2016-09-02,117.75,119.1,115.2,116.0,116.0,39829.0,46.73
2016-09-06,121.0,122.8,115.5,121.95,122.0,91456.0,109.88
2016-09-07,123.55,123.55,119.0,120.0,120.1,22574.0,27.21
2016-09-08,121.2,121.2,117.1,117.55,118.0,30042.0,35.61
2016-09-09,121.2,123.4,114.0,118.45,119.45,69445.0,83.8
2016-09-12,119.55,121.65,116.05,117.95,117.9,40602.0,48.19
2016-09-14,122.0,141.0,117.4,136.95,136.85,226686.0,299.68
2016-09-15,136.0,139.75,130.6,133.0,131.7,100898.0,134.81
2016-09-16,133.95,138.35,127.0,127.95,130.45,86558.0,114.84
2016-09-19,127.05,132.0,127.05,129.8,129.25,49832.0,64.77
2016-09-20,129.85,131.0,127.15,129.0,129.1,30182.0,39.21
2016-09-21,130.95,131.95,127.0,127.0,128.25,43291.0,56.32
2016-09-22,129.9,131.0,128.2,129.4,128.75,28769.0,37.42
2016-09-23,130.75,135.0,127.15,130.75,130.75,61698.0,81.49
2016-09-26,131.1,132.7,124.15,126.0,126.1,41438.0,52.89
2016-09-27,127.45,127.95,123.5,123.5,123.95,43158.0,54.06
2016-09-28,123.05,124.95,119.5,124.6,122.4,49004.0,60.38
2016-09-29,122.7,124.05,107.0,114.9,114.65,80724.0,95.99
2016-09-30,114.55,120.95,114.0,115.0,114.95,53208.0,61.8
2016-10-03,115.0,119.75,115.0,116.25,116.85,37310.0,43.83
2016-10-04,118.8,118.8,113.2,117.0,115.95,43396.0,50.37
2016-10-05,114.0,117.4,113.0,115.0,114.9,37999.0,43.69
2016-10-06,116.95,116.95,113.2,114.0,113.95,40723.0,46.61
2016-10-07,114.9,115.6,111.7,111.8,112.9,33450.0,38.05
2016-10-10,121.45,121.45,107.0,108.0,108.9,67574.0,74.31
2016-10-13,111.0,111.0,99.25,100.0,102.1,96779.0,101.05
2016-10-14,101.35,108.0,98.5,102.5,101.35,104671.0,108.32
2016-10-17,102.0,102.0,83.2,86.0,87.4,567297.0,515.2
2016-10-18,90.5,90.5,79.0,84.0,84.25,384951.0,320.88
2016-10-19,84.0,101.1,84.0,101.1,101.1,1577106.0,1564.3
2016-10-20,104.7,120.5,104.0,118.65,118.05,1515974.0,1748.71
2016-10-21,120.4,128.3,119.5,123.0,121.6,773687.0,959.73
2016-10-24,123.3,123.9,114.0,116.4,116.0,240454.0,282.87
2016-10-25,116.95,117.4,110.0,110.8,110.7,194206.0,217.1
2016-10-26,112.1,127.45,107.4,123.5,123.75,581423.0,704.05
2016-10-27,123.2,127.35,118.0,123.6,122.9,314462.0,389.6
2016-10-28,124.9,126.8,121.35,124.0,123.2,126504.0,156.92
2016-10-30,124.5,124.5,119.6,123.45,123.6,113837.0,139.36
2016-11-01,124.1,128.95,112.2,119.5,119.75,1215388.0,1462.88
2016-11-02,118.2,121.9,113.0,115.85,116.55,168862.0,199.81
2016-11-03,117.7,121.9,112.25,113.0,113.2,258044.0,304.01
2016-11-04,114.0,116.25,100.0,106.8,105.85,241022.0,255.76
2016-11-07,109.05,113.2,109.0,110.0,110.1,132214.0,145.62
2016-11-08,110.9,114.9,108.0,113.5,112.2,168853.0,187.93
2016-11-09,92.2,107.0,89.8,105.0,105.2,254741.0,258.07
2016-11-10,107.95,111.0,105.25,108.3,107.35,133503.0,143.78
2016-11-11,107.0,110.0,106.0,108.6,108.1,124146.0,134.13
2016-11-15,108.1,108.85,98.5,101.6,101.65,144618.0,146.22
2016-11-16,104.95,104.95,99.5,100.5,101.4,73709.0,75.64
2016-11-17,101.2,105.95,99.9,101.5,100.8,96081.0,97.29
2016-11-18,99.95,104.0,99.95,100.85,101.65,41350.0,42.11
2016-11-21,103.0,103.85,99.1,100.6,100.2,97697.0,98.49
2016-11-22,101.95,104.2,100.35,101.0,101.4,67394.0,68.63
2016-11-23,103.45,113.65,101.55,110.2,110.35,112837.0,122.55
2016-11-24,110.35,117.75,106.0,114.0,115.35,137258.0,157.17
2016-11-25,116.95,117.0,114.0,114.35,115.4,59324.0,68.51
2016-11-28,112.8,124.6,110.85,119.75,120.85,172594.0,208.77
