Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-11-14,730.0,739.65,680.0,680.5,688.85,2894448.0,20662.91
2017-11-15,675.0,704.0,662.0,700.95,696.8,836598.0,5681.53
2017-11-16,700.0,705.75,680.0,688.5,693.2,215907.0,1494.37
2017-11-17,693.05,698.0,663.6,665.0,671.0,132397.0,902.34
2017-11-20,667.9,686.0,663.05,682.2,683.4,150465.0,1017.2
2017-11-21,685.0,699.95,681.65,690.0,690.05,123293.0,850.88
2017-11-22,700.0,711.0,695.1,702.0,697.95,300459.0,2114.23
2017-11-23,701.0,703.5,690.0,690.0,691.15,40037.0,278.4
2017-11-24,687.15,698.1,687.15,692.45,695.8,50803.0,352.62
2017-11-27,690.15,699.0,689.0,690.0,691.45,32564.0,225.56
2017-11-28,687.0,696.95,687.0,692.0,690.45,30166.0,208.53
2017-11-29,688.05,692.95,679.05,680.0,681.6,19975.0,136.95
2017-11-30,680.0,703.0,676.6,703.0,690.75,42182.0,288.93
2017-12-01,690.75,694.95,682.3,684.0,688.7,32253.0,222.28
2017-12-04,680.1,692.2,675.0,690.0,690.3,43587.0,298.63
2017-12-05,682.2,693.0,682.05,690.3,689.7,24329.0,167.04
2017-12-06,685.0,693.7,684.3,693.0,688.25,21424.0,147.51
2017-12-07,683.1,689.9,683.1,688.1,688.0,15366.0,105.6
2017-12-08,682.15,693.0,682.15,690.0,690.75,24858.0,171.5
2017-12-11,685.3,693.0,681.0,682.8,683.8,109782.0,751.29
2017-12-12,688.0,688.0,666.0,668.0,668.8,27798.0,188.63
2017-12-13,668.8,681.0,666.5,672.0,672.0,37198.0,250.13
2017-12-14,668.5,676.95,663.0,664.0,664.8,19097.0,128.19
2017-12-15,670.0,684.0,662.2,664.0,674.85,164092.0,1102.75
2017-12-18,660.05,677.0,650.0,674.0,672.15,50224.0,335.2
2017-12-19,675.0,675.0,665.5,665.5,667.85,18773.0,125.95
2017-12-20,665.0,675.5,665.0,672.0,672.45,89241.0,600.22
2017-12-21,672.2,673.15,666.0,666.0,667.25,15494.0,103.66
2017-12-22,667.0,670.0,664.0,664.0,666.1,14963.0,99.93
2017-12-26,664.0,668.6,660.0,661.0,660.9,12412.0,82.31
