Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-11-15,1103.9,1103.9,852.0,910.0,900.05,8201.0,74.05
2016-11-16,934.0,934.0,889.0,889.0,893.2,4858.0,43.99
2016-11-17,935.0,935.0,887.0,891.0,895.95,3154.0,28.3
2016-11-18,930.0,930.0,831.0,890.0,891.9,4339.0,38.6
2016-11-21,923.95,924.0,756.0,809.0,807.85,7039.0,58.61
2016-11-22,797.0,820.0,726.5,784.0,782.35,7216.0,56.26
2016-11-23,809.0,844.4,792.1,819.6,819.15,7119.0,58.27
2016-11-24,805.95,839.0,787.25,817.0,809.4,4772.0,38.82
2016-11-25,824.95,854.4,824.95,854.4,848.3,3018.0,25.28
2016-11-28,867.0,899.0,867.0,891.1,889.6,3815.0,33.89
2016-11-29,902.0,922.0,896.05,902.0,906.45,5667.0,51.53
2016-11-30,923.95,928.95,910.0,924.0,919.65,2938.0,27.12
2016-12-01,925.0,938.0,901.55,919.9,918.75,3593.0,32.99
2016-12-02,915.0,918.4,871.0,885.0,884.75,2838.0,25.16
2016-12-05,860.15,889.95,860.0,868.0,876.35,2883.0,25.02
2016-12-06,882.1,884.9,861.2,879.5,878.25,1728.0,15.18
2016-12-07,878.0,878.35,850.0,861.1,865.15,1720.0,14.91
2016-12-08,888.0,889.0,862.0,885.0,884.85,3572.0,31.53
2016-12-09,899.0,918.8,880.0,898.0,903.2,2446.0,21.92
2016-12-12,895.0,909.9,885.1,892.0,891.95,1406.0,12.53
2016-12-13,885.05,902.0,879.95,902.0,894.0,1004.0,8.92
2016-12-14,903.8,903.8,865.0,870.0,876.25,1416.0,12.56
2016-12-15,851.05,899.9,841.2,890.0,891.9,621.0,5.51
2016-12-16,909.7,915.0,845.0,888.5,879.1,1695.0,15.02
2016-12-19,871.1,890.0,859.0,873.0,862.8,1522.0,13.28
2016-12-20,857.0,869.4,824.0,825.0,834.15,2194.0,18.54
2016-12-21,825.0,849.9,801.0,830.0,834.2,3228.0,26.67
2016-12-22,831.95,849.1,818.0,846.9,843.4,3068.0,25.67
2016-12-23,834.6,897.0,834.5,879.0,874.25,3580.0,31.39
2016-12-26,862.0,884.95,840.1,841.15,849.3,1184.0,10.13
2016-12-27,860.0,860.0,832.5,845.0,844.75,1146.0,9.73
2016-12-28,842.0,862.0,842.0,855.0,849.05,1974.0,16.81
2016-12-29,840.05,864.95,835.0,855.0,856.4,1926.0,16.47
2016-12-30,866.0,866.0,845.0,854.0,852.65,1843.0,15.7
2017-01-02,855.0,873.0,850.0,873.0,868.65,1476.0,12.75
2017-01-03,874.4,900.0,861.25,887.6,881.15,3023.0,26.82
2017-01-04,885.05,892.0,872.0,873.45,879.15,1266.0,11.14
2017-01-05,885.8,910.9,882.0,896.0,898.0,3165.0,28.47
2017-01-06,910.0,910.0,895.7,903.0,902.4,1279.0,11.54
2017-01-09,927.0,927.0,886.05,887.4,893.15,1436.0,12.87
2017-01-10,886.05,910.9,860.0,877.8,881.55,3105.0,27.48
2017-01-11,900.0,900.0,865.2,874.8,872.45,3191.0,28.14
2017-01-12,880.05,896.0,857.15,880.0,879.75,1392.0,12.28
2017-01-13,884.85,890.0,863.15,882.2,876.75,3147.0,27.56
2017-01-16,877.0,894.6,872.0,881.0,879.4,2803.0,24.73
