Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,215.7,224.0,215.0,219.4,219.25,380644.0,838.66
2010-01-05,221.9,221.9,214.3,216.25,216.3,117649.0,257.23
2010-01-06,218.2,226.85,217.0,220.5,220.75,388387.0,867.31
2010-01-07,222.4,224.9,218.0,221.0,220.55,251576.0,557.47
2010-01-08,222.5,224.8,220.0,222.0,221.55,142224.0,315.92
2010-01-11,223.8,226.0,221.0,221.55,221.8,120415.0,268.7
2010-01-12,222.0,230.9,222.0,222.95,222.7,368523.0,835.02
2010-01-13,223.0,223.75,215.1,221.55,221.7,103813.0,229.27
2010-01-14,223.0,223.7,218.0,218.0,219.25,81249.0,179.7
2010-01-15,220.7,221.5,211.0,212.4,212.65,160107.0,347.63
2010-01-18,214.0,222.0,212.0,221.0,220.2,171699.0,373.79
2010-01-19,222.9,224.7,216.2,217.5,217.35,106362.0,235.4
2010-01-20,219.0,222.0,215.15,216.0,216.5,60927.0,133.27
2010-01-21,217.45,220.0,212.0,213.0,213.75,67045.0,145.03
2010-01-22,212.95,214.9,205.0,208.05,208.9,80001.0,167.81
2010-01-25,209.85,215.9,209.85,211.9,211.0,47281.0,100.15
2010-01-27,210.4,213.35,192.2,198.35,200.1,77533.0,159.74
2010-01-28,203.0,208.0,197.25,200.0,198.35,69639.0,140.38
2010-01-29,195.0,198.9,189.0,193.15,194.2,75214.0,145.5
2010-02-01,194.5,233.05,194.0,233.05,233.05,959398.0,2150.22
2010-02-02,200.0,262.4,200.0,245.6,245.1,2686576.0,6753.29
2010-02-03,248.1,256.0,241.15,248.0,248.4,1082037.0,2687.64
2010-02-04,250.4,255.4,241.1,247.0,246.4,704522.0,1753.05
2010-02-05,238.0,241.0,229.05,231.3,231.65,288741.0,679.75
2010-02-06,225.0,246.8,225.0,245.15,244.15,223043.0,539.91
2010-02-08,250.0,251.9,237.6,240.0,239.7,321042.0,785.06
2010-02-09,241.65,247.0,239.55,244.5,243.0,261756.0,637.16
2010-02-10,25.0,29.0,23.65,29.0,28.65,12486084.0,3439.78
2010-02-11,29.5,32.15,29.25,29.9,29.8,18256059.0,5614.49
2010-02-15,30.0,30.0,27.2,27.4,27.5,3508785.0,973.33
2010-02-16,26.5,27.1,25.35,25.8,25.85,3437910.0,897.53
2010-02-17,26.1,27.75,25.25,26.85,26.9,4162262.0,1115.98
2010-02-18,27.4,27.85,26.15,26.5,26.45,2018923.0,545.0
2010-02-19,26.05,26.3,25.25,25.7,25.5,1253213.0,321.74
2010-02-22,26.0,26.5,24.6,24.8,24.75,936243.0,237.8
2010-02-23,24.6,24.6,23.5,23.85,23.7,1053367.0,253.76
2010-02-24,23.0,26.8,23.0,25.95,25.8,5416133.0,1388.01
2010-02-25,26.3,26.95,25.5,25.9,25.65,4180205.0,1090.13
2010-02-26,25.5,26.4,25.15,25.2,25.35,2093925.0,540.68
2010-03-02,25.7,26.15,25.35,25.55,25.45,706826.0,181.11
2010-03-03,25.7,26.25,25.1,25.45,25.45,862281.0,221.25
2010-03-04,25.75,26.4,25.2,26.0,26.0,1620435.0,419.17
2010-03-05,26.1,26.7,25.9,26.0,26.0,992236.0,260.11
2010-03-08,26.4,26.6,25.8,26.05,26.0,924466.0,242.42
2010-03-09,26.1,26.1,25.2,25.35,25.3,534398.0,136.34
2010-03-10,25.3,25.65,24.75,25.0,24.9,499670.0,125.62
2010-03-11,24.5,26.4,24.5,25.3,25.2,1644694.0,421.27
2010-03-12,25.45,25.6,24.75,25.0,24.9,631917.0,159.4
2010-03-15,24.75,25.4,24.4,24.45,24.5,814480.0,201.29
2010-03-16,25.0,25.8,24.6,25.5,25.4,896707.0,224.59
2010-03-17,25.8,26.0,25.05,25.3,25.25,650643.0,166.42
2010-03-18,26.5,29.0,25.6,25.9,25.9,2132368.0,562.0
2010-03-19,26.0,26.0,25.05,25.1,25.15,790882.0,201.01
2010-03-22,24.9,25.2,24.65,24.85,24.9,675365.0,168.73
2010-03-23,25.0,25.5,24.5,24.8,24.65,521248.0,130.16
2010-03-25,25.2,25.2,24.4,24.5,24.5,390953.0,96.49
2010-03-26,24.95,24.95,24.0,24.0,24.1,530489.0,129.35
2010-03-29,24.0,24.7,23.4,23.5,23.5,796801.0,190.62
2010-03-30,23.9,23.95,23.25,23.3,23.35,497730.0,117.17
2010-03-31,23.6,24.6,23.2,23.9,23.8,856123.0,204.36
2010-04-01,24.2,24.45,23.4,23.8,23.8,510345.0,121.61
2010-04-05,24.1,24.5,23.65,23.8,23.8,561857.0,134.7
2010-04-06,24.1,24.6,23.8,24.15,24.15,791364.0,191.54
2010-04-07,24.15,25.5,24.15,24.9,24.9,1295987.0,323.05
2010-04-08,24.85,25.6,24.45,24.45,24.6,718065.0,180.01
2010-04-09,24.95,25.6,24.7,24.7,24.85,1126608.0,283.48
2010-04-12,24.65,25.3,24.6,24.95,24.9,379102.0,94.66
2010-04-13,24.9,26.65,24.7,26.3,26.2,4060913.0,1057.12
2010-04-15,26.25,27.0,25.5,25.85,25.7,1992600.0,527.27
2010-04-16,25.5,26.35,25.5,26.0,25.95,1152472.0,299.79
2010-04-19,25.2,25.95,25.1,25.5,25.65,815635.0,208.14
2010-04-20,25.75,26.45,25.45,26.35,26.05,926344.0,239.83
2010-04-21,26.7,27.3,25.9,26.1,26.1,2698781.0,719.97
2010-04-22,26.0,27.5,26.0,27.25,27.25,3138770.0,852.78
2010-04-23,27.2,28.95,27.2,28.85,28.5,2629685.0,738.97
2010-04-26,29.2,29.8,28.5,28.7,28.7,2727690.0,798.31
2010-04-27,28.9,28.9,27.25,27.6,27.6,954392.0,269.48
2010-04-28,26.5,28.1,26.3,27.2,27.1,1166125.0,318.61
2010-04-29,28.0,29.7,27.3,29.0,29.05,3174770.0,918.83
2010-04-30,29.3,29.5,27.75,28.0,27.95,1077141.0,306.29
2010-05-03,28.7,28.7,27.5,27.85,27.75,596953.0,166.79
2010-05-04,28.0,28.2,26.1,26.4,26.45,667820.0,181.36
2010-05-05,26.25,26.25,25.0,26.0,25.95,1169728.0,299.04
2010-05-06,25.5,26.8,25.5,25.75,25.85,936511.0,244.15
2010-05-07,25.2,25.4,24.5,24.8,24.8,910433.0,227.09
2010-05-10,25.4,25.8,24.95,25.75,25.5,585000.0,148.23
2010-05-11,26.3,26.3,25.05,25.25,25.35,324749.0,82.95
2010-05-12,25.2,25.75,24.65,24.85,24.9,633723.0,158.85
2010-05-13,25.25,25.65,24.9,24.9,25.0,494240.0,124.66
2010-05-14,25.45,25.45,24.5,24.6,24.55,310688.0,76.84
2010-05-17,24.3,25.35,24.05,25.3,25.15,666669.0,165.29
2010-05-18,25.6,25.9,25.25,25.5,25.45,450118.0,115.22
2010-05-19,25.5,26.1,25.0,25.1,25.25,704553.0,179.96
2010-05-20,25.25,26.15,24.2,26.05,25.75,683094.0,175.69
2010-05-21,25.0,25.65,24.9,25.1,25.15,545617.0,137.42
2010-05-24,25.7,27.1,24.8,25.0,25.0,1509459.0,390.94
2010-05-25,25.0,25.8,23.0,23.2,23.2,1958516.0,474.47
2010-05-26,24.0,24.5,23.55,23.9,23.75,807902.0,193.44
2010-05-27,23.9,23.9,23.35,23.8,23.65,353389.0,83.39
2010-05-28,23.9,24.5,23.5,24.05,23.9,647309.0,154.72
2010-05-31,23.9,24.3,23.6,23.75,23.8,326986.0,78.04
2010-06-01,23.8,24.75,23.5,23.65,23.65,999258.0,240.78
2010-06-02,23.8,24.25,23.5,23.9,23.85,360326.0,85.97
2010-06-03,24.2,24.4,23.8,24.0,24.0,356301.0,85.48
2010-06-04,24.1,24.4,23.7,23.8,23.8,280232.0,66.95
2010-06-07,23.4,24.0,23.0,23.45,23.5,381919.0,89.68
2010-06-08,23.1,23.9,23.1,23.3,23.25,220767.0,51.79
2010-06-09,23.25,23.8,22.9,23.1,23.0,343786.0,80.08
2010-06-10,22.7,23.8,22.7,23.25,23.2,455408.0,105.75
2010-06-11,23.4,23.6,22.15,22.4,22.4,443735.0,101.24
2010-06-14,22.75,22.75,21.9,22.15,22.15,721133.0,159.87
2010-06-15,21.55,22.8,21.55,22.75,22.7,332761.0,75.04
2010-06-16,23.0,24.25,22.7,23.55,23.55,979306.0,231.03
2010-06-17,23.9,23.9,23.0,23.55,23.4,360519.0,84.67
2010-06-18,23.25,23.8,22.65,22.8,22.8,423333.0,98.22
2010-06-21,23.0,23.45,22.9,23.15,23.1,261470.0,60.62
2010-06-22,22.8,23.75,22.8,23.2,23.15,562380.0,131.45
2010-06-23,23.75,23.75,23.05,23.2,23.3,210704.0,49.13
2010-06-24,23.3,23.6,23.15,23.2,23.2,215132.0,50.29
2010-06-25,23.0,23.65,23.0,23.3,23.2,271929.0,63.47
2010-06-28,23.7,23.8,23.25,23.55,23.55,534773.0,126.01
2010-06-29,23.3,23.85,23.1,23.3,23.25,215690.0,50.42
2010-06-30,23.0,23.8,22.8,23.5,23.4,341232.0,79.99
2010-07-01,23.15,23.6,23.15,23.25,23.25,253425.0,59.36
2010-07-02,23.6,23.65,23.3,23.5,23.45,238023.0,55.95
2010-07-05,23.75,24.5,23.2,24.0,24.1,846486.0,203.58
2010-07-06,24.45,24.8,24.0,24.55,24.5,522175.0,127.36
2010-07-07,24.5,24.65,24.05,24.1,24.1,343784.0,83.46
2010-07-08,24.75,25.0,23.75,24.0,23.85,299854.0,72.46
2010-07-09,23.9,24.35,23.7,23.8,23.85,322929.0,77.55
2010-07-12,24.2,24.2,23.55,23.65,23.65,179228.0,42.73
2010-07-13,23.3,24.2,23.3,24.1,24.0,331629.0,79.11
2010-07-14,24.05,24.2,23.5,23.6,23.6,218848.0,52.17
2010-07-15,23.55,24.75,23.55,24.7,24.55,883226.0,215.54
2010-07-16,24.9,25.3,24.55,24.8,24.85,723224.0,179.8
2010-07-19,24.9,25.75,24.3,25.0,25.1,915940.0,230.41
