Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-03-07,11.35,11.35,11.0,11.0,11.0,1749607.0,193.08
2011-03-08,11.05,11.1,11.0,11.05,11.0,826021.0,91.01
2011-03-09,11.05,11.05,11.0,11.05,11.0,182187.0,20.05
2011-03-10,11.05,11.05,11.0,11.0,11.0,503879.0,55.48
2011-03-11,11.0,11.05,11.0,11.0,11.0,603936.0,66.45
2011-03-14,11.05,11.05,11.0,11.0,11.0,154357.0,16.98
2011-03-15,11.0,11.05,11.0,11.0,11.0,442766.0,48.71
2011-03-16,11.05,11.05,11.0,11.0,11.0,352219.0,38.79
2011-03-17,11.0,11.05,11.0,11.0,11.0,156690.0,17.25
2011-03-18,11.05,12.2,11.0,11.0,11.1,2815016.0,319.93
2011-03-21,11.1,11.15,11.0,11.0,11.0,367258.0,40.49
2011-03-22,11.05,11.1,11.0,11.0,11.0,316892.0,34.91
2011-03-23,11.0,11.05,11.0,11.0,11.0,258613.0,28.46
2011-03-24,11.05,11.05,11.0,11.0,11.0,199341.0,21.93
2011-03-25,11.0,11.35,10.5,11.0,11.0,1036043.0,114.61
2011-03-28,11.0,11.05,11.0,11.0,11.0,241660.0,26.6
2011-03-29,11.05,11.1,11.0,11.0,11.0,736513.0,81.13
2011-03-30,11.0,11.2,11.0,11.05,11.05,235390.0,26.03
2011-03-31,11.1,13.3,11.0,13.3,13.3,10935260.0,1404.87
2011-04-01,13.55,13.55,12.7,13.05,13.05,1401614.0,182.03
2011-04-04,13.1,13.15,12.6,13.05,13.0,260340.0,33.69
2011-04-05,13.15,13.9,12.75,13.0,13.0,799783.0,105.51
2011-04-06,13.15,13.8,12.85,13.0,13.05,1483051.0,194.66
2011-04-07,13.15,13.15,12.9,13.0,13.0,449990.0,58.5
2011-04-08,13.2,13.4,12.9,13.0,13.0,898485.0,117.62
2011-04-11,13.15,13.15,12.5,13.1,13.0,348737.0,45.04
2011-04-13,13.0,13.4,12.95,13.05,13.0,827923.0,108.35
2011-04-15,13.05,13.25,12.85,12.9,12.9,332910.0,43.33
2011-04-18,13.05,13.1,12.75,12.75,12.8,162650.0,21.02
2011-04-19,12.85,12.9,12.35,12.35,12.4,157093.0,19.71
2011-04-20,12.7,12.8,12.45,12.5,12.55,615005.0,77.24
2011-04-21,12.8,14.8,12.5,13.0,13.05,2476932.0,336.48
2011-04-25,13.05,13.15,12.8,12.8,12.8,197224.0,25.62
2011-04-26,13.0,13.0,12.0,12.0,12.1,1299035.0,159.31
2011-04-27,12.5,12.5,12.05,12.1,12.15,226982.0,27.71
2011-04-28,12.2,12.85,11.9,12.5,12.4,621309.0,77.34
2011-04-29,12.5,12.55,12.05,12.15,12.15,170025.0,20.81
2011-05-02,12.25,12.35,11.8,11.9,11.85,168150.0,20.23
2011-05-03,12.0,12.15,11.5,11.65,11.6,211791.0,25.07
2011-05-04,11.8,11.95,11.35,11.95,11.8,254559.0,29.63
2011-05-05,11.75,11.85,11.5,11.55,11.55,137580.0,15.93
2011-05-06,11.95,11.95,11.4,11.4,11.5,92926.0,10.71
2011-05-09,11.5,11.6,11.2,11.25,11.25,233523.0,26.45
2011-05-10,11.35,11.45,11.2,11.35,11.3,110604.0,12.51
2011-05-11,11.5,11.7,11.25,11.25,11.3,98577.0,11.19
2011-05-12,11.25,11.35,11.1,11.25,11.15,89725.0,10.06
2011-05-13,11.25,11.35,11.15,11.25,11.2,71117.0,8.01
2011-05-16,11.3,11.3,11.1,11.15,11.1,32413.0,3.63
2011-05-17,11.45,11.55,11.05,11.25,11.15,90156.0,10.1
2011-05-18,11.2,11.25,11.1,11.15,11.1,33625.0,3.75
2011-05-19,11.15,11.2,11.0,11.1,11.05,294653.0,32.64
2011-05-20,11.1,11.25,11.05,11.1,11.1,95697.0,10.65
2011-05-23,11.1,11.25,11.05,11.05,11.05,88423.0,9.79
2011-05-24,11.1,11.15,11.05,11.05,11.05,60865.0,6.73
2011-05-25,11.1,11.15,11.0,11.0,11.0,77494.0,8.56
2011-05-26,11.1,11.15,11.0,11.05,11.05,91344.0,10.12
2011-05-27,11.15,11.2,11.05,11.05,11.05,115859.0,12.83
2011-05-30,11.45,11.5,11.1,11.5,11.4,138533.0,15.69
2011-05-31,11.4,11.5,11.25,11.3,11.25,98083.0,11.15
2011-06-01,11.3,12.9,11.2,11.25,11.3,728882.0,85.95
2011-06-02,11.3,11.9,11.2,11.25,11.3,773953.0,88.93
2011-06-03,11.5,11.7,11.25,11.25,11.3,447067.0,50.68
2011-06-06,11.5,11.7,11.25,11.25,11.3,762118.0,86.82
2011-06-07,11.35,11.4,11.25,11.25,11.25,520677.0,58.72
2011-06-08,11.3,11.35,11.25,11.25,11.25,291928.0,32.93
2011-06-09,11.3,11.9,11.25,11.25,11.25,425935.0,48.3
2011-06-10,11.3,11.35,11.25,11.25,11.25,340802.0,38.36
2011-06-13,11.1,11.3,11.1,11.25,11.25,92389.0,10.4
2011-06-14,11.3,11.3,11.25,11.25,11.25,110313.0,12.42
2011-06-15,11.25,11.35,11.0,11.3,11.2,707157.0,79.26
2011-06-16,11.2,11.2,11.1,11.15,11.15,154954.0,17.29
